# CodeRED actor enum map
# Generated/managed by tools/codered_actor_enum_tool.py
# Edit this CSV instead of recompiling the ASI.
label,actor_enum,category,source,aliases,notes
ACTOR_CAUCASIAN_ARMY_Easy01,369,army,CodeRED research sanity seed,AE_CAUCASIAN_ARMY_EASY01|AE_Caucasian_Army_Easy01|CAUCASIAN_ARMY_EASY01,known crash-fix seed; rebuild from Enums.h for full map
AE_CAUCASIAN_ARMY_EASY01,369,army,CodeRED research sanity seed,ACTOR_CAUCASIAN_ARMY_Easy01|AE_Caucasian_Army_Easy01,alias for Caucasian Army Easy01
ACTOR_RIDEABLE_ANIMAL_Horse01,976,rideable,CodeRED research sanity seed,HORSE01|RIDEABLE_ANIMAL_HORSE01,safe first rideable test candidate
ACTOR_RIDEABLE_ANIMAL_MEX_Mule01,1000,rideable,CodeRED research sanity seed,MEX_Mule01|MULE01|RIDEABLE_ANIMAL_MEX_MULE01,safe first mule test candidate
ACTOR_RIDEABLE_ANIMAL_Buffalo,1004,rideable,CodeRED research sanity seed,BUFFALO|RIDEABLE_ANIMAL_BUFFALO,rideable/control research candidate
ACTOR_VEHICLE_Stagecoach,1177,vehicle,CodeRED research sanity seed,VEHICLE_STAGECOACH|STAGECOACH,vehicle/control research candidate
ACTOR_VEHICLE_Cart01,1183,vehicle,CodeRED research sanity seed,VEHICLE_CART01|CART01,vehicle/control research candidate
ACTOR_VEHICLE_Canoe01,1189,vehicle,CodeRED research sanity seed,VEHICLE_CANOE01|CANOE01,vehicle/control research candidate
ACTOR_VEHICLE_Raft01,1192,vehicle,CodeRED research sanity seed,VEHICLE_RAFT01|RAFT01,vehicle/control research candidate
ACTOR_VEHICLE_Truck01,1193,vehicle,CodeRED research sanity seed,VEHICLE_TRUCK01|TRUCK01,important car/truck test candidate
ACTOR_VEHICLE_Car01,1194,vehicle,CodeRED research sanity seed,VEHICLE_CAR01|CAR01,important car/truck test candidate
ACTOR_VEHICLE_Wagon02,1199,vehicle,CodeRED research sanity seed,VEHICLE_WAGON02|WAGON02,vehicle/control research candidate
ACTOR_VEHICLE_Coach01,1202,vehicle,CodeRED research sanity seed,VEHICLE_COACH01|COACH01,vehicle/control research candidate
