comp_id,offset_hex,ptr_hex,owner_comp_id,owner_script,owner_gringo,query_name,user_tag,parent_transform_bone,radius,facing,local_x,local_y,local_z,local_w,use_button,use_priority_tweak,SuspendMover,FixUserMover,PlayerUsable,PositionParentActorRelative,ActorBecomesObstacle,IsMeleeAttack,GringoHandlesMovement,IsCombatFriendly,IsJumpGringo,RequiresPhysicsCheck,RequiresGroundCheck,RequiresLOSCheck,RequiresNavProbeCheck,StartUnavailable,BlockInjuryReactions,AllowAiShoot,AutoPlayForPlayer,AlwaysApproach,WaitForStill,SlowDownWhenApproaching,AllowNavigateTo,unknown_7f,vehicleish,parent_chain
2,0x2DD00,0x5002DD00,1,content\scripting\gringo\CommonScripts\GenericGringo,,,@GENERIC.USE,,0.5,0.0,0.0,0.0,0.0,0.0,4,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,205,False,content\scripting\gringo\CommonScripts\GenericGringo
5,0x2ED00,0x5002ED00,1,content\scripting\gringo\CommonScripts\GenericGringo,,,@GENERIC.USE,,0.5,180.0,-0.4099999964237213,0.20600000023841858,-2.318000078201294,0.0,4,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,205,False,content\scripting\gringo\CommonScripts\GenericGringo
9,0x39C00,0x50039C00,8,content\scripting\gringo\CommonScripts\GenericGringo,,,@GENERIC.USE,,0.5,0.0,0.0,0.0,0.0,0.0,4,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,205,False,content\scripting\gringo\CommonScripts\GenericGringo
16,0x25800,0x50025800,15,content\scripting\gringo\CommonScripts\GenericGringo,,,@GENERIC.USE,,0.5,0.0,-0.015399999916553497,0.0,0.4090000092983246,0.0,4,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,205,False,content\scripting\gringo\CommonScripts\GenericGringo
21,0x32C00,0x50032C00,20,content\scripting\gringo\CommonScripts\pet_dog,,,@GENERIC.USE,,0.0,0.0,0.0,0.0,0.0,0.0,4,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,205,False,content\scripting\gringo\CommonScripts\pet_dog
23,0x32D00,0x50032D00,20,content\scripting\gringo\CommonScripts\pet_dog,,,@GENERIC.USE,,0.0,-90.0,-0.8830000162124634,0.0,-0.14399999380111694,0.0,4,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,205,False,@GENERIC.USE > content\scripting\gringo\CommonScripts\pet_dog
30,0x2BA80,0x5002BA80,29,content\scripting\gringo\CommonScripts\GenericGringo,,,@GENERIC.USE,,0.10000000149011612,0.0,0.0,0.0,-0.5,0.0,4,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,205,False,content\scripting\gringo\CommonScripts\GenericGringo
36,0x29F80,0x50029F80,35,content\scripting\gringo\CommonScripts\GenericGringo,,,@GENERIC.USE,,0.5,0.0,0.0,0.0,0.0,0.0,4,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,205,False,content\scripting\gringo\CommonScripts\GenericGringo
41,0x30A00,0x50030A00,40,content\scripting\gringo\CommonScripts\GenericGringo,,,@GENERIC.USE,,0.5,0.0,0.0,0.0,0.0,0.0,4,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,205,False,content\scripting\gringo\CommonScripts\GenericGringo
48,0x29500,0x50029500,47,content\scripting\gringo\CommonScripts\GenericGringo,,,@GENERIC.USE,,0.10000000149011612,0.0,0.0,0.0,0.414000004529953,0.0,4,0,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,True,205,False,content\scripting\gringo\CommonScripts\GenericGringo
54,0x25000,0x50025000,53,content\scripting\gringo\CommonScripts\GenericGringo,,,@GENERIC.USE,,0.5,0.0,0.0,0.0,0.0,0.0,4,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,205,False,content\scripting\gringo\CommonScripts\GenericGringo
62,0x37680,0x50037680,61,content\scripting\gringo\CommonScripts\GenericGringo,,,@GENERIC.USE,,0.5,0.0,0.12999999523162842,0.0,0.6010000109672546,0.0,4,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,205,False,content\scripting\gringo\CommonScripts\GenericGringo
68,0x1FD00,0x5001FD00,67,content\scripting\gringo\CommonScripts\Player_Treasure,,,@GENERIC.USE,,0.5,0.0,0.0,0.0,0.0,0.0,4,0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,205,False,content\scripting\gringo\CommonScripts\Player_Treasure
75,0x30080,0x50030080,74,content\scripting\gringo\CommonScripts\GenericGringo,,,@GENERIC.USE,,0.5,0.0,0.0,0.0,0.0,0.0,4,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,205,False,content\scripting\gringo\CommonScripts\GenericGringo
80,0x30780,0x50030780,79,content\scripting\gringo\CommonScripts\GenericGringo,,,@GENERIC.USE,,0.5,0.0,0.0,0.0,0.0,0.0,4,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,205,False,content\scripting\gringo\CommonScripts\GenericGringo
