topic,title,path,format,notes
status,Code RED Stage Report,code_red_stage_report_latest.md,md,Current readiness and staging snapshot
index,Code RED Log Index,CodeRED_LOG_INDEX.md,md,Categorized top-level log index
source,Project Research Master Chat Source,CodeRED_Project_Research_Master_Chat_Source_2026-04-29.md,md,User-added master chat and source notes for WSI gringos map expansion cutscenes FBI missions and multiplayer lanes
synthesis,Vehicle Spawning Cutscenes Gringos Strings Synthesis,CodeRED_RESEARCH_SYNTHESIS_2026-04-29.md,md,Consolidated research summary
vehicle,Car Truck Live RPF Inventory,car_truck_inventory/car_truck_inventory.md,md,Human-readable live RPF and extracted reference inventory
vehicle,Car Truck Live RPF Entries,car_truck_inventory/live_rpf_entries.csv,csv,Flat live RPF matches
vehicle,Car Truck Reference Entries,car_truck_inventory/reference_entries.csv,csv,Flat extracted/reference matches
vehicle,Car Truck Inventory Data,car_truck_inventory/car_truck_inventory.json,json,Full car/truck inventory metadata
extracted_root,Extracted Root Research Summary,extracted_root_research/extracted_root_research.md,md,Human-readable extracted root scan
extracted_root,Extracted Root Research Data,extracted_root_research/extracted_root_research.json,json,Full extracted root metadata
vehicle,Extracted Root Vehicle Spawning Findings,extracted_root_research/vehicle_spawning_findings.csv,csv,Vehicle spawning/templates/traffic/nav/model matches
cutscenes,Extracted Root Cutscene Findings,extracted_root_research/cutscenes_findings.csv,csv,Cutscene and camera matches
gringos,Extracted Root Gringo Findings,extracted_root_research/gringos_findings.csv,csv,Gringo scripts and XML matches
strings,Extracted Root String Findings,extracted_root_research/strings_findings.csv,csv,Stringtable and text-bearing matches
counts,Extracted Root Category Counts,extracted_root_research/category_counts.csv,csv,Counts by research category
counts,Extracted Root Extension Counts,extracted_root_research/extension_counts.csv,csv,Counts by file extension
gringos,Gringo Vehicle Research Pass,CodeRED_Gringo_Vehicle_Research_Pass_2026-04-29.md,md,Vehicle gringo and WGD research
cutscenes,Act Cutscene Research Pass,CodeRed_Act_Cutscene_Research_Pass07.txt,txt,Act/cutscene research notes
cutscenes,MP Cutscene Territory Tooling,CodeRED_MP_Cutscene_Territory_Tooling_Research_2026-04-29.md,md,MP cutscene and territory tooling notes
content,MP Content RPF Inventory,CodeRED_MP_content_rpf_inventory.json,json,Content RPF inventory
content,MP Content RPF Research Addendum,CodeRED_MP_content_rpf_research_addendum.txt,txt,Content RPF research notes
world,WSI Explorer Pass,CodeRED_WSI_Explorer_Pass_2026-04-29.md,md,WSI explorer notes
world,WSI Semantic Exporter Pass,CodeRED_WSI_Semantic_Exporter_Pass_2026-04-29.md,md,WSI semantic exporter notes
world,WSI Array Walker Pass,CodeRED_WSI_Array_Walker_Pass_2026-04-29.md,md,WSI array walker notes
nav,Navres Terrain Navigation Findings,CodeRed_Navres_Terrain_Navigation_Findings_Pass12.txt,txt,Navres terrain navigation notes
nav,Navres Psocache Findings,CodeRed_Navres_Psocache_Findings_Pass12_Update.txt,txt,Navres psocache notes
world,Refgroup Parent File Findings,CodeRed_Refgroup_Parent_File_Findings_Pass12.txt,txt,Refgroup parent file findings
rpf,Broad RPF Recon,CodeRed_Broad_RPF_Recon_Pass12_Update.txt,txt,Broad RPF reconnaissance
behavior,Behavior File Findings,CodeRed_Behavior_File_Findings_Pass05_Research.txt,txt,Behavior file research notes
install,Install And Test Pass,README_INSTALL_AND_TEST_PASS03.txt,txt,Install and test notes
patches,External Patch Status,external_patch_status.md,md,External patch status
