old_id,old_name,target_id,target_name,status,hits,output,validate_ok,fit_mode,preview_csv
1183,Cart01,1194,Car01,patched,1,patches\arm_population_microtests_car\arm_population_1183_Cart01_to_1194_Car01.wsc,True,zstd-skippable-padding,
1184,Cart02,,,skipped-no-hits,0,,,,
1185,Cart003,,,skipped-no-hits,0,,,,
1186,Cart004,,,skipped-no-hits,0,,,,
1187,Cart005,,,skipped-no-hits,0,,,,
1188,Cart006,1194,Car01,patched,1,patches\arm_population_microtests_car\arm_population_1188_Cart006_to_1194_Car01.wsc,True,zstd-skippable-padding,
1195,Wagon04,1194,Car01,patched,1,patches\arm_population_microtests_car\arm_population_1195_Wagon04_to_1194_Car01.wsc,True,zstd-skippable-padding,
1196,Wagon05,,,skipped-no-hits,0,,,,
1197,WagonPrison01,,,skipped-no-hits,0,,,,
1198,WagonGatling01,,,skipped-no-hits,0,,,,
1199,Wagon02,,,blocked-too-many-hits,7,,,,patches\arm_population_microtests_car\arm_population_1199_Wagon02_preview_hits.csv
1200,Chuckwagon,1194,Car01,patched,2,patches\arm_population_microtests_car\arm_population_1200_Chuckwagon_to_1194_Car01.wsc,True,zstd-skippable-padding,
1201,Chuckwagon02,,,skipped-no-hits,0,,,,
1202,Coach01,,,skipped-no-hits,0,,,,
