# Code RED source/decompiled export
# Source: data/codered/faction_wars_actionable_targets.csv
# SHA1: f9589931db8580f41f04991eaa17756ee6bc5941

actionable_score,score,category,path,source_kind,regions,groups,high_value_terms,size
10116,9941,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_readable_root_index_2026-05-02__file_index.csv.decompiled_source.txt,manifest/text,armadillo|blackwater|chuparosa|escalera|gaptooth|landing|manzanita|mexico|plainview|rathskeller|ridgewood|thieves|tumbleweed,factions:1222|scripting:2227|spawning:2468|war_behavior:277|weapons_pressure:589|world_hosts:3045,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,1923028
9771,9621,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_readable_root_index_2026-05-02__important_files.csv.decompiled_source.txt,manifest/text,armadillo|blackwater|chuparosa|escalera|gaptooth|manzanita|rathskeller|tumbleweed,factions:1170|scripting:2031|spawning:2455|war_behavior:271|weapons_pressure:569|world_hosts:3037,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,1632105
8858,8733,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__blackwater_wsi_gringo_correlation_outputs__wgd_keyword_components.csv.decompiled_source.txt,manifest/text,blackwater,factions:28|scripting:3851|spawning:6|war_behavior:6|weapons_pressure:98|world_hosts:4723,gringobrain|vehicle_generator,175031
8850,8725,world host / gringo,research/blackwater_wsi_gringo_correlation_outputs/wgd_keyword_components.csv,repo/text,,factions:28|scripting:3851|spawning:6|war_behavior:6|weapons_pressure:98|world_hosts:4720,gringobrain|vehicle_generator,173869
8214,8089,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__extracted_root_research__vehicle_spawning_findings.csv.decompiled_source.txt,manifest/text,armadillo|chuparosa|escalera|gaptooth|landing|manzanita|tumbleweed,factions:255|scripting:336|spawning:3605|war_behavior:275|weapons_pressure:697|world_hosts:2838,commongringos|gringobrain|population|refgroup|task_kill|vehicle_generator,989275
8213,8088,world host / gringo,research/extracted_root_research/vehicle_spawning_findings.csv,repo/text,armadillo|chuparosa|escalera|gaptooth|landing|manzanita|tumbleweed,factions:255|scripting:336|spawning:3604|war_behavior:275|weapons_pressure:697|world_hosts:2838,commongringos|gringobrain|population|refgroup|task_kill|vehicle_generator,988445
5507,5432,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__extracted_root_research__gringos_findings.csv.decompiled_source.txt,manifest/text,armadillo|chuparosa|gaptooth|landing,factions:60|scripting:1471|spawning:269|war_behavior:68|weapons_pressure:343|world_hosts:3169,commongringos|gringobrain|task_kill|vehicle_generator,273598
5506,5431,world host / gringo,research/extracted_root_research/gringos_findings.csv,repo/text,armadillo|chuparosa|gaptooth|landing,factions:60|scripting:1471|spawning:269|war_behavior:68|weapons_pressure:343|world_hosts:3168,commongringos|gringobrain|task_kill|vehicle_generator,273157
4097,3972,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_readable_root_index_2026-05-02__categories__world_nav_placement.csv.decompiled_source.txt,manifest/text,armadillo|chuparosa|escalera|manzanita,factions:586|scripting:241|spawning:1923|war_behavior:160|weapons_pressure:167|world_hosts:827,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,450568
4096,3971,world host / gringo,research/IMPORTANT_readable_root_index_2026-05-02/categories/world_nav_placement.csv,repo/text,armadillo|chuparosa|escalera|manzanita,factions:586|scripting:241|spawning:1922|war_behavior:160|weapons_pressure:167|world_hosts:827,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,449315
3955,3830,world host / gringo,research/IMPORTANT_readable_root_index_2026-05-02/categories/cutscenes_cameras.csv,repo/text,armadillo,factions:633|scripting:564|spawning:718|war_behavior:127|weapons_pressure:302|world_hosts:1433,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,270005
3955,3830,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_readable_root_index_2026-05-02__categories__cutscenes_cameras.csv.decompiled_source.txt,manifest/text,armadillo,factions:633|scripting:564|spawning:718|war_behavior:127|weapons_pressure:302|world_hosts:1433,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,270703
3884,3784,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_readable_root_index_2026-05-02__categories__gringos_scripts.csv.decompiled_source.txt,manifest/text,armadillo,factions:141|scripting:1527|spawning:97|war_behavior:48|weapons_pressure:134|world_hosts:1792,commongringos|gringobrain|population|task_follow|vehicle_generator,125774
3882,3782,world host / gringo,research/IMPORTANT_readable_root_index_2026-05-02/categories/gringos_scripts.csv,repo/text,armadillo,factions:141|scripting:1526|spawning:97|war_behavior:48|weapons_pressure:134|world_hosts:1791,commongringos|gringobrain|population|task_follow|vehicle_generator,125308
3683,3558,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_readable_root_index_2026-05-02__categories__vehicle_spawning.csv.decompiled_source.txt,manifest/text,armadillo|tumbleweed,factions:642|scripting:328|spawning:799|war_behavior:173|weapons_pressure:209|world_hosts:1349,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,214558
3682,3557,world host / gringo,research/IMPORTANT_readable_root_index_2026-05-02/categories/vehicle_spawning.csv,repo/text,armadillo|tumbleweed,factions:642|scripting:328|spawning:798|war_behavior:173|weapons_pressure:209|world_hosts:1349,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,213965
3248,3148,script/native candidate,scratch/script_workshop_pipeline/recompile_queue/research/menu resources/natives.h,repo/text,armadillo|blackwater|tumbleweed,factions:118|scripting:276|spawning:1879|war_behavior:127|weapons_pressure:314|world_hosts:339,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,430916
3248,3148,script/native candidate,scratch/script_workshop_pipeline/import_queue/research/menu resources/natives.h,repo/text,armadillo|blackwater|tumbleweed,factions:118|scripting:276|spawning:1879|war_behavior:127|weapons_pressure:314|world_hosts:339,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,430916
3248,3148,script/native candidate,scratch/script_workshop_pipeline/edit_workspace/research/menu resources/natives.h,manifest/text,armadillo|blackwater|tumbleweed,factions:118|scripting:276|spawning:1879|war_behavior:127|weapons_pressure:314|world_hosts:339,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,430916
3248,3148,script/native candidate,research/menu resources/natives.h,repo/text,armadillo|blackwater|tumbleweed,factions:118|scripting:276|spawning:1879|war_behavior:127|weapons_pressure:314|world_hosts:339,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,430916
2916,2741,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__CodeRED_Cutscene_Placement_Pass15_Build__reports__tune_refgroup_vehicle_cutscene_candidates.csv.decompiled_source.txt,manifest/text,armadillo|blackwater|landing|tumbleweed,factions:78|scripting:11|spawning:739|war_behavior:64|weapons_pressure:276|world_hosts:1537,population|refgroup,299634
2914,2739,tune/template pressure,research/CodeRED_Cutscene_Placement_Pass15_Build/reports/tune_refgroup_vehicle_cutscene_candidates.csv,repo/text,armadillo|blackwater|landing|tumbleweed,factions:78|scripting:11|spawning:737|war_behavior:64|weapons_pressure:276|world_hosts:1537,population|refgroup,299046
2646,2496,tune/template pressure,scratch/script_workshop_pipeline/decompiled_export/related_apps__code_red_sccl_attempt_bundle_v1__code_red_script_compile_lab_v1__include__RDR__consts32.h.decompiled.txt,repo/text,armadillo|blackwater|macfarlane,factions:591|scripting:4|spawning:1638|war_behavior:1|weapons_pressure:121|world_hosts:118,refgroup,74712
2645,2495,tune/template pressure,scratch/script_workshop_pipeline/recompile_queue/related_apps/code_red_sccl_attempt_bundle_v1/code_red_script_compile_lab_v1/include/RDR/consts32.h,repo/text,armadillo|blackwater|macfarlane,factions:591|scripting:3|spawning:1638|war_behavior:1|weapons_pressure:121|world_hosts:118,refgroup,74480
2645,2495,tune/template pressure,scratch/script_workshop_pipeline/read_full/related_apps__code_red_sccl_attempt_bundle_v1__code_red_script_compile_lab_v1__include__RDR__consts32.h.fullread.txt,repo/text,armadillo|blackwater|macfarlane,factions:591|scripting:3|spawning:1638|war_behavior:1|weapons_pressure:121|world_hosts:118,refgroup,74480
2645,2495,tune/template pressure,scratch/script_workshop_pipeline/import_queue/related_apps/code_red_sccl_attempt_bundle_v1/code_red_script_compile_lab_v1/include/RDR/consts32.h,repo/text,armadillo|blackwater|macfarlane,factions:591|scripting:3|spawning:1638|war_behavior:1|weapons_pressure:121|world_hosts:118,refgroup,74480
