# Code RED source/decompiled export
# Source: data/codered/faction_wars_targets.csv
# SHA1: b37f585be34a741f127b9af9c307ae0cd6b7a692

score,category,path,source_kind,regions,groups,high_value_terms,size
34992,research/reference,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/related_apps__Code_RED_ScriptHookRDR_AI_Menu__data__codered__actor_enum_map.csv.decompiled_source.txt,manifest/text,armadillo|macfarlane,factions:11907|scripting:1|spawning:20509|weapons_pressure:702|world_hosts:1863,,1077894
34990,research/reference,related_apps/Code_RED_ScriptHookRDR_AI_Menu/data/codered/actor_enum_map.csv,repo/text,armadillo|macfarlane,factions:11907|spawning:20508|weapons_pressure:702|world_hosts:1863,,1074090
34990,research/reference,related_apps/CodeRED_Script_Workshop/workspace/read/related_apps__Code_RED_ScriptHookRDR_AI_Menu__data__codered__actor_enum_map.csv.fullread.txt,manifest/text,armadillo|macfarlane,factions:11907|spawning:20508|weapons_pressure:702|world_hosts:1863,,1077718
34990,research/reference,related_apps/CodeRED_Script_Workshop/workspace/edit/related_apps/Code_RED_ScriptHookRDR_AI_Menu/data/codered/actor_enum_map.csv,manifest/text,armadillo|macfarlane,factions:11907|spawning:20508|weapons_pressure:702|world_hosts:1863,,1074090
22278,research/reference,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/data__codered__faction_wars_targets.json.decompiled_source.txt,manifest/text,armadillo|blackwater|chuparosa|escalera|fort mercer|gaptooth|henningan|landing|macfarlane|manzanita|mexico|new austin|nuevo paraiso|plainview|rathskeller|ridgewood|rio bravo|tall trees|thieves|tumbleweed,factions:2187|scripting:5594|spawning:6592|war_behavior:479|weapons_pressure:1788|world_hosts:5426,ai_is_hostile|commongringos|create_actor|get_actor_faction|gringobrain|population|refgroup|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander|vehicle_generator,1526782
22277,research/reference,related_apps/CodeRED_Script_Workshop/workspace/read/data__codered__faction_wars_targets.json.fullread.txt,manifest/text,armadillo|blackwater|chuparosa|escalera|fort mercer|gaptooth|henningan|landing|macfarlane|manzanita|mexico|new austin|nuevo paraiso|plainview|rathskeller|ridgewood|rio bravo|tall trees|thieves|tumbleweed,factions:2186|scripting:5594|spawning:6592|war_behavior:479|weapons_pressure:1788|world_hosts:5426,ai_is_hostile|commongringos|create_actor|get_actor_faction|gringobrain|population|refgroup|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander|vehicle_generator,1526643
22277,research/reference,related_apps/CodeRED_Script_Workshop/workspace/edit/data/codered/faction_wars_targets.json,manifest/text,armadillo|blackwater|chuparosa|escalera|fort mercer|gaptooth|henningan|landing|macfarlane|manzanita|mexico|new austin|nuevo paraiso|plainview|rathskeller|ridgewood|rio bravo|tall trees|thieves|tumbleweed,factions:2186|scripting:5594|spawning:6592|war_behavior:479|weapons_pressure:1788|world_hosts:5426,ai_is_hostile|commongringos|create_actor|get_actor_faction|gringobrain|population|refgroup|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander|vehicle_generator,1497071
22277,research/reference,data/codered/faction_wars_targets.json,repo/text,armadillo|blackwater|chuparosa|escalera|fort mercer|gaptooth|henningan|landing|macfarlane|manzanita|mexico|new austin|nuevo paraiso|plainview|rathskeller|ridgewood|rio bravo|tall trees|thieves|tumbleweed,factions:2186|scripting:5594|spawning:6592|war_behavior:479|weapons_pressure:1788|world_hosts:5426,ai_is_hostile|commongringos|create_actor|get_actor_faction|gringobrain|population|refgroup|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander|vehicle_generator,1497071
12671,research/reference,research/extracted_root_research/extracted_root_findings.csv,repo/text,armadillo|chuparosa|escalera|gaptooth|landing|manzanita|thieves|tumbleweed,factions:548|scripting:1641|spawning:3721|war_behavior:335|weapons_pressure:976|world_hosts:5362,commongringos|gringobrain|population|refgroup|task_kill|vehicle_generator,1854917
12671,research/reference,related_apps/CodeRED_Script_Workshop/workspace/read/research__extracted_root_research__extracted_root_findings.csv.fullread.txt,manifest/text,armadillo|chuparosa|escalera|gaptooth|landing|manzanita|thieves|tumbleweed,factions:548|scripting:1641|spawning:3721|war_behavior:335|weapons_pressure:976|world_hosts:5362,commongringos|gringobrain|population|refgroup|task_kill|vehicle_generator,1856368
12671,research/reference,related_apps/CodeRED_Script_Workshop/workspace/edit/research/extracted_root_research/extracted_root_findings.csv,manifest/text,armadillo|chuparosa|escalera|gaptooth|landing|manzanita|thieves|tumbleweed,factions:548|scripting:1641|spawning:3721|war_behavior:335|weapons_pressure:976|world_hosts:5362,commongringos|gringobrain|population|refgroup|task_kill|vehicle_generator,1854917
12671,research/reference,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__extracted_root_research__extracted_root_findings.csv.decompiled_source.txt,manifest/text,armadillo|chuparosa|escalera|gaptooth|landing|manzanita|thieves|tumbleweed,factions:548|scripting:1641|spawning:3721|war_behavior:335|weapons_pressure:976|world_hosts:5362,commongringos|gringobrain|population|refgroup|task_kill|vehicle_generator,1856529
