# Code RED source/decompiled export
# Source: data/codered/rosters/npc_roster_all_spawnable.txt
# SHA1: 807a3e7cfa8c4d8b8163e0792b95b1ddd640ab1e

# CodeRED full inline actor roster
# Generated by tools/codered_actor_enum_tool.py
# Format: ACTOR_NAME|actor_enum
# The inline value lets the ASI resolve actors without relying on CSV alias parsing.

ACTOR_player_jack|1  # player_like 0x00000001
ACTOR_player_cs|2  # player_like 0x00000002
ACTOR_asian_female_prostitute01|3  # actor 0x00000003
ACTOR_asian_female_townfolk01|4  # actor 0x00000004
ACTOR_asian_female_townfolk02|5  # actor 0x00000005
ACTOR_asian_male_businessman01|6  # actor 0x00000006
ACTOR_asian_male_genericshopkeeper01|7  # actor 0x00000007
ACTOR_asian_male_genericshopkeeper03|8  # actor 0x00000008
ACTOR_asian_male_laborer01|9  # actor 0x00000009
ACTOR_asian_male_laborer02|10  # actor 0x0000000A
ACTOR_asian_male_laborer03|11  # actor 0x0000000B
ACTOR_asian_male_laborer04|12  # actor 0x0000000C
ACTOR_asian_male_laborer05|13  # actor 0x0000000D
ACTOR_asian_male_laborer06|14  # actor 0x0000000E
ACTOR_asian_male_laborer07|15  # actor 0x0000000F
ACTOR_asian_male_traveler01|16  # actor 0x00000010
ACTOR_asian_old_female_townfolk01|17  # actor 0x00000011
ACTOR_asian_old_male_businessman01|18  # actor 0x00000012
ACTOR_asian_old_male_businessman02|19  # actor 0x00000013
ACTOR_black_female_farmer01|20  # actor 0x00000014
ACTOR_black_female_prostitute01|21  # actor 0x00000015
ACTOR_black_female_townfolk01|22  # actor 0x00000016
ACTOR_black_female_townfolk02|23  # actor 0x00000017
ACTOR_black_female_traveler01|24  # actor 0x00000018
ACTOR_black_male_blacksmith01|25  # actor 0x00000019
ACTOR_black_male_blacksmith02|26  # actor 0x0000001A
ACTOR_black_male_blacksmith03|27  # actor 0x0000001B
ACTOR_black_male_factoryworker01|28  # actor 0x0000001C
ACTOR_black_male_factoryworker02|29  # actor 0x0000001D
ACTOR_black_male_factoryworker03|30  # actor 0x0000001E
ACTOR_black_male_laborer05|31  # actor 0x0000001F
ACTOR_black_male_laborer06|32  # actor 0x00000020
ACTOR_black_male_laborer07|33  # actor 0x00000021
ACTOR_black_male_laborer08|34  # actor 0x00000022
ACTOR_black_male_laborer09|35  # actor 0x00000023
ACTOR_black_male_laborer12|36  # actor 0x00000024
ACTOR_black_male_laborer19|37  # actor 0x00000025
ACTOR_black_male_laborer20|38  # actor 0x00000026
ACTOR_black_male_laborer21|39  # actor 0x00000027
ACTOR_black_male_laborer22|40  # actor 0x00000028
ACTOR_black_male_laborer23|41  # actor 0x00000029
ACTOR_black_male_laborer24|42  # actor 0x0000002A
ACTOR_black_male_laborer25|43  # actor 0x0000002B
ACTOR_black_male_musician01|44  # actor 0x0000002C
ACTOR_black_male_musician02|45  # actor 0x0000002D
ACTOR_black_male_townfolk01|46  # actor 0x0000002E
ACTOR_black_male_townfolk02|47  # actor 0x0000002F
ACTOR_black_male_traveler01|48  # actor 0x00000030
ACTOR_black_old_female_townfolk01|49  # actor 0x00000031
ACTOR_black_old_male_townfolk01|50  # actor 0x00000032
ACTOR_caucasian_female_farmer01|51  # actor 0x00000033
ACTOR_caucasian_female_farmer02|52  # actor 0x00000034
ACTOR_caucasian_female_farmer03|53  # actor 0x00000035
ACTOR_caucasian_female_farmer04|54  # actor 0x00000036
ACTOR_caucasian_female_farmer09|55  # actor 0x00000037
ACTOR_caucasian_female_farmer10|56  # actor 0x00000038
ACTOR_caucasian_female_genericshopkeeper01|57  # actor 0x00000039
ACTOR_caucasian_female_genericshopkeeper02|58  # actor 0x0000003A
ACTOR_caucasian_female_madam01|59  # actor 0x0000003B
ACTOR_caucasian_female_madam02|60  # actor 0x0000003C
ACTOR_caucasian_female_nun01|61  # actor 0x0000003D
ACTOR_caucasian_female_nun02|62  # actor 0x0000003E
ACTOR_caucasian_female_nun03|63  # actor 0x0000003F
ACTOR_caucasian_female_nurse01|64  # actor 0x00000040
ACTOR_caucasian_female_prostitute01|65  # actor 0x00000041
ACTOR_caucasian_female_prostitute02|66  # actor 0x00000042
ACTOR_caucasian_female_prostitute03|67  # actor 0x00000043
ACTOR_caucasian_female_prostitute04|68  # actor 0x00000044
ACTOR_caucasian_female_prostitute05|69  # actor 0x00000045
ACTOR_caucasian_female_prostitute09|70  # actor 0x00000046
ACTOR_caucasian_female_prostitute10|71  # actor 0x00000047
ACTOR_caucasian_female_prostitute11|72  # actor 0x00000048
ACTOR_caucasian_female_ranchwife01|73  # actor 0x00000049
ACTOR_caucasian_female_ranchwife02|74  # actor 0x0000004A
ACTOR_caucasian_female_socialite01|75  # actor 0x0000004B
ACTOR_caucasian_female_townfolk02|76  # actor 0x0000004C
ACTOR_caucasian_female_traveler01|77  # actor 0x0000004D
ACTOR_caucasian_female_traveler02|78  # actor 0x0000004E
ACTOR_caucasian_female_traveler05|79  # actor 0x0000004F
ACTOR_caucasian_male_bankteller01|80  # actor 0x00000050
ACTOR_caucasian_male_bartender01|81  # actor 0x00000051
ACTOR_caucasian_male_bartender02|82  # actor 0x00000052
ACTOR_caucasian_male_bartender03|83  # actor 0x00000053
ACTOR_caucasian_male_blacksmith01|84  # actor 0x00000054
ACTOR_caucasian_male_blacksmith02|85  # actor 0x00000055
ACTOR_caucasian_male_blacksmith03|86  # actor 0x00000056
ACTOR_caucasian_male_businessman01|87  # actor 0x00000057
ACTOR_caucasian_male_businessman01_tux|88  # actor 0x00000058
ACTOR_caucasian_male_businessman02|89  # actor 0x00000059
ACTOR_caucasian_male_businessman03|90  # actor 0x0000005A
ACTOR_caucasian_male_businessman04|91  # actor 0x0000005B
ACTOR_caucasian_male_businessman04_tux|92  # actor 0x0000005C
ACTOR_caucasian_male_businessman05|93  # actor 0x0000005D
ACTOR_caucasian_male_businessman06|94  # actor 0x0000005E
ACTOR_caucasian_male_businessman07|95  # actor 0x0000005F
ACTOR_caucasian_male_docksworker01|96  # actor 0x00000060
ACTOR_caucasian_male_docksworker02|97  # actor 0x00000061
ACTOR_caucasian_male_docksworker03|98  # actor 0x00000062
ACTOR_caucasian_male_docksworker06|99  # actor 0x00000063
ACTOR_caucasian_male_docksworker15|100  # actor 0x00000064
ACTOR_caucasian_male_docksworker16|101  # actor 0x00000065
ACTOR_caucasian_male_docksworker17|102  # actor 0x00000066
ACTOR_caucasian_male_doctor01|103  # actor 0x00000067
ACTOR_caucasian_male_doctor02|104  # actor 0x00000068
ACTOR_caucasian_male_doctor03|105  # actor 0x00000069
ACTOR_caucasian_male_doctor04|106  # actor 0x0000006A
ACTOR_caucasian_male_doctor05|107  # actor 0x0000006B
ACTOR_caucasian_male_factoryworker01|108  # actor 0x0000006C
ACTOR_caucasian_male_factoryworker02|109  # actor 0x0000006D
ACTOR_caucasian_male_factoryworker03|110  # actor 0x0000006E
ACTOR_caucasian_male_farmer01|111  # actor 0x0000006F
ACTOR_caucasian_male_farmer02|112  # actor 0x00000070
ACTOR_caucasian_male_farmer04|113  # actor 0x00000071
ACTOR_caucasian_male_genericclerk01|114  # actor 0x00000072
ACTOR_caucasian_male_genericclerk02|115  # actor 0x00000073
ACTOR_caucasian_male_genericclerk03|116  # actor 0x00000074
ACTOR_caucasian_male_genericclerk04|117  # actor 0x00000075
ACTOR_caucasian_male_genericshopkeeper01|118  # actor 0x00000076
ACTOR_caucasian_male_genericshopkeeper02|119  # actor 0x00000077
ACTOR_caucasian_male_genericshopkeeper03|120  # actor 0x00000078
ACTOR_caucasian_male_genericshopkeeper04|121  # actor 0x00000079
ACTOR_caucasian_male_genericshopkeeper05|122  # actor 0x0000007A
ACTOR_caucasian_male_genericshopkeeper06|123  # actor 0x0000007B
ACTOR_caucasian_male_genericshopkeeper07|124  # actor 0x0000007C
ACTOR_caucasian_male_genericshopkeeper07_tux|125  # actor 0x0000007D
ACTOR_caucasian_male_genericshopkeeper08|126  # actor 0x0000007E
ACTOR_caucasian_male_genericshopkeeper09|127  # actor 0x0000007F
ACTOR_caucasian_male_genericshopkeeper10|128  # actor 0x00000080
ACTOR_caucasian_male_genericshopkeeper11|129  # actor 0x00000081
ACTOR_caucasian_male_genericshopkeeper12|130  # actor 0x00000082
ACTOR_caucasian_male_genericshopkeeper13|131  # actor 0x00000083
ACTOR_caucasian_male_genericshopkeeper14|132  # actor 0x00000084
ACTOR_caucasian_male_gunslinger04|133  # actor 0x00000085
ACTOR_caucasian_male_gunslinger04_tux|134  # actor 0x00000086
ACTOR_caucasian_male_gunslinger05|135  # actor 0x00000087
ACTOR_caucasian_male_gunslinger06|136  # actor 0x00000088
ACTOR_caucasian_male_gunslinger07|137  # actor 0x00000089
ACTOR_caucasian_male_gunslinger08|138  # actor 0x0000008A
ACTOR_caucasian_male_gunslinger09|139  # actor 0x0000008B
ACTOR_caucasian_male_gunslinger10|140  # actor 0x0000008C
ACTOR_caucasian_male_gunslinger24|141  # actor 0x0000008D
ACTOR_caucasian_male_gunslinger30|142  # actor 0x0000008E
ACTOR_caucasian_male_gunslinger31|143  # actor 0x0000008F
ACTOR_caucasian_male_gunslinger32|144  # actor 0x00000090
