# Code RED source/decompiled export
# Source: research/CodeRED_Cutscene_Placement_Pass15_Build/reports/blackwater_wsi_hash_hits_all.csv
# SHA1: 4cdd9d9f9f02cfe20f1b885741128ce578258278

decoded_offset,hash,name,record_start_224_guess,record_relative_offset_224_guess,vec3_candidate_minus_48,vec3_candidate_minus_32,vec3_candidate_minus_16,scalar_minus_4,word_plus_4,word_plus_8
251664,0x121B02BA,i_gen_benchWork01x,251552,112,"[783.846375, 89.182037, 1443.341431]","[780.93689, 89.057541, 1443.056274]","[783.88916, 91.38768, 1444.309937]",0.626831,1,0
251888,0x7C00B580,i_gen_cordWood01x,251776,112,"[776.345764, 88.916122, 1442.914062]","[774.661072, 88.85183, 1441.962524]","[777.96344, 90.128197, 1443.826538]",0.638184,1,0
252112,0x7C00B580,i_gen_cordWood01x,252000,112,"[778.139404, 89.22197, 1455.254272]","[776.564026, 89.173141, 1454.466064]","[779.773743, 90.419235, 1456.074707]",0.623047,1,0
262976,0x7C00B580,i_gen_cordWood01x,262976,0,"[601.652527, 87.746552, 1216.0]","[599.979797, 87.697723, 1214.529907]","[603.260071, 88.943817, 1217.48645]",0.623047,1,0
263200,0x7C00B580,i_gen_cordWood01x,263200,0,"[600.315002, 87.427803, 1232.431274]","[598.799805, 87.378975, 1230.851074]","[601.850342, 88.625069, 1234.075439]",0.623047,1,0
361504,0x7C00B580,i_gen_cordWood01x,361312,192,"[696.413696, 99.379509, 1501.227051]","[695.657532, 99.330681, 1499.604126]","[697.19281, 100.576775, 1502.786743]",0.623047,1,0
361728,0x9EF22E5E,i_gen_debris01x,361536,192,"[697.918091, 99.379509, 1495.119019]","[696.413025, 99.377556, 1494.740845]","[698.148621, 100.566032, 1497.064087]",0.594238,1,0
361952,0x91F99101,i_gen_debris02x,361760,192,"[707.526367, 98.372643, 1509.925049]","[706.366394, 98.367416, 1509.409302]","[708.596375, 99.482498, 1513.219849]",0.557541,1,0
362176,0x76D65BE7,i_gen_debris03x,361984,192,"[710.764526, 97.288597, 1501.976562]","[710.548706, 97.288109, 1501.818604]","[712.308472, 98.104027, 1503.388428]",0.407959,1,0
442752,0x2C06CAB9,i_gen_debris07x,442624,128,"[621.193054, 80.625916, 1343.943604]","[621.056396, 80.624939, 1343.070557]","[622.614868, 81.299744, 1344.186035]",0.337402,1,0
459808,0x7C00B580,i_gen_cordWood01x,459648,160,"[804.292786, 82.265015, 1395.848389]","[802.693054, 82.166084, 1394.994019]","[805.985901, 83.50985, 1396.74231]",0.671883,1,1
460032,0x7C00B580,i_gen_cordWood01x,459872,160,"[794.089294, 83.625214, 1430.107666]","[792.376404, 83.576385, 1429.015869]","[795.735535, 84.822479, 1431.191406]",0.623047,1,1
566848,0x48DC0B64,i_gen_tableBlackjack01x,566720,128,"[719.206482, 78.473602, 1312.102051]","[718.280212, 78.473602, 1311.623047]","[720.128845, 79.272919, 1312.584961]",0.399658,1,0
