# Code RED source/decompiled export
# Source: research/IMPORTANT_psocache_rpf_analysis_2026-05-02/psocache_preload_list.csv
# SHA1: f009674ecbb430017cbc9c3679db5fcd06cbb2e6

preload_hash,normalized_u32,has_matching_pso_xml
1000063563,1000063563,yes
1000911926,1000911926,yes
1003576662,1003576662,yes
1003916964,1003916964,yes
1005161761,1005161761,yes
1006316985,1006316985,yes
100775878,100775878,yes
1009227689,1009227689,yes
1011521607,1011521607,yes
1011856357,1011856357,yes
1013115884,1013115884,yes
1013379227,1013379227,yes
101351497,101351497,yes
1013782858,1013782858,yes
1014303620,1014303620,yes
1014733485,1014733485,yes
1015136865,1015136865,yes
1016463749,1016463749,yes
1018678778,1018678778,yes
102424464,102424464,yes
1025465739,1025465739,yes
1025674529,1025674529,yes
1029708860,1029708860,yes
1031434981,1031434981,yes
1033862100,1033862100,yes
1039344168,1039344168,yes
1041624814,1041624814,yes
1043406773,1043406773,yes
1043900564,1043900564,yes
1046545798,1046545798,yes
1047071477,1047071477,yes
1047265435,1047265435,yes
104819820,104819820,yes
1049202921,1049202921,yes
1053194872,1053194872,yes
1053370050,1053370050,yes
1053603884,1053603884,yes
1057874095,1057874095,yes
1060207170,1060207170,yes
1062712890,1062712890,yes
1065273432,1065273432,yes
1067591941,1067591941,yes
1070291253,1070291253,yes
1074662687,1074662687,yes
1075907838,1075907838,yes
1076312946,1076312946,yes
1077322259,1077322259,yes
1077681410,1077681410,yes
1079708001,1079708001,yes
108279047,108279047,yes
1085496672,1085496672,yes
1086356329,1086356329,yes
1088258870,1088258870,yes
1088650876,1088650876,yes
1089613417,1089613417,yes
1089809859,1089809859,yes
1091634398,1091634398,yes
1094919415,1094919415,yes
1099465792,1099465792,yes
1100987250,1100987250,yes
1101032239,1101032239,yes
1103564338,1103564338,yes
1103887479,1103887479,yes
1105309899,1105309899,yes
1107740150,1107740150,yes
1109347704,1109347704,yes
1115131062,1115131062,yes
1118868353,1118868353,yes
1120111727,1120111727,yes
1123379753,1123379753,yes
1125944136,1125944136,yes
1131013985,1131013985,yes
1133689477,1133689477,yes
1134155881,1134155881,yes
113428849,113428849,yes
1136899214,1136899214,yes
1136969945,1136969945,yes
1137283311,1137283311,yes
1137899088,1137899088,yes
1138257568,1138257568,yes
1138554012,1138554012,yes
1139694302,1139694302,yes
1140617812,1140617812,yes
1141790445,1141790445,yes
1144930250,1144930250,yes
1147518853,1147518853,yes
1149286266,1149286266,yes
1149647199,1149647199,yes
1153339164,1153339164,yes
1153964277,1153964277,yes
115611678,115611678,yes
1156775062,1156775062,yes
1158930905,1158930905,yes
115923492,115923492,yes
1159236099,1159236099,yes
1159395534,1159395534,yes
1161862088,1161862088,yes
1164981735,1164981735,yes
1165074997,1165074997,yes
11680385,11680385,yes
1170692367,1170692367,yes
1172771467,1172771467,yes
1173119847,1173119847,yes
1173606820,1173606820,yes
1174298316,1174298316,yes
1176649815,1176649815,yes
1176755224,1176755224,yes
1178432474,1178432474,yes
1181605339,1181605339,yes
1187146687,1187146687,yes
1187355049,1187355049,yes
1187514264,1187514264,yes
1191036627,1191036627,yes
1194111780,1194111780,yes
1194133923,1194133923,yes
1195358243,1195358243,yes
1195480045,1195480045,yes
1196105197,1196105197,yes
1196934937,1196934937,yes
1199377362,1199377362,yes
1205286917,1205286917,yes
1206341579,1206341579,yes
1209179518,1209179518,yes
121161349,121161349,yes
1212722425,1212722425,yes
1215000387,1215000387,yes
1217333115,1217333115,yes
1219163210,1219163210,yes
1219927921,1219927921,yes
122053655,122053655,yes
1220691437,1220691437,yes
1220769547,1220769547,yes
1221182129,1221182129,yes
1221228681,1221228681,yes
1221543883,1221543883,yes
1221667054,1221667054,yes
1225163434,1225163434,yes
1226522532,1226522532,yes
1227085139,1227085139,yes
1228211619,1228211619,yes
122952723,122952723,yes
1231642687,1231642687,yes
1235650314,1235650314,yes
1236260125,1236260125,yes
1237812261,1237812261,yes
1238906886,1238906886,yes
1243486620,1243486620,yes
1243658097,1243658097,yes
1245603292,1245603292,yes
124652728,124652728,yes
1247540778,1247540778,yes
1248891505,1248891505,yes
1252977351,1252977351,yes
1253125291,1253125291,yes
1257818118,1257818118,yes
1257928113,1257928113,yes
126020841,126020841,yes
126104807,126104807,yes
1265421570,1265421570,yes
1270311514,1270311514,yes
1270609313,1270609313,yes
1271876820,1271876820,yes
127325728,127325728,yes
1275227815,1275227815,yes
1277335547,1277335547,yes
1279332665,1279332665,yes
1281712943,1281712943,yes
1281816129,1281816129,yes
1281854104,1281854104,yes
128429865,128429865,yes
1284312191,1284312191,yes
1284752347,1284752347,yes
1285124486,1285124486,yes
1285682615,1285682615,yes
1289543246,1289543246,yes
1289816504,1289816504,yes
1292047937,1292047937,yes
1293425983,1293425983,yes
1297262832,1297262832,yes
129828826,129828826,yes
1301446301,1301446301,yes
1303511648,1303511648,yes
1304201606,1304201606,yes
1306356257,1306356257,yes
1307364553,1307364553,yes
1310938074,1310938074,yes
1313753616,1313753616,yes
1314005540,1314005540,yes
131403175,131403175,yes
1316586638,1316586638,yes
1320131015,1320131015,yes
132116778,132116778,yes
1321736969,1321736969,yes
1321780340,1321780340,yes
1327521666,1327521666,yes
1330748309,1330748309,yes
1332410169,1332410169,yes
1338046099,1338046099,yes
1344262207,1344262207,yes
1346624937,1346624937,yes
1349077119,1349077119,yes
135010432,135010432,yes
1351969343,1351969343,yes
1353029526,1353029526,yes
135322222,135322222,yes
1356939929,1356939929,yes
1357829745,1357829745,yes
1360800746,1360800746,yes
1362180148,1362180148,yes
1364242821,1364242821,yes
1370427121,1370427121,yes
1370856273,1370856273,yes
1372575000,1372575000,yes
1372815374,1372815374,yes
1373992455,1373992455,yes
1374073040,1374073040,yes
1379814222,1379814222,yes
1380851215,1380851215,yes
1381683797,1381683797,yes
1383264625,1383264625,yes
1393923244,1393923244,yes
1396373529,1396373529,yes
1399793849,1399793849,yes
1404720988,1404720988,yes
1405300142,1405300142,yes
1405322715,1405322715,yes
1407539597,1407539597,yes
141246704,141246704,yes
1413466850,1413466850,yes
1413736445,1413736445,yes
1414568595,1414568595,yes
1415818708,1415818708,yes
1416128637,1416128637,yes
1417118404,1417118404,yes
141847334,141847334,yes
1418972297,1418972297,yes
1419607080,1419607080,yes
1421634096,1421634096,yes
1423449109,1423449109,yes
142633915,142633915,yes
1427036381,1427036381,yes
1427797386,1427797386,yes
1429194967,1429194967,yes
1429950414,1429950414,yes
1430042426,1430042426,yes
1430464218,1430464218,yes
1435245805,1435245805,yes
1436537807,1436537807,yes
1438885099,1438885099,yes
1443541617,1443541617,yes
1443711796,1443711796,yes
1444348849,1444348849,yes
1448486175,1448486175,yes
1449440645,1449440645,yes
1450090696,1450090696,yes
1450176211,1450176211,yes
