# Code RED source/decompiled export
# Source: research/IMPORTANT_readable_root_index_2026-05-02/categories/model_resource_refs.csv
# SHA1: d1b465182a92205bf49327499b283179f06c6c3d

root_id,root_path,relative_path,absolute_path,extension,size,sha1,duplicate_of,readable_mode,categories,important_score,matched_terms,snippet_count,root_tag,picked_tokens
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,game directory.txt,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\game directory.txt,.txt,418820,d09f1283a6206fdf98d8771b0c59a01a49696b3f,,text,cutscenes_cameras;gringos_scripts;model_resource_refs;multiplayer_scripts;npc_ai_factions;strings_ui_text;vehicle_spawning;world_nav_placement,443,actor_names;ally;ambient;bandito;bounty;brain;cam;camera;car01x;car_gringo;cinvehicle;commonscripts;companion;criminal;ctf;cutbin;cutscene;deathmatch;faction;factionrelations;fragment;freemode;gen_vehicle;global.strtbl;gringo;gringobrains;gringores;guard;hostile;hud;intro_01;intro_sequence;locset;menu;mp_idle;multiplayer;multiplayer_system_thread;multiplayer_update_thread;multistagegringo;nav;net;placement;population;posse;region;shot;spawn;stagecoach;stringtable;strtbl;subtitle;template_vehicle;terrain;texture;traffic;traincar;vehicle;vehicle_generator;wagon;wilderness;world,60,,armoredcar|beat_crime_wagonthief|blowthehatchgringo|boxcar01x|boxcar01x_hilod|boxcar02x|boxcar02x_hilod|boxcar04x|boxcar04x_hilod|boxcar05|camera|campfire01_bad_gringo|campfire01_gringo|campfire01_law_gringo|campfire02_gringo|campfire03_bad_gringo|campfire03_gringo|campfire03_law_gringo|campfire04_gringo|campfire05_gringo|campfire06_gringo|campfire07_gringo|campfireindian_bad_gringo|campfireindian_gringo|campfirerebel_gringo|campfiretreasurehunter_gringo|car01x|car01x_hilod|car_sick|car_wash|carcrank_gringo|carry_box|carry_bucket|carry_fish|carry_lumber|cart006x|carve_corpse|cattlecar|cheer_on_wagon|chuckwagon000x|cintraincaboose01|cintraindefault|cintrainright|cintrainroof01|cintrainside01|cintrainside02|cintrainside04|cintrainside05|cinvehiclefronttobackjb|cinvehiclepassengers|cinvehicleskyleft|cinvehicleskyright|cinvehiclestaticground|cinvehiclestaticgroundfast|cinvehicletracking|cinvehiclewheel|cinvehiclewindowleft|cinvehiclewindowright|climb_into_truck|climbontowagon|clockgringo|close_wagon|commongringos|companion|companion_brain|companion_idle|cow_stand_train|crank_car|cutscene|cutscene_intro01|cutscene_marshal03|cutscene_outlaw03|cutscenes|cutscenesfinal|defaultcar|detach_train|eating_carcass|esc_villawall01x_tent01x|esc_villawall04x_p_cus_door01x|esc_villawall04x_p_cus_door02x
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,fragments\fragmentslist.bin,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\fragments\fragmentslist.bin,.bin,133635,5804ef895289ea6066a6dacd599e7bfae5bcc623,,text,cutscenes_cameras;model_resource_refs;multiplayer_scripts;npc_ai_factions;vehicle_spawning;world_nav_placement,156,bandito;cam;camera;car01x;cattlerustler;ctf;cutscene;fragment;guard;multiplayer;net;placement;posse;shot;stagecoach;truck01x;wagon,60,,anc_carlos|anc_carlos_cs|anc_outlaw_01|armoredcar01x|boxcar01x|boxcar02x|boxcar03x|boxcar04x|boxcar05x|car01x|cart001x|cart002x|cart003x|cart004x|cart005x|cart006x|cattlecar01x|chuckwagon000x|chuckwagon002x|com_outlaw|com_outlaw_cs|com_outlaw_wet|com_outlaw_wet_cs|esc_villawall01x_tent01x|esc_villawall02x_p_cus_door03x|esc_villawall02x_p_cus_door04x|esc_villawall04x_p_cus_door01x|esc_villawall04x_p_cus_door02x|flatcar01x|law_caucasianmarshall_01|law_caucasianmarshall_01_set_law_caucasianmarshall_01_hat|law_caucasianmarshall_02|law_caucasianmarshall_02_set_law_caucasianmarshall_02_hat|law_caucasianmarshall_03|law_caucasianmarshall_03_set_law_caucasianmarshall_03_hat|law_caucasianmarshall_04|law_caucasianmarshall_04_set_law_caucasianmarshall_04_hat|law_caucasianmarshall_05|law_caucasianmarshall_05_set_law_caucasianmarshall_05_hat|law_caucasianmarshall_06|law_caucasianmarshall_06_cs|law_caucasianmarshall_06_cs_law_caucasianmarshall_06_hat_cs|law_caucasianmarshall_06_set_law_caucasianmarshall_06_hat|law_caucasiansheriff_01|law_caucasiansheriff_02|law_caucasiansheriff_02_set_law_caucasiansheriff_02_hat|law_caucasiansheriff_03|law_caucasiansheriff_03_set_law_caucasiansheriff_03_hat|law_caucasiansheriff_03_tux|law_caucasiansheriff_03_tux_set_law_caucasiansheriff_03_tux_hat|law_caucasiansheriff_04|law_caucasiansheriff_04_set_law_caucasiansheriff_04_hat|law_caucasiansheriff_05|law_caucasiansheriff_05_set_law_caucasiansheriff_05_hat|law_caucasiansheriff_06|law_caucasiansheriff_06_set_law_caucasiansheriff_06_hat|law_caucasiansheriff_07|law_caucasiansheriff_07_set_law_caucasiansheriff_07_hat|law_caucasiansheriff_08|law_caucasiansheriff_08_set_law_caucasiansheriff_08_hat|law_caucasiansheriff_09|law_caucasiansheriff_09_set_law_caucasiansheriff_09_hat|law_caucasiansheriff_10|law_caucasiansheriff_10_set_law_caucasiansheriff_10_hat|law_caucasiansheriff_11|law_caucasiansheriff_11_set_misc_movember_hat|law_caucasiansheriff_12|law_caucasiansheriff_12_set_misc_movember_hat|law_caucasiantownposse_01|law_caucasiantownposse_01_set_law_caucasiantownposse_01_hat|law_caucasiantownposse_02|law_caucasiantownposse_02_set_law_caucasiantownposse_02_hat|law_caucasiantownposse_03|law_caucasiantownposse_03_set_law_caucasiantownposse_03_hat|law_caucasiantownposse_04|law_caucasiantownposse_04_set_law_caucasiantownposse_04_hat|law_caucasiantownposse_05|law_caucasiantownposse_05_set_law_caucasiantownposse_05_hat|law_caucasiantownposse_06|law_caucasiantownposse_06_set_law_caucasiantownposse_06_hat
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,content\ui\hudscene.sc.xml,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\content\ui\hudscene.sc.xml,.xml,28440,d8f284dd445a7b945f08d3b40ce9a22c00e6428a,,text,cutscenes_cameras;model_resource_refs;multiplayer_scripts;npc_ai_factions;strings_ui_text;vehicle_spawning,122,ally;bounty;cam;cutscene;hud;menu;multiplayer;net;shot;stagecoach;subtitle;texture;wagon,60,scxml,CutsceneWithMessages|Cutscenes|Cutscenes_Paused|PokerCards|Poker_CheatCard|Rebel04_LookAtWagon|UICutscene|cutscene|multiplayerIcons
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,cutscene\intro_sequence_3\intro_sequence_3.cutbin,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_3\intro_sequence_3.cutbin,.cutbin,101062,15e7dd65795204b4a98b9707d2f27492f2d9382e,,strings,cutscenes_cameras;model_resource_refs;npc_ai_factions;strings_ui_text;vehicle_spawning,121,cam;camera;car01x;companion;cutbin;cutscene;intro_sequence;model;shot;subtitle,60,j,AddTrain|COMPANION_Daughter_cs|ExportCamera|INTRO_TRAIN_P5|INTRO_TRAIN_P8|Into_train_P80|Into_train_P81|LongShotrageCamera|TransExportCamera|WheelrageCamera|boxcar02x|boxcar04x|cameraCutList|cutscene_face|fFadeInCutsceneDuration|fFadeOutCutsceneDuration|gtaCamera|iCutsceneFlags|intro_train_p8|pCutsceneEventArgsList|pCutsceneEventList|pCutsceneLoadEventList|pCutsceneObjects|rageCamera|rageCamera1|rage__cutfCameraCutEventArgs|rage__cutfCameraObject|rage__cutfCutsceneFile2|train_large_plume|train_large_plume_1|train_piston_L|train_piston_L_1|train_piston_R|train_piston_R_1|train_wake_debris_L|train_wake_debris_L_1|train_wake_debris_R|train_wake_debris_R_1|train_whistle_steam|train_whistle_steam_1|woodCar01x
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,content\ui\generalmenus.sc.xml,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\content\ui\generalmenus.sc.xml,.xml,45235,2bd539c2f217146c19c4c235dc586bef17c7814d,,text,cutscenes_cameras;model_resource_refs;multiplayer_scripts;npc_ai_factions;strings_ui_text,107,cutscene;freemode;hud;menu;net;posse;subtitle;texture,60,scxml,Cutscene_PausedPrompt|MP_Enter_Freemode
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,tune\settings\smictofragmap.txt,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\tune\settings\smictofragmap.txt,.txt,56477,7ef6a696ab9c5af98b7f38b6b7c659c119adab85,,text,cutscenes_cameras;gringos_scripts;model_resource_refs;npc_ai_factions;vehicle_spawning;world_nav_placement,107,bandito;cam;cattlerustler;gringo;guard;placement;sector;stagecoach;texture;wagon,60,,arm_trainStation01x|arm_trainstation01props01x|arm_trainstation01props02x|ben_trainStation01x|cart001x|cart002x|cart003x|cart004x|cart005x|cart006x|chu_trainstation01x|chuckwagon000x|chuckwagon002x|esc_villaWall01x|esc_villaWall01x_tent01x|esc_villaWall02x|esc_villaWall02x_p_cus_door03x|esc_villaWall02x_p_cus_door04x|esc_villaWall04x|esc_villaWall04x_p_cus_door01x|esc_villaWall04x_p_cus_door02x|esc_villaWall05x|gap_cartStop01x|gringoPlayground01x|hen_trainStation01x|player_jack_usLaw|thi_cargoLevee01props01x|thi_cargoLevee01props02x|thi_cargoLevee01props03x|thi_cargoLevee01x|thi_cargoLeveeDocks01x|wagon01x|wagon02x|wagon04x|wagon05x|wagonGatling01x|wagonPrison01x
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,cutscene\intro_sequence_2\intro_sequence_2.cutbin,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_2\intro_sequence_2.cutbin,.cutbin,31515,d1c168e6b6dd1257965423b84cf8fb588f3f3745,,strings,cutscenes_cameras;model_resource_refs;npc_ai_factions;strings_ui_text;vehicle_spawning,106,cam;camera;car01x;companion;cutbin;cutscene;intro_sequence;model;subtitle,48,,COMPANION_FBI_cs|ExportCamera|INTRO_TRAIN_P1|INTRO_TRAIN_P2|INTRO_TRAIN_P3|INTRO_TRAIN_P4|INTRO_TRAIN_P6|cameraCutList|car01x|cutscene_face|fFadeInCutsceneDuration|fFadeOutCutsceneDuration|gtaCamera|iCutsceneFlags|pCutsceneEventArgsList|pCutsceneEventList|pCutsceneLoadEventList|pCutsceneObjects|rageCamera|rage__cutfCameraCutEventArgs|rage__cutfCameraObject|rage__cutfCutsceneFile2
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,content\ui\pausemenu\lobby\main.sc.xml,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\content\ui\pausemenu\lobby\main.sc.xml,.xml,15151,bc78b50c9056770d83c0a97f350bc0e34cb961ac,,text,model_resource_refs;multiplayer_scripts;npc_ai_factions;strings_ui_text;world_nav_placement,101,ally;freemode;hud;menu;model;nav;net;posse;session,60,scxml,FreeMode|navnext|navprev
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,content\ui\pausemenu\networking.sc.xml,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\content\ui\pausemenu\networking.sc.xml,.xml,20820,87e5e79762a33822f9cf6bb4f776158b72d93abd,,text,model_resource_refs;multiplayer_scripts;npc_ai_factions;strings_ui_text;world_nav_placement,91,ally;hud;menu;model;multiplayer;nav;net,60,scxml,ExitMultiplayer|Multiplayer|multiplayer|topnav
root_01,D:\Games\Red Dead Redemption\Code_RED\related_apps\codered_ui_settings_menu_patch_v1\loose_patch_root\root,content\ui\pausemenu\networking.sc.xml,D:\Games\Red Dead Redemption\Code_RED\related_apps\codered_ui_settings_menu_patch_v1\loose_patch_root\root\content\ui\pausemenu\networking.sc.xml,.xml,16673,2eb0407b068ed1508ac919c200c7cf92c5b2f41d,,text,model_resource_refs;multiplayer_scripts;strings_ui_text;world_nav_placement,88,hud;menu;model;multiplayer;nav;net,60,scxml,Multiplayer|NAVIGATE_DOWN|NAVIGATE_UP|topnav
