# Code RED source/decompiled export
# Source: research/IMPORTANT_readable_root_index_2026-05-02/categories/multiplayer_scripts.csv
# SHA1: 1ce871bf7d9c75dda44b6a156215b01ce83cebe3

root_id,root_path,relative_path,absolute_path,extension,size,sha1,duplicate_of,readable_mode,categories,important_score,matched_terms,snippet_count,root_tag,picked_tokens
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,game directory.txt,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\game directory.txt,.txt,418820,d09f1283a6206fdf98d8771b0c59a01a49696b3f,,text,cutscenes_cameras;gringos_scripts;model_resource_refs;multiplayer_scripts;npc_ai_factions;strings_ui_text;vehicle_spawning;world_nav_placement,443,actor_names;ally;ambient;bandito;bounty;brain;cam;camera;car01x;car_gringo;cinvehicle;commonscripts;companion;criminal;ctf;cutbin;cutscene;deathmatch;faction;factionrelations;fragment;freemode;gen_vehicle;global.strtbl;gringo;gringobrains;gringores;guard;hostile;hud;intro_01;intro_sequence;locset;menu;mp_idle;multiplayer;multiplayer_system_thread;multiplayer_update_thread;multistagegringo;nav;net;placement;population;posse;region;shot;spawn;stagecoach;stringtable;strtbl;subtitle;template_vehicle;terrain;texture;traffic;traincar;vehicle;vehicle_generator;wagon;wilderness;world,60,,armoredcar|beat_crime_wagonthief|blowthehatchgringo|boxcar01x|boxcar01x_hilod|boxcar02x|boxcar02x_hilod|boxcar04x|boxcar04x_hilod|boxcar05|camera|campfire01_bad_gringo|campfire01_gringo|campfire01_law_gringo|campfire02_gringo|campfire03_bad_gringo|campfire03_gringo|campfire03_law_gringo|campfire04_gringo|campfire05_gringo|campfire06_gringo|campfire07_gringo|campfireindian_bad_gringo|campfireindian_gringo|campfirerebel_gringo|campfiretreasurehunter_gringo|car01x|car01x_hilod|car_sick|car_wash|carcrank_gringo|carry_box|carry_bucket|carry_fish|carry_lumber|cart006x|carve_corpse|cattlecar|cheer_on_wagon|chuckwagon000x|cintraincaboose01|cintraindefault|cintrainright|cintrainroof01|cintrainside01|cintrainside02|cintrainside04|cintrainside05|cinvehiclefronttobackjb|cinvehiclepassengers|cinvehicleskyleft|cinvehicleskyright|cinvehiclestaticground|cinvehiclestaticgroundfast|cinvehicletracking|cinvehiclewheel|cinvehiclewindowleft|cinvehiclewindowright|climb_into_truck|climbontowagon|clockgringo|close_wagon|commongringos|companion|companion_brain|companion_idle|cow_stand_train|crank_car|cutscene|cutscene_intro01|cutscene_marshal03|cutscene_outlaw03|cutscenes|cutscenesfinal|defaultcar|detach_train|eating_carcass|esc_villawall01x_tent01x|esc_villawall04x_p_cus_door01x|esc_villawall04x_p_cus_door02x
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,content\stringtable\global.strtbl,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\content\stringtable\global.strtbl,.strtbl,6558643,0011675618109371d5231c179d2fa94e57c7da6a,,text,cutscenes_cameras;gringos_scripts;multiplayer_scripts;npc_ai_factions;strings_ui_text;vehicle_spawning;world_nav_placement,244,ambient;bandito;bounty;cam;camera;cattlerustler;cinematic;companion;criminal;cutscene;freemode;global.strtbl;gringo;hostile;hud;indianraider;lawful;menu;multiplayer;nav;net;population;posse;region;shot;spawn;stagecoach;stringtable;strtbl;subtitle;terrain;vehicle;wagon;wilderness;wnm,60,,AudioOption_Cutscene_Volume|BLACK_GENERICCRIMINAL_HARD01_beatLawmanArrest_msg03_01|BLACK_GENERICCRIMINAL_HARD01_beatLawmanArrest_msg05_01|BLACK_GENERICCRIMINAL_HARD01_beatLawmanArrest_msg07_01|BLACK_GENERICCRIMINAL_HARD01_beatLawmanArrest_msg09_01|Black_Male_Laborer20_HangingLawful_msg08_01|Black_Male_Laborer25_crimeWagonTheif_msg01_01|Black_Male_Laborer25_crimeWagonTheif_msg02_01|Black_Male_Laborer25_crimeWagonTheif_msg03_01|CARBINE|CARBINE_DES|CARCANO|CARCANO_DES|CAUCASIAN_MALE_LABORER23_crimeWagonTheif_msg01_01|CAUCASIAN_MALE_LABORER23_crimeWagonTheif_msg02_01|CAUCASIAN_MALE_LABORER23_crimeWagonTheif_msg03_01|CAUCASIAN_MALE_RAILROADSTAFF01_TRAIN_JOB_INTRO_2_M_01|CAUCASIAN_MALE_RAILROADSTAFF01_TRAIN_JOB_INTRO_2_M_02|CAUCASIAN_MALE_RAILROADSTAFF01_TRAIN_JOB_INTRO_M_01|CAUCASIAN_MALE_RAILROADSTAFF01_TRAIN_JOB_INTRO_M_02|CAUCASIAN_MALE_RAILROADSTAFF01_TRAIN_WELL_DONE_M_01|CAUCASIAN_MALE_RAILROADSTAFF01_TRAIN_WELL_DONE_M_02|CAUCASIAN_MALE_RAILROADSTAFF02_TRAIN_JOB_INTRO_2_M_01|CAUCASIAN_MALE_RAILROADSTAFF02_TRAIN_JOB_INTRO_2_M_02|CAUCASIAN_MALE_RAILROADSTAFF02_TRAIN_JOB_INTRO_M_01|CAUCASIAN_MALE_RAILROADSTAFF02_TRAIN_JOB_INTRO_M_02|CAUCASIAN_MALE_RAILROADSTAFF02_TRAIN_WELL_DONE_M_01|CAUCASIAN_MALE_RAILROADSTAFF02_TRAIN_WELL_DONE_M_02|CAUCASIAN_MALE_RAILROADSTAFF05_TRAIN_JOB_INTRO_2_M_01|CAUCASIAN_MALE_RAILROADSTAFF05_TRAIN_JOB_INTRO_2_M_02|CAUCASIAN_MALE_RAILROADSTAFF05_TRAIN_JOB_INTRO_M_01|CAUCASIAN_MALE_RAILROADSTAFF05_TRAIN_JOB_INTRO_M_02|CAUCASIAN_MALE_RAILROADSTAFF05_TRAIN_WELL_DONE_M_01|CAUCASIAN_MALE_RAILROADSTAFF05_TRAIN_WELL_DONE_M_02|CAUCASIAN_MALE_RAILROADSTAFF06_TRAIN_JOB_INTRO_2_M_01|CAUCASIAN_MALE_RAILROADSTAFF06_TRAIN_JOB_INTRO_2_M_02|CAUCASIAN_MALE_RAILROADSTAFF06_TRAIN_JOB_INTRO_M_01|CAUCASIAN_MALE_RAILROADSTAFF06_TRAIN_JOB_INTRO_M_02|CAUCASIAN_MALE_RAILROADSTAFF06_TRAIN_WELL_DONE_M_01|CAUCASIAN_MALE_RAILROADSTAFF06_TRAIN_WELL_DONE_M_02|CAUCASIAN_MALE_RAILROADSTAFF07_TRAIN_JOB_INTRO_2_M_01|CAUCASIAN_MALE_RAILROADSTAFF07_TRAIN_JOB_INTRO_2_M_02|CAUCASIAN_MALE_RAILROADSTAFF07_TRAIN_JOB_INTRO_M_01|CAUCASIAN_MALE_RAILROADSTAFF07_TRAIN_JOB_INTRO_M_02|CAUCASIAN_MALE_RAILROADSTAFF07_TRAIN_WELL_DONE_M_01|CAUCASIAN_MALE_RAILROADSTAFF07_TRAIN_WELL_DONE_M_02|CAUCASIAN_MALE_RAILROADSTAFF07_crimeWagonTheif_msg01_01|CAUCASIAN_MALE_RAILROADSTAFF07_crimeWagonTheif_msg02_01|CAUCASIAN_MALE_RAILROADSTAFF07_crimeWagonTheif_msg03_01|CAUCASIAN_MALE_RAILROADSTAFF08_TRAIN_JOB_INTRO_2_M_01|CAUCASIAN_MALE_RAILROADSTAFF08_TRAIN_JOB_INTRO_2_M_02|CAUCASIAN_MALE_RAILROADSTAFF08_TRAIN_JOB_INTRO_M_01|CAUCASIAN_MALE_RAILROADSTAFF08_TRAIN_JOB_INTRO_M_02|CAUCASIAN_MALE_RAILROADSTAFF08_TRAIN_WELL_DONE_M_01|CAUCASIAN_MALE_RAILROADSTAFF08_TRAIN_WELL_DONE_M_02|CAUCASIAN_MALE_RANCHER01_HangingUnlawful_msg01_01|CAUCASIAN_MALE_RANCHER01_HangingUnlawful_msg02_01|CAUCASIAN_MALE_RANCHER01_HangingUnlawful_msg06_01|CAUCASIAN_MALE_TOWNFOLK02_HangingLawful_msg08_01|CAUCASIAN_MALE_TOWNFOLK02_HangingUnlawful_msg09_01|CAUCASIAN_MALE_TRAVELER13_HangingLawful_msg08_01|CRM_ASSLT_LAW|CRM_KIDNAP_LAW|CRM_MURDR_LAW|CRM_PRPDEST_CAR|CRM_ROB_TRAIN|CRM_STEAL_CAR|CRM_THREAT_LAW|CRM_VANDAL_CAR|Caucasian_Female_Farmer01_crimeWagonTheif_msg01_01|Caucasian_Female_Farmer01_crimeWagonTheif_msg02_01|Caucasian_Female_Farmer01_crimeWagonTheif_msg03_01|Caucasian_Female_Farmer03_HangingUnlawful_msg01_01|Caucasian_Female_Farmer03_HangingUnlawful_msg02_01|Caucasian_Female_Farmer03_HangingUnlawful_msg06_01|Caucasian_Female_Farmer10_HangingUnlawful_msg01_01|Caucasian_Female_Farmer10_HangingUnlawful_msg06_01|Caucasian_Female_GenericShopkeeper02_HangingUnlawful_msg02_01|Caucasian_Female_GenericShopkeeper02_HangingUnlawful_msg06_01|Caucasian_Female_Traveler01_HangingUnlawful_msg02_01
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,<none>,239787,fd591418399448493d6d9faa0bb8b98e87f0580f,,text,cutscenes_cameras;gringos_scripts;multiplayer_scripts;npc_ai_factions;vehicle_spawning;world_nav_placement,176,ally;ambient;bandito;bounty;cam;camera;companion;ctf;cutscene;friendly;gringo;guard;hostile;mp_idle;multiplayer;nav;net;shot;spawn;stagecoach;vehicle;wagon;wilderness,60,,ai_hostile|am_caranco|am_caranco_des|am_carbine|am_carbine_des|applyconstraints|armoredcar|boxcar05|car|car_after|car_before|car_default|car_sick|car_wash|carastloadingwait|carbackseat|carbine|carbine_des|carcano|carcano_des|card_dealing|card_idle|card_stare|cards_idle|carried|carry|carry_box|carry_bucket|carry_crate|carry_fish|carry_hogtied|carry_lumber|carry_navigate|carry_walking|carryhogtied|carrying|carrying_jog|carrying_processing|carrying_run|carrying_sprint|carrying_stand|carrying_stn|carrying_walk|carryingwithpistol|carryprocessing|cart|cart_in|cart_in_pre|cart_in_pst|cart_in_ready|cart_out|cart_out_mid|cart_out_pre|cart_out_pst|cart_out_ready|cartastloadingwait|cartruck|carve|carve_corpse|carve_corpse_a|carve_corpse_b|carvemeat_a_bag|carvemeat_a_gup|carvemeat_a_interrupt|carvemeat_a_mid|carvemeat_a_pre|carvemeat_b_bag|carvemeat_b_gup|carvemeat_b_interrupt|carvemeat_b_mid|carvemeat_b_pre|cattlecar|checkinjuryspawn|cheer_on_wagon|chuckwagonastloadingwait|climb_into_truck|close_wagon|companion_idle|companionincombatidles|constrainarms
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,content\ai\tasks.tr,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\content\ai\tasks.tr,.tr,46497,0c43b3ffd109dcac75a57e6e48a9ed028eb87cc0,,text,cutscenes_cameras;gringos_scripts;multiplayer_scripts;npc_ai_factions;vehicle_spawning;world_nav_placement,158,ally;ctf;enemy;follow_actor;gringo;guard;posse;shot;task_follow_actor;use_gringo;vehicle;wagon;wnm,60,,CanVehicleExit|Carry|ConstrainSpaceAllowedByTask|HitchedToWagon|ObjectClassAttribHitchedToWagon|RidingVehicle|TASK_USE_GRINGO|VehicleExit|care|carried|carrying|constraining|constraint|trAllowGringoConversationsIfReasonable
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,content\stringtable\0x8695F6E3,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\content\stringtable\0x8695F6E3,<none>,6560938,58e750753eeeca3fb107ee7432d848f9748ff638,,strings,cutscenes_cameras;multiplayer_scripts;npc_ai_factions;strings_ui_text;vehicle_spawning;world_nav_placement,157,ambient;bounty;cam;camera;companion;criminal;cutscene;lawful;multiplayer;net;population;region;shot;stagecoach;stringtable;terrain;vehicle;wagon;wilderness;wnm,60,,AudioOption_Cutscene_Volume|BLACK_GENERICCRIMINAL_HARD01_beatLawmanArrest_msg03_01|BLACK_GENERICCRIMINAL_HARD01_beatLawmanArrest_msg05_01|BLACK_GENERICCRIMINAL_HARD01_beatLawmanArrest_msg07_01|BLACK_GENERICCRIMINAL_HARD01_beatLawmanArrest_msg09_01|Black_Male_Laborer20_HangingLawful_msg08_01|Black_Male_Laborer25_crimeWagonTheif_msg01_01|Black_Male_Laborer25_crimeWagonTheif_msg02_01|Black_Male_Laborer25_crimeWagonTheif_msg03_01|CARBINE|CARBINE_DES|CARCANO|CARCANO_DES|CAUCASIAN_MALE_LABORER23_crimeWagonTheif_msg01_01|CAUCASIAN_MALE_LABORER23_crimeWagonTheif_msg02_01|CAUCASIAN_MALE_LABORER23_crimeWagonTheif_msg03_01|CAUCASIAN_MALE_RAILROADSTAFF01_TRAIN_JOB_INTRO_2_M_01|CAUCASIAN_MALE_RAILROADSTAFF01_TRAIN_JOB_INTRO_2_M_02|CAUCASIAN_MALE_RAILROADSTAFF01_TRAIN_JOB_INTRO_M_01|CAUCASIAN_MALE_RAILROADSTAFF01_TRAIN_JOB_INTRO_M_02|CAUCASIAN_MALE_RAILROADSTAFF01_TRAIN_WELL_DONE_M_01|CAUCASIAN_MALE_RAILROADSTAFF01_TRAIN_WELL_DONE_M_02|CAUCASIAN_MALE_RAILROADSTAFF02_TRAIN_JOB_INTRO_2_M_01|CAUCASIAN_MALE_RAILROADSTAFF02_TRAIN_JOB_INTRO_2_M_02|CAUCASIAN_MALE_RAILROADSTAFF02_TRAIN_JOB_INTRO_M_01|CAUCASIAN_MALE_RAILROADSTAFF02_TRAIN_JOB_INTRO_M_02|CAUCASIAN_MALE_RAILROADSTAFF02_TRAIN_WELL_DONE_M_01|CAUCASIAN_MALE_RAILROADSTAFF02_TRAIN_WELL_DONE_M_02|CAUCASIAN_MALE_RAILROADSTAFF05_TRAIN_JOB_INTRO_2_M_01|CAUCASIAN_MALE_RAILROADSTAFF05_TRAIN_JOB_INTRO_2_M_02|CAUCASIAN_MALE_RAILROADSTAFF05_TRAIN_JOB_INTRO_M_01|CAUCASIAN_MALE_RAILROADSTAFF05_TRAIN_JOB_INTRO_M_02|CAUCASIAN_MALE_RAILROADSTAFF05_TRAIN_WELL_DONE_M_01|CAUCASIAN_MALE_RAILROADSTAFF05_TRAIN_WELL_DONE_M_02|CAUCASIAN_MALE_RAILROADSTAFF06_TRAIN_JOB_INTRO_2_M_01|CAUCASIAN_MALE_RAILROADSTAFF06_TRAIN_JOB_INTRO_2_M_02|CAUCASIAN_MALE_RAILROADSTAFF06_TRAIN_JOB_INTRO_M_01|CAUCASIAN_MALE_RAILROADSTAFF06_TRAIN_JOB_INTRO_M_02|CAUCASIAN_MALE_RAILROADSTAFF06_TRAIN_WELL_DONE_M_01|CAUCASIAN_MALE_RAILROADSTAFF06_TRAIN_WELL_DONE_M_02|CAUCASIAN_MALE_RAILROADSTAFF07_TRAIN_JOB_INTRO_2_M_01|CAUCASIAN_MALE_RAILROADSTAFF07_TRAIN_JOB_INTRO_2_M_02|CAUCASIAN_MALE_RAILROADSTAFF07_TRAIN_JOB_INTRO_M_01|CAUCASIAN_MALE_RAILROADSTAFF07_TRAIN_JOB_INTRO_M_02|CAUCASIAN_MALE_RAILROADSTAFF07_TRAIN_WELL_DONE_M_01|CAUCASIAN_MALE_RAILROADSTAFF07_TRAIN_WELL_DONE_M_02|CAUCASIAN_MALE_RAILROADSTAFF07_crimeWagonTheif_msg01_01|CAUCASIAN_MALE_RAILROADSTAFF07_crimeWagonTheif_msg02_01|CAUCASIAN_MALE_RAILROADSTAFF07_crimeWagonTheif_msg03_01|CAUCASIAN_MALE_RAILROADSTAFF08_TRAIN_JOB_INTRO_2_M_01|CAUCASIAN_MALE_RAILROADSTAFF08_TRAIN_JOB_INTRO_2_M_02|CAUCASIAN_MALE_RAILROADSTAFF08_TRAIN_JOB_INTRO_M_01|CAUCASIAN_MALE_RAILROADSTAFF08_TRAIN_JOB_INTRO_M_02|CAUCASIAN_MALE_RAILROADSTAFF08_TRAIN_WELL_DONE_M_01|CAUCASIAN_MALE_RAILROADSTAFF08_TRAIN_WELL_DONE_M_02|CAUCASIAN_MALE_RANCHER01_HangingUnlawful_msg01_01|CAUCASIAN_MALE_RANCHER01_HangingUnlawful_msg02_01|CAUCASIAN_MALE_RANCHER01_HangingUnlawful_msg06_01|CAUCASIAN_MALE_TOWNFOLK02_HangingLawful_msg08_01|CAUCASIAN_MALE_TOWNFOLK02_HangingUnlawful_msg09_01|CAUCASIAN_MALE_TRAVELER13_HangingLawful_msg08_01|CRM_ASSLT_LAW|CRM_KIDNAP_LAW|CRM_MURDR_LAW|CRM_PRPDEST_CAR|CRM_ROB_TRAIN|CRM_STEAL_CAR|CRM_THREAT_LAW|CRM_VANDAL_CAR|Caucasian_Female_Farmer01_crimeWagonTheif_msg01_01|Caucasian_Female_Farmer01_crimeWagonTheif_msg02_01|Caucasian_Female_Farmer01_crimeWagonTheif_msg03_01|Caucasian_Female_Farmer03_HangingUnlawful_msg01_01|Caucasian_Female_Farmer03_HangingUnlawful_msg02_01|Caucasian_Female_Farmer03_HangingUnlawful_msg06_01|Caucasian_Female_Farmer10_HangingUnlawful_msg01_01|Caucasian_Female_Farmer10_HangingUnlawful_msg06_01|Caucasian_Female_GenericShopkeeper02_HangingUnlawful_msg02_01|Caucasian_Female_GenericShopkeeper02_HangingUnlawful_msg06_01|Caucasian_Female_Traveler01_HangingUnlawful_msg02_01
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,fragments\fragmentslist.bin,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\fragments\fragmentslist.bin,.bin,133635,5804ef895289ea6066a6dacd599e7bfae5bcc623,,text,cutscenes_cameras;model_resource_refs;multiplayer_scripts;npc_ai_factions;vehicle_spawning;world_nav_placement,156,bandito;cam;camera;car01x;cattlerustler;ctf;cutscene;fragment;guard;multiplayer;net;placement;posse;shot;stagecoach;truck01x;wagon,60,,anc_carlos|anc_carlos_cs|anc_outlaw_01|armoredcar01x|boxcar01x|boxcar02x|boxcar03x|boxcar04x|boxcar05x|car01x|cart001x|cart002x|cart003x|cart004x|cart005x|cart006x|cattlecar01x|chuckwagon000x|chuckwagon002x|com_outlaw|com_outlaw_cs|com_outlaw_wet|com_outlaw_wet_cs|esc_villawall01x_tent01x|esc_villawall02x_p_cus_door03x|esc_villawall02x_p_cus_door04x|esc_villawall04x_p_cus_door01x|esc_villawall04x_p_cus_door02x|flatcar01x|law_caucasianmarshall_01|law_caucasianmarshall_01_set_law_caucasianmarshall_01_hat|law_caucasianmarshall_02|law_caucasianmarshall_02_set_law_caucasianmarshall_02_hat|law_caucasianmarshall_03|law_caucasianmarshall_03_set_law_caucasianmarshall_03_hat|law_caucasianmarshall_04|law_caucasianmarshall_04_set_law_caucasianmarshall_04_hat|law_caucasianmarshall_05|law_caucasianmarshall_05_set_law_caucasianmarshall_05_hat|law_caucasianmarshall_06|law_caucasianmarshall_06_cs|law_caucasianmarshall_06_cs_law_caucasianmarshall_06_hat_cs|law_caucasianmarshall_06_set_law_caucasianmarshall_06_hat|law_caucasiansheriff_01|law_caucasiansheriff_02|law_caucasiansheriff_02_set_law_caucasiansheriff_02_hat|law_caucasiansheriff_03|law_caucasiansheriff_03_set_law_caucasiansheriff_03_hat|law_caucasiansheriff_03_tux|law_caucasiansheriff_03_tux_set_law_caucasiansheriff_03_tux_hat|law_caucasiansheriff_04|law_caucasiansheriff_04_set_law_caucasiansheriff_04_hat|law_caucasiansheriff_05|law_caucasiansheriff_05_set_law_caucasiansheriff_05_hat|law_caucasiansheriff_06|law_caucasiansheriff_06_set_law_caucasiansheriff_06_hat|law_caucasiansheriff_07|law_caucasiansheriff_07_set_law_caucasiansheriff_07_hat|law_caucasiansheriff_08|law_caucasiansheriff_08_set_law_caucasiansheriff_08_hat|law_caucasiansheriff_09|law_caucasiansheriff_09_set_law_caucasiansheriff_09_hat|law_caucasiansheriff_10|law_caucasiansheriff_10_set_law_caucasiansheriff_10_hat|law_caucasiansheriff_11|law_caucasiansheriff_11_set_misc_movember_hat|law_caucasiansheriff_12|law_caucasiansheriff_12_set_misc_movember_hat|law_caucasiantownposse_01|law_caucasiantownposse_01_set_law_caucasiantownposse_01_hat|law_caucasiantownposse_02|law_caucasiantownposse_02_set_law_caucasiantownposse_02_hat|law_caucasiantownposse_03|law_caucasiantownposse_03_set_law_caucasiantownposse_03_hat|law_caucasiantownposse_04|law_caucasiantownposse_04_set_law_caucasiantownposse_04_hat|law_caucasiantownposse_05|law_caucasiantownposse_05_set_law_caucasiantownposse_05_hat|law_caucasiantownposse_06|law_caucasiantownposse_06_set_law_caucasiantownposse_06_hat
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,tune\template\components.xml,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\tune\template\components.xml,.xml,31049,e02f51650e924f0aca0dc1286a5c09365f34d25d,,text,cutscenes_cameras;multiplayer_scripts;npc_ai_factions;strings_ui_text;vehicle_spawning;world_nav_placement,142,ally;cam;camera;cinematic;cinvehicle;ctf;enemy;faction;hostile;hud;lawful;locset;net;region;shot;spawn;stagecoach;vehicle,60,ComponentList,Camera|Car|CinVehiclePassengers|CinVehicleSkyLeft|CinVehicleSkyRight|CinVehicleStaticGround|CinVehicleStaticGroundFast|CinVehicleTracking|CinVehicleWheel|CinVehicleWindowLeft|CinVehicleWindowRight|DraftVehicle|Faction|LawfulToAttack|PushCart|Spawn|Vehicle|VehicleAudio|VehicleFaction|VehicleType|m_BoomCameraTuningName|m_CanReselectLockTargetFromVehicleClassic|m_DeathCameraAnchorVecolityScalar|m_FavorHostiles|m_FirstPersonCameraPosition|m_GameCameraArcOverrideName|m_GameCameraHolsteredArcOverrideName|m_GameCameraPassengerArcOverrideName|m_GameCameraPassengerHolsteredArcOverrideName|m_GameCameraPassengerZoomArcOverrideName|m_GameCameraZoomArcOverrideName|m_HardLockHostileOnly|m_PovCameraTuningName|m_ScoreBaseHostile|vehicle
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,content\ai\human_unalerted.tr,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\content\ai\human_unalerted.tr,.tr,30591,63f7992d1fd818726ec71037dc2422332564aec0,,text,cutscenes_cameras;gringos_scripts;multiplayer_scripts;npc_ai_factions;vehicle_spawning;world_nav_placement,132,ally;ambient;cam;criminal;ctf;enemy;faction;friendly;gringo;guard;hostile;lawenforcement;population;shot;vehicle,60,none,AllowGringoConversation|BeHostileAgainst|BeLawHostileAgainst|CanBeHostileAgainst|CanBeLawHostileAgainst|CanGringoConverseContinueAmbient|CanGringoConverseInitiateAmbient|ConstrainSpaceAllowedByTask|ConstrainValidSpace|ConstrainValidSpacePriorityDefaultBehavior|ConstrainValidSpacePriorityUnalerted|Hostile|IsLawEnforcement|LAW_HOSTILE|LawHostile|OnSameVehicleOrMountAsMe|RidingVehicle|TaskShouldUseAlternateVehicleRetreat|care|constraint|faction|gringo|hostile|law|trAllowGringoConversationsIfReasonable|trShouldStartBumpOrGringoTalk
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,content\ui\hudscene.sc.xml,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\content\ui\hudscene.sc.xml,.xml,28440,d8f284dd445a7b945f08d3b40ce9a22c00e6428a,,text,cutscenes_cameras;model_resource_refs;multiplayer_scripts;npc_ai_factions;strings_ui_text;vehicle_spawning,122,ally;bounty;cam;cutscene;hud;menu;multiplayer;net;shot;stagecoach;subtitle;texture;wagon,60,scxml,CutsceneWithMessages|Cutscenes|Cutscenes_Paused|PokerCards|Poker_CheatCard|Rebel04_LookAtWagon|UICutscene|cutscene|multiplayerIcons
root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,camera\0x1AE60DB7,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\camera\0x1AE60DB7,<none>,62982,fed5e777910e59cabf72405007bad93bf3429a0c,,text,cutscenes_cameras;multiplayer_scripts;vehicle_spawning;world_nav_placement,111,cam;camera;cinematic;cutscene;net;region;shot;stagecoach;traincar;vehicle;wagon,60,,CameraPos|CameraResetBool|CannonCamera|CoverCamera|CoverCameraNoTgtLock|Cover_Camera|CurrentVehicleMode|CurrentVehiclePassengerMode|CutToSplineLockedCamera|DefaultOnVehicleDampingXZ|DefaultOnVehicleDampingY|DriverCamera|Duel_Camera|EnableShotgunVehicleAutoCenter|FocusCamera|Focus_Camera|FollowVehicleBearing|FollowVehicleVelocity|ForceTrainCinematicCamera|ForceVehicleCinematicCamera|GatlingCamera|GatlingTurnsWithCar|Gatling_Camera|HorseCamera|HorseCinematic_Camera|InstantLockTgtCameraNew|InterpolateSplineCamera|InterpolateToSplineAndConstraint|LeaveVehicleCamera|MeleeCamera|MineCartCamera|OnVehicleAttachMoveSpeedScalingX|OnVehicleAttachMoveSpeedScalingY|OnVehicleAttachMoveSpeedScalingZ|OnVehicleMaxMoveSpeedForPullAround|OnVehiclePullAroundSpeedAtMaxMoveSpeedDegrees|PassengerCamera|PlayerInTrainCar|PlayerPushingMineCart|PlayerSeatedOnTrain|PlayerVehiclePointer|PlayingTunerCutscene|RoamCamera|RoamConstraint|Roam_Camera|Roam_Camera_Clamped|Roam_Derivative_Camera|ShotgunCamera|Targeting_Camera_New|TrainCinematic_Camera|UpdateCannonCamera|UpdateDriverCamera|UpdateDuelingCamera|UpdateGatlingCamera|UpdateHorseCamera|UpdateHorseCinematicCamera|UpdateLassoCamera|UpdateMeleeCamera|UpdateRoamCamera|UpdateTrainCinematicCamera|UpdateVehicleCamera_Passenger|UpdateVehicleCamera_Shotgun|UpdateVehicleCinematicCamera|VehicleCamera|VehicleCinematicButtonHoldTime|VehicleCinematicButtonHoldTimeLimit|VehicleCinematic_Camera|VehicleConstraint|VehiclePassengerAimDampingY|VehiclePassengerConstraint|VehicleSeatLocation|VehicleState|VehicleTgtZoomLockTrackTimeClassic|VehicleTgtZoomLockTrackTimeExperience|VehicleZoomConstraint|WeaponCameraSpeedScalar|WeaponCameraZoomedSpeedScalar|allowCameraSideSwitch|autoRotateHorseCamera|cameraCut
