# Code RED source/decompiled export
# Source: research/blackwater_host_placement_resolver_outputs/host_reference_summary.csv
# SHA1: 6d98d92c895ccc22b3d44c4f867aaf994b9aff55

wsi_source,host_name,host_hash_guess,string_occurrence_count,pointer_reference_count,hash_reference_count,resolved_known_array_candidate_count,sample_full_strings
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,p_gen_cart03x,0x114F81E3,6,6,not_used_in_pass3,5,p_gen_cart03x
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,p_gen_cart01x,0x39B1C783,4,4,not_used_in_pass3,3,p_gen_cart01x
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,i_gen_wagonParked01x,0x3AFC2B30,3,3,not_used_in_pass3,3,i_gen_wagonParked01x
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,i_gen_wagonBroken02x,0xAC84C193,1,1,not_used_in_pass3,1,i_gen_wagonBroken02x
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,i_gen_wagonParts01x,0x1596A175,2,2,not_used_in_pass3,2,i_gen_wagonParts01x
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,i_gen_wagonParts02x,0xB25DD799,1,1,not_used_in_pass3,1,i_gen_wagonParts02x
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,i_gen_wagonParts03x,0x4BC41017,1,1,not_used_in_pass3,1,i_gen_wagonParts03x
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,p_gen_lumberCart01x,0x023CD4E8,1,1,not_used_in_pass3,0,p_gen_lumberCart01x
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,p_gen_lumberCart03x,0x220584C9,1,1,not_used_in_pass3,0,p_gen_lumberCart03x
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,i_gen_hitchingPost02x,0x56F87E31,12,12,not_used_in_pass3,6,i_gen_hitchingPost02x/a_has_gringo_gringoannotation_has_gringo | i_gen_hitchingPost02x
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,i_gen_hitchingPost03x,0x2E71AC0C,2,2,not_used_in_pass3,1,i_gen_hitchingPost03x/a_has_gringo_gringoannotation_has_gringo | i_gen_hitchingPost03x
