# Code RED source/decompiled export
# Source: research/dualgun_left_hand_bypass/smic_gunbelt_rows.csv
# SHA1: d770d996f5f346a388cc9a23076f73a083e02f9a

archive,source_path,line,model,declared_count,smic_count,smics,has_player_hand,has_gunbelt,has_holster,has_left_or_right
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,8,amb_ma_businessman01,1,1,smic_amb_gunbelt01_01,0,1,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,9,amb_ma_laborer01,1,1,smic_amb_gunbelt01_01,0,1,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,10,amb_ma_laborer02,1,1,smic_amb_gunbelt01_01,0,1,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,11,amb_ma_laborer03,1,1,smic_amb_gunbelt01_01,0,1,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,12,amb_ma_laborer04,1,1,smic_amb_gunbelt01_01,0,1,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,13,amb_ma_laborer05,1,1,smic_amb_gunbelt01_01,0,1,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,14,amb_ma_laborer06,1,1,smic_amb_gunbelt01_01,0,1,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,15,amb_ma_laborer07,1,1,smic_amb_gunbelt01_01,0,1,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,16,amb_ma_oldBusinessman01,1,1,smic_amb_gunbelt01_01,0,1,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,17,amb_ma_oldBusinessman02,1,1,smic_amb_gunbelt01_01,0,1,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,18,amb_ma_shopKeeper01,1,1,smic_amb_gunbelt01_01,0,1,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,19,amb_ma_shopKeeper03,1,1,smic_amb_gunbelt01_01,0,1,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,20,amb_ma_traveler01,1,1,smic_amb_gunbelt01_01,0,1,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,21,amb_mb_blacksmith01,1,1,smic_amb_gunbelt01_01,0,1,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,22,amb_mb_blacksmith02,1,1,smic_amb_gunbelt01_01,0,1,0,0
