# Code RED source/decompiled export
# Source: research/wft_wedt_attachment_lab/complete_fragment_bundles_sample.csv
# SHA1: 0f8e64063bc3ceddc7038b21491fe23c8ead56fe

archive,bundle_key,wft,wfd,wedt,file_count
fragments2.rpf,zombie_gore_bruisercaucasianfemale_01,root/fragments/zombie_gore_bruisercaucasianfemale_01.wft,root/fragments/zombie_gore_bruisercaucasianfemale_01_hilod.wfd,root/fragments/zombie_gore_bruisercaucasianfemale_01.wedt,4
fragments2.rpf,zombie_gore_ccattlerustlers_01,root/fragments/zombie_gore_ccattlerustlers_01.wft,root/fragments/zombie_gore_ccattlerustlers_01_medlod.wfd,root/fragments/zombie_gore_ccattlerustlers_01.wedt,4
fragments2.rpf,zombie_gore_bruisertreasurehunter_01,root/fragments/zombie_gore_bruisertreasurehunter_01.wft,root/fragments/zombie_gore_bruisertreasurehunter_01_medlod.wfd,root/fragments/zombie_gore_bruisertreasurehunter_01.wedt,4
fragments2.rpf,zombie_toxiccaucasiancriminal_01,root/fragments/zombie_toxiccaucasiancriminal_01.wft,root/fragments/zombie_toxiccaucasiancriminal_01_hilod.wfd,root/fragments/zombie_toxiccaucasiancriminal_01.wedt,4
fragments2.rpf,zombie_gore_asianmale_01,root/fragments/zombie_gore_asianmale_01.wft,root/fragments/zombie_gore_asianmale_01_medlod.wfd,root/fragments/zombie_gore_asianmale_01.wedt,4
fragments2.rpf,zombie_gore_cmaleold_01,root/fragments/zombie_gore_cmaleold_01.wft,root/fragments/zombie_gore_cmaleold_01_hilod.wfd,root/fragments/zombie_gore_cmaleold_01.wedt,4
fragments2.rpf,zombie_gore_toxicccriminal_01,root/fragments/zombie_gore_toxicccriminal_01.wft,root/fragments/zombie_gore_toxicccriminal_01_medlod.wfd,root/fragments/zombie_gore_toxicccriminal_01.wedt,4
fragments2.rpf,zombie_fastdrunk_n_dirty_01,root/fragments/zombie_fastdrunk_n_dirty_01.wft,root/fragments/zombie_fastdrunk_n_dirty_01_medlod.wfd,root/fragments/zombie_fastdrunk_n_dirty_01.wedt,4
fragments2.rpf,zombie_gore_fastmexicanrebel_01,root/fragments/zombie_gore_fastmexicanrebel_01.wft,root/fragments/zombie_gore_fastmexicanrebel_01_hilod.wfd,root/fragments/zombie_gore_fastmexicanrebel_01.wedt,4
fragments2.rpf,zombie_gore_blackgunslinger_01,root/fragments/zombie_gore_blackgunslinger_01.wft,root/fragments/zombie_gore_blackgunslinger_01_medlod.wfd,root/fragments/zombie_gore_blackgunslinger_01.wedt,4
fragments2.rpf,zombie_toxicfemaleprostitute_02,root/fragments/zombie_toxicfemaleprostitute_02.wft,root/fragments/zombie_toxicfemaleprostitute_02_medlod.wfd,root/fragments/zombie_toxicfemaleprostitute_02.wedt,4
fragments2.rpf,zombie_gore_bruiserprisoner_01,root/fragments/zombie_gore_bruiserprisoner_01.wft,root/fragments/zombie_gore_bruiserprisoner_01_hilod.wfd,root/fragments/zombie_gore_bruiserprisoner_01.wedt,4
fragments2.rpf,zombie_caucasianmaleold_01_set_zombie_caucasianmaleold_01_hat,root/fragments/zombie_caucasianmaleold_01_set_zombie_caucasianmaleold_01_hat.wft,,,1
fragments2.rpf,zombie_hispanicmaleposse_01_set_zombie_caucasianmaleold_01_hat,root/fragments/zombie_hispanicmaleposse_01_set_zombie_caucasianmaleold_01_hat.wft,,,1
fragments2.rpf,zombie_gore_bruiserbandito_01,root/fragments/zombie_gore_bruiserbandito_01.wft,root/fragments/zombie_gore_bruiserbandito_01_medlod.wfd,root/fragments/zombie_gore_bruiserbandito_01.wedt,4
fragments2.rpf,zombie_gore_hmaleposse_01,root/fragments/zombie_gore_hmaleposse_01.wft,root/fragments/zombie_gore_hmaleposse_01_hilod.wfd,root/fragments/zombie_gore_hmaleposse_01.wedt,4
fragments2.rpf,zombie_gore_cmalefat_01,root/fragments/zombie_gore_cmalefat_01.wft,root/fragments/zombie_gore_cmalefat_01_medlod.wfd,root/fragments/zombie_gore_cmalefat_01.wedt,4
fragments2.rpf,zombie_gore_toxicfemaleprostitute_01,root/fragments/zombie_gore_toxicfemaleprostitute_01.wft,root/fragments/zombie_gore_toxicfemaleprostitute_01_medlod.wfd,root/fragments/zombie_gore_toxicfemaleprostitute_01.wedt,4
fragments2.rpf,zombie_toxicdrunk_n_dirty_01,root/fragments/zombie_toxicdrunk_n_dirty_01.wft,root/fragments/zombie_toxicdrunk_n_dirty_01_medlod.wfd,root/fragments/zombie_toxicdrunk_n_dirty_01.wedt,4
fragments2.rpf,zombie_gore_txfeprostitute_02,root/fragments/zombie_gore_txfeprostitute_02.wft,root/fragments/zombie_gore_txfeprostitute_02_medlod.wfd,root/fragments/zombie_gore_txfeprostitute_02.wedt,4
