# CodeRED actor enum map
# Seed safety map. Rebuild the full map with:
# py -3 tools\codered_rebuild_actor_enum_map.py --write-inline-roster --replace
label,actor_enum,category,source,aliases,notes
ACTOR_CAUCASIAN_ARMY_Easy01,369,army,CodeRED seed sanity map,ACTOR_CAUCASIAN_ARMY_EASY01|actor_caucasian_army_easy01|CAUCASIAN_ARMY_Easy01|CAUCASIAN_ARMY_EASY01|caucasian_army_easy01|AE_CAUCASIAN_ARMY_Easy01|AE_CAUCASIAN_ARMY_EASY01|ae_caucasian_army_easy01,canonical=ACTOR_CAUCASIAN_ARMY_Easy01; hex=0x00000171; seed_only=true
ACTOR_RIDEABLE_ANIMAL_Horse01,976,rideable,CodeRED seed sanity map,ACTOR_RIDEABLE_ANIMAL_HORSE01|actor_rideable_animal_horse01|RIDEABLE_ANIMAL_Horse01|RIDEABLE_ANIMAL_HORSE01|rideable_animal_horse01|AE_RIDEABLE_ANIMAL_Horse01|AE_RIDEABLE_ANIMAL_HORSE01|ae_rideable_animal_horse01,canonical=ACTOR_RIDEABLE_ANIMAL_Horse01; hex=0x000003D0; seed_only=true
ACTOR_RIDEABLE_ANIMAL_MEX_Mule01,1000,rideable,CodeRED seed sanity map,ACTOR_RIDEABLE_ANIMAL_MEX_MULE01|actor_rideable_animal_mex_mule01|RIDEABLE_ANIMAL_MEX_Mule01|RIDEABLE_ANIMAL_MEX_MULE01|rideable_animal_mex_mule01|AE_RIDEABLE_ANIMAL_MEX_Mule01|AE_RIDEABLE_ANIMAL_MEX_MULE01|ae_rideable_animal_mex_mule01,canonical=ACTOR_RIDEABLE_ANIMAL_MEX_Mule01; hex=0x000003E8; seed_only=true
ACTOR_RIDEABLE_ANIMAL_Buffalo,1004,rideable,CodeRED seed sanity map,ACTOR_RIDEABLE_ANIMAL_BUFFALO|actor_rideable_animal_buffalo|RIDEABLE_ANIMAL_Buffalo|RIDEABLE_ANIMAL_BUFFALO|rideable_animal_buffalo|AE_RIDEABLE_ANIMAL_Buffalo|AE_RIDEABLE_ANIMAL_BUFFALO|ae_rideable_animal_buffalo,canonical=ACTOR_RIDEABLE_ANIMAL_Buffalo; hex=0x000003EC; seed_only=true
ACTOR_VEHICLE_Stagecoach,1177,vehicle,CodeRED seed sanity map,ACTOR_VEHICLE_STAGECOACH|actor_vehicle_stagecoach|VEHICLE_Stagecoach|VEHICLE_STAGECOACH|vehicle_stagecoach|AE_VEHICLE_Stagecoach|AE_VEHICLE_STAGECOACH|ae_vehicle_stagecoach,canonical=ACTOR_VEHICLE_Stagecoach; hex=0x00000499; seed_only=true
ACTOR_VEHICLE_Cart01,1183,vehicle,CodeRED seed sanity map,ACTOR_VEHICLE_CART01|actor_vehicle_cart01|VEHICLE_Cart01|VEHICLE_CART01|vehicle_cart01|AE_VEHICLE_Cart01|AE_VEHICLE_CART01|ae_vehicle_cart01,canonical=ACTOR_VEHICLE_Cart01; hex=0x0000049F; seed_only=true
ACTOR_VEHICLE_Canoe01,1189,vehicle,CodeRED seed sanity map,ACTOR_VEHICLE_CANOE01|actor_vehicle_canoe01|VEHICLE_Canoe01|VEHICLE_CANOE01|vehicle_canoe01|AE_VEHICLE_Canoe01|AE_VEHICLE_CANOE01|ae_vehicle_canoe01,canonical=ACTOR_VEHICLE_Canoe01; hex=0x000004A5; seed_only=true
ACTOR_VEHICLE_Raft01,1192,vehicle,CodeRED seed sanity map,ACTOR_VEHICLE_RAFT01|actor_vehicle_raft01|VEHICLE_Raft01|VEHICLE_RAFT01|vehicle_raft01|AE_VEHICLE_Raft01|AE_VEHICLE_RAFT01|ae_vehicle_raft01,canonical=ACTOR_VEHICLE_Raft01; hex=0x000004A8; seed_only=true
ACTOR_VEHICLE_Truck01,1193,vehicle,CodeRED seed sanity map,ACTOR_VEHICLE_TRUCK01|actor_vehicle_truck01|VEHICLE_Truck01|VEHICLE_TRUCK01|vehicle_truck01|AE_VEHICLE_Truck01|AE_VEHICLE_TRUCK01|ae_vehicle_truck01,canonical=ACTOR_VEHICLE_Truck01; hex=0x000004A9; seed_only=true
ACTOR_VEHICLE_Car01,1194,vehicle,CodeRED seed sanity map,ACTOR_VEHICLE_CAR01|actor_vehicle_car01|VEHICLE_Car01|VEHICLE_CAR01|vehicle_car01|AE_VEHICLE_Car01|AE_VEHICLE_CAR01|ae_vehicle_car01,canonical=ACTOR_VEHICLE_Car01; hex=0x000004AA; seed_only=true
ACTOR_VEHICLE_Wagon02,1199,vehicle,CodeRED seed sanity map,ACTOR_VEHICLE_WAGON02|actor_vehicle_wagon02|VEHICLE_Wagon02|VEHICLE_WAGON02|vehicle_wagon02|AE_VEHICLE_Wagon02|AE_VEHICLE_WAGON02|ae_vehicle_wagon02,canonical=ACTOR_VEHICLE_Wagon02; hex=0x000004AF; seed_only=true
ACTOR_VEHICLE_Coach01,1202,vehicle,CodeRED seed sanity map,ACTOR_VEHICLE_COACH01|actor_vehicle_coach01|VEHICLE_Coach01|VEHICLE_COACH01|vehicle_coach01|AE_VEHICLE_Coach01|AE_VEHICLE_COACH01|ae_vehicle_coach01,canonical=ACTOR_VEHICLE_Coach01; hex=0x000004B2; seed_only=true
