name,hash,category,return_type,param_count,sdk_line,db_line,status,warnings
GET_PLAYER_ACTOR,0xE8CFDD53,actor,Actor,1,57,248,ready,
IS_ACTOR_VALID,0xBA6C3E92,actor,BOOL,1,1463,100,ready,
IS_ACTOR_ALIVE,0x2F232639,actor,BOOL,1,2022,209,ready,
FIND_NAMED_LAYOUT,0x5699DE7E,world,Layout,1,2732,97,ready,
CREATE_LAYOUT,0x6CA53214,world,Layout,1,2758,108,ready,
CREATE_ACTOR_IN_LAYOUT,0x8D67F397,actor,Actor,7,3005,370,ready,param_count_diff_db_5_sdk_7
GET_POSITION,0x99BD9D6F,world,void,2,16,353,ready,
TELEPORT_ACTOR,0x2D54B916,actor,void,5,12,1037,ready,
SET_ACTOR_HEADING,0xECE8520B,actor,void,3,19,1046,ready,
TASK_CLEAR,0x16876A25,ai_task,void,1,3753,722,ready,
TASK_STAND_STILL,0x6F80965D,ai_task,void,4,3727,371,ready,
TASK_WANDER,0x17BCA08E,ai_task,void,2,3743,723,ready,
TASK_FOLLOW_ACTOR,0x12F0911A,actor,void,2,3678,1078,ready,
TASK_KILL_CHAR,0x1AE4B75B,actor,void,2,3704,422,ready,
AI_IS_HOSTILE_OR_ENEMY,0x9AB964F4,ai_task,int,2,447,853,ready,
SET_ACTOR_FACTION,0xCC63951A,actor,void,2,1667,1104,ready,
GET_ACTOR_FACTION,0x52E2A611,actor,int,1,1665,1047,ready,
GIVE_WEAPON_TO_ACTOR,0x6AA0EAF2,actor,void,5,2269,144,ready,
TASK_MOUNT,0xB6131204,actor,void,6,3707,868,ready,
TASK_DISMOUNT,0x5DEF5C4A,actor,void,2,3667,1080,ready,
GET_MOUNT,0xDD31EC4E,actor,Mount,1,3353,727,ready,
GET_VEHICLE,0xA0936EB6,vehicle,Vehicle,1,3880,418,ready,
START_VEHICLE,0xE4442AB2,vehicle,void,1,3893,955,ready,
STOP_VEHICLE,0xC2232D29,vehicle,void,1,3892,972,ready,
TASK_VEHICLE_LEAVE,0x6C1218A4,ai_task,void,1,3742,1020,ready,
RELEASE_LAYOUT_REF,0xD9AC8830,world,void,1,2790,177,ready,
