phase,actionable_score,score,category,path,source_kind,regions,groups,high_value_terms,size
FW-1 tune/content pressure,8850,8725,world host / gringo,research/blackwater_wsi_gringo_correlation_outputs/wgd_keyword_components.csv,repo/text,,factions:28|scripting:3851|spawning:6|war_behavior:6|weapons_pressure:98|world_hosts:4720,gringobrain|vehicle_generator,173869
FW-1 tune/content pressure,2914,2739,tune/template pressure,research/CodeRED_Cutscene_Placement_Pass15_Build/reports/tune_refgroup_vehicle_cutscene_candidates.csv,repo/text,armadillo|blackwater|landing|tumbleweed,factions:78|scripting:11|spawning:737|war_behavior:64|weapons_pressure:276|world_hosts:1537,population|refgroup,299046
FW-1 tune/content pressure,2495,2445,archive patch lane,scratch/script_workshop_pipeline/scan_index/script_pipeline_scan_index.json,repo/text,tumbleweed,factions:49|scripting:728|spawning:785|war_behavior:134|weapons_pressure:120|world_hosts:544,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,287543
FW-1 tune/content pressure,2179,2129,archive patch lane,scratch/script_workshop_pipeline/scan_index/script_pipeline_scan_index.csv,repo/text,tumbleweed,factions:49|scripting:571|spawning:749|war_behavior:130|weapons_pressure:120|world_hosts:425,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,104596
FW-1 tune/content pressure,1982,1857,world host / gringo,research/extracted_root_research/strings_findings.csv,repo/text,armadillo|chuparosa|gaptooth|thieves|tumbleweed,factions:255|scripting:65|spawning:368|war_behavior:55|weapons_pressure:341|world_hosts:716,commongringos|gringobrain|refgroup|vehicle_generator,775366
FW-1 tune/content pressure,1407,1307,tune/template pressure,research/CodeRED_Cutscene_Placement_Pass15_Build/reports/content_cutscene_vehicle_entries.csv,repo/text,,factions:14|scripting:727|spawning:4|war_behavior:7|weapons_pressure:33|world_hosts:506,gringobrain|vehicle_generator,57527
FW-1 tune/content pressure,1338,1088,tune/template pressure,research/faction_wars/FW_TARGET_PLAN.md,repo/text,armadillo|blackwater|chuparosa|escalera|fort mercer|gaptooth|henningan|landing|macfarlane|manzanita|mexico|new austin|nuevo paraiso|plainview|rathskeller|ridgewood|rio bravo|tall trees|thieves|tumbleweed,factions:88|scripting:215|spawning:334|war_behavior:20|weapons_pressure:46|world_hosts:173,ai_is_hostile|commongringos|create_actor|get_actor_faction|gringobrain|population|refgroup|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander|vehicle_generator,42068
FW-1 tune/content pressure,1185,1060,tune/template pressure,research/Tune - Mirage Spawner/Prop List.xml,repo/text,armadillo|blackwater|gaptooth|manzanita|mexico|tumbleweed,factions:531|scripting:29|spawning:35|war_behavior:65|weapons_pressure:185|world_hosts:185,,108541
FW-1 tune/content pressure,1150,1125,archive patch lane,research/wft_wedt_attachment_lab/candidate_transforms.csv,repo/text,,factions:921|weapons_pressure:204,,376839
FW-1 tune/content pressure,1134,984,tune/template pressure,research/modified_xml/placementglobals_15_50_rival_gang_towns.xml,repo/text,blackwater|landing|thieves,factions:195|scripting:23|spawning:434|war_behavior:145|weapons_pressure:11|world_hosts:161,,31145
