function,return,args,position,start_line,line_count,score,GET_ACTOR_ENUM,1194,1193,1197,carSettings,SET_ACTOR_IN_VEHICLE,START_VEHICLE,SET_VEHICLE_ENGINE_RUNNING,SET_VEHICLE_EJECTION_ENABLED,GET_RAND_ACTORENUM_FROM_POPULATION_NATIVE,MaximShootTruck,gattling_attach,TASK_VEHICLE_ENTER_SPECIFIC_LOCATION,ENABLE_VEHICLE_SEAT,ATTACH_DRAFT_TO_VEHICLE,_ACCESORIZE_VEHICLE_HORSES,Local_6 + 1184[02]
Function_369,void,,0x10C43,11733,213,18,0,0,4,6,0,1,1,0,0,0,0,0,0,0,0,0,6
Function_539,void,,0x18C43,16650,213,18,0,0,4,6,0,1,1,0,0,0,0,0,0,0,0,0,6
Function_706,void,,0x24358,21803,301,13,0,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,6
Function_854,void,,0x30358,27168,301,13,0,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,6
Function_736,void,,0x26611,23003,335,12,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,6
Function_884,void,,0x32611,28368,335,12,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,6
Function_454,void,,0x14A6D,14021,225,11,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,5
Function_512,void,,0x17423,15647,205,11,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,4
Function_624,void,,0x1CA6D,18938,225,11,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,5
Function_682,void,,0x1F423,20564,205,11,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,4
Function_772,void,,0x28A6D,24303,225,11,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,5
Function_830,void,,0x2B423,25929,205,11,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,4
Function_956,void,var uParam0,0x3856C,30983,29,8,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Function_428,void,bool bParam0,0x13021,13248,57,7,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,4
Function_598,void,bool bParam0,0x1B021,18165,57,7,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,4
Function_743,int,,0x272B8,23481,106,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
Function_891,int,,0x332B8,28846,106,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
Function_955,void,"var uParam0, var uParam1",0x384F0,30963,20,7,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Function_958,void,"var uParam0, var uParam1",0x38698,31020,20,7,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Function_452,void,var uParam0,0x149BA,13984,27,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
Function_622,void,var uParam0,0x1C9BA,18901,27,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
Function_770,void,var uParam0,0x289BA,24266,27,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
Function_224,void,,0xAF85,7615,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Function_323,void,,0xEF85,10396,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Function_408,void,,0x12323,12652,25,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Function_474,var,"var uParam0, var uParam1, float fParam2, var uParam3, struct<2> Param4, struct<2> Param6, var uParam8, var uParam9, var uParam10, var uParam11, var uParam12",0x15B4B,14692,94,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
Function_578,void,,0x1A323,17569,25,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Function_644,var,"var uParam0, var uParam1, float fParam2, var uParam3, struct<2> Param4, struct<2> Param6, var uParam8, var uParam9, var uParam10, var uParam11, var uParam12",0x1DB4B,19609,94,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
Function_792,var,"var uParam0, var uParam1, float fParam2, var uParam3, struct<2> Param4, struct<2> Param6, var uParam8, var uParam9, var uParam10, var uParam11, var uParam12",0x29B4B,24974,94,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
Function_749,void,,0x27AD9,23712,14,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Function_897,void,,0x33AD9,29077,14,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Function_957,void,,0x38636,31012,8,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Function_453,void,var uParam0,0x14A48,14011,10,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Function_465,void,"int iParam0, int iParam1",0x1574A,14502,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Function_623,void,var uParam0,0x1CA48,18928,10,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Function_635,void,"int iParam0, int iParam1",0x1D74A,19419,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Function_771,void,var uParam0,0x28A48,24293,10,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Function_783,void,"int iParam0, int iParam1",0x2974A,24784,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Function_905,int,,0x34BE0,29377,161,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Function_222,void,,0xACCF,7491,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Function_321,void,,0xECCF,10272,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Function_373,void,,0x11386,12064,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Function_376,void,,0x11419,12100,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Function_417,int,bool bParam0,0x1285D,12855,36,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Function_435,void,"int iParam0, bool bParam1, bool bParam2",0x140A1,13545,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Function_459,void,"var uParam0, var uParam1",0x153DD,14344,24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Function_476,var,"var uParam0, struct<2> Param1, var uParam3, var uParam4, var uParam5",0x15DD2,14804,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Function_543,void,,0x19386,16981,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Function_546,void,,0x19419,17017,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Function_587,int,bool bParam0,0x1A85D,17772,36,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Function_605,void,"int iParam0, bool bParam1, bool bParam2",0x1C0A1,18462,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Function_629,void,"var uParam0, var uParam1",0x1D3DD,19261,24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Function_646,var,"var uParam0, struct<2> Param1, var uParam3, var uParam4, var uParam5",0x1DDD2,19721,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Function_694,void,,0x211EE,21241,116,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Function_748,void,,0x27A55,23700,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Function_753,void,"int iParam0, bool bParam1, bool bParam2",0x280A1,23827,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Function_777,void,"var uParam0, var uParam1",0x293DD,24626,24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Function_794,var,"var uParam0, struct<2> Param1, var uParam3, var uParam4, var uParam5",0x29DD2,25086,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Function_842,void,,0x2D1EE,26606,116,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Function_896,void,,0x33A55,29065,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Function_916,void,,0x359C8,29862,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
