internal_path,versions_present,sha1_count,status,version_sha1s,version_sizes,extracted_paths,old_match_statuses,matched_terms
0x25584DB6\0xE3D8C737\cinvehicletracking.txt,live_camera|putback_camera,2,different_between_versions,live_camera:d92f8d7bd87eb415f7871f5b5053c548501e0851|putback_camera:c1073f048a945703ca266269e118e615c280c328,live_camera:3560|putback_camera:3567,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_camera\0x25584DB6_0xE3D8C737_cinvehicletracking.txt|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_camera\0x25584DB6_0xE3D8C737_cinvehicletracking.txt,leaf_hash_changed|leaf_hash_same,camera;cinvehicle;cutscene;ui;vehicle
0x25584DB6\0xE3D8C737\horserider.txt,live_camera|putback_camera,2,different_between_versions,live_camera:8b40bab9d5c4a4f384cf336966acadac79ee3cb2|putback_camera:3d2b1db477bdf67096b785f696579ce71b50a2b4,live_camera:2304|putback_camera:2306,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_camera\0x25584DB6_0xE3D8C737_horserider.txt|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_camera\0x25584DB6_0xE3D8C737_horserider.txt,leaf_hash_changed|leaf_hash_same,camera;cutscene;ui
0xA562A52D\0x22B6CAA7\0x3F87D01A\materials.list,base_old_tune|live_tune|putback_tune,2,different_between_versions,base_old_tune:d9884f99630e261aa4f3dcf77d6eafd14b04c884|live_tune:5fd60249ee1c17f208c931d9c9e9e5781e10dee6|putback_tune:5fd60249ee1c17f208c931d9c9e9e5781e10dee6,base_old_tune:668|live_tune:626|putback_tune:626,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\base_old_tune\0xA562A52D_0x22B6CAA7_0x3F87D01A_materials.list|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_tune\0xA562A52D_0x22B6CAA7_0x3F87D01A_materials.list|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_tune\0xA562A52D_0x22B6CAA7_0x3F87D01A_materials.list,leaf_hash_changed,
0xA562A52D\0x22B6CAA7\physics.xml,base_old_tune|live_tune|putback_tune,2,different_between_versions,base_old_tune:d7ed8128bf54d929435a432a7fc0d8b2fc807904|live_tune:2d6025de7f812a7b1d5795ab140b65a1272ee8c0|putback_tune:2d6025de7f812a7b1d5795ab140b65a1272ee8c0,base_old_tune:919|live_tune:923|putback_tune:923,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\base_old_tune\0xA562A52D_0x22B6CAA7_physics.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_tune\0xA562A52D_0x22B6CAA7_physics.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_tune\0xA562A52D_0x22B6CAA7_physics.xml,leaf_hash_changed,
0xA562A52D\0x34203459\tumbleweeds.xml,base_old_tune|live_tune|putback_tune,3,different_between_versions,base_old_tune:881fe5d6197468f8b4dea0bed552822ef26f9388|live_tune:979339ac3706fc825c073d40594f00f1f179386f|putback_tune:33bd9890f7530139d631197f4a9ceae159ee5229,base_old_tune:733|live_tune:767|putback_tune:776,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\base_old_tune\0xA562A52D_0x34203459_tumbleweeds.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_tune\0xA562A52D_0x34203459_tumbleweeds.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_tune\0xA562A52D_0x34203459_tumbleweeds.xml,leaf_hash_changed|leaf_hash_same,spawn
0xA562A52D\0x54A69840\rain_render.xml,base_old_tune|live_tune|putback_tune,2,different_between_versions,base_old_tune:f32b0ad8fef303c71522e8e9e9cc4fa2daf75e0f|live_tune:8f01c2fe0e64fe2eaaa7537b67b5b6daeeb2c12d|putback_tune:f32b0ad8fef303c71522e8e9e9cc4fa2daf75e0f,base_old_tune:578|live_tune:578|putback_tune:578,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\base_old_tune\0xA562A52D_0x54A69840_rain_render.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_tune\0xA562A52D_0x54A69840_rain_render.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_tune\0xA562A52D_0x54A69840_rain_render.xml,leaf_hash_changed|leaf_hash_same,
0xA562A52D\0x5791780F\treetypesettings.xml,base_old_tune|live_tune|putback_tune,2,different_between_versions,base_old_tune:0088c3bb365471d9819d9d505606b8b433ef5867|live_tune:0088c3bb365471d9819d9d505606b8b433ef5867|putback_tune:f703b276be20db7f35e4842732e0da67b4d7c31c,base_old_tune:161165|live_tune:161165|putback_tune:161261,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\base_old_tune\0xA562A52D_0x5791780F_treetypesettings.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_tune\0xA562A52D_0x5791780F_treetypesettings.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_tune\0xA562A52D_0x5791780F_treetypesettings.xml,leaf_hash_changed|leaf_hash_same,law;ui
0xA562A52D\0x6536F8C2\environment.xml,base_old_tune|live_tune|putback_tune,2,different_between_versions,base_old_tune:4a6bbb79821492113e2c2e5a75bf7c32ad24d920|live_tune:26f5c2ab7c4acb38ac7c1f0e575ab58141368614|putback_tune:4a6bbb79821492113e2c2e5a75bf7c32ad24d920,base_old_tune:140|live_tune:146|putback_tune:140,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\base_old_tune\0xA562A52D_0x6536F8C2_environment.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_tune\0xA562A52D_0x6536F8C2_environment.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_tune\0xA562A52D_0x6536F8C2_environment.xml,leaf_hash_changed|leaf_hash_same,
0xA562A52D\0x6536F8C2\moon.xml,base_old_tune|live_tune|putback_tune,2,different_between_versions,base_old_tune:835a0cd8e3baff02069f4cd2e4809b8b9787317b|live_tune:835a0cd8e3baff02069f4cd2e4809b8b9787317b|putback_tune:daa79475124c8555024112e1cee94506d6d5c5a2,base_old_tune:445|live_tune:445|putback_tune:473,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\base_old_tune\0xA562A52D_0x6536F8C2_moon.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_tune\0xA562A52D_0x6536F8C2_moon.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_tune\0xA562A52D_0x6536F8C2_moon.xml,leaf_hash_changed,
0xA562A52D\0x6F0783F5\hrssimtune.xml,base_old_tune|live_tune|putback_tune,2,different_between_versions,base_old_tune:2f3dc506b419f91b8a3a7e08d0ef5d2a1caf48da|live_tune:7c21625d3dfab4570f42e1ac9d0944106cf2f6eb|putback_tune:7c21625d3dfab4570f42e1ac9d0944106cf2f6eb,base_old_tune:277160|live_tune:278010|putback_tune:278010,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\base_old_tune\0xA562A52D_0x6F0783F5_hrssimtune.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_tune\0xA562A52D_0x6F0783F5_hrssimtune.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_tune\0xA562A52D_0x6F0783F5_hrssimtune.xml,leaf_hash_changed,ui;wagon
