archive,archive_path,entry_path,name,extension,layer,size,offset,is_resource,resource_type,base_name,name_hash
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/08c022c0_bnd.wtb,08c022c0_bnd.wtb,.wtb,terrain_bounds_wtb,28177,42266624,True,36,08c022c0_bnd,0x76D37F5F
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/108029c0_bnd.wtb,108029c0_bnd.wtb,.wtb,terrain_bounds_wtb,49821,116215808,True,36,108029c0_bnd,0x9EB916A9
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/13402b40_bnd.wtb,13402b40_bnd.wtb,.wtb,terrain_bounds_wtb,74787,144140288,True,36,13402b40_bnd,0x9E2A3CA5
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/12402b40_bnd.wtb,12402b40_bnd.wtb,.wtb,terrain_bounds_wtb,44126,132333568,True,36,12402b40_bnd,0x1CA410D0
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/1d801c00_bnd.wtb,1d801c00_bnd.wtb,.wtb,terrain_bounds_wtb,1115,212234240,True,36,1d801c00_bnd,0xD0C5C5FC
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/19001d40_bnd.wtb,19001d40_bnd.wtb,.wtb,terrain_bounds_wtb,8247,202588160,True,36,19001d40_bnd,0x41B898B0
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/12c02000_bnd.wtb,12c02000_bnd.wtb,.wtb,terrain_bounds_wtb,39859,135397376,True,36,12c02000_bnd,0x490266DC
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/16402780_bnd.wtb,16402780_bnd.wtb,.wtb,terrain_bounds_wtb,69262,180500480,True,36,16402780_bnd,0x72CE542D
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/18402480_bnd.wtb,18402480_bnd.wtb,.wtb,terrain_bounds_wtb,9579,197984256,True,36,18402480_bnd,0xA65B6D6B
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0b8020c0_bnd.wtb,0b8020c0_bnd.wtb,.wtb,terrain_bounds_wtb,42263,68608000,True,36,0b8020c0_bnd,0x5493386C
