archive,source_path,line,model,declared_count,smic_count,smics,has_player_hand,has_gunbelt,has_holster,has_left_or_right
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,607,player_bandito,2,2,smic_player_bandito_1 smic_player_default_hand_1_rm,1,0,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,608,player_bandito_cs,3,3,smic_player_bandito_1 smic_player_default_IM_texture_rm smic_player_default_hand_1_rm,1,0,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,611,player_cattleRustler,2,2,smic_player_cattleRustler_1 smic_player_default_hand_1_rm,1,0,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,612,player_cattleRustler_cs,3,3,smic_player_cattleRustler_1 smic_player_default_IM_texture_rm smic_player_default_hand_1_rm,1,0,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,615,player_default,2,2,smic_player_default_1_rm smic_player_default_hand_1_rm,1,0,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,616,player_default_cs,3,3,smic_player_default_1_rm smic_player_default_IM_texture_rm smic_player_default_hand_1_rm,1,0,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,618,player_default_intro,2,2,smic_player_default_hand_1_rm smic_player_default_intro_1,1,0,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,619,player_default_intro_cs,3,3,smic_player_default_IM_texture_rm smic_player_default_hand_1_rm smic_player_default_intro_1,1,0,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,623,player_default_wounded01,2,2,smic_player_default_hand_1_rm smic_player_default_wounded01_1,1,0,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,624,player_default_wounded01_cs,3,3,smic_player_default_IM_texture_rm smic_player_default_hand_1_rm smic_player_default_wounded01_1,1,0,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,627,player_default_wounded02,2,2,smic_player_default_hand_1_rm smic_player_default_wounded02_1,1,0,0,0
tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,628,player_default_wounded02_cs,3,3,smic_player_default_IM_texture_rm smic_player_default_hand_1_rm smic_player_default_wounded02_1,1,0,0,0
