offset,offset_hex,type_hex,query_name,hash_code,parent_offset,parent_ptr,component_type,instance_index,script_name,gringo_name,child_count,child_array_offset,instanced_item_count,instanced_items_offset,hashed_name,message_mask,activation_radius,instance_slot_count,critical,large_script,maintain_state,source_file
245456,0x0003BED0,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\Vehicle_Generator,,2,784612,0,,0x00000000,0x00000000,200.0,0,0,0,0,commongringos.wgd.decoded
249636,0x0003CF24,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\Vehicle_Generator,,2,784636,0,,0x00000000,0x00000000,200.0,0,0,0,0,commongringos.wgd.decoded
250776,0x0003D398,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\car_gringo,,0,,0,,0x00000000,0x00000000,200.0,0,1,0,1,commongringos.wgd.decoded
252220,0x0003D93C,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\Vehicle_Generator,,2,773572,0,,0x00000000,0x00000000,200.0,0,0,0,0,commongringos.wgd.decoded
259440,0x0003F570,0x01979634,,0x410215CF,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\TrainGringo.sc,,1,795004,3,721544,0x00000000,0x0000074F,20.0,3,0,0,1,commongringos.wgd.decoded
270504,0x000420A8,0x01979634,,0x05B5C16A,,,ItemGringo,-1,content\scripting\gringo\GringoBrains\GringoBrainScripts\Gen_Vehicle_Brain,,0,,0,,0x00000000,0x00000000,2147483648.0,0,1,0,1,commongringos.wgd.decoded
271112,0x00042308,0x01979634,,0x05B5C16A,,,ItemGringo,-1,content\scripting\gringo\GringoBrains\GringoBrainScripts\Train_Brain,,7,517360,0,,0x00000000,0x00000000,2147483648.0,0,1,0,1,commongringos.wgd.decoded
276128,0x000436A0,0x01979634,,0x410215CF,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\ClimbOntoWagon,,1,793732,3,710332,0x00000000,0x0000074F,0.75,3,0,0,1,commongringos.wgd.decoded
278864,0x00044150,0x01979634,,0x410215CF,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\TrainSitGringo,,2,779116,8,482352,0x00000000,0x00002F6F,0.0,8,0,0,1,commongringos.wgd.decoded
285552,0x00045B70,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\Vehicle_Generator,,2,753628,0,,0x00000000,0x00000000,200.0,0,0,0,0,commongringos.wgd.decoded
286388,0x00045EB4,0x01979634,,0x410215CF,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\GatlingAttachGringo,,3,726140,12,454416,0x00000000,0x0000077F,0.0,12,0,0,1,commongringos.wgd.decoded
287224,0x000461F8,0x01979634,,0x410215CF,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\TurretAttachMover,,3,724880,12,453312,0x00000000,0x0000077F,0.0,12,0,0,1,commongringos.wgd.decoded
287604,0x00046374,0x01979634,,0x410215CF,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\train_conductor,,1,793704,7,521056,0x00000000,0x00002F6F,0.0,7,0,0,1,commongringos.wgd.decoded
288440,0x000466B8,0x01979634,,0x410215CF,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\TurretAttachMover,,4,666348,16,321096,0x00000000,0x0000077F,0.0,16,0,0,1,commongringos.wgd.decoded
288744,0x000467E8,0x01979634,,0x410215CF,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\TurretAttachMover,,1,799460,5,624936,0x00000000,0x00002F7F,0.0,5,0,0,1,commongringos.wgd.decoded
291252,0x000471B4,0x01979634,,0x410215CF,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\TrainGringo,,1,793872,3,723200,0x00000000,0x0000074F,100.0,3,0,0,1,commongringos.wgd.decoded
292012,0x000474AC,0x01979634,,0x410215CF,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\TrainGringo,,1,793908,3,723404,0x00000000,0x0000074F,100.0,3,0,0,1,commongringos.wgd.decoded
294292,0x00047D94,0x01979634,,0x410215CF,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\TrainGringo,,1,793944,3,723596,0x00000000,0x0000074F,100.0,3,0,0,1,commongringos.wgd.decoded
296344,0x00048598,0x01979634,,0x410215CF,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\TrainFootlocker,,1,794004,8,481712,0x00000000,0x00002F6F,100.0,8,0,0,1,commongringos.wgd.decoded
300296,0x00049508,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\Vehicle_Generator,,2,778452,0,,0x00000000,0x00000000,200.0,0,0,0,0,commongringos.wgd.decoded
300904,0x00049768,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\trainCar_gringo,,0,,0,,0x00000000,0x00000000,200.0,0,0,0,1,commongringos.wgd.decoded
300980,0x000497B4,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\trainCarArmored_gringo,,0,,0,,0x00000000,0x00000000,200.0,0,0,0,1,commongringos.wgd.decoded
301360,0x00049930,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\trainCarBaggage_gringo,,0,,0,,0x00000000,0x00000000,200.0,0,0,0,1,commongringos.wgd.decoded
301664,0x00049A60,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\trainCarBox01_gringo,,0,,0,,0x00000000,0x00000000,200.0,0,0,0,1,commongringos.wgd.decoded
301740,0x00049AAC,0x01979634,,0x410215CF,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\TrainSitGringo,,2,779532,7,506160,0x00000000,0x0000074F,0.0,7,0,0,1,commongringos.wgd.decoded
301816,0x00049AF8,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\trainCarBox02_gringo,,0,,0,,0x00000000,0x00000000,200.0,0,0,0,1,commongringos.wgd.decoded
302044,0x00049BDC,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\trainCarBox03_gringo,,0,,0,,0x00000000,0x00000000,200.0,0,0,0,1,commongringos.wgd.decoded
302424,0x00049D58,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\trainCarBox04_gringo,,0,,0,,0x00000000,0x00000000,200.0,0,0,0,1,commongringos.wgd.decoded
302576,0x00049DF0,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\trainCarBox05_gringo,,0,,0,,0x00000000,0x00000000,200.0,0,0,0,1,commongringos.wgd.decoded
302804,0x00049ED4,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\trainCarCaboose_gringo,,0,,0,,0x00000000,0x00000000,200.0,0,0,0,1,commongringos.wgd.decoded
303412,0x0004A134,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\trainCarCattle_gringo,,0,,0,,0x00000000,0x00000000,200.0,0,0,0,1,commongringos.wgd.decoded
304020,0x0004A394,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\trainCarFlat_gringo,,0,,0,,0x00000000,0x00000000,200.0,0,0,0,1,commongringos.wgd.decoded
304324,0x0004A4C4,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\trainCarSteamer_gringo,,0,,0,,0x00000000,0x00000000,200.0,0,0,0,1,commongringos.wgd.decoded
304400,0x0004A510,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\trainCarWood_gringo,,0,,0,,0x00000000,0x00000000,200.0,0,0,0,1,commongringos.wgd.decoded
305616,0x0004A9D0,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\Vehicle_Generator,,2,784948,0,,0x00000000,0x00000000,200.0,0,0,0,0,commongringos.wgd.decoded
308428,0x0004B4CC,0x01979634,,0x410215CF,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\CarCrank_gringo,,1,794404,3,728048,0x00000000,0x0000074F,100.0,3,0,0,0,commongringos.wgd.decoded
313596,0x0004C8FC,0x01979634,,0x410215CF,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\PlayerCar,,1,799064,3,727940,0x00000000,0x0000074F,200.0,3,0,0,1,commongringos.wgd.decoded
314508,0x0004CC8C,0x01979634,,0x082A4EBE,,,ItemGringo,-1,content\scripting\gringo\CommonScripts\Vehicle_Generator,,2,763092,0,,0x00000000,0x00000000,200.0,0,0,0,0,commongringos.wgd.decoded
