offset,offset_hex,length,text,population_term
39,0x27,10,Formations,
65,0x41,10,Formations,
94,0x5E,68,SoBFailed to create FUI iterator. Script will not receive FUI events,
331,0x14B,4,"RD,o",
336,0x150,12,generalMenus,
363,0x16B,22,NetworkingLayerOffline,
391,0x187,9,PauseMenu,
425,0x1A9,5,Param,
433,0x1B1,10,pauseStart,
452,0x1C4,20,NetTab_ProfileTitles,
478,0x1DE,14,NetTab_Profile,
498,0x1F2,10,Net_titles,
520,0x208,5,Param,
528,0x210,14,Title_Selected,
551,0x227,10,Net_titles,
576,0x240,14,MPP_TitleValue,
598,0x256,10,Net_titles,
621,0x26D,22,NetworkingLayerOffline,
649,0x289,9,PauseMenu,
664,0x298,9,MPProfile,
685,0x2AD,5,Param,
693,0x2B5,8,Prestige,
720,0x2D0,20,MP_XP_RollOver_Popup,
749,0x2ED,5,Param,
757,0x2F5,14,Mount_Selected,
780,0x30C,24,Net_Profile_Mount_Select,
843,0x34B,22,NetworkingLayerOffline,
871,0x367,9,PauseMenu,
889,0x379,5,Param,
897,0x381,12,Prestige_Opt,
918,0x396,16,Net_Prestige_Opt,
939,0x3AB,4,9#8#,
958,0x3BE,22,NetworkingLayerOffline,
986,0x3DA,9,PauseMenu,
1016,0x3F8,8,OSy=H= %,
1034,0x40A,10,OSy=H= %@R,
1120,0x460,26,RIDEABLE_ANIMAL_MEX_Mule01,
1156,0x484,28,RIDEABLE_ANIMAL_HorseMangy01,
1194,0x4AA,23,RIDEABLE_ANIMAL_Horse01,
1227,0x4CB,23,RIDEABLE_ANIMAL_Horse03,
1260,0x4EC,23,RIDEABLE_ANIMAL_Horse07,
1293,0x50D,23,RIDEABLE_ANIMAL_Horse04,
1326,0x52E,22,RIDEABLE_ANIMAL_Bull01,
1389,0x56D,14,MPP_TitleValue,
1460,0x5B4,6,'= r@o,
1467,0x5BB,15,MpTitleStringId,
1637,0x665,64,o?TITLE_UIID_TO_ID didn't get a valid Title UI ID. Returning -1!,
1733,0x6C5,29,Poker_Quit_Confirmation_Popup,
1774,0x6EE,5,Param,
1782,0x6F6,12,RollOver_Yes,
1809,0x711,13,bQuitMinigame,
1830,0x726,29,Poker_Quit_Confirmation_Popup,
1871,0x74F,5,Param,
1879,0x757,11,RollOver_No,
1905,0x771,13,bQuitMinigame,
1926,0x786,29,Poker_Quit_Confirmation_Popup,
1961,0x7A9,36,"<o""Blackjack_Quit_Confirmation_Popup",
2009,0x7D9,5,Param,
2017,0x7E1,12,RollOver_Yes,
2044,0x7FC,13,bQuitMinigame,
2061,0x80D,37,"&+o""Blackjack_Quit_Confirmation_Popup",
2110,0x83E,5,Param,
2118,0x846,11,RollOver_No,
2144,0x860,13,bQuitMinigame,
2161,0x871,37,"&+o""Blackjack_Quit_Confirmation_Popup",
2204,0x89C,37,Io#Horseshoes_Quit_Confirmation_Popup,
2253,0x8CD,5,Param,
2261,0x8D5,12,RollOver_Yes,
2288,0x8F0,13,bQuitMinigame,
2305,0x901,38,&+o#Horseshoes_Quit_Confirmation_Popup,
2355,0x933,5,Param,
2363,0x93B,11,RollOver_No,
2389,0x955,13,bQuitMinigame,
2406,0x966,38,&+o#Horseshoes_Quit_Confirmation_Popup,
2450,0x992,35,So!Drinking_Quit_Confirmation_Popup,
2497,0x9C1,5,Param,
2505,0x9C9,12,RollOver_Yes,
2532,0x9E4,13,bQuitMinigame,
2549,0x9F5,36,&+o!Drinking_Quit_Confirmation_Popup,
2597,0xA25,5,Param,
2605,0xA2D,11,RollOver_No,
2631,0xA47,13,bQuitMinigame,
2648,0xA58,36,&+o!Drinking_Quit_Confirmation_Popup,
2690,0xA82,36,"co""Liarsdice_Quit_Confirmation_Popup",
2738,0xAB2,5,Param,
2746,0xABA,12,RollOver_Yes,
2773,0xAD5,13,bQuitMinigame,
2790,0xAE6,37,"&+o""Liarsdice_Quit_Confirmation_Popup",
2839,0xB17,5,Param,
2847,0xB1F,11,RollOver_No,
2873,0xB39,13,bQuitMinigame,
2890,0xB4A,37,"&+o""Liarsdice_Quit_Confirmation_Popup",
2933,0xB75,39,po%Armwrestling_Quit_Confirmation_Popup,
2984,0xBA8,5,Param,
2992,0xBB0,12,RollOver_Yes,
3019,0xBCB,13,bQuitMinigame,
3036,0xBDC,40,&+o%Armwrestling_Quit_Confirmation_Popup,
3088,0xC10,5,Param,
3096,0xC18,11,RollOver_No,
3122,0xC32,13,bQuitMinigame,
3139,0xC43,40,&+o%Armwrestling_Quit_Confirmation_Popup,
3185,0xC71,43,to)Fivefingerfillet_Quit_Confirmation_Popup,
3240,0xCA8,5,Param,
3248,0xCB0,12,RollOver_Yes,
3275,0xCCB,13,bQuitMinigame,
3292,0xCDC,44,&+o)Fivefingerfillet_Quit_Confirmation_Popup,
3348,0xD14,5,Param,
3356,0xD1C,11,RollOver_No,
3382,0xD36,13,bQuitMinigame,
3399,0xD47,44,&+o)Fivefingerfillet_Quit_Confirmation_Popup,
3449,0xD79,38,lo$Merchant05_Retry_Confirmation_Popup,
3499,0xDAB,5,Param,
3507,0xDB3,12,RollOver_Yes,
3534,0xDCE,16,bRetryMerchant05,
3554,0xDE2,39,&+o$Merchant05_Retry_Confirmation_Popup,
3605,0xE15,5,Param,
3613,0xE1D,11,RollOver_No,
3639,0xE37,16,bRetryMerchant05,
3659,0xE4B,39,&+o$Merchant05_Retry_Confirmation_Popup,
3707,0xE7B,20,MP_XP_RollOver_Popup,
3739,0xE9B,5,Param,
3747,0xEA3,12,RollOver_Yes,
3768,0xEB8,21,MP_XP_RollOver_Popup2,
3795,0xED3,20,MP_XP_RollOver_Popup,
3821,0xEED,21,MP_XP_RollOver_Popup2,
3854,0xF0E,5,Param,
3862,0xF16,11,RollOver_No,
3882,0xF2A,20,MP_XP_RollOver_Popup,
3908,0xF44,22,NetworkingLayerOffline,
3936,0xF60,9,PauseMenu,
3951,0xF6F,10,pauseStart,
3970,0xF82,21,MP_XP_RollOver_Popup2,
4003,0xFA3,5,Param,
4011,0xFAB,13,RollOver_Yes2,
4040,0xFC8,4,RCSo,
4045,0xFCD,21,MP_XP_RollOver_Popup2,
4072,0xFE8,22,NetworkingLayerOffline,
4100,0x1004,14,PauseMenuScene,
4126,0x101E,5,Param,
4134,0x1026,12,RollOver_No2,
4155,0x103B,21,MP_XP_RollOver_Popup2,
4182,0x1056,22,NetworkingLayerOffline,
4210,0x1072,9,PauseMenu,
4225,0x1081,10,pauseStart,
4244,0x1094,13,MP_AvatarQuit,
4269,0x10AD,5,Param,
4277,0x10B5,12,RollOver_Yes,
4301,0x10CD,10,AvatarQuit,
4319,0x10DF,13,MP_AvatarQuit,
4344,0x10F8,19,MP_BarkerPosseLeave,
4375,0x1117,5,Param,
4383,0x111F,12,RollOver_Yes,
4401,0x1131,5,4RC!o,
4407,0x1137,16,BarkerPosseLeave,
4431,0x114F,19,MP_BarkerPosseLeave,
4459,0x116B,17,MissionFailedMenu,
4488,0x1188,5,Param,
4496,0x1190,7,Restart,
4515,0x11A3,5,Param,
4523,0x11AB,6,cancel,
4541,0x11BD,5,Param,
4549,0x11C5,4,Jump,
4565,0x11D5,5,Param,
4573,0x11DD,13,cancelMission,
4598,0x11F6,5,Param,
4606,0x11FE,4,Jump,
4614,0x1206,40,o'Mission_Failed_Jump_Confirmation_Popup,
4662,0x1236,41,;o'Mission_Failed_Jump_Confirmation_Popup,
4712,0x1268,5,Param,
4720,0x1270,42,)+o'Mission_Failed_Jump_Confirmation_Popup,
4774,0x12A6,5,Param,
4782,0x12AE,7,Jump_No,
4801,0x12C1,5,Param,
4809,0x12C9,42,)+o'Mission_Failed_Jump_Confirmation_Popup,
4860,0x12FC,5,Param,
4868,0x1304,8,Jump_Yes,
4893,0x131D,5,Param,
4901,0x1325,4,)+RB,
4929,0x1341,4,RB07,
4974,0x136E,42,-+o'Mission_Failed_Jump_Confirmation_Popup,
5022,0x139E,15,HudSceneOffline,
5043,0x13B3,17,MissionFailedMenu,
5072,0x13D0,5,Param,
5080,0x13D8,19,CancelMissionPrompt,
5103,0x13EF,42,o)Mission_Failed_Cancel_Confirmation_Popup,
5153,0x1421,43,=o)Mission_Failed_Cancel_Confirmation_Popup,
5205,0x1455,5,Param,
5213,0x145D,44,)+o)Mission_Failed_Cancel_Confirmation_Popup,
5269,0x1495,5,Param,
5277,0x149D,9,Cancel_No,
5292,0x14AC,43,=o)Mission_Failed_Cancel_Confirmation_Popup,
5344,0x14E0,5,Param,
5359,0x14EF,5,Param,
5367,0x14F7,7,Restart,
5383,0x1507,30,Selected RETRY FROM CHECKPOINT,
5443,0x1543,6,_Retry,
5538,0x15A2,15,HudSceneOffline,
5559,0x15B7,17,MissionFailedMenu,
5591,0x15D7,5,Param,
5599,0x15DF,13,cancelMission,
5619,0x15F3,42,o)Mission_Failed_Cancel_Confirmation_Popup,
5667,0x1623,23,Selected CANCEL MISSION,
5693,0x163D,5,.R<@P,
5769,0x1689,5,Param,
5777,0x1691,20,InTransitionComplete,
5806,0x16AE,20,MissionFailedPrompts,
5862,0x16E6,41,Lo'Showing Experience Mode Prompt Screen!,
5912,0x1718,20,MissionFailed_Casual,
5941,0x1735,20,MissionFailed_Casual,
5973,0x1755,5,Param,
5981,0x175D,20,ExperienceChange_Yes,
6022,0x1786,16,ExperienceChange,
6044,0x179C,20,MissionFailed_Casual,
6076,0x17BC,5,Param,
6084,0x17C4,19,ExperienceChange_No,
6112,0x17E0,16,ExperienceChange,
6134,0x17F6,22,ExperienceChangeDenied,
6162,0x1812,16,ExperienceChange,
6187,0x182B,13,Wanted_Poster,
6212,0x1844,5,Param,
6220,0x184C,6,cancel,
6235,0x185B,13,Wanted_Poster,
6257,0x1871,11,DeathScreen,
6280,0x1888,5,Param,
6288,0x1890,20,InTransitionComplete,
6370,0x18E2,5,R;~R:,
6390,0x18F6,7,R;~R:47,
6433,0x1921,13,SaveMenuScene,
6458,0x193A,5,Param,
6466,0x1942,30,fileSaveInSelectedSlotBeginNew,
6505,0x1969,5,Param,
6511,0x196F,38,o%fileSaveInSelectedSlotBeginOverwrite,
6562,0x19A2,4,R:'c,
6573,0x19AD,6,/R9x7 ,
6596,0x19C4,4,;+7 ,
6607,0x19CF,7,7!28#R9,
6642,0x19F2,5,Param,
6648,0x19F8,38,o%fileSaveInSelectedSlotBeginOverwrite,
6692,0x1A24,34,(o fileSaveInSelectedSlotOverwrite,
6735,0x1A4F,25,fileSaveInSelectedSlotNew,
6772,0x1A74,5,Param,
6780,0x1A7C,23,fileSelectedSaveSuccess,
6812,0x1A9C,5,Param,
6820,0x1AA4,10,CancelSave,
6840,0x1AB8,5,Param,
6848,0x1AC0,15,fileNoSaveEvent,
6882,0x1AE2,6,{R9x7$,
6905,0x1AF9,4,;+7$,
6912,0x1B00,4,<9'O,
6929,0x1B11,5,7%28',
6945,0x1B21,28,No valid wake up flag found!,
7034,0x1B7A,13,SaveMenuScene,
7067,0x1B9B,5,Param,
7075,0x1BA3,23,fileSelectedSaveSuccess,
7116,0x1BCC,9,Cutscenes,
7154,0x1BF2,14,CanSaveNowCamp,
7181,0x1C0D,14,CanSaveNowCamp,
7206,0x1C26,13,CanSaveNowBed,
7232,0x1C40,13,CanSaveNowBed,
7256,0x1C58,16,SAVE_restartFlag,
7285,0x1C75,16,SAVE_restartFlag,
7312,0x1C90,18,CanSaveNowAutoSave,
7343,0x1CAF,18,CanSaveNowAutoSave,
7372,0x1CCC,15,bPlayerSleeping,
7400,0x1CE8,15,bPlayerSleeping,
7418,0x1CFA,4,)+z-,
7451,0x1D1B,7,R6>++R5,
7459,0x1D23,4,++R5,
7470,0x1D2E,4,++R!,
7475,0x1D33,4,R *R,
7723,0x1E2B,4,"H%,O",
7895,0x1ED7,227,"For whatever reason, the system thinks we have more than 50 completed quests. This is bad, since the array we save them in only has 20 elements. Capping it and saving. Your save may not include all of the things you like in it.",
8298,0x206A,224,"For whatever reason, the system thinks we have more than 20 active quests. This is bad, since the array we save them in only has 20 elements. Capping it and saving. Your save may not include all of the things you like in it.",
9237,0x2415,7,fav_non,
9376,0x24A0,5,fwep_,
9413,0x24C5,69,JoCSTAT_SET_VALUE_AS_INT_NOW: Attempting to use a Stat out of bounds.,
9501,0x251D,87,oVSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of this STAT_TYPE_LIFETIME directly: ,
9604,0x2584,120,"6ovSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of a STAT_TYPE_LIFETIME directly, use the COLLECTION version instead!",
9743,0x260F,90,oYSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of this STAT_TYPE_COLLECTIBLE directly: ,
9852,0x267C,134,"STAT_SET_VALUE_AS_INT_NOW: You cannot set value of a STAT_TYPE_COLLECTIBLE directly, only increase and decrease operations are allowed",
10109,0x277D,5,= r 7,
10152,0x27A8,5,= t 8,
10208,0x27E0,5,= t 7,
10222,0x27EE,5,= t 8,
10292,0x2834,5,= r b,
10312,0x2848,4, lbs,
10324,0x2854,5,= t b,
10354,0x2872,4,= v8,
10371,0x2883,5,= t o,
10377,0x2889,4, ton,
10389,0x2895,5,= t b,
10409,0x28A9,4,= v8,
10463,0x28DF,5,"@<@<,",
10519,0x2917,5,= t 8,
10531,0x2923,5, days,
10544,0x2930,5,= t b,
10553,0x2939,4, day,
10565,0x2945,4,= t ,
10594,0x2962,5,= t 8,
10610,0x2972,5,= t o,
10627,0x2983,4,= t ,
10656,0x29A0,5,= t 8,
10672,0x29B0,5,= t o,
10678,0x29B6,4, min,
10690,0x29C2,4,= t ,
10719,0x29DF,5,= t 8,
10735,0x29EF,5,= t o,
10741,0x29F5,4, sec,
10753,0x2A01,4,= t ,
10775,0x2A17,5,= t o,
10781,0x2A1D,4, min,
10793,0x2A29,5,= t 8,
10829,0x2A4D,5,= t 8,
10845,0x2A5D,5,= t o,
10851,0x2A63,4, sec,
10863,0x2A6F,5,= t b,
10880,0x2A80,5,= t o,
10886,0x2A86,4, sec,
10898,0x2A92,5,= t b,
10918,0x2AA6,4,= v8,
10989,0x2AED,5,= t b,
11011,0x2B03,5,= t 8,
11033,0x2B19,5,= t b,
11053,0x2B2D,5,= t b,
11073,0x2B41,4,= v8,
11104,0x2B60,5,= t b,
11126,0x2B76,5,= t 8,
11139,0x2B83,5, days,
11152,0x2B90,5,= t b,
11161,0x2B99,4, day,
11173,0x2BA5,5,= t b,
11190,0x2BB6,7,stat_of,
11208,0x2BC8,5,= t A,
11231,0x2BDF,5,= t b,
11394,0x2C82,4,R/F8,
11450,0x2CBA,4,$%1h,
11479,0x2CD7,11,Common_Null,
11708,0x2DBC,4,lvl_,
11727,0x2DCF,5,_icon,
11750,0x2DE6,20,icon_prestige_award_,
11794,0x2E12,14,icon_prestige_,
11842,0x2E42,21,icon_prestige_award_4,
11873,0x2E61,20,icon_prestige_award_,
11917,0x2E8D,6,_color,
12028,0x2EFC,5,fR/47,
12035,0x2F03,4,0%d8,
12051,0x2F13,4,fR/4,
12056,0x2F18,4,"R/""7",
12112,0x2F50,50,8o0STAT_CALCULATE_PROGRESSBAR_VALUES: STAT_INVALID,
12217,0x2FB9,4,R0z%,
12225,0x2FC1,4,R0z%,
12234,0x2FCA,4,R0z%,
12243,0x2FD3,4,R0z%,
12448,0x30A0,28,STAT_GET_VALUE: STAT_INVALID,
12492,0x30CC,35,(o!STAT_GET_MAX_VALUE: STAT_INVALID,
12582,0x3126,75,oJSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMaxRange - ,
12673,0x3181,73,6oGSTAT_CHECK_RANGES: Attempting to increment a STAT out of its fMaxRange,
12784,0x31F0,75,oJSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMinRange - ,
12875,0x324B,73,6oGSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMinRange,
12969,0x32A9,72,MoFSTAT_UPDATE_MY_LIFETIME_STAT: Attempting to use a Stat out of bounds.,
13077,0x3315,80,UoNSTAT_UPDATE_MY_LIFETIME_STAT: Attempting to use a LifetimeStat out of bounds.,
13272,0x33D8,93,po[STAT_UPDATE_MY_LIFETIME_STAT: Attempting to increment a LifetimeStat out of its fMaxRange.,
13418,0x346A,93,po[STAT_UPDATE_MY_LIFETIME_STAT: Attempting to decrement a LifetimeStat out of its fMinRange.,
13543,0x34E7,38,+o$STAT_GET_VALUE_AS_INT: STAT_INVALID,
13605,0x3525,7,fav_non,
13628,0x353C,4,:%28,
13711,0x358F,5,fwep_,
13742,0x35AE,7,fav_non,
13779,0x35D3,4,1%28,
13862,0x3626,5,fwep_,
13893,0x3645,7,fav_non,
13917,0x365D,4,4%28,
13992,0x36A8,5,fwep_,
14020,0x36C4,4,0j)=,
14090,0x370A,61,Bo;STAT_INCREASE_NOW: Attempting to use a Stat out of bounds.,
