offset,offset_hex,length,text,population_term
39,0x27,10,Formations,
65,0x41,10,Formations,
94,0x5E,68,SoBFailed to create FUI iterator. Script will not receive FUI events,
336,0x150,12,generalMenus,
363,0x16B,22,NetworkingLayerOffline,
391,0x187,9,PauseMenu,
425,0x1A9,5,Param,
433,0x1B1,10,pauseStart,
452,0x1C4,20,NetTab_ProfileTitles,
478,0x1DE,14,NetTab_Profile,
498,0x1F2,10,Net_titles,
520,0x208,5,Param,
528,0x210,14,Title_Selected,
551,0x227,10,Net_titles,
576,0x240,14,MPP_TitleValue,
598,0x256,10,Net_titles,
621,0x26D,22,NetworkingLayerOffline,
649,0x289,9,PauseMenu,
664,0x298,9,MPProfile,
685,0x2AD,5,Param,
693,0x2B5,8,Prestige,
720,0x2D0,20,MP_XP_RollOver_Popup,
749,0x2ED,5,Param,
757,0x2F5,14,Mount_Selected,
780,0x30C,24,Net_Profile_Mount_Select,
843,0x34B,22,NetworkingLayerOffline,
871,0x367,9,PauseMenu,
889,0x379,5,Param,
897,0x381,12,Prestige_Opt,
918,0x396,16,Net_Prestige_Opt,
939,0x3AB,4,9#8#,
958,0x3BE,22,NetworkingLayerOffline,
986,0x3DA,9,PauseMenu,
1016,0x3F8,8,OSy=H= %,
1034,0x40A,10,OSy=H= %@R,
1120,0x460,26,RIDEABLE_ANIMAL_MEX_Mule01,
1156,0x484,28,RIDEABLE_ANIMAL_HorseMangy01,
1194,0x4AA,23,RIDEABLE_ANIMAL_Horse01,
1227,0x4CB,23,RIDEABLE_ANIMAL_Horse03,
1260,0x4EC,23,RIDEABLE_ANIMAL_Horse07,
1293,0x50D,23,RIDEABLE_ANIMAL_Horse04,
1326,0x52E,22,RIDEABLE_ANIMAL_Bull01,
1389,0x56D,14,MPP_TitleValue,
1460,0x5B4,6,'= r@o,
1467,0x5BB,15,MpTitleStringId,
1637,0x665,64,o?TITLE_UIID_TO_ID didn't get a valid Title UI ID. Returning -1!,
1733,0x6C5,20,MP_XP_RollOver_Popup,
1765,0x6E5,5,Param,
1773,0x6ED,12,RollOver_Yes,
1794,0x702,21,MP_XP_RollOver_Popup2,
1821,0x71D,20,MP_XP_RollOver_Popup,
1847,0x737,21,MP_XP_RollOver_Popup2,
1880,0x758,5,Param,
1888,0x760,11,RollOver_No,
1908,0x774,20,MP_XP_RollOver_Popup,
1934,0x78E,22,NetworkingLayerOffline,
1962,0x7AA,9,PauseMenu,
1977,0x7B9,10,pauseStart,
1996,0x7CC,21,MP_XP_RollOver_Popup2,
2029,0x7ED,5,Param,
2037,0x7F5,13,RollOver_Yes2,
2071,0x817,21,MP_XP_RollOver_Popup2,
2098,0x832,22,NetworkingLayerOffline,
2126,0x84E,14,PauseMenuScene,
2152,0x868,5,Param,
2160,0x870,12,RollOver_No2,
2181,0x885,21,MP_XP_RollOver_Popup2,
2208,0x8A0,22,NetworkingLayerOffline,
2236,0x8BC,9,PauseMenu,
2251,0x8CB,10,pauseStart,
2270,0x8DE,13,MP_AvatarQuit,
2295,0x8F7,5,Param,
2303,0x8FF,12,RollOver_Yes,
2327,0x917,10,AvatarQuit,
2345,0x929,13,MP_AvatarQuit,
2370,0x942,19,MP_BarkerPosseLeave,
2401,0x961,5,Param,
2409,0x969,12,RollOver_Yes,
2433,0x981,16,BarkerPosseLeave,
2457,0x999,19,MP_BarkerPosseLeave,
2485,0x9B5,17,MissionFailedMenu,
2514,0x9D2,5,Param,
2522,0x9DA,7,Restart,
2541,0x9ED,5,Param,
2549,0x9F5,6,cancel,
2567,0xA07,5,Param,
2575,0xA0F,4,Jump,
2591,0xA1F,5,Param,
2599,0xA27,13,cancelMission,
2624,0xA40,5,Param,
2632,0xA48,4,Jump,
2649,0xA59,10,bStartedGY,
2671,0xA6F,5,Param,
2679,0xA77,5,)+R<q,
2703,0xA8F,4,R;?+,
2729,0xAA9,15,HudSceneOffline,
2750,0xABE,17,MissionFailedMenu,
2773,0xAD5,41,ko'Mission_Failed_Jump_Confirmation_Popup,
2821,0xB05,41,;o'Mission_Failed_Jump_Confirmation_Popup,
2871,0xB37,5,Param,
2879,0xB3F,42,)+o'Mission_Failed_Jump_Confirmation_Popup,
2933,0xB75,5,Param,
2941,0xB7D,7,Jump_No,
2960,0xB90,5,Param,
2968,0xB98,42,)+o'Mission_Failed_Jump_Confirmation_Popup,
3019,0xBCB,5,Param,
3027,0xBD3,8,Jump_Yes,
3052,0xBEC,5,Param,
3060,0xBF4,6,)+R<qP,
3074,0xC02,21,gbStoryMissionRunning,
3149,0xC4D,4,R;?+,
3190,0xC76,4,R;?+,
3212,0xC8C,42,",+o'Mission_Failed_Jump_Confirmation_Popup",
3260,0xCBC,15,HudSceneOffline,
3281,0xCD1,17,MissionFailedMenu,
3301,0xCE5,5,&R:*7,
3310,0xCEE,5,Param,
3318,0xCF6,19,CancelMissionPrompt,
3341,0xD0D,42,o)Mission_Failed_Cancel_Confirmation_Popup,
3391,0xD3F,43,=o)Mission_Failed_Cancel_Confirmation_Popup,
3443,0xD73,5,Param,
3451,0xD7B,44,)+o)Mission_Failed_Cancel_Confirmation_Popup,
3507,0xDB3,5,Param,
3515,0xDBB,9,Cancel_No,
3530,0xDCA,43,=o)Mission_Failed_Cancel_Confirmation_Popup,
3582,0xDFE,5,Param,
3597,0xE0D,5,Param,
3605,0xE15,7,Restart,
3621,0xE25,30,Selected RETRY FROM CHECKPOINT,
3660,0xE4C,8,R7d+R7(O,
3681,0xE61,6,_Retry,
3718,0xE86,5,37!7#,
3738,0xE9A,4,R;?+,
3747,0xEA3,4,"7#2,",
3776,0xEC0,15,HudSceneOffline,
3797,0xED5,17,MissionFailedMenu,
3817,0xEE9,5,&R:*b,
3829,0xEF5,5,Param,
3837,0xEFD,13,cancelMission,
3857,0xF11,42,o)Mission_Failed_Cancel_Confirmation_Popup,
3905,0xF41,23,Selected CANCEL MISSION,
3941,0xF65,5,07%7',
3963,0xF7B,4,R;?+,
3972,0xF84,4,"7'2,",
4004,0xFA4,4,R:*b,
4015,0xFAF,5,Param,
4023,0xFB7,20,InTransitionComplete,
4052,0xFD4,20,MissionFailedPrompts,
4086,0xFF6,5,39)8),
4103,0x1007,41,Lo'Showing Experience Mode Prompt Screen!,
4153,0x1039,20,MissionFailed_Casual,
4182,0x1056,20,MissionFailed_Casual,
4214,0x1076,5,Param,
4222,0x107E,20,ExperienceChange_Yes,
4263,0x10A7,16,ExperienceChange,
4285,0x10BD,20,MissionFailed_Casual,
4317,0x10DD,5,Param,
4325,0x10E5,19,ExperienceChange_No,
4353,0x1101,16,ExperienceChange,
4375,0x1117,22,ExperienceChangeDenied,
4403,0x1133,16,ExperienceChange,
4428,0x114C,13,Wanted_Poster,
4453,0x1165,5,Param,
4461,0x116D,6,cancel,
4476,0x117C,13,Wanted_Poster,
4498,0x1192,11,DeathScreen,
4521,0x11A9,5,Param,
4529,0x11B1,20,InTransitionComplete,
4572,0x11DC,4,"7*7,",
4593,0x11F1,5,R;?+b,
4634,0x121A,5,"R467,",
4645,0x1225,4,"7,2,",
4674,0x1242,13,SaveMenuScene,
4699,0x125B,5,Param,
4707,0x1263,30,fileSaveInSelectedSlotBeginNew,
4746,0x128A,5,Param,
4752,0x1290,38,o%fileSaveInSelectedSlotBeginOverwrite,
4803,0x12C3,4,R4)c,
4814,0x12CE,6,/R3z7.,
4837,0x12E5,4,;+7.,
4848,0x12F0,7,7/281R3,
4866,0x1302,6,"72372,",
4882,0x1312,5,Param,
4888,0x1318,38,o%fileSaveInSelectedSlotBeginOverwrite,
4932,0x1344,34,(o fileSaveInSelectedSlotOverwrite,
4975,0x136F,25,fileSaveInSelectedSlotNew,
5012,0x1394,5,Param,
5020,0x139C,23,fileSelectedSaveSuccess,
5052,0x13BC,5,Param,
5060,0x13C4,10,CancelSave,
5080,0x13D8,5,Param,
5088,0x13E0,15,fileNoSaveEvent,
5122,0x1402,6,{R3z76,
5145,0x1419,4,;+76,
5152,0x1420,4,<99O,
5169,0x1431,5,77289,
5185,0x1441,28,No valid wake up flag found!,
5274,0x149A,13,SaveMenuScene,
5307,0x14BB,5,Param,
5315,0x14C3,23,fileSelectedSaveSuccess,
5350,0x14E6,5,R7d+o,
5356,0x14EC,9,Cutscenes,
5394,0x1512,14,CanSaveNowCamp,
5421,0x152D,14,CanSaveNowCamp,
5446,0x1546,13,CanSaveNowBed,
5472,0x1560,13,CanSaveNowBed,
5496,0x1578,16,SAVE_restartFlag,
5525,0x1595,16,SAVE_restartFlag,
5552,0x15B0,18,CanSaveNowAutoSave,
5583,0x15CF,18,CanSaveNowAutoSave,
5612,0x15EC,15,bPlayerSleeping,
5640,0x1608,15,bPlayerSleeping,
5658,0x161A,4,)+z-,
5691,0x163B,7,R/^++R.,
5699,0x1643,7,++R.>++,
5709,0x164D,4,.++R,
5963,0x174B,4,"G%,O",
6135,0x17F7,227,"For whatever reason, the system thinks we have more than 50 completed quests. This is bad, since the array we save them in only has 20 elements. Capping it and saving. Your save may not include all of the things you like in it.",
6538,0x198A,224,"For whatever reason, the system thinks we have more than 20 active quests. This is bad, since the array we save them in only has 20 elements. Capping it and saving. Your save may not include all of the things you like in it.",
7477,0x1D35,7,fav_non,
7616,0x1DC0,5,fwep_,
7653,0x1DE5,69,JoCSTAT_SET_VALUE_AS_INT_NOW: Attempting to use a Stat out of bounds.,
7741,0x1E3D,87,oVSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of this STAT_TYPE_LIFETIME directly: ,
7844,0x1EA4,120,"6ovSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of a STAT_TYPE_LIFETIME directly, use the COLLECTION version instead!",
7983,0x1F2F,90,oYSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of this STAT_TYPE_COLLECTIBLE directly: ,
8092,0x1F9C,134,"STAT_SET_VALUE_AS_INT_NOW: You cannot set value of a STAT_TYPE_COLLECTIBLE directly, only increase and decrease operations are allowed",
8349,0x209D,5,= r 7,
8392,0x20C8,5,= t 8,
8448,0x2100,5,= t 7,
8462,0x210E,5,= t 8,
8532,0x2154,5,= r b,
8552,0x2168,4, lbs,
8564,0x2174,5,= t b,
8594,0x2192,4,= v8,
8611,0x21A3,5,= t o,
8617,0x21A9,4, ton,
8629,0x21B5,5,= t b,
8649,0x21C9,4,= v8,
8703,0x21FF,5,"@<@<,",
8759,0x2237,5,= t 8,
8771,0x2243,5, days,
8784,0x2250,5,= t b,
8793,0x2259,4, day,
8805,0x2265,4,= t ,
8834,0x2282,5,= t 8,
8850,0x2292,5,= t o,
8867,0x22A3,4,= t ,
8896,0x22C0,5,= t 8,
8912,0x22D0,5,= t o,
8918,0x22D6,4, min,
8930,0x22E2,4,= t ,
8959,0x22FF,5,= t 8,
8975,0x230F,5,= t o,
8981,0x2315,4, sec,
8993,0x2321,4,= t ,
9015,0x2337,5,= t o,
9021,0x233D,4, min,
9033,0x2349,5,= t 8,
9069,0x236D,5,= t 8,
9085,0x237D,5,= t o,
9091,0x2383,4, sec,
9103,0x238F,5,= t b,
9120,0x23A0,5,= t o,
9126,0x23A6,4, sec,
9138,0x23B2,5,= t b,
9158,0x23C6,4,= v8,
9229,0x240D,5,= t b,
9251,0x2423,5,= t 8,
9273,0x2439,5,= t b,
9293,0x244D,5,= t b,
9313,0x2461,4,= v8,
9344,0x2480,5,= t b,
9366,0x2496,5,= t 8,
9379,0x24A3,5, days,
9392,0x24B0,5,= t b,
9401,0x24B9,4, day,
9413,0x24C5,5,= t b,
9430,0x24D6,7,stat_of,
9448,0x24E8,5,= t A,
9471,0x24FF,5,= t b,
9634,0x25A2,4,R(f8,
9690,0x25DA,4,$%1h,
9719,0x25F7,11,Common_Null,
9948,0x26DC,4,lvl_,
9967,0x26EF,5,_icon,
9990,0x2706,20,icon_prestige_award_,
10034,0x2732,14,icon_prestige_,
10082,0x2762,21,icon_prestige_award_4,
10113,0x2781,20,icon_prestige_award_,
10157,0x27AD,6,_color,
10268,0x281C,5,eR(T7,
10275,0x2823,4,0%d8,
10291,0x2833,4,eR(T,
10296,0x2838,4,R(B7,
10352,0x2870,50,8o0STAT_CALCULATE_PROGRESSBAR_VALUES: STAT_INVALID,
10688,0x29C0,28,STAT_GET_VALUE: STAT_INVALID,
10732,0x29EC,35,(o!STAT_GET_MAX_VALUE: STAT_INVALID,
10822,0x2A46,75,oJSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMaxRange - ,
10913,0x2AA1,73,6oGSTAT_CHECK_RANGES: Attempting to increment a STAT out of its fMaxRange,
11024,0x2B10,75,oJSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMinRange - ,
11115,0x2B6B,73,6oGSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMinRange,
11209,0x2BC9,72,MoFSTAT_UPDATE_MY_LIFETIME_STAT: Attempting to use a Stat out of bounds.,
11317,0x2C35,80,UoNSTAT_UPDATE_MY_LIFETIME_STAT: Attempting to use a LifetimeStat out of bounds.,
11512,0x2CF8,93,po[STAT_UPDATE_MY_LIFETIME_STAT: Attempting to increment a LifetimeStat out of its fMaxRange.,
11658,0x2D8A,93,po[STAT_UPDATE_MY_LIFETIME_STAT: Attempting to decrement a LifetimeStat out of its fMinRange.,
11783,0x2E07,38,+o$STAT_GET_VALUE_AS_INT: STAT_INVALID,
11845,0x2E45,7,fav_non,
11868,0x2E5C,4,:%28,
11951,0x2EAF,5,fwep_,
11982,0x2ECE,7,fav_non,
12019,0x2EF3,4,1%28,
12102,0x2F46,5,fwep_,
12133,0x2F65,7,fav_non,
12157,0x2F7D,4,4%28,
12232,0x2FC8,5,fwep_,
12260,0x2FE4,4,0j)=,
12330,0x302A,61,Bo;STAT_INCREASE_NOW: Attempting to use a Stat out of bounds.,
12410,0x307A,75,oJSTAT_INCREASE_NOW: You cannot increase this STAT_TYPE_LIFETIME directly: ,
12501,0x30D5,108,"6ojSTAT_INCREASE_NOW: You cannot increase a STAT_TYPE_LIFETIME directly, use the COLLECTION version instead!",
12621,0x314D,94,ho\STAT_INCREASE_NOW: fIncreaseValue < 0.0 - I am turning this into a positive number for you!,
12782,0x31EE,4,R q8,
13137,0x3351,4,R3dc,
13189,0x3385,16,SAVE_restartFlag,
13218,0x33A2,16,SAVE_restartFlag,
13329,0x3411,4,R3dc,
13350,0x3426,4,%Wz-,
13429,0x3475,4,P)>P,
13477,0x34A5,5, )>.S,
13494,0x34B6,8,")< #!)@,",
13574,0x3506,5,MT{)B,
13595,0x351B,4,G\)A,
13611,0x352B,4,P)D@,
13620,0x3534,4,8R)D,
13660,0x355C,5,ff)EN,
13858,0x3622,4,1++7,
13891,0x3643,4,R6i7,
14049,0x36E1,4,miss,
14063,0x36EF,4,ziss,
14108,0x371C,4,R4)c,
14131,0x3733,4,1++7,
14162,0x3752,4,R6i=,
14196,0x3774,65,Ho?STAT_INCREASE_INT_NOW: Attempting to use a Stat out of bounds.,
14282,0x37CA,79,oNSTAT_INCREASE_INT_NOW: You cannot increase this STAT_TYPE_LIFETIME directly: ,
14377,0x3829,112,"6onSTAT_INCREASE_INT_NOW: You cannot increase a STAT_TYPE_LIFETIME directly, use the COLLECTION version instead!",
14502,0x38A6,96,jo^STAT_INCREASE_INT_NOW: iIncreaseValue < 0 - I am turning this into a positive number for you!,
14672,0x3950,4,R q8,
14897,0x3A31,19,MissionFailed_Retry,
14919,0x3A47,19,DeathScreen_Restart,
14944,0x3A60,20,MissionFailed_Cancel,
14970,0x3A7A,18,MissionFailed_Jump,
15004,0x3A9C,4,1++7,
15017,0x3AA9,15,Jump position: ,
15078,0x3AE6,7,fav_non,
15131,0x3B1B,4,1++7,
15222,0x3B76,4,roam,
15235,0x3B83,8,interior,
15252,0x3B94,5,horse,
15266,0x3BA2,12,wagonDefault,
15287,0x3BB7,12,wagonShotgun,
15308,0x3BCC,12,wagonShotgun,
15327,0x3BDF,61,o<GET_GAME_CAMERA_RESET_POSITION_HELPER called with position ,
15401,0x3C29,13, and heading ,
15425,0x3C41,14, and with arc ,
15484,0x3C7C,4,1++7,
15559,0x3CC7,16,gMPScratchLayout,
15619,0x3D03,8,SaveLoad,
15628,0x3D0C,88,"oWMultiplayer Save Triggered, will be picked up by Multiplayer_update_thread soon enough",
15828,0x3DD4,5,Param,
15836,0x3DDC,18,LaunchAvatarPicker,
15861,0x3DF5,4,R?5b,
15872,0x3E00,5,Param,
15880,0x3E08,20,RequestPosseTeleport,
15907,0x3E23,4,R?)b,
15918,0x3E2E,5,Param,
15926,0x3E36,19,net.RequestHardSave,
15968,0x3E60,5,Param,
15976,0x3E68,18,RequestFRDTeleport,
16005,0x3E85,4,R3dc,
16481,0x4061,4,l$W#,
16551,0x40A7,5,-W&OY,
16699,0x413B,7,|ifc%Ql,
16822,0x41B6,4,;2mB,
