state,tag,visible_label_or_desc,actions_goto_events,includes,has_cancel,has_accept,auth_related,avatar_related
NetworkingLayerOffline,UILayer,mp_fe_avatarpicker_tab | mp_fe_play_online_tab | mp_fe_play_private_tab | net_invites_tab | mp_fe_play_lan_tab | mp_fe_partyinviteui_tab | mp_fe_partyui_tab | mp_fe_exit_tab | mp_fe_play_online_tab | mp_fe_play_private_tab | net_invites | mp_fe_play_lan_tab | mp_fe_partyui_tab | Common_Select | Comm,"{'event': 'net.playingOnline', 'target': 'Include(NetTab_Party)'} | {'event': 'net.playingPublic'} | {'event': 'net.playingPrivate'} | {'event': 'net.modeLAN'} | {'event': 'net.modeSingle', 'target': 'Enter(NetOfflineTabs)'} | {'event': 'net.JoinWishPosted'} | {'event': 'net.JoinWishFailed'} | {'event': '@UI.PREVIOUS_TAB'} | {'event': '@UI.NEXT_TAB'} | {'event': '@UI.ZOOM_OUT'} | {'event': '@UI.ZOOM_IN'} | {'event': '@UI.CANCEL*RELEASED'} | {'event': '@UI.ACCEPT*RELEASED'} | {'event': 'auth.success', 'expr': ""SendEvent('loadStart')""} | {'event': '@UI.ACCEPT*RELEASED', 'target': ""PlaySound('HUD_MENU_SELECT_MASTER')""} | {'event': '@UI.ACCEPT*RELEASED'} | {'event': 'retry_action'} | {'event': 'retry_action'} | {'event': 'PM.UnfocusInbox'} | {'event': '@UI.ACCEPT*RELEASED', 'consume': 'false'} | {'event': 'net.success', 'target': 'NetAlert_PartyInviteSuccess'} | {'event': 'net.error', 'targe",{'src': 'Net/OfflineMenu.sc'} | {'src': 'Net_Profile.sc.xml'},True,True,True,True
NetTabs,NetMenu,mp_fe_avatarpicker_tab | mp_fe_play_online_tab | mp_fe_play_private_tab | net_invites_tab | mp_fe_play_lan_tab | mp_fe_partyinviteui_tab | mp_fe_partyui_tab | mp_fe_exit_tab,"{'event': 'auth.success', 'expr': ""SendEvent('loadStart')""} | {'event': '@UI.ACCEPT*RELEASED', 'target': ""PlaySound('HUD_MENU_SELECT_MASTER')""} | {'event': '@UI.ACCEPT*RELEASED'} | {'event': 'retry_action'} | {'event': 'retry_action'} | {'event': 'PM.UnfocusInbox'} | {'event': '@UI.ACCEPT*RELEASED', 'consume': 'false'} | {'event': 'net.success', 'target': 'NetAlert_PartyInviteSuccess'} | {'event': 'net.error', 'target': 'NetAlert_PartyInviteError'} | {'event': 'net.fail', 'target': 'NetAlert_PartyInviteFail'} | {'event': 'net.fail_PartyAlreadyJoined', 'target': 'NetAlert_PartyInviteAlreadyJoined'}",,False,True,True,True
NetOfflineTabs,NetMenu,mp_fe_play_online_tab | mp_fe_play_private_tab | net_invites | mp_fe_play_lan_tab | mp_fe_partyui_tab,"{'event': 'auth.success', 'expr': ""SendEvent('loadStart')""} | {'event': '@UI.ACCEPT*RELEASED', 'target': ""PlaySound('HUD_MENU_SELECT_MASTER')""} | {'event': 'retry_action'} | {'event': 'retry_action'} | {'event': 'PM.UnfocusInbox'} | {'event': '@UI.ACCEPT*RELEASED'} | {'event': 'net.IsSignedOffline', 'target': 'Exclude(NetOfflineTab_Party)'} | {'event': 'net.IsSignedOnline', 'target': 'Include(NetOfflineTab_Party)'} | {'event': 'net.signedOffline', 'consume': 'false', 'target': 'Exclude(NetOfflineTab_Party)'} | {'event': 'net.signedOnline', 'consume': 'false', 'target': 'Include(NetOfflineTab_Party)'}",,False,True,True,False
NetLayer_Prompts,UILayer,Common_Select | Common_Back | Common_Scroll | mp_gamer_joingame | Common_Back,{'event': '@UI.CANCEL*RELEASED'} | {'event': '@UI.ACCEPT*RELEASED'} | {'event': '@UI.CANCEL*RELEASED'},,True,True,False,False
NetAlert_BlockedMP,UIMessageBox,Common_Ok | Common_ChangeProfile | Common_Cancel,,,True,True,False,False
NetAlert_NotOnline,UIMessageBox,Common_Ok,"{'event': 'net.signedOnline'} | {'event': '@UI.ACCEPT*RELEASED', 'target': 'Exit(NetAlert_NotOnline)'}",,False,True,False,False
NetAlert_NotSignedIn,UIMessageBox,Common_Ok,"{'event': '@UI.ACCEPT*RELEASED', 'target': 'Exit(NetAlert_NotSignedIn)'}",,False,True,False,False
NetAlert_NotSignedInSysLink,UIMessageBox,Common_Ok,"{'event': '@UI.ACCEPT*RELEASED', 'target': 'Exit(NetAlert_NotSignedInSysLink)'}",,False,True,False,False
NetAlert_NoCable,UIMessageBox,Common_Ok,"{'event': 'net.signedOnline'} | {'event': '@UI.ACCEPT*RELEASED', 'target': 'Exit(NetAlert_NoCable)'}",,False,True,False,False
NetConf_PlayPublic,UIMessageBox,,,"{'src': 'net/PlayMpConf.sc', 'arg': ""NetConf_PlayPublic,'Online Multiplayer','Public'""}",False,False,False,False
NetConf_PlayPrivate,UIMessageBox,,,"{'src': 'net/PlayMpConf.sc', 'arg': ""NetConf_PlayPrivate,'Online Multiplayer','Private'""}",False,False,False,False
NetConf_PlayLAN,UIMessageBox,,{'event': 'auth.fail_NotSignedIn'},"{'src': 'net/PlayMpConf.sc', 'arg': ""NetConf_PlayLAN,'LAN Multiplayer','LAN'""}",False,False,True,False
