root,path,rel,ext,size,sha1,terms,context
D:\Games\Red Dead Redemption\Code_RED\imports,D:\Games\Red Dead Redemption\Code_RED\imports\CodeX.Games.RDR1-main\CodeX.Games.RDR1.strings.txt,CodeX.Games.RDR1-main\CodeX.Games.RDR1.strings.txt,.txt,4402324,501915f17afbee436c4cd5cdf0eee1d2a5d8df54,AvatarPicker|Avatar|Net_Profile,L102696: mp_avatar_category || L102697: mp_avatar_confirm_desc || L102698: mp_avatar_confirm_name || L102699: mp_avatar_confirm_title || L102700: mp_avatar_locked || L102701: mp_avatar_locked_help || L102702: mp_avatar_look || L102703: mp_avatar_objective
D:\Games\Red Dead Redemption\Code_RED\imports,D:\Games\Red Dead Redemption\Code_RED\imports\CodeX.Games.RDR1-main\bin\Debug\CodeX_025_RDR1\Codex.Games.RDR1.strings.txt,CodeX.Games.RDR1-main\bin\Debug\CodeX_025_RDR1\Codex.Games.RDR1.strings.txt,.txt,3186199,c4859c5d9032a01d866753637297eaed684c67b4,AvatarPicker|Avatar|Net_Profile,L8239: mp_avatarpicker || L36857: mp_avatar.xas || L36858: mp_avatar_picker.xat || L36859: mp_avatarpicker-de.xst || L36860: mp_avatarpicker-en.xst || L36861: mp_avatarpicker-es.xst || L36862: mp_avatarpicker-fr.xst || L36863: mp_avatarpicker-it.xst
D:\Games\Red Dead Redemption\Code_RED\imports,D:\Games\Red Dead Redemption\Code_RED\imports\CodeX.Games.RDR1-main\bin\Debug\net7.0-windows\Codex.Games.RDR1.strings.txt,CodeX.Games.RDR1-main\bin\Debug\net7.0-windows\Codex.Games.RDR1.strings.txt,.txt,6164601,6429ec709d1a399240bbe28b776e268aae0e7742,AvatarPicker|Avatar|Net_Profile,L5204: mp_avatarpicker-br.wst || L5205: mp_avatarpicker-chs.wst || L5206: mp_avatarpicker-cht.wst || L5207: mp_avatarpicker-de.wst || L5208: mp_avatarpicker-en.wst || L5209: mp_avatarpicker-es.wst || L5210: mp_avatarpicker-fr.wst || L5211: mp_avatarpicker-it.wst
D:\Games\Red Dead Redemption\Code_RED\imports,D:\Games\Red Dead Redemption\Code_RED\imports\CodeX.Games.RDR1-main\bin\Debug\net8.0-windows7.0\Codex.Games.RDR1.strings.txt,CodeX.Games.RDR1-main\bin\Debug\net8.0-windows7.0\Codex.Games.RDR1.strings.txt,.txt,6164601,6429ec709d1a399240bbe28b776e268aae0e7742,AvatarPicker|Avatar|Net_Profile,L5204: mp_avatarpicker-br.wst || L5205: mp_avatarpicker-chs.wst || L5206: mp_avatarpicker-cht.wst || L5207: mp_avatarpicker-de.wst || L5208: mp_avatarpicker-en.wst || L5209: mp_avatarpicker-es.wst || L5210: mp_avatarpicker-fr.wst || L5211: mp_avatarpicker-it.wst
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\boot.sc.xml,ui\boot.sc.xml,.xml,36553,f484e3557ca006f88f55f4bb8ac68e31646964cf,NetMachine,"L119: <onfocused expr=""NetMachine.Authenticate('Online')""></onfocused> || L143: <onshow expr=""NetMachine.ShowSignInUI(true)""></onshow> || L146: <action expr=""NetMachine.Authenticate('Online')""></action> || L172: <onshow expr=""NetMachine.ShowSignInUI(true)""></onshow> || L175: <action expr=""NetMachine.Authenticate('Online')""></action> || L290: <action expr=""NetMachine.SetMultiplayerModeToLaunch('JoinWish')""></action> || L309: <action expr=""NetMachine.SetMultiplayerModeToLaunch('Offline')""></action> || L321: <action expr=""NetMachine.SetMultiplayerModeToLaunch('Offline')""></action>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\generalmenus.sc.xml,ui\generalmenus.sc.xml,.xml,48838,22575735e4d7a3b1fb0a9ad810baa57cfac996bd,fileNoSaveEvent|SG_AutoSaveDisabled,"L703: <transition event=""fileNoSaveEvent"" consume=""false""> || L846: <action expr=""Enter(SG_AutoSaveDisabled)""></action>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\hudscene.sc.xml,ui\hudscene.sc.xml,.xml,30041,f85c04ef827e0809ee561523537885a4b36fac3c,AvatarPicker|Avatar,"L154: <uiobject id=""HudAvatarPicker"">"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\savegame.sc.xml,ui\savegame.sc.xml,.xml,61441,2f1917df8e9b81b3813ad9c2bb71f48fe35655e3,fileStartingMPWithoutAutoSave|fileNoSaveEvent|SG_AutoSaveDisabled,"L76: <transition event=""fileStartingMPWithoutAutoSave""> || L77: <action expr=""Enter(SG_AutoSaveDisabled)""></action> || L438: <action expr=""Enter(SG_AutoSaveDisabled)""></action> || L452: <UIMessageBox id =""SG_AutoSaveDisabled""> || L458: <action expr=""SendEvent('fileNoSaveEvent')""></action> || L459: <action expr=""Exit(SG_AutoSaveDisabled)""></action> || L490: <UIMessageBox id =""SG_AutoSaveDisabledNotSignedIn"" enterParent=""fuckyeah""> || L496: <action expr=""SendEvent('fileNoSaveEvent')""></action>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\net\hudsceneonline.sc.xml,ui\net\hudsceneonline.sc.xml,.xml,8645,8151e6230b37fec9cd40e817dd2bfc0cf26a91c1,NetMachine,"L28: <onactivate expr=""NetMachine.SendNetModeEvent(PlayerList)""></onactivate>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\net\taskmachine.sc.xml,ui\net\taskmachine.sc.xml,.xml,28084,656580ee7169974721d6891db8f316189f10ceca,Avatar|NetMachine,"L33: <action expr=""NetMachine.StartMultiplayer()""  ></action> || L38: <action expr=""NetMachine.TriggerSinglePlayerLoad()""></action> || L57: <action expr=""SetTextCB(AvatarName,'Common_Null')""></action> || L79: <action expr=""NetMachine.TriggerMultiplayerLoad('InviteFail')""></action> || L88: <NetTaskMachine id=""NetMachine"" enterParent=""PBTA""> || L157: <action expr=""NetMachine.ReturnToFreeRoam()""></action> || L164: <action expr=""NetMachine.ReturnToFreeRoam()""></action> || L171: <action expr=""NetMachine.ReturnToFreeRoam()""></action>"
