index,type,path,name,extension,offset,size_in_archive,total_size,is_resource,is_compressed,resource_type
0,dir,root,root,,,,,,,
1,dir,root/content,content,,,,,,,
2,dir,root/content/dlc,dlc,,,,,,,
3,dir,root/content/ai,ai,,,,,,,
4,dir,root/content/init,init,,,,,,,
5,dir,root/content/ui,ui,,,,,,,
6,file,root/content/rdr2_achievements.xml,rdr2_achievements.xml,.xml,238624,1293,20499,False,True,
7,dir,root/content/release64,release64,,,,,,,
8,dir,root/content/ambient,ambient,,,,,,,
9,file,root/content/rdr2_challenges.xml,rdr2_challenges.xml,.xml,239920,604,6915,False,True,
10,file,root/content/ai/game_main.tr,game_main.tr,.tr,65784,12520,47117,False,True,
11,file,root/content/ai/human_unalerted.tr,human_unalerted.tr,.tr,111336,7653,30591,False,True,
12,file,root/content/ai/animal_alert.tr,animal_alert.tr,.tr,32776,496,1595,False,True,
13,file,root/content/ai/general_rules.tr,general_rules.tr,.tr,78312,1749,11170,False,True,
14,file,root/content/ai/animal_hunt.tr,animal_hunt.tr,.tr,41816,1938,9778,False,True,
15,file,root/content/ai/shopkeeper_reactions.tr,shopkeeper_reactions.tr,.tr,123032,1976,7869,False,True,
16,dir,root/content/ai/test,test,,,,,,,
17,file,root/content/ai/animal_play.tr,animal_play.tr,.tr,54592,3959,27187,False,True,
18,file,root/content/ai/animal_main.tr,animal_main.tr,.tr,43760,10827,77295,False,True,
19,file,root/content/ai/animal_common_rules.tr,animal_common_rules.tr,.tr,37152,1129,7460,False,True,
20,file,root/content/ai/movementtuning.xml,movementtuning.xml,.xml,119144,584,5432,False,True,
21,file,root/content/ai/animal_static.tr,animal_static.tr,.tr,59776,781,2850,False,True,
22,file,root/content/ai/human_hostile.tr,human_hostile.tr,.tr,100464,1828,7012,False,True,
23,file,root/content/ai/motives.xml,motives.xml,.xml,118992,150,955,False,True,
24,file,root/content/ai/animal_task.tr,animal_task.tr,.tr,60560,2472,9914,False,True,
25,file,root/content/ai/human_combat.tr,human_combat.tr,.tr,80064,16014,69142,False,True,
26,file,root/content/ai/animal_fight.tr,animal_fight.tr,.tr,39032,2782,13848,False,True,
27,file,root/content/ai/animal_eat.tr,animal_eat.tr,.tr,38288,738,1853,False,True,
28,file,root/content/ai/tasks.tr,tasks.tr,.tr,125016,10486,46497,False,True,
29,dir,root/content/ai/oldunused,oldunused,,,,,,,
30,file,root/content/ai/human_guard.tr,human_guard.tr,.tr,96080,4376,15639,False,True,
31,file,root/content/ai/audio.tr,audio.tr,.tr,63040,2738,8388,False,True,
32,file,root/content/ai/human_reactions.tr,human_reactions.tr,.tr,102296,9035,60055,False,True,
33,dir,root/content/ai/unalertedai,unalertedai,,,,,,,
34,file,root/content/ai/animal_species_rules.tr,animal_species_rules.tr,.tr,58552,1222,5930,False,True,
35,file,root/content/ai/animal_birds.tr,animal_birds.tr,.tr,33280,3865,16107,False,True,
36,file,root/content/ai/oldunused/guard.tr,guard.tr,.tr,119736,1323,3922,False,True,
37,file,root/content/ai/oldunused/squad.tr,squad.tr,.tr,121064,1962,7134,False,True,
38,file,root/content/ai/test/testevents.tr,testevents.tr,.tr,135504,408,1118,False,True,
39,file,root/content/ai/unalertedai/default_howlmoon.xml,default_howlmoon.xml,.xml,136904,323,850,False,True,
40,file,root/content/ai/unalertedai/pen_eat.xml,pen_eat.xml,.xml,137752,362,925,False,True,
41,file,root/content/ai/unalertedai/default_sleep.xml,default_sleep.xml,.xml,137232,222,434,False,True,
42,file,root/content/ai/unalertedai/default_drink.xml,default_drink.xml,.xml,136152,369,928,False,True,
43,file,root/content/ai/unalertedai/nocturnal_sleep.xml,nocturnal_sleep.xml,.xml,137456,289,799,False,True,
44,file,root/content/ai/unalertedai/default_eat.xml,default_eat.xml,.xml,136528,373,936,False,True,
45,file,root/content/ai/unalertedai/coyote_sleep.xml,coyote_sleep.xml,.xml,135920,225,502,False,True,
46,file,root/content/ai/unalertedai/rabbit_drink.xml,rabbit_drink.xml,.xml,138120,371,928,False,True,
47,file,root/content/ambient/factionrelations.xml,factionrelations.xml,.xml,138496,1370,72656,False,True,
48,file,root/content/ambient/placementglobals.xml,placementglobals.xml,.xml,139872,929,7356,False,True,
49,dir,root/content/init/inventory,inventory,,,,,,,
50,file,root/content/init/inventory/inventory.xml,inventory.xml,.xml,142928,5687,123723,False,True,
51,file,root/content/init/inventory/dlc_inventory.xml,dlc_inventory.xml,.xml,140808,2117,41281,False,True,
52,dir,root/content/ui/net,net,,,,,,,
53,file,root/content/ui/savegame.sc.xml,savegame.sc.xml,.xml,223264,5020,61441,False,True,
54,file,root/content/ui/prompts.sc.xml,prompts.sc.xml,.xml,221784,266,568,False,True,
55,dir,root/content/ui/pausemenu,pausemenu,,,,,,,
56,file,root/content/ui/newspaper.sc.xml,newspaper.sc.xml,.xml,177040,775,7615,False,True,
57,file,root/content/ui/satchel.sc.xml,satchel.sc.xml,.xml,222056,1200,4856,False,True,
58,file,root/content/ui/shop.sc.xml,shop.sc.xml,.xml,228288,941,2893,False,True,
59,file,root/content/ui/userinterface.sc.xml,userinterface.sc.xml,.xml,237904,718,1827,False,True,
60,file,root/content/ui/cutscenes.sc.xml,cutscenes.sc.xml,.xml,153584,1033,7428,False,True,
61,file,root/content/ui/treasuremaps.sc.xml,treasuremaps.sc.xml,.xml,236568,496,992,False,True,
62,file,root/content/ui/debug.sc.xml,debug.sc.xml,.xml,154624,167,192,False,True,
63,dir,root/content/ui/transitions,transitions,,,,,,,
64,file,root/content/ui/hudscene.sc.xml,hudscene.sc.xml,.xml,159968,4181,30041,False,True,
65,file,root/content/ui/generalmenus.sc.xml,generalmenus.sc.xml,.xml,154792,5174,48838,False,True,
66,file,root/content/ui/boot.sc.xml,boot.sc.xml,.xml,148616,4963,36553,False,True,
67,file,root/content/ui/iconmappings.sc.xml,iconmappings.sc.xml,.xml,164152,470,1691,False,True,
68,file,root/content/ui/tunings.sc.xml,tunings.sc.xml,.xml,237072,826,5711,False,True,
69,dir,root/content/ui/net/profileeditor,profileeditor,,,,,,,
70,file,root/content/ui/net/main.sc.xml,main.sc.xml,.xml,166792,282,459,False,True,
71,file,root/content/ui/net/taskmachine.sc.xml,taskmachine.sc.xml,.xml,173400,3632,28084,False,True,
72,file,root/content/ui/net/hudsceneonline.sc.xml,hudsceneonline.sc.xml,.xml,164624,2161,8645,False,True,
73,file,root/content/ui/net/profileeditor/main.sc.xml,main.sc.xml,.xml,167080,2218,16741,False,True,
74,file,root/content/ui/net/profileeditor/titles.sc.xml,titles.sc.xml,.xml,172632,760,10062,False,True,
75,dir,root/content/ui/net/profileeditor/titles,titles,,,,,,,
76,file,root/content/ui/net/profileeditor/titles/dlc2.sc.xml,dlc2.sc.xml,.xml,170152,356,3736,False,True,
77,file,root/content/ui/net/profileeditor/titles/weapon.sc.xml,weapon.sc.xml,.xml,171952,264,1701,False,True,
78,file,root/content/ui/net/profileeditor/titles/stat.sc.xml,stat.sc.xml,.xml,171712,235,803,False,True,
79,file,root/content/ui/net/profileeditor/titles/dlc1.sc.xml,dlc1.sc.xml,.xml,169792,356,3736,False,True,
80,file,root/content/ui/net/profileeditor/titles/dlc3.sc.xml,dlc3.sc.xml,.xml,170512,402,4850,False,True,
81,file,root/content/ui/net/profileeditor/titles/xp.sc.xml,xp.sc.xml,.xml,172224,404,3602,False,True,
82,file,root/content/ui/net/profileeditor/titles/ambient.sc.xml,ambient.sc.xml,.xml,169304,481,5149,False,True,
83,file,root/content/ui/net/profileeditor/titles/dlc4.sc.xml,dlc4.sc.xml,.xml,170920,326,3845,False,True,
84,file,root/content/ui/net/profileeditor/titles/pvp.sc.xml,pvp.sc.xml,.xml,171248,462,6672,False,True,
85,dir,root/content/ui/pausemenu/net,net,,,,,,,
86,file,root/content/ui/pausemenu/socialclub.sc.xml,socialclub.sc.xml,.xml,217168,1586,8343,False,True,
87,file,root/content/ui/pausemenu/leaderboard.sc.xml,leaderboard.sc.xml,.xml,185968,16,16,False,False,
88,file,root/content/ui/pausemenu/controlleroptions.sc.xml,controlleroptions.sc.xml,.xml,178768,228,357,False,True,
89,file,root/content/ui/pausemenu/stats.sc.xml,stats.sc.xml,.xml,218760,1835,18951,False,True,
90,file,root/content/ui/pausemenu/challenges.sc.xml,challenges.sc.xml,.xml,177816,223,336,False,True,
91,file,root/content/ui/pausemenu/savegame.sc.xml,savegame.sc.xml,.xml,214904,2260,15170,False,True,
92,file,root/content/ui/pausemenu/net_profile.sc.xml,net_profile.sc.xml,.xml,203528,892,3632,False,True,
93,file,root/content/ui/pausemenu/hdrcalibration.sc.xml,hdrcalibration.sc.xml,.xml,180712,1132,4433,False,True,
94,file,root/content/ui/pausemenu/pausemenuscene.sc.xml,pausemenuscene.sc.xml,.xml,212576,2321,16833,False,True,
95,file,root/content/ui/pausemenu/wares.sc.xml,wares.sc.xml,.xml,220600,964,4265,False,True,
96,dir,root/content/ui/pausemenu/lobby,lobby,,,,,,,
97,file,root/content/ui/pausemenu/keybindings.sc.xml,keybindings.sc.xml,.xml,184896,1069,6046,False,True,
98,file,root/content/ui/pausemenu/journal.sc.xml,journal.sc.xml,.xml,182296,2594,41795,False,True,
99,dir,root/content/ui/pausemenu/netstats,netstats,,,,,,,
100,file,root/content/ui/pausemenu/weapons.sc.xml,weapons.sc.xml,.xml,221568,213,314,False,True,
101,file,root/content/ui/pausemenu/options.sc.xml,options.sc.xml,.xml,205384,6251,67413,False,True,
102,file,root/content/ui/pausemenu/items.sc.xml,items.sc.xml,.xml,182072,219,321,False,True,
103,file,root/content/ui/pausemenu/gallery.sc.xml,gallery.sc.xml,.xml,180488,220,327,False,True,
104,file,root/content/ui/pausemenu/inventory.sc.xml,inventory.sc.xml,.xml,181848,221,333,False,True,
105,file,root/content/ui/pausemenu/outfit.sc.xml,outfit.sc.xml,.xml,211640,928,2611,False,True,
106,file,root/content/ui/pausemenu/map.sc.xml,map.sc.xml,.xml,192184,761,2469,False,True,
107,file,root/content/ui/pausemenu/completedmission.sc.xml,completedmission.sc.xml,.xml,178488,273,913,False,True,
108,file,root/content/ui/pausemenu/collections.sc.xml,collections.sc.xml,.xml,178264,221,339,False,True,
109,file,root/content/ui/pausemenu/networking.sc.xml,networking.sc.xml,.xml,201024,2501,15914,False,True,
110,file,root/content/ui/pausemenu/net_titles.sc.xml,net_titles.sc.xml,.xml,204424,958,26013,False,True,
111,file,root/content/ui/pausemenu/controlsscreen.sc.xml,controlsscreen.sc.xml,.xml,179000,753,2100,False,True,
112,file,root/content/ui/pausemenu/extras.sc.xml,extras.sc.xml,.xml,179760,720,2119,False,True,
113,file,root/content/ui/pausemenu/clothing.sc.xml,clothing.sc.xml,.xml,178040,221,330,False,True,
114,file,root/content/ui/pausemenu/lobby/main.sc.xml,main.sc.xml,.xml,188360,2736,15426,False,True,
115,file,root/content/ui/pausemenu/lobby/netplayercontextmenu.sc.xml,netplayercontextmenu.sc.xml,.xml,191104,423,890,False,True,
116,file,root/content/ui/pausemenu/lobby/friends.sc.xml,friends.sc.xml,.xml,187104,1251,4680,False,True,
117,file,root/content/ui/pausemenu/lobby/currentgamers.sc.xml,currentgamers.sc.xml,.xml,185992,1108,4437,False,True,
118,file,root/content/ui/pausemenu/lobby/recentgamers.sc.xml,recentgamers.sc.xml,.xml,191528,653,2091,False,True,
119,file,root/content/ui/pausemenu/net/privatemenu.sc.xml,privatemenu.sc.xml,.xml,195304,555,1380,False,True,
120,file,root/content/ui/pausemenu/net/offlinemenu.sc.xml,offlinemenu.sc.xml,.xml,193464,951,4262,False,True,
121,file,root/content/ui/pausemenu/net/plaympconf.sc.xml,plaympconf.sc.xml,.xml,194416,884,2331,False,True,
122,file,root/content/ui/pausemenu/net/lanmenu.sc.xml,lanmenu.sc.xml,.xml,192952,507,1290,False,True,
123,file,root/content/ui/pausemenu/net/publicmenu.sc.xml,publicmenu.sc.xml,.xml,195864,559,1382,False,True,
124,file,root/content/ui/pausemenu/netstats/prompts.sc.xml,prompts.sc.xml,.xml,200224,798,3291,False,True,
125,file,root/content/ui/pausemenu/netstats/errormsg.sc.xml,errormsg.sc.xml,.xml,197440,506,1101,False,True,
126,file,root/content/ui/pausemenu/netstats/boards.sc.xml,boards.sc.xml,.xml,196424,1015,9563,False,True,
127,file,root/content/ui/pausemenu/netstats/main.sc.xml,main.sc.xml,.xml,198280,1938,11867,False,True,
128,file,root/content/ui/pausemenu/netstats/errormsgrecovery.sc.xml,errormsgrecovery.sc.xml,.xml,197952,327,797,False,True,
129,file,root/content/ui/transitions/x.sc.xml,x.sc.xml,.xml,236136,431,876,False,True,
130,file,root/content/ui/transitions/camera.sc.xml,camera.sc.xml,.xml,231208,3011,35649,False,True,
