index,type,path,name,extension,offset,size_in_archive,total_size,is_resource,is_compressed,resource_type
0,dir,root,root,,,,,,,
1,dir,root/strings,strings,,,,,,,
2,file,root/strings/subtitle_marshal04_cs05-de.wst,subtitle_marshal04_cs05-de.wst,.wst,86896640,489,256,True,True,1
3,file,root/strings/mp_lobby-ko.wst,mp_lobby-ko.wst,.wst,67635200,1654,256,True,True,1
4,file,root/strings/subtitle_rebel03_cs04-mx.wst,subtitle_rebel03_cs04-mx.wst,.wst,97148928,380,256,True,True,1
5,file,root/strings/subtitle_rcm_19_cs02-it.wst,subtitle_rcm_19_cs02-it.wst,.wst,95281152,400,256,True,True,1
6,file,root/strings/subtitle_intro_p4-it.wst,subtitle_intro_p4-it.wst,.wst,85827584,1799,256,True,True,1
7,file,root/strings/subtitle_r6-ru.wst,subtitle_r6-ru.wst,.wst,89796608,2120,512,True,True,1
8,file,root/strings/subtitle_rcm_02_cs05_jack_pickup-fr.wst,subtitle_rcm_02_cs05_jack_pickup-fr.wst,.wst,91062272,1028,256,True,True,1
9,file,root/strings/subtitle_gun_05_a-ko.wst,subtitle_gun_05_a-ko.wst,.wst,84928512,819,256,True,True,1
10,file,root/strings/subtitle_uncle_02-br.wst,subtitle_uncle_02-br.wst,.wst,98408448,846,256,True,True,1
11,file,root/strings/subtitle_wife_03-br.wst,subtitle_wife_03-br.wst,.wst,98674688,1227,256,True,True,1
12,file,root/strings/subtitle_r3-mx.wst,subtitle_r3-mx.wst,.wst,89640960,1268,256,True,True,1
13,file,root/strings/subtitle_rcm_23_cs04-it.wst,subtitle_rcm_23_cs04-it.wst,.wst,96108544,557,256,True,True,1
14,file,root/strings/subtitle_rcm_12_cs02-pl.wst,subtitle_rcm_12_cs02-pl.wst,.wst,93265920,553,256,True,True,1
15,file,root/strings/subtitle_fort01_cs03_opengates-jp.wst,subtitle_fort01_cs03_opengates-jp.wst,.wst,83394560,114,256,True,True,1
16,file,root/strings/subtitle_rcm_04_cs01_jack-ko.wst,subtitle_rcm_04_cs01_jack-ko.wst,.wst,91650048,833,256,True,True,1
17,file,root/strings/subtitle_rcm_19_cs04-de.wst,subtitle_rcm_19_cs04-de.wst,.wst,95422464,605,256,True,True,1
18,file,root/strings/subtitle_rcm_29_cs01-mx.wst,subtitle_rcm_29_cs01-mx.wst,.wst,96192512,656,256,True,True,1
19,file,root/strings/tutorials-pl.wst,tutorials-pl.wst,.wst,98846720,10338,3072,True,True,1
20,file,root/strings/outlaw01-mx.wst,outlaw01-mx.wst,.wst,69582848,8511,2048,True,True,1
21,file,root/strings/subtitle_fbi01_cs04_p2-pl.wst,subtitle_fbi01_cs04_p2-pl.wst,.wst,82157568,199,256,True,True,1
22,file,root/strings/speechcontextsubtitles-ru.wst,speechcontextsubtitles-ru.wst,.wst,79728640,17610,6144,True,True,1
23,file,root/strings/subtitle_home_01_p3-chs.wst,subtitle_home_01_p3-chs.wst,.wst,85432320,1350,256,True,True,1
24,file,root/strings/subtitle_fbi01_cs04_p3_stairs-mx.wst,subtitle_fbi01_cs04_p3_stairs-mx.wst,.wst,82210816,118,256,True,True,1
25,file,root/strings/subtitle_marshal02_cs09-chs.wst,subtitle_marshal02_cs09-chs.wst,.wst,86652928,275,256,True,True,1
26,file,root/strings/subtitle_intro_post_tunnel_d-jp.wst,subtitle_intro_post_tunnel_d-jp.wst,.wst,85942272,679,256,True,True,1
27,file,root/strings/subtitle_fbi_05_p1-cht.wst,subtitle_fbi_05_p1-cht.wst,.wst,83214336,283,256,True,True,1
28,file,root/strings/jobs-ru.wst,jobs-ru.wst,.wst,56823808,2686,512,True,True,1
29,file,root/strings/subtitle_home03_cs03-it.wst,subtitle_home03_cs03-it.wst,.wst,85198848,236,256,True,True,1
30,file,root/strings/subtitle_fort_02_end-es.wst,subtitle_fort_02_end-es.wst,.wst,83668992,1236,256,True,True,1
31,file,root/strings/fbi04-en.wst,fbi04-en.wst,.wst,24158208,11965,3072,True,True,1
32,file,root/strings/subtitle_outlaw03_cs02-pl.wst,subtitle_outlaw03_cs02-pl.wst,.wst,89280512,594,256,True,True,1
