term,offset,offset_hex,status,reason
dlc,16581,0x40C5,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
dlc,16649,0x4109,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
dlc,128371,0x1F573,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
beh,60765,0xED5D,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
beh,60782,0xED6E,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
beh,60799,0xED7F,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
beh,60817,0xED91,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
beh,60842,0xEDAA,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
beh,60860,0xEDBC,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
beh,101038,0x18AAE,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
beh,101055,0x18ABF,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
beh,101092,0x18AE4,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
beh,101110,0x18AF6,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
beh,101135,0x18B0F,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
beh,101153,0x18B21,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
beh,101369,0x18BF9,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
beh,101387,0x18C0B,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
beh,101405,0x18C1D,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
beh,120301,0x1D5ED,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
beh,179061,0x2BB75,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
props01x,60828,0xED9C,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
props01x,60871,0xEDC7,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
props01x,100276,0x187B4,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
props01x,100341,0x187F5,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
props01x,100409,0x18839,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
props01x,100474,0x1887A,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
props01x,100998,0x18A86,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
props01x,101121,0x18B01,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
props01x,101164,0x18B2C,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
world,105254,0x19B26,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
load,13462,0x3496,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
load,13860,0x3624,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
load,13902,0x364E,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
load,14219,0x378B,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
load,14261,0x37B5,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
