term,offset,offset_hex,context_ascii,context_hex
beh,2914,0xB62,".,.A..7.,.B7.,.B..7......-....7..,.""o.actorRoam_behavior.8.,.C+.-....7..,.""o.actorRoam_gringoFail.,",00 2C 03 41 0F 94 37 02 2C 03 42 37 00 2C 03 42 0F B2 37 04 AF B1 2E 05 00 2D 02 00 04 00 37 00 AF 2C 03 22 6F 13 61 63 74 6F 72 52 6F 61 6D 5F 62 65 68 61 76 69 6F 72 00 38 01 2C 07 43 2B 82 2D 01 00 04 00 37 00 AF 2C 03 22 6F 15 61 63 74 6F 72 52 6F 61 6D 5F 67 72 69 6E 67 6F 46 61 69 6C 00 2C
beh,4793,0x12B9,".""o.actorRoam_target.,.a.-....7..,.""o.actorRoam_behavior.,.E.-....7..,.""o.actorRoam_state.,.E.-....",03 22 6F 11 61 63 74 6F 72 52 6F 61 6D 5F 74 61 72 67 65 74 00 2C 05 61 7F 2D 01 00 03 00 37 00 AF 2C 03 22 6F 13 61 63 74 6F 72 52 6F 61 6D 5F 62 65 68 61 76 69 6F 72 00 2C 05 45 7F 2D 01 00 03 00 37 00 AF 2C 03 22 6F 10 61 63 74 6F 72 52 6F 61 6D 5F 73 74 61 74 65 00 2C 05 45 7F 2D 00 00 02 00
beh,38351,0x95CF,"_barn01xprops01x.,..b..%9.R..%9R.i c.*.8.O..6.o.beh_silo02x.,..o.beh_silo01x.,..b.m%0.R..c.^.8.O..6",5F 62 61 72 6E 30 31 78 70 72 6F 70 73 30 31 78 00 2C 02 F9 62 10 A9 25 39 8B 52 2E DF 25 39 52 A6 69 20 63 00 2A 8C 38 02 4F 99 9C 36 01 6F 0C 62 65 68 5F 73 69 6C 6F 30 32 78 00 2C 02 F8 6F 0C 62 65 68 5F 73 69 6C 6F 30 31 78 00 2C 02 F9 62 10 6D 25 30 8B 52 2E DF 63 00 5E 8C 38 02 4F 99 9C 36
beh,38368,0x95E0,",..b..%9.R..%9R.i c.*.8.O..6.o.beh_silo02x.,..o.beh_silo01x.,..b.m%0.R..c.^.8.O..6.o.beh_house02x.,",2C 02 F9 62 10 A9 25 39 8B 52 2E DF 25 39 52 A6 69 20 63 00 2A 8C 38 02 4F 99 9C 36 01 6F 0C 62 65 68 5F 73 69 6C 6F 30 32 78 00 2C 02 F8 6F 0C 62 65 68 5F 73 69 6C 6F 30 31 78 00 2C 02 F9 62 10 6D 25 30 8B 52 2E DF 63 00 5E 8C 38 02 4F 99 9C 36 01 6F 0D 62 65 68 5F 68 6F 75 73 65 30 32 78 00 2C
beh,38405,0x9605,"lo02x.,..o.beh_silo01x.,..b.m%0.R..c.^.8.O..6.o.beh_house02x.,..o.beh_house02props01x.,..o.beh_hous",6C 6F 30 32 78 00 2C 02 F8 6F 0C 62 65 68 5F 73 69 6C 6F 30 31 78 00 2C 02 F9 62 10 6D 25 30 8B 52 2E DF 63 00 5E 8C 38 02 4F 99 9C 36 01 6F 0D 62 65 68 5F 68 6F 75 73 65 30 32 78 00 2C 02 F8 6F 14 62 65 68 5F 68 6F 75 73 65 30 32 70 72 6F 70 73 30 31 78 00 2C 02 F8 6F 0D 62 65 68 5F 68 6F 75 73
beh,38423,0x9617,"o01x.,..b.m%0.R..c.^.8.O..6.o.beh_house02x.,..o.beh_house02props01x.,..o.beh_house01x.,..o.beh_hous",6F 30 31 78 00 2C 02 F9 62 10 6D 25 30 8B 52 2E DF 63 00 5E 8C 38 02 4F 99 9C 36 01 6F 0D 62 65 68 5F 68 6F 75 73 65 30 32 78 00 2C 02 F8 6F 14 62 65 68 5F 68 6F 75 73 65 30 32 70 72 6F 70 73 30 31 78 00 2C 02 F8 6F 0D 62 65 68 5F 68 6F 75 73 65 30 31 78 00 2C 02 F9 6F 14 62 65 68 5F 68 6F 75 73
beh,38448,0x9630,".6.o.beh_house02x.,..o.beh_house02props01x.,..o.beh_house01x.,..o.beh_house01props01x.,..b..%..R..c",9C 36 01 6F 0D 62 65 68 5F 68 6F 75 73 65 30 32 78 00 2C 02 F8 6F 14 62 65 68 5F 68 6F 75 73 65 30 32 70 72 6F 70 73 30 31 78 00 2C 02 F8 6F 0D 62 65 68 5F 68 6F 75 73 65 30 31 78 00 2C 02 F9 6F 14 62 65 68 5F 68 6F 75 73 65 30 31 70 72 6F 70 73 30 31 78 00 2C 02 F9 62 10 03 25 1C 8B 52 2E DF 63
beh,38466,0x9642,",..o.beh_house02props01x.,..o.beh_house01x.,..o.beh_house01props01x.,..b..%..R..c.:.8.O..6.o.tor_mi",2C 02 F8 6F 14 62 65 68 5F 68 6F 75 73 65 30 32 70 72 6F 70 73 30 31 78 00 2C 02 F8 6F 0D 62 65 68 5F 68 6F 75 73 65 30 31 78 00 2C 02 F9 6F 14 62 65 68 5F 68 6F 75 73 65 30 31 70 72 6F 70 73 30 31 78 00 2C 02 F9 62 10 03 25 1C 8B 52 2E DF 63 00 3A 8C 38 02 4F 99 9C 36 01 6F 14 74 6F 72 5F 6D 69
beh,38682,0x971A,".8.O..6.o.icarus.,..b.^b.[b.X%9.R..c.>.8.O..6.o.beh_grave02x.,..o.beh_grave03x.,..o.beh_grave01x.,.",8C 38 02 4F 99 9C 36 01 6F 07 69 63 61 72 75 73 00 2C 02 F9 62 0F 5E 62 0F 5B 62 0F 58 25 39 8B 52 2E DF 63 00 3E 8C 38 02 4F 99 9C 36 01 6F 0D 62 65 68 5F 67 72 61 76 65 30 32 78 00 2C 02 F9 6F 0D 62 65 68 5F 67 72 61 76 65 30 33 78 00 2C 02 F9 6F 0D 62 65 68 5F 67 72 61 76 65 30 31 78 00 2C 02
beh,38700,0x972C,"..b.^b.[b.X%9.R..c.>.8.O..6.o.beh_grave02x.,..o.beh_grave03x.,..o.beh_grave01x.,..b..%..R..c.p.8.O.",02 F9 62 0F 5E 62 0F 5B 62 0F 58 25 39 8B 52 2E DF 63 00 3E 8C 38 02 4F 99 9C 36 01 6F 0D 62 65 68 5F 67 72 61 76 65 30 32 78 00 2C 02 F9 6F 0D 62 65 68 5F 67 72 61 76 65 30 33 78 00 2C 02 F9 6F 0D 62 65 68 5F 67 72 61 76 65 30 31 78 00 2C 02 F8 62 0F 0E 25 19 8B 52 2E DF 63 0E 70 8C 38 02 4F 99
beh,38718,0x973E,".>.8.O..6.o.beh_grave02x.,..o.beh_grave03x.,..o.beh_grave01x.,..b..%..R..c.p.8.O..6.o.rsdGPSTRAIL_e",00 3E 8C 38 02 4F 99 9C 36 01 6F 0D 62 65 68 5F 67 72 61 76 65 30 32 78 00 2C 02 F9 6F 0D 62 65 68 5F 67 72 61 76 65 30 33 78 00 2C 02 F9 6F 0D 62 65 68 5F 67 72 61 76 65 30 31 78 00 2C 02 F8 62 0F 0E 25 19 8B 52 2E DF 63 0E 70 8C 38 02 4F 99 9C 36 01 6F 19 72 73 64 47 50 53 54 52 41 49 4C 5F 65
beh,57188,0xDF64,"1props01x.,..o.rwf_livingRoom01props02x.,..b..o.beh_silo01x.,..o.beh_silo02x.,..b..P..c.Yo.beh_hous",31 70 72 6F 70 73 30 31 78 00 2C 02 F9 6F 19 72 77 66 5F 6C 69 76 69 6E 67 52 6F 6F 6D 30 31 70 72 6F 70 73 30 32 78 00 2C 02 F8 62 11 FA 6F 0C 62 65 68 5F 73 69 6C 6F 30 31 78 00 2C 02 F8 6F 0C 62 65 68 5F 73 69 6C 6F 30 32 78 00 2C 02 F9 62 11 D5 50 19 CE 63 00 59 6F 0D 62 65 68 5F 68 6F 75 73
beh,57205,0xDF75,"f_livingRoom01props02x.,..b..o.beh_silo01x.,..o.beh_silo02x.,..b..P..c.Yo.beh_house02x.,..o.beh_hou",66 5F 6C 69 76 69 6E 67 52 6F 6F 6D 30 31 70 72 6F 70 73 30 32 78 00 2C 02 F8 62 11 FA 6F 0C 62 65 68 5F 73 69 6C 6F 30 31 78 00 2C 02 F8 6F 0C 62 65 68 5F 73 69 6C 6F 30 32 78 00 2C 02 F9 62 11 D5 50 19 CE 63 00 59 6F 0D 62 65 68 5F 68 6F 75 73 65 30 32 78 00 2C 02 F9 6F 14 62 65 68 5F 68 6F 75
beh,57231,0xDF8F,"b..o.beh_silo01x.,..o.beh_silo02x.,..b..P..c.Yo.beh_house02x.,..o.beh_house02props01x.,..o.beh_hous",62 11 FA 6F 0C 62 65 68 5F 73 69 6C 6F 30 31 78 00 2C 02 F8 6F 0C 62 65 68 5F 73 69 6C 6F 30 32 78 00 2C 02 F9 62 11 D5 50 19 CE 63 00 59 6F 0D 62 65 68 5F 68 6F 75 73 65 30 32 78 00 2C 02 F9 6F 14 62 65 68 5F 68 6F 75 73 65 30 32 70 72 6F 70 73 30 31 78 00 2C 02 F9 6F 0D 62 65 68 5F 68 6F 75 73
beh,57249,0xDFA1,"..o.beh_silo02x.,..b..P..c.Yo.beh_house02x.,..o.beh_house02props01x.,..o.beh_house01x.,..o.beh_hous",02 F8 6F 0C 62 65 68 5F 73 69 6C 6F 30 32 78 00 2C 02 F9 62 11 D5 50 19 CE 63 00 59 6F 0D 62 65 68 5F 68 6F 75 73 65 30 32 78 00 2C 02 F9 6F 14 62 65 68 5F 68 6F 75 73 65 30 32 70 72 6F 70 73 30 31 78 00 2C 02 F9 6F 0D 62 65 68 5F 68 6F 75 73 65 30 31 78 00 2C 02 F8 6F 14 62 65 68 5F 68 6F 75 73
beh,57274,0xDFBA,"c.Yo.beh_house02x.,..o.beh_house02props01x.,..o.beh_house01x.,..o.beh_house01props01x.,..b.Vo.beh_h",63 00 59 6F 0D 62 65 68 5F 68 6F 75 73 65 30 32 78 00 2C 02 F9 6F 14 62 65 68 5F 68 6F 75 73 65 30 32 70 72 6F 70 73 30 31 78 00 2C 02 F9 6F 0D 62 65 68 5F 68 6F 75 73 65 30 31 78 00 2C 02 F8 6F 14 62 65 68 5F 68 6F 75 73 65 30 31 70 72 6F 70 73 30 31 78 00 2C 02 F8 62 00 56 6F 0D 62 65 68 5F 68
