source,path,relative_path,path_family,name,extension,is_hash_named,size,size_mod_4,header_family,magic_hex_4,head_hex_16,head_hex_32,head_ascii_16,zstd_marker_in_first_512,zstd_marker_offset_in_first_512,compression_encryption_note,sha1,crc32,resource_type,resource_flag1_hex,resource_flag2_hex
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\ambient\beacons\beacon_escort_criminals.wsc,release64/ambient/beacons/beacon_escort_criminals.wsc,content/release64,beacon_escort_criminals.wsc,.wsc,False,31112,0,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 13 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 13 00 00 80 5C 75 7D E8 9E CF 53 9D 93 A1 26 D5 D9 5B 32 1B,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,7C7B08386565AAA383367BA2DDA9CBB5A8E046A5,B85B02C4,2,0x80000000,0x80000013
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\ambient\beacons\beacon_escort_wavedown.wsc,release64/ambient/beacons/beacon_escort_wavedown.wsc,content/release64,beacon_escort_wavedown.wsc,.wsc,False,29403,3,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 11 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 11 00 00 80 2A 07 5A CF F2 E4 05 24 62 0A 9B 8B EB EB 83 24,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,C67F455B39E7DA8CE1B77BEC513C8B3B3AA9F60A,6F4CC2EC,2,0x80000000,0x80000011
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\ambient\beacons\beacon_transport_dynomite.wsc,release64/ambient/beacons/beacon_transport_dynomite.wsc,content/release64,beacon_transport_dynomite.wsc,.wsc,False,31307,3,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 13 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 13 00 00 80 ED E5 01 0C 6A C5 2F 6A AB 5A 7B D0 62 A6 AA 07,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,7B825F1A44C4E834589E94D9E17E3DD3BEFD86B0,63D29237,2,0x80000000,0x80000013
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\ambient\crimeresponse\event_first_pay_cutscene.wsc,release64/ambient/crimeresponse/event_first_pay_cutscene.wsc,content/release64,event_first_pay_cutscene.wsc,.wsc,False,5324,0,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 05 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 05 00 00 80 4F FE 22 F2 18 E1 97 19 62 F4 ED FD 78 08 FE 7B,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,6EBC55B2BCCA95B966C69DDF8512916216911A61,82178E5D,2,0x80000000,0x80000005
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\ambient\crimeresponse\event_law_report_crime.wsc,release64/ambient/crimeresponse/event_law_report_crime.wsc,content/release64,event_law_report_crime.wsc,.wsc,False,15619,3,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 09 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 09 00 00 80 87 3A 29 6C 94 E1 1C F3 B6 A7 14 57 11 88 5D 2C,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,FEE176308B8C4285ADB93B8CB6B112337D6B7224,A854BC30,2,0x80000000,0x80000009
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\ambient\crimeresponse\event_law_repsonse_ai.wsc,release64/ambient/crimeresponse/event_law_repsonse_ai.wsc,content/release64,event_law_repsonse_ai.wsc,.wsc,False,21806,2,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 0D 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 0D 00 00 80 35 8B 9E 7C 64 C1 94 E4 0B 33 F4 96 02 CE 87 14,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,0913BDB1F10CD97D19C277A71DF4E3F22DD5D73D,46797481,2,0x80000000,0x8000000D
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\ambient\crimeresponse\event_law_repsonse_bounty.wsc,release64/ambient/crimeresponse/event_law_repsonse_bounty.wsc,content/release64,event_law_repsonse_bounty.wsc,.wsc,False,23143,3,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 0E 00 00 90,52 53 43 85 02 00 00 00 00 00 00 80 0E 00 00 90 F3 3C 6D 0F 2A 6F 0C 49 DE D8 D2 A9 88 61 18 B3,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,4AF4ED0F508927C6FD7EC36F01D47EFCC3A63C1D,0D728453,2,0x80000000,0x9000000E
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\ambient\crimeresponse\event_law_repsonse_local.wsc,release64/ambient/crimeresponse/event_law_repsonse_local.wsc,content/release64,event_law_repsonse_local.wsc,.wsc,False,27549,1,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 11 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 11 00 00 80 0E 60 CC 31 DD 1B AC 0C C8 A0 5A 1B 58 4B 81 11,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,52A4A47C92CA8A3866373B332D9E30BDBA7A663B,C6F4C505,2,0x80000000,0x80000011
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\ambient\crimeresponse\event_law_repsonse_posse.wsc,release64/ambient/crimeresponse/event_law_repsonse_posse.wsc,content/release64,event_law_repsonse_posse.wsc,.wsc,False,25566,2,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 11 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 11 00 00 80 93 A6 D4 48 D5 40 C4 F5 37 2A 22 5E C5 A1 22 37,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,D1D6E67E7474C110E50C2F8F87C13794978696DB,9F8A7F02,2,0x80000000,0x80000011
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\ambient\crimeresponse\event_law_repsonse_special.wsc,release64/ambient/crimeresponse/event_law_repsonse_special.wsc,content/release64,event_law_repsonse_special.wsc,.wsc,False,23283,3,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 0E 00 00 90,52 53 43 85 02 00 00 00 00 00 00 80 0E 00 00 90 5D 81 1E 13 1B EF 1C 06 C5 C5 D0 D2 DE C9 36 6D,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,309A3BC595888CA55CC64EE1846A0F10B21E7977,FAA2781D,2,0x80000000,0x9000000E
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\ambient\crimeresponse\event_law_repsonse_stickup.wsc,release64/ambient/crimeresponse/event_law_repsonse_stickup.wsc,content/release64,event_law_repsonse_stickup.wsc,.wsc,False,14573,1,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 09 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 09 00 00 80 04 CA DC FF 29 98 7E BE 40 57 19 F3 B0 1B A3 6B,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,DF75B6ABA34E23CB2F6C96F26FF53154366B5B04,FD709555,2,0x80000000,0x80000009
