offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
25,0x19,01 00,1,1,0
39,0x27,01 01,257,1,0
52,0x34,01 01,257,1,0
80,0x50,02 02,514,0,1
83,0x53,01 01,257,1,0
86,0x56,02 03,770,0,1
89,0x59,00 04,1024,0,0
157,0x9D,02 05,1282,0,1
160,0xA0,01 06,1537,1,0
163,0xA3,02 07,1794,0,1
178,0xB2,02 08,2050,0,1
207,0xCF,02 09,2306,0,1
233,0xE9,05 0A,2565,1,2
267,0x10B,05 0B,2821,1,2
274,0x112,00 0C,3072,0,0
311,0x137,03 0D,3331,1,1
336,0x150,07 0E,3591,1,3
382,0x17E,01 0F,3841,1,0
395,0x18B,02 10,4098,0,1
501,0x1F5,01 11,4353,1,0
529,0x211,03 12,4611,1,1
541,0x21D,03 12,4611,1,1
553,0x229,03 12,4611,1,1
565,0x235,03 12,4611,1,1
577,0x241,03 12,4611,1,1
589,0x24D,03 12,4611,1,1
601,0x259,03 12,4611,1,1
613,0x265,03 13,4867,1,1
625,0x271,03 13,4867,1,1
637,0x27D,03 12,4611,1,1
650,0x28A,03 12,4611,1,1
663,0x297,03 12,4611,1,1
675,0x2A3,03 13,4867,1,1
688,0x2B0,03 12,4611,1,1
701,0x2BD,03 12,4611,1,1
714,0x2CA,03 12,4611,1,1
726,0x2D6,03 13,4867,1,1
737,0x2E1,03 13,4867,1,1
749,0x2ED,03 13,4867,1,1
761,0x2F9,03 13,4867,1,1
773,0x305,03 13,4867,1,1
791,0x317,03 14,5123,1,1
842,0x34A,03 15,5379,1,1
865,0x361,05 16,5637,1,2
884,0x374,03 17,5891,1,1
1128,0x468,02 05,1282,0,1
1151,0x47F,03 18,6147,1,1
1167,0x48F,03 19,6403,1,1
1245,0x4DD,03 15,5379,1,1
1268,0x4F4,05 16,5637,1,2
1287,0x507,03 17,5891,1,1
1528,0x5F8,02 05,1282,0,1
1551,0x60F,03 18,6147,1,1
1567,0x61F,03 19,6403,1,1
1638,0x666,01 1A,6657,1,0
1665,0x681,03 17,5891,1,1
1708,0x6AC,03 1B,6915,1,1
1717,0x6B5,03 1C,7171,1,1
1734,0x6C6,03 1D,7427,1,1
1750,0x6D6,05 1E,7685,1,2
1763,0x6E3,03 1F,7939,1,1
1789,0x6FD,05 20,8197,1,2
1824,0x720,05 21,8453,1,2
1855,0x73F,03 22,8707,1,1
1883,0x75B,05 23,8965,1,2
1920,0x780,07 24,9223,1,3
1969,0x7B1,05 25,9477,1,2
1998,0x7CE,03 26,9731,1,1
2038,0x7F6,03 27,9987,1,1
2068,0x814,05 28,10245,1,2
2098,0x832,05 21,8453,1,2
2125,0x84D,03 29,10499,1,1
2141,0x85D,05 25,9477,1,2
2163,0x873,03 2A,10755,1,1
2179,0x883,05 25,9477,1,2
2212,0x8A4,03 2B,11011,1,1
2241,0x8C1,03 2C,11267,1,1
2252,0x8CC,03 0D,3331,1,1
2509,0x9CD,02 05,1282,0,1
2615,0xA37,02 02,514,0,1
2625,0xA41,02 02,514,0,1
2628,0xA44,00 04,1024,0,0
2751,0xABF,02 05,1282,0,1
2860,0xB2C,02 02,514,0,1
2870,0xB36,02 02,514,0,1
2873,0xB39,00 04,1024,0,0
3013,0xBC5,02 05,1282,0,1
3027,0xBD3,03 2D,11523,1,1
3038,0xBDE,03 2D,11523,1,1
3048,0xBE8,03 2D,11523,1,1
3074,0xC02,03 2D,11523,1,1
3103,0xC1F,03 2E,11779,1,1
3106,0xC22,03 2F,12035,1,1
3119,0xC2F,07 30,12295,1,3
3387,0xD3B,07 31,12551,1,3
3454,0xD7E,03 32,12803,1,1
3493,0xDA5,03 2D,11523,1,1
3501,0xDAD,03 2D,11523,1,1
3505,0xDB1,03 32,12803,1,1
3535,0xDCF,03 33,13059,1,1
3626,0xE2A,03 33,13059,1,1
3688,0xE68,03 33,13059,1,1
3751,0xEA7,03 33,13059,1,1
3791,0xECF,03 33,13059,1,1
3829,0xEF5,03 2D,11523,1,1
3833,0xEF9,03 32,12803,1,1
3861,0xF15,03 33,13059,1,1
3991,0xF97,03 32,12803,1,1
4005,0xFA5,07 31,12551,1,3
4024,0xFB8,03 32,12803,1,1
4027,0xFBB,03 33,13059,1,1
4106,0x100A,03 32,12803,1,1
4120,0x1018,07 31,12551,1,3
4139,0x102B,03 32,12803,1,1
4142,0x102E,03 33,13059,1,1
4224,0x1080,03 34,13315,1,1
4244,0x1094,03 32,12803,1,1
4247,0x1097,03 33,13059,1,1
4264,0x10A8,00 35,13568,0,0
4430,0x114E,03 36,13827,1,1
4461,0x116D,1A 37,14106,0,13
4496,0x1190,03 38,14339,1,1
4547,0x11C3,03 36,13827,1,1
4589,0x11ED,1A 37,14106,0,13
4611,0x1203,03 36,13827,1,1
4639,0x121F,1A 37,14106,0,13
4652,0x122C,03 36,13827,1,1
4680,0x1248,1A 37,14106,0,13
4801,0x12C1,03 2F,12035,1,1
4839,0x12E7,03 2F,12035,1,1
4924,0x133C,03 2F,12035,1,1
5052,0x13BC,03 32,12803,1,1
5075,0x13D3,03 32,12803,1,1
5189,0x1445,02 05,1282,0,1
5372,0x14FC,03 2E,11779,1,1
5387,0x150B,03 2E,11779,1,1
5408,0x1520,03 2E,11779,1,1
5426,0x1532,03 2E,11779,1,1
5503,0x157F,02 05,1282,0,1
5554,0x15B2,02 05,1282,0,1
5684,0x1634,02 02,514,0,1
5694,0x163E,02 02,514,0,1
5697,0x1641,00 04,1024,0,0
5773,0x168D,02 39,14594,0,1
5886,0x16FE,02 02,514,0,1
5896,0x1708,02 02,514,0,1
5899,0x170B,00 04,1024,0,0
5975,0x1757,02 05,1282,0,1
6068,0x17B4,02 05,1282,0,1
6184,0x1828,02 05,1282,0,1
6392,0x18F8,02 39,14594,0,1
6538,0x198A,02 39,14594,0,1
6608,0x19D0,02 05,1282,0,1
6620,0x19DC,03 32,12803,1,1
7057,0x1B91,01 3A,14849,1,0
7066,0x1B9A,01 3A,14849,1,0
7079,0x1BA7,01 3A,14849,1,0
7089,0x1BB1,03 3B,15107,1,1
7178,0x1C0A,02 05,1282,0,1
7272,0x1C68,02 02,514,0,1
7282,0x1C72,02 02,514,0,1
