term,offset,offset_hex,context_ascii,context_hex
ActorEnum,11050,0x2B2A,"........b..OSy=H.,..c..OSy=H.,.Jq.OSy=H.7..R/.o.ActorEnum.7.R/.7..7..,.K9.8...R/e.(@@..R-.O.<.o.PlayerHor",00 A0 00 00 00 02 00 AA 62 00 E1 4F 53 79 3D 48 AF 2C 03 1B 63 00 11 4F 53 79 3D 48 AF 2C 02 4A 71 AF 4F 53 79 3D 48 B0 37 00 AF 52 2F E4 6F 0A 41 63 74 6F 72 45 6E 75 6D 00 37 05 52 2F 94 37 06 B0 37 06 AF 2C 03 4B 39 07 38 07 8C 8C 52 2F 65 8B 28 40 40 00 00 52 2D 1A 4F D3 3C AF 6F 16 50 6C 61 79 65 72 48 6F 72
ActorEnum,12724,0x31B4,"eAnim..7..,.[.-....7..R/.7...9.OSy=H.,..c..7..o.ActorEnum.7.R/.7..7..,.K9.OSy=H.,.j9..9.O.<.R4$7..8.,.k%.",65 41 6E 69 6D 00 8D 37 00 AF 2C 07 5B 7F 2D 03 00 0D 00 37 00 AF 52 2F E4 37 00 B0 8C 39 05 4F 53 79 3D 48 AF 2C 03 1B 63 01 14 37 00 AF 6F 0A 41 63 74 6F 72 45 6E 75 6D 00 37 05 52 2F 94 37 06 B0 37 06 AF 2C 03 4B 39 07 4F 53 79 3D 48 AF 2C 03 6A 39 08 8B 39 09 4F D3 3C AF 52 34 24 37 0A B1 38 07 2C 03 6B 25 17
ItemAttribs,12267,0x2FEB,"Y..7..o.NoString.,.Z c...7..0:...7...:...-....o.ItemAttribs..7..,.[.-....7..R1{7..7..R1d7...9.7..,.F7../.c.",59 8B 08 37 06 AF 6F 09 4E 6F 53 74 72 69 6E 67 00 2C 05 5A 20 63 00 09 8B 37 02 AF 30 3A 00 AF 87 37 06 AF 87 3A 00 AF 87 2D 01 00 03 00 6F 0C 49 74 65 6D 41 74 74 72 69 62 73 00 8F 37 00 AF 2C 07 5B 7F 2D 03 00 08 00 37 00 AF 52 31 7B 37 05 B0 37 00 AF 52 31 64 37 06 B0 8B 39 07 37 05 AF 2C 03 46 37 02 AF 2F 1F 63 00
own_new_horse,11182,0x2BAE,"ayerHorse_DeathTime.,..+.<.b.JR,.c...R,..<.b.:o.own_new_horse.(A .......R+.7..o.ItemSave..,..+.7..0..b..b....",61 79 65 72 48 6F 72 73 65 5F 44 65 61 74 68 54 69 6D 65 00 2C 05 0B 2B 8C 3C 05 62 00 4A 52 2C FA 63 00 07 8A 52 2C B7 8D 3C 05 62 00 3A 6F 0E 6F 77 6E 5F 6E 65 77 5F 68 6F 72 73 65 00 28 41 20 00 00 8C 8B 8D 8C 8B 52 2B ED 37 01 AF 6F 09 49 74 65 6D 53 61 76 65 00 8C 2C 07 0E 2B 8C 37 02 AF 30 8B 87 62 00 00 62 00 02 8B 87
SettingPlayerHorse,13288,0x33E8,".. P.B.. {-....7..,.}.-....7..,.~,...-....O.<.o.SettingPlayerHorse.7..,..+O.<.o.NewPlayerHorse_Wipe.7..,..+.-....7",8D 08 20 50 D3 42 8E 08 20 7B 2D 01 00 03 00 37 00 AF 2C 03 7D 7F 2D 01 00 03 00 37 00 AF 2C 03 7E 2C 03 1B 7F 2D 02 00 04 00 4F D3 3C AF 6F 13 53 65 74 74 69 6E 67 50 6C 61 79 65 72 48 6F 72 73 65 00 37 00 AF 2C 07 7F 2B 4F D3 3C AF 6F 14 4E 65 77 50 6C 61 79 65 72 48 6F 72 73 65 5F 57 69 70 65 00 37 01 AF 2C 07 0E 2B 82 2D 01 00 05 00 37
NewPlayerHorse_Wipe,13320,0x3408,"~,...-....O.<.o.SettingPlayerHorse.7..,..+O.<.o.NewPlayerHorse_Wipe.7..,..+.-....7..7.,.B.7.2.-....7..7..7..R1d7..7",7E 2C 03 1B 7F 2D 02 00 04 00 4F D3 3C AF 6F 13 53 65 74 74 69 6E 67 50 6C 61 79 65 72 48 6F 72 73 65 00 37 00 AF 2C 07 7F 2B 4F D3 3C AF 6F 14 4E 65 77 50 6C 61 79 65 72 48 6F 72 73 65 5F 57 69 70 65 00 37 01 AF 2C 07 0E 2B 82 2D 01 00 05 00 37 00 AF 37 03 2C 04 42 8D 37 03 32 80 2D 02 00 06 00 37 00 AF 37 00 B0 37 00 AF 52 31 64 37 04 B0 37
WasPlayerMount,12892,0x325C,". OSy=H..,.QOSy=H.O.<.)Cz......,.m7..,..c./7..o.WasPlayerMount.,.Dc...9.OSy=H= .R..7...R3.8.8..8. c.*o.already",00 20 4F 53 79 3D 48 AF 8C 2C 04 51 4F 53 79 3D 48 AF 4F D3 3C AF 29 43 7A 00 00 93 8B 8B 8B 2C 0E 6D 37 0C AF 2C 03 1B 63 00 2F 37 0C AF 6F 0F 57 61 73 50 6C 61 79 65 72 4D 6F 75 6E 74 00 2C 05 44 63 00 15 8C 39 09 4F 53 79 3D 48 3D 20 8D 52 1F 99 37 0C AF 8C 52 33 DD 38 08 38 07 08 38 09 20 63 00 2A 6F 13 61 6C 72 65 61 64 79
ItemSave,224,0xE0,"..,..b._8..;....c...<.:..R).+;.,......R)G.O.<.o.ItemSave.,...c...R.U..R..b..O.<.o.ItemSave.,..+.<.,..z-.",02 8B 2C 02 08 62 FF 5F 38 02 06 3B 02 8F 0C 1F 63 00 0A 8F 3C 02 3A 07 AF 52 29 F6 2B 3B 03 2C 02 09 8B 8B 8C 8C 52 29 47 06 4F D3 3C AF 6F 09 49 74 65 6D 53 61 76 65 00 2C 05 0A 1F 63 00 0C 8C 52 01 55 8C 8B 52 01 16 62 00 00 4F D3 3C AF 6F 09 49 74 65 6D 53 61 76 65 00 2C 05 0B 2B 8B 3C 03 2C 00 0C 7A 2D 02
ItemSave,258,0x102,"....R)G.O.<.o.ItemSave.,...c...R.U..R..b..O.<.o.ItemSave.,..+.<.,..z-....P..c...8.Q..8.Q..P.....c....,..",8B 8B 8C 8C 52 29 47 06 4F D3 3C AF 6F 09 49 74 65 6D 53 61 76 65 00 2C 05 0A 1F 63 00 0C 8C 52 01 55 8C 8B 52 01 16 62 00 00 4F D3 3C AF 6F 09 49 74 65 6D 53 61 76 65 00 2C 05 0B 2B 8B 3C 03 2C 00 0C 7A 2D 02 00 04 00 50 19 E0 63 00 01 82 38 00 51 19 FF 38 01 51 1A 03 50 19 CE 06 8C 1F 63 00 01 82 8B 2C 03 0D
ItemSave,11214,0x2BCE,".c...R,..<.b.:o.own_new_horse.(A .......R+.7..o.ItemSave..,..+.7..0..b..b......-....P....P*....c.U.P*.O.",FA 63 00 07 8A 52 2C B7 8D 3C 05 62 00 3A 6F 0E 6F 77 6E 5F 6E 65 77 5F 68 6F 72 73 65 00 28 41 20 00 00 8C 8B 8D 8C 8B 52 2B ED 37 01 AF 6F 09 49 74 65 6D 53 61 76 65 00 8C 2C 07 0E 2B 8C 37 02 AF 30 8B 87 62 00 00 62 00 02 8B 87 8C 87 2D 07 00 0E 00 50 19 DF 8C 08 50 2A D6 8A 09 1F 63 00 55 8F 50 2A D6 4F 1A
