offset,offset_hex,length,text,population_term
47,0x2F,46,o-********************************************,
102,0x66,24,                 MAIN.SC,
133,0x85,46,o-SCRIPTS ARE COMPILED WITH STANDALONE DEFINED,
186,0xBA,46,o-********************************************,
241,0xF1,16,RDRUNDEADNGHTPAK,
288,0x120,4,1++7,
336,0x150,8,PM_Stats,
350,0x15E,19,JournalTab_Complete,
378,0x17A,8,PM_Stats,
392,0x188,19,JournalTab_Complete,
421,0x1A5,4,Uquc,
430,0x1AE,4,Uqb8,
490,0x1EA,4,Upuj,
498,0x1F2,4,Updj,
506,0x1FA,4,UpNb,
623,0x26F,4,UomO,
641,0x281,9,pressDemo,
651,0x28B,4,UoKc,
663,0x297,10,pressDemo3,
674,0x2A2,4,UoKc,
690,0x2B2,4,UoKc,
710,0x2C6,7,devmode,
718,0x2CE,4,UoKc,
734,0x2DE,15,d11CutsceneHack,
750,0x2EE,4,"UoK,",
767,0x2FF,19,d11KeyboardControls,
787,0x313,4,UoKc,
842,0x34A,18,performanceTestHen,
861,0x35D,4,UoKc,
880,0x370,18,performanceTestArm,
899,0x383,4,UoKc,
918,0x396,19,performanceTestFire,
938,0x3AA,4,UoKc,
957,0x3BD,21,performanceTestStream,
979,0x3D3,4,UoKc,
998,0x3E6,21,performancetestgringo,
1020,0x3FC,4,UoKc,
1036,0x40C,8,soaktest,
1058,0x422,8,soaktest,
1080,0x438,5,noDDA,
1086,0x43E,4,UoKc,
1117,0x45D,23,Initializing deed array,
1173,0x495,22,Resetting from mission,
1234,0x4D2,5,""")DVU",
1405,0x57D,4,"=)E""",
1486,0x5CE,14,randomstartloc,
1501,0x5DD,4,UoKc,
1531,0x5FB,4,9+8+,
1560,0x618,5,Qb-)B,
1627,0x65B,4,F+)A,
1654,0x676,4,iy)E,
1668,0x684,4,)D%S,
1707,0x6AB,5,Qb-)B,
1789,0x6FD,9,Cutscenes,
1808,0x710,9,Cutscenes,
1892,0x764,6,"9.8,OT",
1906,0x772,4,"8,OT",
1954,0x7A2,5,S8-OT,
1966,0x7AE,4,8-OT,
1977,0x7B9,5, 8.OT,
1991,0x7C7,4,8.OT,
2118,0x846,5,Qb-)B,
2149,0x865,5,)E#gh,
2166,0x876,4,{)B|,
2172,0x87C,4,)EPj,
2249,0x8C9,6,OTH?xT,
2256,0x8D0,4,C%@T,
2295,0x8F7,4,@7/%,
2300,0x8FC,48,1+7/o+$/content/scripting/DesignerDefined/Player,
2353,0x931,39,"3+7/o""$/content/init/rdr2init_each_load",
2397,0x95D,61,3+7/o8$/content/scripting/DesignerDefined/short_update_thread,
2463,0x99F,62,3+7/o9$/content/scripting/DesignerDefined/medium_update_thread,
2530,0x9E2,60,3+7/o7$/content/scripting/DesignerDefined/long_update_thread,
2595,0xA23,60,3+7/o7$/content/scripting/DesignerDefined/UI/FuiEventMonitor,
2660,0xA64,47,3+7/o*$/content/scripting/DesignerDefined/Pause,
2721,0xAA1,52,=7/o0$/content/multiplayer/multiplayer_update_thread,
2782,0xADE,51,y7/o/$/content/scripting/gringo/SimpleGringo/hogtie,
2838,0xB16,59,3+7/o6$/content/scripting/gringo/SimpleGringo/hogtie_pickup,
2902,0xB56,57,3+7/o4$/content/scripting/gringo/SimpleGringo/Loot_Corpse,
2964,0xB94,57,3+7/o4$/content/scripting/gringo/SimpleGringo/Skin_Animal,
3026,0xBD2,59,3+7/o6$/content/scripting/gringo/SimpleGringo/Pluck_Feather,
3090,0xC12,63,3+7/o:$/content/scripting/gringo/GringoBrains/SmallBrains/Drunk,
3167,0xC5F,50,7o0$/content/Multiplayer/Action_Areas/GenericMP_AA,
3258,0xCBA,4,:=(m,
3265,0xCC1,4,UpNj,
3275,0xCCB,4,UpNj,
3285,0xCD5,4,UpNb,
3295,0xCDF,34,o!scripting/DesignerDefined/Player,
3364,0xD24,12,PlayerLayout,
3408,0xD50,12,PlayerLayout,
3426,0xD62,6,player,
3457,0xD81,46,o-scripting/DesignerDefined/UI/FuiEventMonitor,
3553,0xDE1,40,o'systemTest/PerformanceTests/test01_hen,
3604,0xE14,40,o'systemTest/PerformanceTests/test02_arm,
3655,0xE47,46,o-systemTest/PerformanceTests/test03_firefight,
3711,0xE7F,47,oo-systemTest/PerformanceTests/test04_streaming,
3768,0xEB8,44,6o*systemTest/PerformanceTests/test05_gringo,
3921,0xF51,23,init/rdr2init_each_load,
3949,0xF6D,48,+o.scripting/DesignerDefined/short_update_thread,
4002,0xFA2,49,+o/scripting/DesignerDefined/medium_update_thread,
4056,0xFD8,47,+o-scripting/DesignerDefined/long_update_thread,
4149,0x1035,10,GlobalChar,
4180,0x1054,10,RegionChar,
