offset,offset_hex,opcode,kind,semantics,instruction_size,instruction_hex,delta,target_candidate
279,0x117,85,call_candidate,call2,3,55 71 CC,29132,29414
303,0x12F,99,branch_candidate,jump_false,3,63 00 08,8,314
318,0x13E,99,branch_candidate,jump_false,3,63 00 37,55,376
373,0x175,98,branch_candidate,unconditional_jump,3,62 00 27,39,415
421,0x1A5,85,call_candidate,call2,3,55 71 75,29045,29469
424,0x1A8,99,branch_candidate,jump_false,3,63 00 61,97,524
430,0x1AE,85,call_candidate,call2,3,55 71 62,29026,29459
449,0x1C1,99,branch_candidate,jump_false,3,63 00 3C,60,512
455,0x1C7,85,call_candidate,call2,3,55 70 B6,28854,29312
471,0x1D7,99,branch_candidate,jump_false,3,63 00 13,19,493
490,0x1EA,85,call_candidate,call2,3,55 70 75,28789,29282
498,0x1F2,85,call_candidate,call2,3,55 70 64,28772,29273
506,0x1FA,85,call_candidate,call2,3,55 70 4E,28750,29259
509,0x1FD,98,branch_candidate,unconditional_jump,3,62 00 0C,12,524
517,0x205,85,call_candidate,call2,3,55 70 B6,28854,29374
524,0x20C,85,call_candidate,call2,3,55 70 13,28691,29218
531,0x213,99,branch_candidate,jump_false,3,63 00 25,37,571
556,0x22C,85,call_candidate,call2,3,55 6F C5,28613,29172
563,0x233,85,call_candidate,call2,3,55 6F AA,28586,29152
585,0x249,99,branch_candidate,jump_false,3,63 00 11,17,605
602,0x25A,98,branch_candidate,unconditional_jump,3,62 00 15,21,626
612,0x264,99,branch_candidate,jump_false,3,63 00 0B,11,626
623,0x26F,85,call_candidate,call2,3,55 6F 6D,28525,29151
632,0x278,99,branch_candidate,jump_false,3,63 00 04,4,639
651,0x28B,85,call_candidate,call2,3,55 6F 4B,28491,29145
654,0x28E,99,branch_candidate,jump_false,3,63 00 04,4,661
674,0x2A2,85,call_candidate,call2,3,55 6F 4B,28491,29168
677,0x2A5,99,branch_candidate,jump_false,3,63 00 04,4,684
690,0x2B2,85,call_candidate,call2,3,55 6F 4B,28491,29184
693,0x2B5,99,branch_candidate,jump_false,3,63 00 0C,12,708
718,0x2CE,85,call_candidate,call2,3,55 6F 4B,28491,29212
721,0x2D1,99,branch_candidate,jump_false,3,63 00 08,8,732
750,0x2EE,85,call_candidate,call2,3,55 6F 4B,28491,29244
757,0x2F5,99,branch_candidate,jump_false,3,63 00 05,5,765
787,0x313,85,call_candidate,call2,3,55 6F 4B,28491,29281
790,0x316,99,branch_candidate,jump_false,3,63 00 05,5,798
801,0x321,99,branch_candidate,jump_false,3,63 00 09,9,813
837,0x345,85,call_candidate,call2,3,55 6F 04,28420,29260
861,0x35D,85,call_candidate,call2,3,55 6F 4B,28491,29355
864,0x360,99,branch_candidate,jump_false,3,63 00 0B,11,878
875,0x36B,98,branch_candidate,unconditional_jump,3,62 00 9C,156,1034
899,0x383,85,call_candidate,call2,3,55 6F 4B,28491,29393
902,0x386,99,branch_candidate,jump_false,3,63 00 0B,11,916
913,0x391,98,branch_candidate,unconditional_jump,3,62 00 76,118,1034
938,0x3AA,85,call_candidate,call2,3,55 6F 4B,28491,29432
941,0x3AD,99,branch_candidate,jump_false,3,63 00 0B,11,955
952,0x3B8,98,branch_candidate,unconditional_jump,3,62 00 4F,79,1034
979,0x3D3,85,call_candidate,call2,3,55 6F 4B,28491,29473
982,0x3D6,99,branch_candidate,jump_false,3,63 00 0B,11,996
993,0x3E1,98,branch_candidate,unconditional_jump,3,62 00 26,38,1034
1020,0x3FC,85,call_candidate,call2,3,55 6F 4B,28491,29514
1023,0x3FF,99,branch_candidate,jump_false,3,63 00 08,8,1034
1045,0x415,85,call_candidate,call2,3,55 6E DD,28381,29429
1067,0x42B,85,call_candidate,call2,3,55 6F 4B,28491,29561
1071,0x42F,99,branch_candidate,jump_false,3,63 00 04,4,1078
1086,0x43E,85,call_candidate,call2,3,55 6F 4B,28491,29580
1089,0x441,99,branch_candidate,jump_false,3,63 00 08,8,1100
1097,0x449,98,branch_candidate,unconditional_jump,3,62 00 05,5,1105
1112,0x458,99,branch_candidate,jump_false,3,63 00 20,32,1147
1144,0x478,85,call_candidate,call2,3,55 6E 16,28182,29329
1150,0x47E,85,call_candidate,call2,3,55 6B F6,27638,28791
1160,0x488,99,branch_candidate,jump_false,3,63 00 2D,45,1208
1168,0x490,99,branch_candidate,jump_false,3,63 00 22,34,1205
1205,0x4B5,98,branch_candidate,unconditional_jump,3,62 00 04,4,1212
1216,0x4C0,99,branch_candidate,jump_false,3,63 00 AB,171,1390
1223,0x4C7,100,branch_candidate,jump_ne,3,64 00 42,66,1292
1232,0x4D0,99,branch_candidate,jump_false,3,63 00 22,34,1269
1263,0x4EF,85,call_candidate,call2,3,55 6B C2,27586,28852
1266,0x4F2,98,branch_candidate,unconditional_jump,3,62 00 14,20,1289
1289,0x509,98,branch_candidate,unconditional_jump,3,62 00 5B,91,1383
1296,0x510,100,branch_candidate,jump_ne,3,64 00 21,33,1332
1329,0x531,98,branch_candidate,unconditional_jump,3,62 00 33,51,1383
1337,0x539,100,branch_candidate,jump_ne,3,64 00 21,33,1373
1370,0x55A,98,branch_candidate,unconditional_jump,3,62 00 0A,10,1383
1387,0x56B,98,branch_candidate,unconditional_jump,3,62 02 A3,675,2065
1393,0x571,99,branch_candidate,jump_false,3,63 00 21,33,1429
1426,0x592,98,branch_candidate,unconditional_jump,3,62 02 7C,636,2065
1439,0x59F,99,branch_candidate,jump_false,3,63 02 6F,623,2065
1445,0x5A5,99,branch_candidate,jump_false,3,63 00 14,20,1468
1465,0x5B9,98,branch_candidate,unconditional_jump,3,62 02 3A,570,2038
