function_index,function_name,start_decoded_offset,start_decoded_offset_hex,end_decoded_offset,end_decoded_offset_hex,size,string_reference_count,native_call_count,constant_count,branch_count,table_block_count,purpose_tags
0,main,0,0x0,18632,0x48C8,18632,358,277,327,849,0,['mission']
1,Function_1,18632,0x48C8,18683,0x48FB,51,0,2,0,3,0,[]
2,Function_2,18683,0x48FB,18702,0x490E,19,0,1,0,1,0,[]
3,Function_3,18702,0x490E,18711,0x4917,9,0,1,0,0,0,[]
4,Function_4,18711,0x4917,18751,0x493F,40,0,0,0,3,0,[]
5,Function_5,18751,0x493F,19082,0x4A8A,331,0,14,0,19,0,[]
6,Function_6,19082,0x4A8A,19111,0x4AA7,29,0,0,0,0,0,[]
7,Function_7,19111,0x4AA7,19141,0x4AC5,30,0,0,0,2,0,[]
8,Function_8,19141,0x4AC5,19650,0x4CC2,509,4,10,2,10,0,[]
9,Function_9,19650,0x4CC2,21248,0x5300,1598,29,37,14,65,0,[]
10,Function_10,21248,0x5300,21257,0x5309,9,0,0,0,0,0,[]
11,Function_11,21257,0x5309,21274,0x531A,17,0,0,0,0,0,[]
12,Function_12,21274,0x531A,21521,0x5411,247,7,3,6,11,0,[]
13,Function_13,21521,0x5411,21548,0x542C,27,0,0,1,0,0,[]
14,Function_14,21548,0x542C,21651,0x5493,103,0,2,2,3,0,[]
15,Function_15,21651,0x5493,21669,0x54A5,18,0,0,0,1,0,[]
16,Function_16,21669,0x54A5,21687,0x54B7,18,0,0,0,1,0,[]
17,Function_17,21687,0x54B7,21995,0x55EB,308,1,5,4,13,0,[]
18,Function_18,21995,0x55EB,22010,0x55FA,15,0,0,0,0,0,[]
19,Function_19,22010,0x55FA,22067,0x5633,57,1,1,0,1,0,[]
20,Function_20,22067,0x5633,22477,0x57CD,410,4,8,0,4,0,[]
21,Function_21,22477,0x57CD,22538,0x580A,61,1,1,0,1,0,[]
22,Function_22,22538,0x580A,22568,0x5828,30,0,0,1,3,0,[]
23,Function_23,22568,0x5828,22649,0x5879,81,1,1,0,4,0,[]
24,Function_24,22649,0x5879,22694,0x58A6,45,0,0,0,4,0,[]
25,Function_25,22694,0x58A6,22716,0x58BC,22,0,0,1,1,0,[]
26,Function_26,22716,0x58BC,22816,0x5920,100,0,5,1,6,0,[]
27,Function_27,22816,0x5920,23567,0x5C0F,751,1,21,21,76,0,[]
28,Function_28,23567,0x5C0F,23622,0x5C46,55,1,2,1,5,0,[]
29,Function_29,23622,0x5C46,23797,0x5CF5,175,1,1,0,9,0,[]
30,Function_30,23797,0x5CF5,23900,0x5D5C,103,1,7,0,11,0,[]
31,Function_31,23900,0x5D5C,23975,0x5DA7,75,0,1,2,11,0,[]
32,Function_32,23975,0x5DA7,24237,0x5EAD,262,0,21,26,0,0,[]
33,Function_33,24237,0x5EAD,24288,0x5EE0,51,0,1,0,3,0,[]
34,Function_34,24288,0x5EE0,24691,0x6073,403,1,6,2,8,0,[]
35,Function_35,24691,0x6073,25132,0x622C,441,1,8,2,10,0,[]
36,Function_36,25132,0x622C,25146,0x623A,14,0,0,0,1,0,[]
37,Function_37,25146,0x623A,25687,0x6457,541,0,20,3,24,0,[]
38,Function_38,25687,0x6457,25708,0x646C,21,0,2,0,1,0,[]
39,Function_39,25708,0x646C,25875,0x6513,167,2,0,6,12,0,[]
40,Function_40,25875,0x6513,26012,0x659C,137,2,0,5,8,0,[]
41,Function_41,26012,0x659C,26163,0x6633,151,2,0,7,9,0,[]
42,Function_42,26163,0x6633,26290,0x66B2,127,2,0,5,8,0,[]
43,Function_43,26290,0x66B2,26351,0x66EF,61,0,4,1,3,0,[]
44,Function_44,26351,0x66EF,26875,0x68FB,524,4,9,2,10,0,[]
45,Function_45,26875,0x68FB,27455,0x6B3F,580,4,4,5,11,0,[]
