offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
94,0x5E,02 00,2,0,1
97,0x61,00 01,256,0,0
127,0x7F,02 00,2,0,1
130,0x82,00 01,256,0,0
180,0xB4,02 00,2,0,1
183,0xB7,00 01,256,0,0
233,0xE9,02 00,2,0,1
236,0xEC,00 01,256,0,0
258,0x102,02 02,514,0,1
262,0x106,02 03,770,0,1
265,0x109,00 04,1024,0,0
269,0x10D,02 05,1282,0,1
275,0x113,02 06,1538,0,1
296,0x128,06 07,1798,0,3
345,0x159,02 08,2050,0,1
370,0x172,02 09,2306,0,1
387,0x183,02 0A,2562,0,1
412,0x19C,02 0B,2818,0,1
581,0x245,01 0C,3073,1,0
605,0x25D,01 0D,3329,1,0
636,0x27C,02 0E,3586,0,1
753,0x2F1,01 0F,3841,1,0
798,0x31E,01 0D,3329,1,0
814,0x32E,02 10,4098,0,1
1141,0x475,02 11,4354,0,1
1196,0x4AC,02 11,4354,0,1
1442,0x5A2,01 12,4609,1,0
1456,0x5B0,04 13,4868,0,2
1518,0x5EE,05 14,5125,1,2
1525,0x5F5,03 15,5379,1,1
1528,0x5F8,03 16,5635,1,1
1799,0x707,03 17,5891,1,1
1818,0x71A,02 18,6146,0,1
2047,0x7FF,01 12,4609,1,0
2231,0x8B7,08 19,6408,0,4
3219,0xC93,05 1A,6661,1,2
3237,0xCA5,02 1B,6914,0,1
3331,0xD03,05 1C,7173,1,2
3344,0xD10,03 1D,7427,1,1
3352,0xD18,02 1B,6914,0,1
3377,0xD31,03 1E,7683,1,1
3380,0xD34,03 1F,7939,1,1
3388,0xD3C,02 1B,6914,0,1
3421,0xD5D,03 1E,7683,1,1
3433,0xD69,05 20,8197,1,2
3436,0xD6C,03 21,8451,1,1
3451,0xD7B,02 1B,6914,0,1
3505,0xDB1,05 1C,7173,1,2
3595,0xE0B,05 1C,7173,1,2
3646,0xE3E,05 1C,7173,1,2
3703,0xE77,05 1C,7173,1,2
3760,0xEB0,05 1C,7173,1,2
3814,0xEE6,05 1C,7173,1,2
3826,0xEF2,07 22,8711,1,3
3836,0xEFC,04 23,8964,0,2
3842,0xF02,03 1D,7427,1,1
3850,0xF0A,02 1B,6914,0,1
3856,0xF10,01 24,9217,1,0
3864,0xF18,02 1B,6914,0,1
3876,0xF24,04 25,9476,0,2
3880,0xF28,02 26,9730,0,1
3884,0xF2C,02 27,9986,0,1
3897,0xF39,03 1D,7427,1,1
3904,0xF40,02 1B,6914,0,1
3910,0xF46,00 28,10240,0,0
3946,0xF6A,05 1C,7173,1,2
3999,0xF9F,05 1C,7173,1,2
4053,0xFD5,05 1C,7173,1,2
4105,0x1009,05 1C,7173,1,2
4140,0x102C,03 1F,7939,1,1
4160,0x1040,03 29,10499,1,1
4171,0x104B,03 1F,7939,1,1
4191,0x105F,03 29,10499,1,1
4202,0x106A,03 1F,7939,1,1
4221,0x107D,03 29,10499,1,1
4238,0x108E,00 2A,10752,0,0
7649,0x1DE1,01 2B,11009,1,0
9517,0x252D,01 2B,11009,1,0
12168,0x2F88,02 2C,11266,0,1
12173,0x2F8D,02 2D,11522,0,1
12311,0x3017,00 01,256,0,0
12328,0x3028,00 01,256,0,0
12345,0x3039,00 01,256,0,0
12362,0x304A,00 01,256,0,0
12379,0x305B,00 01,256,0,0
12396,0x306C,00 01,256,0,0
12413,0x307D,00 01,256,0,0
12430,0x308E,00 01,256,0,0
12437,0x3095,02 1B,6914,0,1
12444,0x309C,02 1B,6914,0,1
12579,0x3123,02 1B,6914,0,1
13405,0x345D,02 0B,2818,0,1
13423,0x346F,03 2E,11779,1,1
13461,0x3495,04 2F,12036,0,2
13483,0x34AB,06 30,12294,0,3
13517,0x34CD,04 2F,12036,0,2
13539,0x34E3,06 30,12294,0,3
13573,0x3505,04 2F,12036,0,2
13595,0x351B,06 30,12294,0,3
13629,0x353D,04 2F,12036,0,2
13651,0x3553,06 30,12294,0,3
13654,0x3556,00 31,12544,0,0
13739,0x35AB,02 32,12802,0,1
13911,0x3657,02 33,13058,0,1
13914,0x365A,00 01,256,0,0
13980,0x369C,02 33,13058,0,1
13983,0x369F,00 01,256,0,0
14026,0x36CA,02 33,13058,0,1
14033,0x36D1,02 00,2,0,1
14041,0x36D9,02 33,13058,0,1
14044,0x36DC,00 01,256,0,0
14093,0x370D,04 34,13316,0,2
14101,0x3715,02 35,13570,0,1
14108,0x371C,02 36,13826,0,1
14189,0x376D,05 1C,7173,1,2
14247,0x37A7,05 1C,7173,1,2
14305,0x37E1,05 1C,7173,1,2
14418,0x3852,06 37,14086,0,3
14434,0x3862,02 32,12802,0,1
14488,0x3898,02 36,13826,0,1
14532,0x38C4,05 1C,7173,1,2
14569,0x38E9,01 38,14337,1,0
14572,0x38EC,04 39,14596,0,2
14586,0x38FA,01 3A,14849,1,0
14589,0x38FD,04 3B,15108,0,2
14642,0x3932,02 3C,15362,0,1
14648,0x3938,07 22,8711,1,3
14659,0x3943,07 22,8711,1,3
14671,0x394F,07 22,8711,1,3
14683,0x395B,07 22,8711,1,3
14695,0x3967,07 22,8711,1,3
14707,0x3973,07 22,8711,1,3
14728,0x3988,02 3D,15618,0,1
14734,0x398E,04 3E,15876,0,2
14739,0x3993,04 3F,16132,0,2
14743,0x3997,03 40,16387,1,1
14748,0x399C,03 41,16643,1,1
14763,0x39AB,09 42,16905,1,4
14766,0x39AE,02 43,17154,0,1
14790,0x39C6,09 42,16905,1,4
14793,0x39C9,02 43,17154,0,1
14818,0x39E2,09 42,16905,1,4
14821,0x39E5,02 43,17154,0,1
14849,0x3A01,09 42,16905,1,4
14852,0x3A04,02 43,17154,0,1
14875,0x3A1B,05 44,17413,1,2
14884,0x3A24,05 45,17669,1,2
14903,0x3A37,09 42,16905,1,4
14906,0x3A3A,02 43,17154,0,1
14916,0x3A44,05 14,5125,1,2
15006,0x3A9E,05 44,17413,1,2
15015,0x3AA7,05 45,17669,1,2
15030,0x3AB6,02 43,17154,0,1
15123,0x3B13,02 46,17922,0,1
15139,0x3B23,02 1B,6914,0,1
15154,0x3B32,02 1B,6914,0,1
15168,0x3B40,03 1F,7939,1,1
