string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
31,0x1F,********************************************,unknown,29,0x1D,0,main,0x0..0x3E39
84,0x54,                 MAIN_Z.SC,debug/display text,82,0x52,0,main,0x0..0x3E39
119,0x77,SCRIPTS ARE COMPILED WITH STANDALONE DEFINED,debug/display text,117,0x75,0,main,0x0..0x3E39
172,0xAC,********************************************,unknown,170,0xAA,0,main,0x0..0x3E39
252,0xFC,StatTab_Crimes,unknown,250,0xFA,0,main,0x0..0x3E39
272,0x110,StatTab_Score,unknown,270,0x10E,0,main,0x0..0x3E39
291,0x123,StatTab_Money,unknown,289,0x121,0,main,0x0..0x3E39
310,0x136,StatTab_Missions,likely logic anchor,308,0x134,0,main,0x0..0x3E39
394,0x18A,noDDA,unknown,392,0x188,0,main,0x0..0x3E39
456,0x1C8,LOCAL_PLAYER_GAMERTAG,unknown,454,0x1C6,0,main,0x0..0x3E39
502,0x1F6,zombiePressDemo,unknown,500,0x1F4,0,main,0x0..0x3E39
538,0x21A,JournalTab_Challenges_Panel,unknown,536,0x218,0,main,0x0..0x3E39
571,0x23B,JournalTab_Quest_Panel,unknown,569,0x239,0,main,0x0..0x3E39
608,0x260,PM_Stats,unknown,606,0x25E,0,main,0x0..0x3E39
676,0x2A4,Initializing deed array!,debug/display text,674,0x2A2,0,main,0x0..0x3E39
725,0x2D5,Resetting from mission!,likely logic anchor,723,0x2D3,0,main,0x0..0x3E39
775,0x307,ZombiePackGringos,unknown,773,0x305,0,main,0x0..0x3E39
818,0x332,p_gen_locatorDummy02x,unknown,816,0x330,0,main,0x0..0x3E39
842,0x34A,$/content/DLC/ZombiePack/Gringos/ZombiePack_HorseHitch,unknown,840,0x348,0,main,0x0..0x3E39
899,0x383,horseHitch1,unknown,897,0x381,0,main,0x0..0x3E39
931,0x3A3,p_gen_locatorDummy02x,unknown,929,0x3A1,0,main,0x0..0x3E39
955,0x3BB,$/content/DLC/ZombiePack/Gringos/ZombiePack_HorseHitch2,unknown,953,0x3B9,0,main,0x0..0x3E39
1013,0x3F5,horseHitch2,unknown,1011,0x3F3,0,main,0x0..0x3E39
1045,0x415,p_gen_coffin04x,unknown,1043,0x413,0,main,0x0..0x3E39
1063,0x427,$/content/DLC/ZombiePack/Gringos/DLC_player_burn_coffin,unknown,1061,0x425,0,main,0x0..0x3E39
1121,0x461,LootCoffin,unknown,1119,0x45F,0,main,0x0..0x3E39
1148,0x47C,p_gen_safe02x,unknown,1146,0x47A,0,main,0x0..0x3E39
1164,0x48C,$/content/scripting/gringo/SimpleGringo/horse_drinking,unknown,1162,0x48A,0,main,0x0..0x3E39
1221,0x4C5,Player_Lockpick_Safe,unknown,1219,0x4C3,0,main,0x0..0x3E39
1258,0x4EA,rstarGringoGeneric_Type,unknown,1256,0x4E8,0,main,0x0..0x3E39
1284,0x504,pickSafe,unknown,1282,0x502,0,main,0x0..0x3E39
1295,0x50F,horse_drinking,unknown,1293,0x50D,0,main,0x0..0x3E39
1312,0x520,Player_Lockpick_Safe,unknown,1310,0x51E,0,main,0x0..0x3E39
1349,0x545,rstarGringoGeneric_Type,unknown,1347,0x543,0,main,0x0..0x3E39
1375,0x55F,openArmoire,unknown,1373,0x55D,0,main,0x0..0x3E39
1389,0x56D,horse_drinking,unknown,1387,0x56B,0,main,0x0..0x3E39
1406,0x57E,stand_armoir,unknown,1404,0x57C,0,main,0x0..0x3E39
1435,0x59B,rstarGringoGeneric_Type,unknown,1433,0x599,0,main,0x0..0x3E39
1461,0x5B5,openCredenza,unknown,1459,0x5B3,0,main,0x0..0x3E39
1476,0x5C4,horse_drinking,unknown,1474,0x5C2,0,main,0x0..0x3E39
1493,0x5D5,open_credenza,unknown,1491,0x5D3,0,main,0x0..0x3E39
1523,0x5F3,rstarGringoGeneric_Type,unknown,1521,0x5F1,0,main,0x0..0x3E39
1549,0x60D,openChest,unknown,1547,0x60B,0,main,0x0..0x3E39
1561,0x619,horse_drinking,unknown,1559,0x617,0,main,0x0..0x3E39
1578,0x62A,stand_open_chest,unknown,1576,0x628,0,main,0x0..0x3E39
1812,0x714,randomstartloc,unknown,1810,0x712,0,main,0x0..0x3E39
2108,0x83C,Cutscenes,unknown,2106,0x83A,0,main,0x0..0x3E39
2127,0x84F,Cutscenes,unknown,2125,0x84D,0,main,0x0..0x3E39
2313,0x909,DLC_00,unknown,2311,0x907,0,main,0x0..0x3E39
2322,0x912,DLC6\ZOMBIE_MISC_1,unknown,2320,0x910,0,main,0x0..0x3E39
2352,0x930,DLC_00,unknown,2350,0x92E,0,main,0x0..0x3E39
2361,0x939,DLC6\ZOMBIE_MISC_1,unknown,2359,0x937,0,main,0x0..0x3E39
2400,0x960,DLC_00,unknown,2398,0x95E,0,main,0x0..0x3E39
2415,0x96F,DLC_01,unknown,2413,0x96D,0,main,0x0..0x3E39
2424,0x978,DLC6\ZOMBIE_MISC_3,unknown,2422,0x976,0,main,0x0..0x3E39
2454,0x996,DLC_01,unknown,2452,0x994,0,main,0x0..0x3E39
2463,0x99F,DLC6\ZOMBIE_MISC_3,unknown,2461,0x99D,0,main,0x0..0x3E39
2502,0x9C6,DLC_01,unknown,2500,0x9C4,0,main,0x0..0x3E39
2517,0x9D5,DLC_02,unknown,2515,0x9D3,0,main,0x0..0x3E39
2526,0x9DE,DLC6\ZOMBIE_MISC_4,unknown,2524,0x9DC,0,main,0x0..0x3E39
2556,0x9FC,DLC_02,unknown,2554,0x9FA,0,main,0x0..0x3E39
2565,0xA05,DLC6\ZOMBIE_MISC_4,unknown,2563,0xA03,0,main,0x0..0x3E39
2604,0xA2C,DLC_02,unknown,2602,0xA2A,0,main,0x0..0x3E39
2619,0xA3B,DLC_03,unknown,2617,0xA39,0,main,0x0..0x3E39
2628,0xA44,DLC6\ZOMBIE_MISC_2,unknown,2626,0xA42,0,main,0x0..0x3E39
2658,0xA62,DLC_03,unknown,2656,0xA60,0,main,0x0..0x3E39
2667,0xA6B,DLC6\ZOMBIE_MISC_2,unknown,2665,0xA69,0,main,0x0..0x3E39
2706,0xA92,DLC_03,unknown,2704,0xA90,0,main,0x0..0x3E39
