comp_id,offset_hex,ptr_hex,script_name,gringo_name,query_name,child_count,instanced_count,activation_radius,instance_slot_count,critical,large_script,maintain_state,vehicleish,parent_chain
1,0x44C4C,0x50044C4C,content\scripting\gringo\CommonScripts\GenericGringo,,,2,5,0.0,5,False,False,True,False,
8,0x46918,0x50046918,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.5,3,False,False,True,False,
12,0x4D6A4,0x5004D6A4,content\scripting\gringo\CommonScripts\CampfireIndian_bad_gringo,,,0,0,175.0,0,False,False,True,False,
13,0x43D74,0x50043D74,content\scripting\gringo\CommonScripts\playerCamp04_gringo,,,1,1,200.0,1,False,False,False,False,
15,0x4121C,0x5004121C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
20,0x4B5B0,0x5004B5B0,content\scripting\gringo\CommonScripts\pet_dog,,,1,6,0.0,6,False,False,True,False,
29,0x44DC8,0x50044DC8,content\scripting\gringo\CommonScripts\GenericGringo,,,1,5,0.0,5,False,False,True,False,
35,0x43278,0x50043278,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
40,0x3E308,0x5003E308,content\scripting\gringo\CommonScripts\GenericGringo,,,1,6,100.0,6,False,False,False,False,
47,0x48500,0x50048500,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
52,0x4452C,0x5004452C,content\scripting\gringo\CommonScripts\Gun_Camp03_gringo,,,0,0,175.0,0,False,False,False,False,
53,0x4B188,0x5004B188,content\scripting\gringo\CommonScripts\GenericGringo,,,1,7,0.0,7,True,False,True,False,
61,0x4A348,0x5004A348,content\scripting\gringo\CommonScripts\GenericGringo,,,1,5,0.0,5,False,False,True,False,
67,0x4AB00,0x5004AB00,content\scripting\gringo\CommonScripts\Player_Treasure,,,1,6,75.0,6,False,False,True,False,
74,0x3F5BC,0x5003F5BC,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
79,0x3EAC0,0x5003EAC0,content\scripting\gringo\CommonScripts\GenericGringo,,,1,6,100.0,6,False,False,True,False,
