offset,offset_hex,opcode,kind,semantics,instruction_size,instruction_hex,delta,target_candidate
24,0x18,83,call_candidate,call2,3,53 1C A8,7336,7363
32,0x20,83,call_candidate,call2,3,53 18 61,6241,6276
40,0x28,82,call_candidate,call2,3,52 F3 F8,-3080,-3037
48,0x30,82,call_candidate,call2,3,52 8B 15,-29931,-29880
56,0x38,82,call_candidate,call2,3,52 21 6B,8555,8614
64,0x40,82,call_candidate,call2,3,52 1B 75,7029,7096
72,0x48,82,call_candidate,call2,3,52 13 3F,4927,5002
80,0x50,82,call_candidate,call2,3,52 01 A8,424,507
90,0x5A,104,branch_candidate,jump_ge,3,68 00 37,55,148
108,0x6C,99,branch_candidate,jump_false,3,63 00 13,19,130
127,0x7F,98,branch_candidate,unconditional_jump,3,62 00 09,9,139
145,0x91,98,branch_candidate,unconditional_jump,3,62 FF C2,-62,86
151,0x97,82,call_candidate,call2,3,52 01 8C,396,550
160,0xA0,99,branch_candidate,jump_false,3,63 00 07,7,170
167,0xA7,98,branch_candidate,unconditional_jump,3,62 FF EA,-22,148
174,0xAE,99,branch_candidate,jump_false,3,63 00 B0,176,353
202,0xCA,99,branch_candidate,jump_false,3,63 00 03,3,208
215,0xD7,104,branch_candidate,jump_ge,3,68 00 79,121,339
228,0xE4,99,branch_candidate,jump_false,3,63 00 63,99,330
233,0xE9,99,branch_candidate,jump_false,3,63 00 2C,44,280
290,0x122,99,branch_candidate,jump_false,3,63 00 03,3,296
298,0x12A,99,branch_candidate,jump_false,3,63 00 0C,12,313
323,0x143,99,branch_candidate,jump_false,3,63 00 04,4,330
336,0x150,98,branch_candidate,unconditional_jump,3,62 FF 80,-128,211
343,0x157,99,branch_candidate,jump_false,3,63 00 04,4,350
350,0x15E,98,branch_candidate,unconditional_jump,3,62 FF 49,-183,170
360,0x168,104,branch_candidate,jump_ge,3,68 00 1D,29,392
371,0x173,99,branch_candidate,jump_false,3,63 00 09,9,383
389,0x185,98,branch_candidate,unconditional_jump,3,62 FF DC,-36,356
414,0x19E,99,branch_candidate,jump_false,3,63 00 05,5,422
419,0x1A3,98,branch_candidate,unconditional_jump,3,62 00 02,2,424
495,0x1EF,99,branch_candidate,jump_false,3,63 00 07,7,505
512,0x200,99,branch_candidate,jump_false,3,63 00 07,7,522
531,0x213,82,call_candidate,call2,3,52 12 E7,4839,5373
542,0x21E,99,branch_candidate,jump_false,3,63 00 02,2,547
600,0x258,105,branch_candidate,jump_gt,3,69 06 98,1688,2291
627,0x273,99,branch_candidate,jump_false,3,63 06 74,1652,2282
638,0x27E,100,branch_candidate,jump_ne,3,64 06 69,1641,2282
644,0x284,82,call_candidate,call2,3,52 12 C6,4806,5453
652,0x28C,82,call_candidate,call2,3,52 12 A2,4770,5425
660,0x294,82,call_candidate,call2,3,52 12 80,4736,5399
669,0x29D,82,call_candidate,call2,3,52 12 5D,4701,5373
677,0x2A5,82,call_candidate,call2,3,52 12 3C,4668,5348
688,0x2B0,99,branch_candidate,jump_false,3,63 00 0B,11,702
699,0x2BB,98,branch_candidate,unconditional_jump,3,62 00 03,3,705
771,0x303,98,branch_candidate,unconditional_jump,3,62 05 6E,1390,2164
777,0x309,82,call_candidate,call2,3,52 12 15,4629,5409
784,0x310,82,call_candidate,call2,3,52 11 F1,4593,5380
790,0x316,100,branch_candidate,jump_ne,3,64 00 63,99,892
898,0x382,99,branch_candidate,jump_false,3,63 00 0B,11,912
906,0x38A,82,call_candidate,call2,3,52 11 F1,4593,5502
909,0x38D,98,branch_candidate,unconditional_jump,3,62 03 5C,860,1772
921,0x399,99,branch_candidate,jump_false,3,63 00 24,36,960
954,0x3BA,82,call_candidate,call2,3,52 11 F1,4593,5550
957,0x3BD,98,branch_candidate,unconditional_jump,3,62 03 2C,812,1772
1007,0x3EF,98,branch_candidate,unconditional_jump,3,62 02 F7,759,1769
1014,0x3F6,100,branch_candidate,jump_ne,3,64 00 21,33,1050
1047,0x417,98,branch_candidate,unconditional_jump,3,62 00 18,24,1074
1078,0x436,82,call_candidate,call2,3,52 11 F1,4593,5674
1081,0x439,98,branch_candidate,unconditional_jump,3,62 02 B0,688,1772
1088,0x440,101,branch_candidate,jump_eq,3,65 00 09,9,1100
