offset,offset_hex,opcode,width,value,actor_kind,operand_hex
5,0x5,37,1,31,eActorEnum_candidate,1F
9,0x9,37,1,33,eActorEnum_candidate,21
148,0x94,65,2,256,eActorEnum_candidate,01 00
177,0xB1,37,1,100,eActorEnum_candidate,64
181,0xB5,37,1,8,eActorEnum_candidate,08
188,0xBC,37,1,9,eActorEnum_candidate,09
636,0x27C,37,1,15,eActorEnum_candidate,0F
904,0x388,37,1,8,eActorEnum_candidate,08
1012,0x3F4,37,1,9,eActorEnum_candidate,09
1032,0x408,40,4,3212836864,,BF 80 00 00
1059,0x423,40,4,3212836864,,BF 80 00 00
1086,0x43E,37,1,15,eActorEnum_candidate,0F
1142,0x476,37,1,15,eActorEnum_candidate,0F
1173,0x495,40,4,1077936128,,40 40 00 00
1274,0x4FA,40,4,1109393408,,42 20 00 00
1508,0x5E4,40,4,1077936128,,40 40 00 00
1594,0x63A,37,1,19,eActorEnum_candidate,13
1604,0x644,37,1,19,eActorEnum_candidate,13
1778,0x6F2,37,1,55,eActorEnum_candidate,37
1812,0x714,37,1,25,eActorEnum_candidate,19
1859,0x743,37,1,67,eActorEnum_candidate,43
2048,0x800,37,1,10,eActorEnum_candidate,0A
2058,0x80A,37,1,10,eActorEnum_candidate,0A
2078,0x81E,40,4,3212836864,,BF 80 00 00
2089,0x829,37,1,8,eActorEnum_candidate,08
2100,0x834,37,1,57,eActorEnum_candidate,39
2110,0x83E,37,1,57,eActorEnum_candidate,39
2120,0x848,37,1,9,eActorEnum_candidate,09
2142,0x85E,40,4,3212836864,,BF 80 00 00
2153,0x869,37,1,8,eActorEnum_candidate,08
2187,0x88B,40,4,1065353216,,3F 80 00 00
2192,0x890,40,4,1117126656,,42 96 00 00
2216,0x8A8,37,1,100,eActorEnum_candidate,64
3044,0xBE4,37,1,20,eActorEnum_candidate,14
3259,0xCBB,37,1,145,eActorEnum_candidate,91
3307,0xCEB,37,1,145,eActorEnum_candidate,91
3787,0xECB,37,1,8,eActorEnum_candidate,08
3809,0xEE1,37,1,8,eActorEnum_candidate,08
4100,0x1004,37,1,16,eActorEnum_candidate,10
4144,0x1030,37,1,16,eActorEnum_candidate,10
4233,0x1089,37,1,60,eActorEnum_candidate,3C
5517,0x158D,40,4,1092616192,,41 20 00 00
5523,0x1593,40,4,1065353216,,3F 80 00 00
6906,0x1AFA,37,1,36,eActorEnum_candidate,24
6963,0x1B33,37,1,36,eActorEnum_candidate,24
7016,0x1B68,37,1,36,eActorEnum_candidate,24
7137,0x1BE1,37,1,19,eActorEnum_candidate,13
7178,0x1C0A,37,1,15,eActorEnum_candidate,0F
7697,0x1E11,37,1,11,eActorEnum_candidate,0B
7703,0x1E17,37,1,16,eActorEnum_candidate,10
7710,0x1E1E,37,1,15,eActorEnum_candidate,0F
7717,0x1E25,37,1,43,eActorEnum_candidate,2B
7871,0x1EBF,65,2,1024,eActorEnum_candidate,04 00
7924,0x1EF4,37,1,11,eActorEnum_candidate,0B
7930,0x1EFA,37,1,16,eActorEnum_candidate,10
7937,0x1F01,37,1,15,eActorEnum_candidate,0F
7944,0x1F08,37,1,43,eActorEnum_candidate,2B
8063,0x1F7F,37,1,11,eActorEnum_candidate,0B
8069,0x1F85,37,1,16,eActorEnum_candidate,10
8076,0x1F8C,37,1,15,eActorEnum_candidate,0F
8083,0x1F93,37,1,43,eActorEnum_candidate,2B
8174,0x1FEE,37,1,8,eActorEnum_candidate,08
8187,0x1FFB,37,1,8,eActorEnum_candidate,08
8220,0x201C,37,1,8,eActorEnum_candidate,08
8235,0x202B,37,1,8,eActorEnum_candidate,08
8662,0x21D6,37,1,13,eActorEnum_candidate,0D
8681,0x21E9,37,1,13,eActorEnum_candidate,0D
8690,0x21F2,37,1,13,eActorEnum_candidate,0D
9028,0x2344,37,1,10,eActorEnum_candidate,0A
9034,0x234A,37,1,9,eActorEnum_candidate,09
9041,0x2351,37,1,12,eActorEnum_candidate,0C
9128,0x23A8,65,2,1024,eActorEnum_candidate,04 00
9180,0x23DC,65,2,1024,eActorEnum_candidate,04 00
9189,0x23E5,65,2,1024,eActorEnum_candidate,04 00
9198,0x23EE,65,2,2048,,08 00
9213,0x23FD,65,2,4096,,10 00
9247,0x241F,65,2,4096,,10 00
9256,0x2428,65,2,4096,,10 00
9265,0x2431,65,2,2048,,08 00
9287,0x2447,65,2,2048,,08 00
9308,0x245C,40,4,1065353216,,3F 80 00 00
9323,0x246B,65,2,2048,,08 00
9333,0x2475,65,2,4096,,10 00
9390,0x24AE,65,2,8192,,20 00
9402,0x24BA,65,2,8192,,20 00
9438,0x24DE,40,4,1065353216,,3F 80 00 00
9446,0x24E6,40,4,16777216,,01 00 00 00
9457,0x24F1,40,4,33554432,,02 00 00 00
9488,0x2510,40,4,33554432,,02 00 00 00
9499,0x251B,40,4,33554432,,02 00 00 00
9604,0x2584,40,4,1065353216,,3F 80 00 00
9662,0x25BE,37,1,27,eActorEnum_candidate,1B
9672,0x25C8,37,1,28,eActorEnum_candidate,1C
9678,0x25CE,40,4,16777216,,01 00 00 00
9686,0x25D6,40,4,33554432,,02 00 00 00
9699,0x25E3,40,4,1065353216,,3F 80 00 00
9987,0x2703,37,1,12,eActorEnum_candidate,0C
10044,0x273C,37,1,13,eActorEnum_candidate,0D
10052,0x2744,37,1,14,eActorEnum_candidate,0E
10060,0x274C,37,1,14,eActorEnum_candidate,0E
10067,0x2753,37,1,14,eActorEnum_candidate,0E
10084,0x2764,37,1,12,eActorEnum_candidate,0C
10092,0x276C,37,1,13,eActorEnum_candidate,0D
10100,0x2774,37,1,13,eActorEnum_candidate,0D
10107,0x277B,37,1,13,eActorEnum_candidate,0D
10117,0x2785,37,1,13,eActorEnum_candidate,0D
10143,0x279F,37,1,11,eActorEnum_candidate,0B
10151,0x27A7,37,1,12,eActorEnum_candidate,0C
10159,0x27AF,37,1,12,eActorEnum_candidate,0C
10166,0x27B6,37,1,12,eActorEnum_candidate,0C
10176,0x27C0,37,1,12,eActorEnum_candidate,0C
10202,0x27DA,37,1,10,eActorEnum_candidate,0A
10210,0x27E2,37,1,11,eActorEnum_candidate,0B
10218,0x27EA,37,1,11,eActorEnum_candidate,0B
10225,0x27F1,37,1,11,eActorEnum_candidate,0B
10235,0x27FB,37,1,11,eActorEnum_candidate,0B
10269,0x281D,37,1,10,eActorEnum_candidate,0A
10277,0x2825,37,1,10,eActorEnum_candidate,0A
10284,0x282C,37,1,10,eActorEnum_candidate,0A
10344,0x2868,37,1,26,eActorEnum_candidate,1A
10352,0x2870,37,1,27,eActorEnum_candidate,1B
10360,0x2878,37,1,27,eActorEnum_candidate,1B
10367,0x287F,37,1,27,eActorEnum_candidate,1B
10384,0x2890,37,1,25,eActorEnum_candidate,19
10392,0x2898,37,1,26,eActorEnum_candidate,1A
10400,0x28A0,37,1,26,eActorEnum_candidate,1A
10407,0x28A7,37,1,26,eActorEnum_candidate,1A
10424,0x28B8,37,1,24,eActorEnum_candidate,18
10432,0x28C0,37,1,25,eActorEnum_candidate,19
10440,0x28C8,37,1,25,eActorEnum_candidate,19
10447,0x28CF,37,1,25,eActorEnum_candidate,19
10464,0x28E0,37,1,23,eActorEnum_candidate,17
10472,0x28E8,37,1,24,eActorEnum_candidate,18
10480,0x28F0,37,1,24,eActorEnum_candidate,18
10487,0x28F7,37,1,24,eActorEnum_candidate,18
10504,0x2908,37,1,26,eActorEnum_candidate,1A
10513,0x2911,37,1,23,eActorEnum_candidate,17
10521,0x2919,37,1,23,eActorEnum_candidate,17
10528,0x2920,37,1,23,eActorEnum_candidate,17
10550,0x2936,37,1,55,eActorEnum_candidate,37
10558,0x293E,37,1,56,eActorEnum_candidate,38
10566,0x2946,37,1,56,eActorEnum_candidate,38
