function_index,function_name,start_decoded_offset,start_decoded_offset_hex,end_decoded_offset,end_decoded_offset_hex,size,string_reference_count,native_call_count,constant_count,branch_count,table_block_count,purpose_tags
0,main,0,0x0,396,0x18C,396,2,17,6,29,0,[]
1,Function_1,396,0x18C,424,0x1A8,28,0,0,0,2,0,[]
2,Function_2,424,0x1A8,483,0x1E3,59,1,0,0,0,0,['actor']
3,Function_3,483,0x1E3,523,0x20B,40,0,4,0,2,0,[]
4,Function_4,523,0x20B,2422,0x976,1899,9,121,27,113,0,['actor']
5,Function_5,2422,0x976,2501,0x9C5,79,0,8,0,5,0,[]
6,Function_6,2501,0x9C5,2567,0xA07,66,1,5,0,2,0,[]
7,Function_7,2567,0xA07,2605,0xA2D,38,1,3,0,0,0,['actor']
8,Function_8,2605,0xA2D,2618,0xA3A,13,0,0,0,0,0,[]
9,Function_9,2618,0xA3A,2650,0xA5A,32,0,2,0,0,0,[]
10,Function_10,2650,0xA5A,2710,0xA96,60,0,0,0,3,0,[]
11,Function_11,2710,0xA96,2855,0xB27,145,0,7,0,6,0,[]
12,Function_12,2855,0xB27,2891,0xB4B,36,0,4,0,0,0,[]
13,Function_13,2891,0xB4B,2930,0xB72,39,1,2,0,0,0,['actor']
14,Function_14,2930,0xB72,3093,0xC15,163,4,8,1,4,0,['actor']
15,Function_15,3093,0xC15,3210,0xC8A,117,1,7,0,4,0,[]
16,Function_16,3210,0xC8A,3248,0xCB0,38,1,2,0,0,0,['actor']
17,Function_17,3248,0xCB0,3270,0xCC6,22,0,0,1,1,0,[]
18,Function_18,3270,0xCC6,3494,0xDA6,224,0,5,1,15,0,[]
19,Function_19,3494,0xDA6,3582,0xDFE,88,0,0,0,6,0,[]
20,Function_20,3582,0xDFE,3646,0xE3E,64,0,0,0,2,0,[]
21,Function_21,3646,0xE3E,3670,0xE56,24,0,0,0,0,0,[]
22,Function_22,3670,0xE56,3707,0xE7B,37,1,2,0,0,0,['actor']
23,Function_23,3707,0xE7B,4164,0x1044,457,0,19,4,35,0,[]
24,Function_24,4164,0x1044,4225,0x1081,61,0,6,0,1,0,[]
25,Function_25,4225,0x1081,4250,0x109A,25,0,1,1,0,0,[]
26,Function_26,4250,0x109A,4495,0x118F,245,2,7,0,2,0,['actor']
27,Function_27,4495,0x118F,4572,0x11DC,77,2,4,0,2,0,['actor']
28,Function_28,4572,0x11DC,4593,0x11F1,21,0,2,0,1,0,[]
29,Function_29,4593,0x11F1,4629,0x1215,36,1,2,0,0,0,['actor']
30,Function_30,4629,0x1215,4668,0x123C,39,1,3,0,0,0,['actor']
31,Function_31,4668,0x123C,4701,0x125D,33,1,2,0,0,0,['actor']
32,Function_32,4701,0x125D,4736,0x1280,35,1,2,0,0,0,['actor']
33,Function_33,4736,0x1280,4770,0x12A2,34,1,2,0,0,0,['actor']
34,Function_34,4770,0x12A2,4806,0x12C6,36,1,2,0,0,0,['actor']
35,Function_35,4806,0x12C6,4839,0x12E7,33,1,2,0,0,0,['actor']
36,Function_36,4839,0x12E7,4918,0x1336,79,2,4,0,2,0,[]
37,Function_37,4918,0x1336,4927,0x133F,9,0,0,0,1,0,[]
38,Function_38,4927,0x133F,4988,0x137C,61,1,0,0,0,0,[]
39,Function_39,4988,0x137C,5170,0x1432,182,0,16,0,10,0,[]
40,Function_40,5170,0x1432,5243,0x147B,73,0,8,0,4,0,[]
41,Function_41,5243,0x147B,5289,0x14A9,46,0,0,0,8,0,[]
42,Function_42,5289,0x14A9,6078,0x17BE,789,1,20,2,47,0,[]
43,Function_43,6078,0x17BE,6121,0x17E9,43,0,1,0,1,0,[]
44,Function_44,6121,0x17E9,6164,0x1814,43,0,1,0,1,0,[]
45,Function_45,6164,0x1814,6207,0x183F,43,0,1,0,1,0,[]
46,Function_46,6207,0x183F,6236,0x185C,29,0,1,0,0,0,[]
