offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
155,0x9B,01 00,1,1,0
164,0xA4,02 01,258,0,1
170,0xAA,01 00,1,1,0
196,0xC4,02 02,514,0,1
199,0xC7,01 03,769,1,0
253,0xFD,02 04,1026,0,1
264,0x108,02 04,1026,0,1
272,0x110,02 04,1026,0,1
275,0x113,01 05,1281,1,0
301,0x12D,01 05,1281,1,0
307,0x133,02 06,1538,0,1
310,0x136,00 07,1792,0,0
313,0x139,01 00,1,1,0
327,0x147,02 01,258,0,1
339,0x153,01 00,1,1,0
347,0x15B,02 01,258,0,1
392,0x188,00 08,2048,0,0
492,0x1EC,03 09,2307,1,1
502,0x1F6,02 0A,2562,0,1
509,0x1FD,03 0B,2819,1,1
519,0x207,02 0C,3074,0,1
538,0x21A,03 09,2307,1,1
569,0x239,09 0D,3337,1,4
579,0x243,02 0E,3586,0,1
586,0x24A,03 0F,3843,1,1
612,0x264,05 10,4101,1,2
615,0x267,03 11,4355,1,1
624,0x270,03 12,4611,1,1
633,0x279,03 13,4867,1,1
685,0x2AD,03 14,5123,1,1
694,0x2B6,03 13,4867,1,1
710,0x2C6,04 15,5380,0,2
808,0x328,02 04,1026,0,1
814,0x32E,03 16,5635,1,1
817,0x331,02 04,1026,0,1
875,0x36B,02 04,1026,0,1
882,0x372,04 17,5892,0,2
889,0x379,04 18,6148,0,2
895,0x37F,03 19,6403,1,1
915,0x393,03 1A,6659,1,1
918,0x396,03 12,4611,1,1
928,0x3A0,04 1B,6916,0,2
934,0x3A6,02 1C,7170,0,1
940,0x3AC,02 1D,7426,0,1
947,0x3B3,04 1E,7684,0,2
964,0x3C4,04 1B,6916,0,2
1020,0x3FC,02 1C,7170,0,1
1029,0x405,03 1F,7939,1,1
1037,0x40D,06 20,8198,0,3
1044,0x414,04 1E,7684,0,2
1053,0x41D,02 1C,7170,0,1
1064,0x428,04 21,8452,0,2
1071,0x42F,04 1E,7684,0,2
1094,0x446,03 22,8707,1,1
