string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
238,0xEE,Time for Exec ,debug/display text,236,0xEC,0,main,0x0..0x18C
269,0x10D,: ,debug/display text,267,0x10B,0,main,0x0..0x18C
431,0x1AF,ACTORROAM,likely logic anchor,429,0x1AD,2,Function_2,0x1A8..0x1E3
549,0x225,roamRemoveSet,unknown,547,0x223,4,Function_4,0x20B..0x976
795,0x31B,ActorRoam - ,likely logic anchor,793,0x319,4,Function_4,0x20B..0x976
822,0x336, will ignore ambient restrictions while using gringo,debug/display text,820,0x334,4,Function_4,0x20B..0x976
1435,0x59B,Invalid Object type passed to ActorRoam,likely logic anchor,1433,0x599,4,Function_4,0x20B..0x976
1627,0x65B,ACTORROAM - Actor ,likely logic anchor,1625,0x659,4,Function_4,0x20B..0x976
1660,0x67C, failing on use of gringo ,debug/display text,1658,0x67A,4,Function_4,0x20B..0x976
1701,0x6A5, of type ,debug/display text,1699,0x6A3,4,Function_4,0x20B..0x976
1944,0x798,ActorRoam got an invalid object named: ,likely logic anchor,1942,0x796,4,Function_4,0x20B..0x976
2001,0x7D1,Invalid Object in ActorRoam update,likely logic anchor,1999,0x7CF,4,Function_4,0x20B..0x976
2527,0x9DF,(Unnamed),unknown,2525,0x9DD,6,Function_6,0x9C5..0xA07
2586,0xA1A,actorRoam_ref,likely logic anchor,2584,0xA18,7,Function_7,0xA07..0xA2D
2904,0xB58,actorRoam_behavior,likely logic anchor,2902,0xB56,13,Function_13,0xB4B..0xB72
2943,0xB7F,actorRoam_gringoFail,likely logic anchor,2941,0xB7D,14,Function_14,0xB72..0xC15
2979,0xBA3,actorRoam_gringoFail,likely logic anchor,2977,0xBA1,14,Function_14,0xB72..0xC15
3016,0xBC8,actorRoam_gringoFail,likely logic anchor,3014,0xBC6,14,Function_14,0xB72..0xC15
3062,0xBF6,actorRoam_gringoFail,likely logic anchor,3060,0xBF4,14,Function_14,0xB72..0xC15
3172,0xC64,GO_NEAR_VOLUME - Invalid Volume,debug/display text,3170,0xC62,15,Function_15,0xC15..0xC8A
3223,0xC97,actorRoam_target,likely logic anchor,3221,0xC95,16,Function_16,0xC8A..0xCB0
3683,0xE63,actorroam_lockon,likely logic anchor,3681,0xE61,22,Function_22,0xE56..0xE7B
4267,0x10AB,"Attempting to get distance between actors, where at least one is INVALID! Returning 0.0!",likely logic anchor,4265,0x10A9,26,Function_26,0x109A..0x118F
4373,0x1115,"Attempting to get distance between actors, where at least one is INVALID! Returning 0.0!",likely logic anchor,4371,0x1113,26,Function_26,0x109A..0x118F
4508,0x119C,actorroam_lockon,likely logic anchor,4506,0x119A,27,Function_27,0x118F..0x11DC
4539,0x11BB,actorroam_lockon,likely logic anchor,4537,0x11B9,27,Function_27,0x118F..0x11DC
4606,0x11FE,actorRoam_state,likely logic anchor,4604,0x11FC,29,Function_29,0x11F1..0x1215
4648,0x1228,actorRoam_ref,likely logic anchor,4646,0x1226,30,Function_30,0x1215..0x123C
4681,0x1249,actorRoam_speed,likely logic anchor,4679,0x1247,31,Function_31,0x123C..0x125D
4714,0x126A,actorRoam_options,likely logic anchor,4712,0x1268,32,Function_32,0x125D..0x1280
4749,0x128D,actorRoam_target,likely logic anchor,4747,0x128B,33,Function_33,0x1280..0x12A2
4783,0x12AF,actorRoam_behavior,likely logic anchor,4781,0x12AD,34,Function_34,0x12A2..0x12C6
4819,0x12D3,actorRoam_state,likely logic anchor,4817,0x12D1,35,Function_35,0x12C6..0x12E7
4857,0x12F9,RoamingLayout,unknown,4855,0x12F7,36,Function_36,0x12E7..0x1336
4891,0x131B,gRoamObjects,unknown,4889,0x1319,36,Function_36,0x12E7..0x1336
4934,0x1346,GPS_MANAGER,unknown,4932,0x1344,38,Function_38,0x133F..0x137C
5703,0x1647,Cannot find a path from here to there - check output for locations,debug/display text,5701,0x1645,42,Function_42,0x14A9..0x17BE
6869,0x1AD5,UserGPS,unknown,6867,0x1AD3,53,Function_53,0x1ACE..0x1B75
6888,0x1AE8,UserGPSPath,unknown,6886,0x1AE6,53,Function_53,0x1ACE..0x1B75
6920,0x1B08,MissionGPS,likely logic anchor,6918,0x1B06,53,Function_53,0x1ACE..0x1B75
6942,0x1B1E,MissionGPSPath,likely logic anchor,6940,0x1B1C,53,Function_53,0x1ACE..0x1B75
6977,0x1B41,PosseGPS,unknown,6975,0x1B3F,53,Function_53,0x1ACE..0x1B75
6997,0x1B55,PosseGPSPath,unknown,6995,0x1B53,53,Function_53,0x1ACE..0x1B75
7036,0x1B7C,QUEUED_MESSAGE,unknown,7034,0x1B7A,54,Function_54,0x1B75..0x1BB5
7388,0x1CDC,,unknown,7386,0x1CDA,56,Function_56,0x1BBB..0x1DDF
7391,0x1CDF,,unknown,7389,0x1CDD,56,Function_56,0x1BBB..0x1DDF
7394,0x1CE2,,unknown,7392,0x1CE0,56,Function_56,0x1BBB..0x1DDF
7460,0x1D24,,unknown,7458,0x1D22,56,Function_56,0x1BBB..0x1DDF
7463,0x1D27,,unknown,7461,0x1D25,56,Function_56,0x1BBB..0x1DDF
7466,0x1D2A,,unknown,7464,0x1D28,56,Function_56,0x1BBB..0x1DDF
7537,0x1D71,,unknown,7535,0x1D6F,56,Function_56,0x1BBB..0x1DDF
7540,0x1D74,,unknown,7538,0x1D72,56,Function_56,0x1BBB..0x1DDF
7543,0x1D77,,unknown,7541,0x1D75,56,Function_56,0x1BBB..0x1DDF
7810,0x1E82,miss,unknown,7808,0x1E80,58,Function_58,0x1E74..0x1EB3
7824,0x1E90,ziss,unknown,7822,0x1E8E,58,Function_58,0x1E74..0x1EB3
7841,0x1EA1,_short,unknown,7839,0x1E9F,58,Function_58,0x1E74..0x1EB3
8364,0x20AC,,unknown,8362,0x20AA,62,Function_62,0x1FDE..0x210D
8415,0x20DF,,unknown,8413,0x20DD,62,Function_62,0x1FDE..0x210D
8526,0x214E,MissionFailedMenu,likely logic anchor,8524,0x214C,64,Function_64,0x2138..0x2165
8562,0x2172,OUTFIT-MANAGER,unknown,8560,0x2170,66,Function_66,0x216B..0x21AB
8705,0x2201,outfitScrap,unknown,8703,0x21FF,68,Function_68,0x21B1..0x265B
