offset,offset_hex,length,text,population_term,string_class
7,0x7,6,<_%!<`,,debug/display text
238,0xEE,14,Time for Exec ,,debug/display text
431,0x1AF,9,ACTORROAM,,likely logic anchor
480,0x1E0,4,?8~-,,debug/display text
549,0x225,13,roamRemoveSet,,unknown
795,0x31B,12,ActorRoam - ,,likely logic anchor
820,0x334,54,o5 will ignore ambient restrictions while using gringo,,debug/display text
1273,0x4F9,4,2(B ,,debug/display text
1432,0x598,42,0o(Invalid Object type passed to ActorRoam,,likely logic anchor
1627,0x65B,18,ACTORROAM - Actor ,,likely logic anchor
1660,0x67C,26, failing on use of gringo ,,debug/display text
1701,0x6A5,9, of type ,,debug/display text
1941,0x795,42,do(ActorRoam got an invalid object named: ,,likely logic anchor
1999,0x7CF,36,o#Invalid Object in ActorRoam update,,likely logic anchor
2378,0x94A,4,)Of<,,unknown
2395,0x95B,4,vOf<,,unknown
2527,0x9DF,9,(Unnamed),,unknown
2552,0x9F8,4,"""Of<",,unknown
2586,0xA1A,13,actorRoam_ref,,likely logic anchor
2602,0xA2A,4,:+~-,,unknown
2780,0xADC,4,0)C*,,unknown
2823,0xB07,4,0)C>,,unknown
2844,0xB1C,4,0)C>,,unknown
2904,0xB58,18,actorRoam_behavior,,likely logic anchor
2943,0xB7F,20,actorRoam_gringoFail,,likely logic anchor
2979,0xBA3,20,actorRoam_gringoFail,,likely logic anchor
3016,0xBC8,20,actorRoam_gringoFail,,likely logic anchor
3062,0xBF6,20,actorRoam_gringoFail,,likely logic anchor
3169,0xC61,34,%o GO_NEAR_VOLUME - Invalid Volume,,debug/display text
3223,0xC97,16,actorRoam_target,,likely logic anchor
3683,0xE63,16,actorroam_lockon,,likely logic anchor
4264,0x10A8,91,"`oYAttempting to get distance between actors, where at least one is INVALID! Returning 0.0!",,likely logic anchor
4370,0x1112,91,"`oYAttempting to get distance between actors, where at least one is INVALID! Returning 0.0!",,likely logic anchor
4508,0x119C,16,actorroam_lockon,,likely logic anchor
4539,0x11BB,16,actorroam_lockon,,likely logic anchor
4606,0x11FE,15,actorRoam_state,,likely logic anchor
4648,0x1228,13,actorRoam_ref,,likely logic anchor
