offset,offset_hex,opcode,kind,semantics,instruction_size,instruction_hex,delta,target_candidate
235,0xEB,84,call_candidate,call2,3,54 EA 3F,-5569,-5331
337,0x151,84,call_candidate,call2,3,54 E8 B3,-5965,-5625
377,0x179,99,branch_candidate,jump_false,3,63 00 04,4,384
400,0x190,84,call_candidate,call2,3,54 E8 91,-5999,-5596
403,0x193,99,branch_candidate,jump_false,3,63 00 08,8,414
411,0x19B,98,branch_candidate,unconditional_jump,3,62 00 05,5,419
424,0x1A8,84,call_candidate,call2,3,54 B8 E1,-18207,-17780
427,0x1AB,84,call_candidate,call2,3,54 B2 81,-19839,-19409
430,0x1AE,84,call_candidate,call2,3,54 5C B8,23736,24169
440,0x1B8,99,branch_candidate,jump_false,3,63 00 0B,11,454
451,0x1C3,84,call_candidate,call2,3,54 5C 7B,23675,24129
488,0x1E8,99,branch_candidate,jump_false,3,63 00 09,9,500
518,0x206,84,call_candidate,call2,3,54 E8 91,-5999,-5478
521,0x209,99,branch_candidate,jump_false,3,63 00 49,73,597
620,0x26C,84,call_candidate,call2,3,54 5C 40,23616,24239
628,0x274,99,branch_candidate,jump_false,3,63 00 25,37,668
653,0x28D,84,call_candidate,call2,3,54 5B F2,23538,24194
660,0x294,84,call_candidate,call2,3,54 5B D7,23511,24174
671,0x29F,99,branch_candidate,jump_false,3,63 00 21,33,707
704,0x2C0,84,call_candidate,call2,3,54 5B 10,23312,24019
712,0x2C8,99,branch_candidate,jump_false,3,63 00 2E,46,761
720,0x2D0,99,branch_candidate,jump_false,3,63 00 23,35,758
758,0x2F6,98,branch_candidate,unconditional_jump,3,62 00 04,4,765
796,0x31C,84,call_candidate,call2,3,54 5A 03,23043,23842
802,0x322,84,call_candidate,call2,3,54 55 7E,21886,22691
806,0x326,99,branch_candidate,jump_false,3,63 00 07,7,816
813,0x32D,98,branch_candidate,unconditional_jump,3,62 FF F0,-16,800
1612,0x64C,84,call_candidate,call2,3,54 53 5E,21342,22957
1620,0x654,99,branch_candidate,jump_false,3,63 00 21,33,1656
1653,0x675,98,branch_candidate,unconditional_jump,3,62 02 0E,526,2182
1661,0x67D,99,branch_candidate,jump_false,3,63 00 5B,91,1755
1672,0x688,100,branch_candidate,jump_ne,3,64 00 42,66,1741
1681,0x691,99,branch_candidate,jump_false,3,63 00 22,34,1718
1712,0x6B0,84,call_candidate,call2,3,54 53 2A,21290,23005
1715,0x6B3,98,branch_candidate,unconditional_jump,3,62 00 14,20,1738
1738,0x6CA,98,branch_candidate,unconditional_jump,3,62 00 0B,11,1752
1752,0x6D8,98,branch_candidate,unconditional_jump,3,62 01 AB,427,2182
1765,0x6E5,99,branch_candidate,jump_false,3,63 01 9E,414,2182
1771,0x6EB,99,branch_candidate,jump_false,3,63 00 14,20,1794
1791,0x6FF,98,branch_candidate,unconditional_jump,3,62 01 6E,366,2160
1800,0x708,99,branch_candidate,jump_false,3,63 01 65,357,2160
1807,0x70F,99,branch_candidate,jump_false,3,63 00 F4,244,2054
1827,0x723,84,call_candidate,call2,3,54 E8 91,-5999,-4169
1830,0x726,99,branch_candidate,jump_false,3,63 00 C6,198,2031
1862,0x746,104,branch_candidate,jump_ge,3,68 00 06,6,1871
1868,0x74C,98,branch_candidate,unconditional_jump,3,62 00 0D,13,1884
1875,0x753,103,branch_candidate,jump_lt,3,67 00 06,6,1884
2028,0x7EC,98,branch_candidate,unconditional_jump,3,62 00 14,20,2051
2051,0x803,98,branch_candidate,unconditional_jump,3,62 00 6A,106,2160
2064,0x810,99,branch_candidate,jump_false,3,63 00 5D,93,2160
2092,0x82C,99,branch_candidate,jump_false,3,63 00 41,65,2160
2103,0x837,84,call_candidate,call2,3,54 53 2A,21290,23396
2122,0x84A,99,branch_candidate,jump_false,3,63 00 0F,15,2140
2169,0x879,99,branch_candidate,jump_false,3,63 00 0A,10,2182
2196,0x894,84,call_candidate,call2,3,54 53 20,21280,23479
2214,0x8A6,84,call_candidate,call2,3,54 53 13,21267,23484
2218,0x8AA,99,branch_candidate,jump_false,3,63 00 24,36,2257
2231,0x8B7,84,call_candidate,call2,3,54 52 FD,21245,23479
2241,0x8C1,84,call_candidate,call2,3,54 52 FD,21245,23489
2251,0x8CB,84,call_candidate,call2,3,54 52 FD,21245,23499
2254,0x8CE,98,branch_candidate,unconditional_jump,3,62 00 04,4,2261
2276,0x8E4,99,branch_candidate,jump_false,3,63 00 06,6,2285
2279,0x8E7,84,call_candidate,call2,3,54 52 DB,21211,23493
2282,0x8EA,84,call_candidate,call2,3,54 51 DF,20959,23244
2285,0x8ED,84,call_candidate,call2,3,54 50 21,20513,22801
2288,0x8F0,83,call_candidate,call2,3,53 FE 69,-407,1884
2291,0x8F3,83,call_candidate,call2,3,53 FA 8C,-1396,898
2297,0x8F9,83,call_candidate,call2,3,53 FA 7A,-1414,886
2301,0x8FD,99,branch_candidate,jump_false,3,63 00 04,4,2308
2347,0x92B,100,branch_candidate,jump_ne,3,64 00 2A,42,2392
2389,0x955,98,branch_candidate,unconditional_jump,3,62 FF D0,-48,2344
2395,0x95B,100,branch_candidate,jump_ne,3,64 00 0C,12,2410
2449,0x991,100,branch_candidate,jump_ne,3,64 00 2A,42,2494
2491,0x9BB,98,branch_candidate,unconditional_jump,3,62 FF D0,-48,2446
2497,0x9C1,100,branch_candidate,jump_ne,3,64 00 0C,12,2512
2551,0x9F7,100,branch_candidate,jump_ne,3,64 00 2A,42,2596
2593,0xA21,98,branch_candidate,unconditional_jump,3,62 FF D0,-48,2548
2599,0xA27,100,branch_candidate,jump_ne,3,64 00 0C,12,2614
2653,0xA5D,100,branch_candidate,jump_ne,3,64 00 2A,42,2698
2695,0xA87,98,branch_candidate,unconditional_jump,3,62 FF D0,-48,2650
2701,0xA8D,100,branch_candidate,jump_ne,3,64 00 0C,12,2716
2750,0xABE,99,branch_candidate,jump_false,3,63 00 04,4,2757
2786,0xAE2,83,call_candidate,call2,3,53 FA 6B,-1429,1360
2836,0xB14,84,call_candidate,call2,3,54 5A 03,23043,25882
2880,0xB40,84,call_candidate,call2,3,54 5A 03,23043,25926
2944,0xB80,84,call_candidate,call2,3,54 5A 03,23043,25990
3009,0xBC1,84,call_candidate,call2,3,54 5A 03,23043,26055
3072,0xC00,84,call_candidate,call2,3,54 5A 03,23043,26118
3151,0xC4F,84,call_candidate,call2,3,54 5A 03,23043,26197
3201,0xC81,84,call_candidate,call2,3,54 5A 03,23043,26247
3258,0xCBA,84,call_candidate,call2,3,54 5A 03,23043,26304
3322,0xCFA,84,call_candidate,call2,3,54 5A 03,23043,26368
3384,0xD38,84,call_candidate,call2,3,54 5A 03,23043,26430
3413,0xD55,84,call_candidate,call2,3,54 5A 03,23043,26459
3436,0xD6C,84,call_candidate,call2,3,54 5A 03,23043,26482
3467,0xD8B,84,call_candidate,call2,3,54 5A 03,23043,26513
3473,0xD91,84,call_candidate,call2,3,54 55 7E,21886,25362
3477,0xD95,99,branch_candidate,jump_false,3,63 00 07,7,3487
3484,0xD9C,98,branch_candidate,unconditional_jump,3,62 FF F0,-16,3471
3487,0xD9F,83,call_candidate,call2,3,53 FA 5F,-1441,2049
3539,0xDD3,99,branch_candidate,jump_false,3,63 00 07,7,3549
3546,0xDDA,98,branch_candidate,unconditional_jump,3,62 FF EE,-18,3531
3571,0xDF3,99,branch_candidate,jump_false,3,63 00 07,7,3581
3578,0xDFA,98,branch_candidate,unconditional_jump,3,62 FF E0,-32,3549
3615,0xE1F,99,branch_candidate,jump_false,3,63 00 07,7,3625
3622,0xE26,98,branch_candidate,unconditional_jump,3,62 FF D4,-44,3581
3907,0xF43,99,branch_candidate,jump_false,3,63 00 14,20,3930
3938,0xF62,99,branch_candidate,jump_false,3,63 00 14,20,3961
3969,0xF81,99,branch_candidate,jump_false,3,63 00 13,19,3991
3991,0xF97,83,call_candidate,call2,3,53 F9 77,-1673,2321
3998,0xF9E,83,call_candidate,call2,3,53 B6 8A,-18806,-14805
5456,0x1550,83,call_candidate,call2,3,53 B3 8D,-19571,-14112
5459,0x1553,83,call_candidate,call2,3,53 B1 43,-20157,-14695
5462,0x1556,83,call_candidate,call2,3,53 AE CD,-20787,-15322
5512,0x1588,83,call_candidate,call2,3,53 A8 9B,-22373,-16858
5569,0x15C1,83,call_candidate,call2,3,53 A8 9B,-22373,-16801
5624,0x15F8,83,call_candidate,call2,3,53 A8 9B,-22373,-16746
5687,0x1637,83,call_candidate,call2,3,53 A8 9B,-22373,-16683
5744,0x1670,83,call_candidate,call2,3,53 A8 9B,-22373,-16626
5843,0x16D3,83,call_candidate,call2,3,53 A8 9B,-22373,-16527
5938,0x1732,83,call_candidate,call2,3,53 A8 9B,-22373,-16432
6038,0x1796,83,call_candidate,call2,3,53 A8 9B,-22373,-16332
6132,0x17F4,83,call_candidate,call2,3,53 A8 9B,-22373,-16238
6235,0x185B,83,call_candidate,call2,3,53 A8 9B,-22373,-16135
6321,0x18B1,83,call_candidate,call2,3,53 A8 9B,-22373,-16049
6418,0x1912,83,call_candidate,call2,3,53 A8 9B,-22373,-15952
6508,0x196C,83,call_candidate,call2,3,53 A8 9B,-22373,-15862
6598,0x19C6,83,call_candidate,call2,3,53 A8 9B,-22373,-15772
6699,0x1A2B,83,call_candidate,call2,3,53 A8 9B,-22373,-15671
6805,0x1A95,83,call_candidate,call2,3,53 A8 9B,-22373,-15565
6913,0x1B01,83,call_candidate,call2,3,53 A8 9B,-22373,-15457
7029,0x1B75,83,call_candidate,call2,3,53 A8 9B,-22373,-15341
7133,0x1BDD,83,call_candidate,call2,3,53 A8 9B,-22373,-15237
7245,0x1C4D,83,call_candidate,call2,3,53 A8 9B,-22373,-15125
7343,0x1CAF,83,call_candidate,call2,3,53 A8 9B,-22373,-15027
7441,0x1D11,83,call_candidate,call2,3,53 A8 9B,-22373,-14929
