offset,offset_hex,length,text,population_term,string_class
29,0x1D,46,o-********************************************,,unknown
84,0x54,26,                 MAIN_Z.SC,,debug/display text
117,0x75,46,o-SCRIPTS ARE COMPILED WITH STANDALONE DEFINED,,debug/display text
170,0xAA,46,o-********************************************,,unknown
252,0xFC,14,StatTab_Crimes,,unknown
272,0x110,13,StatTab_Score,,unknown
291,0x123,13,StatTab_Money,,unknown
310,0x136,16,StatTab_Missions,,likely logic anchor
394,0x18A,5,noDDA,,unknown
451,0x1C3,4,T\{o,,unknown
456,0x1C8,21,LOCAL_PLAYER_GAMERTAG,,unknown
502,0x1F6,15,zombiePressDemo,,unknown
538,0x21A,27,JournalTab_Challenges_Panel,,unknown
571,0x23B,22,JournalTab_Quest_Panel,,unknown
608,0x260,8,PM_Stats,,unknown
620,0x26C,4,T\@L,,unknown
625,0x271,4,Q>Dc,,unknown
676,0x2A4,24,Initializing deed array!,,debug/display text
725,0x2D5,23,Resetting from mission!,,likely logic anchor
775,0x307,17,ZombiePackGringos,,unknown
818,0x332,21,p_gen_locatorDummy02x,,unknown
840,0x348,56,o7$/content/DLC/ZombiePack/Gringos/ZombiePack_HorseHitch,,unknown
899,0x383,11,horseHitch1,,unknown
931,0x3A3,21,p_gen_locatorDummy02x,,unknown
953,0x3B9,57,o8$/content/DLC/ZombiePack/Gringos/ZombiePack_HorseHitch2,,unknown
1013,0x3F5,11,horseHitch2,,unknown
1045,0x415,15,p_gen_coffin04x,,unknown
1061,0x425,57,o8$/content/DLC/ZombiePack/Gringos/DLC_player_burn_coffin,,unknown
1121,0x461,10,LootCoffin,,unknown
1148,0x47C,13,p_gen_safe02x,,unknown
1162,0x48A,56,o7$/content/scripting/gringo/SimpleGringo/horse_drinking,,unknown
1221,0x4C5,20,Player_Lockpick_Safe,,unknown
1258,0x4EA,23,rstarGringoGeneric_Type,,unknown
1284,0x504,8,pickSafe,,unknown
1295,0x50F,14,horse_drinking,,unknown
1312,0x520,20,Player_Lockpick_Safe,,unknown
1349,0x545,23,rstarGringoGeneric_Type,,unknown
1375,0x55F,11,openArmoire,,unknown
1389,0x56D,14,horse_drinking,,unknown
1406,0x57E,12,stand_armoir,,unknown
1435,0x59B,23,rstarGringoGeneric_Type,,unknown
1461,0x5B5,12,openCredenza,,unknown
1476,0x5C4,14,horse_drinking,,unknown
1493,0x5D5,13,open_credenza,,unknown
1523,0x5F3,23,rstarGringoGeneric_Type,,unknown
1549,0x60D,9,openChest,,unknown
1561,0x619,14,horse_drinking,,unknown
1578,0x62A,16,stand_open_chest,,unknown
1612,0x64C,4,TS^9,,unknown
1633,0x661,4,)E)c,,unknown
1712,0x6B0,4,TS*b,,unknown
1812,0x714,14,randomstartloc,,unknown
1857,0x741,4,9+8+,,unknown
1886,0x75E,5,Qb-)B,,unknown
1953,0x7A1,4,F+)A,,unknown
1980,0x7BC,4,iy)E,,unknown
1994,0x7CA,4,)D%S,,debug/display text
2103,0x837,4,TS*o,,unknown
2108,0x83C,9,Cutscenes,,unknown
2127,0x84F,9,Cutscenes,,unknown
2196,0x894,6,TS OTH,,debug/display text
2204,0x89C,6,OTH?xk,,debug/display text
2224,0x8B0,4,:=(m,,unknown
2285,0x8ED,4,TP!S,,debug/display text
2313,0x909,6,DLC_00,,unknown
2322,0x912,18,DLC6\ZOMBIE_MISC_1,,unknown
2352,0x930,6,DLC_00,,unknown
2361,0x939,18,DLC6\ZOMBIE_MISC_1,,unknown
2400,0x960,6,DLC_00,,unknown
2415,0x96F,6,DLC_01,,unknown
2424,0x978,18,DLC6\ZOMBIE_MISC_3,,unknown
2454,0x996,6,DLC_01,,unknown
2463,0x99F,18,DLC6\ZOMBIE_MISC_3,,unknown
2502,0x9C6,6,DLC_01,,unknown
2517,0x9D5,6,DLC_02,,unknown
2526,0x9DE,18,DLC6\ZOMBIE_MISC_4,,unknown
2556,0x9FC,6,DLC_02,,unknown
2565,0xA05,18,DLC6\ZOMBIE_MISC_4,,unknown
2604,0xA2C,6,DLC_02,,unknown
2619,0xA3B,6,DLC_03,,unknown
2628,0xA44,18,DLC6\ZOMBIE_MISC_2,,unknown
2658,0xA62,6,DLC_03,,unknown
2667,0xA6B,18,DLC6\ZOMBIE_MISC_2,,unknown
2706,0xA92,6,DLC_03,,unknown
2718,0xA9E,27,MINI_GAMES_AND_JOBS\ranch08,,unknown
2759,0xAC7,20,DYNAMIC_MIXER_ZOMBIE,,unknown
2791,0xAE7,42,o)$/content/DLC/ZombiePack/system/Player_z,,unknown
2842,0xB1A,35,"o""$/content/init/rdr2init_each_load",,unknown
2886,0xB46,55,o6$/content/DLC/ZombiePack/system/short_update_thread_z,,unknown
2950,0xB86,56,o7$/content/DLC/ZombiePack/system/medium_update_thread_z,,unknown
3015,0xBC7,54,o5$/content/DLC/ZombiePack/system/long_update_thread_z,,unknown
3078,0xC06,70,oE$/content/DLC/ZombiePack/system/DesignerDefined/UI/FuiEventMonitor_z,,event/task name
3157,0xC55,41,o($/content/DLC/ZombiePack/system/Pause_z,,unknown
3207,0xC87,48,o/$/content/scripting/gringo/SimpleGringo/hogtie,,unknown
3264,0xCC0,55,o6$/content/scripting/gringo/SimpleGringo/hogtie_pickup,,unknown
3328,0xD00,53,o4$/content/scripting/gringo/SimpleGringo/Loot_Corpse,,unknown
3392,0xD40,17,ZombiePackGringos,,unknown
3421,0xD5D,12,z_dlc_z_roar,,unknown
3444,0xD74,19,custom/z_dlc_z_roar,,unknown
3492,0xDA4,30,DLC/ZombiePack/system/Player_z,,unknown
3551,0xDDF,12,PlayerLayout,,unknown
3583,0xDFF,12,PlayerLayout,,unknown
3601,0xE11,6,player,,unknown
3625,0xE29,60,o;DLC/ZombiePack/system/DesignerDefined/UI/FuiEventMonitor_z,,event/task name
3693,0xE6D,23,init/rdr2init_each_load,,unknown
3720,0xE88,47,"$+o,DLC/ZombiePack/system/short_update_thread_z",,unknown
3771,0xEBB,48,$+o-DLC/ZombiePack/system/medium_update_thread_z,,unknown
3823,0xEEF,46,$+o+DLC/ZombiePack/system/long_update_thread_z,,unknown
3912,0xF48,10,GlobalChar,,unknown
3943,0xF67,10,RegionChar,,unknown
3974,0xF86,9,LocalChar,,unknown
4003,0xFA3,14,regions_layout,,unknown
4023,0xFB7,17,launch_Merchant04,,unknown
4049,0xFD1,14,regions_layout,,unknown
4069,0xFE5,14,launch_Ranch07,,unknown
4092,0xFFC,14,regions_layout,,unknown
4112,0x1010,14,launch_Ranch08,,unknown
4135,0x1027,14,regions_layout,,unknown
4155,0x103B,14,launch_Marshal,,unknown
4178,0x1052,14,regions_layout,,unknown
4198,0x1066,17,launch_Merchant01,,unknown
4224,0x1080,14,regions_layout,,unknown
4244,0x1094,17,launch_Merchant05,,unknown
4270,0x10AE,14,regions_layout,,unknown
4290,0x10C2,15,launch_Outlaw01,,likely logic anchor
4314,0x10DA,14,regions_layout,,unknown
4334,0x10EE,15,launch_Outlaw02,,likely logic anchor
4358,0x1106,14,regions_layout,,unknown
4378,0x111A,15,launch_Outlaw03,,likely logic anchor
4402,0x1132,14,regions_layout,,unknown
4422,0x1146,14,launch_Grave01,,unknown
4445,0x115D,14,regions_layout,,unknown
4465,0x1171,14,launch_Grave02,,unknown
4488,0x1188,14,regions_layout,,unknown
4508,0x119C,14,launch_Grave03,,unknown
4531,0x11B3,14,regions_layout,,unknown
4551,0x11C7,13,launch_Fort01,,unknown
4573,0x11DD,14,regions_layout,,unknown
4593,0x11F1,13,launch_Fort02,,unknown
4615,0x1207,14,regions_layout,,unknown
4635,0x121B,12,launch_Gun01,,unknown
4656,0x1230,14,regions_layout,,unknown
4676,0x1244,12,launch_Gun02,,unknown
4697,0x1259,14,regions_layout,,unknown
4717,0x126D,12,launch_Gun05,,unknown
4738,0x1282,14,regions_layout,,unknown
4758,0x1296,14,launch_MexGirl,,unknown
4781,0x12AD,14,regions_layout,,unknown
4801,0x12C1,16,launch_MexArmy05,,unknown
4826,0x12DA,14,regions_layout,,unknown
4846,0x12EE,16,launch_MexArmy04,,unknown
4871,0x1307,14,regions_layout,,unknown
4891,0x131B,16,launch_MexArmy03,,unknown
4916,0x1334,14,regions_layout,,unknown
4936,0x1348,16,launch_MexArmy02,,unknown
4961,0x1361,14,regions_layout,,unknown
4981,0x1375,16,launch_MexArmy01,,unknown
5006,0x138E,14,regions_layout,,unknown
5026,0x13A2,14,launch_Rebel02,,unknown
5049,0x13B9,14,regions_layout,,unknown
5069,0x13CD,14,launch_Rebel03,,unknown
5092,0x13E4,14,regions_layout,,unknown
5112,0x13F8,14,launch_Rebel04,,unknown
5135,0x140F,14,regions_layout,,unknown
5155,0x1423,14,launch_Rebel05,,unknown
5178,0x143A,14,regions_layout,,unknown
5198,0x144E,18,launch_Home02Son02,,unknown
5225,0x1469,14,regions_layout,,unknown
5245,0x147D,18,launch_Home02Son01,,unknown
5272,0x1498,14,regions_layout,,unknown
5292,0x14AC,20,launch_Home02Ranch03,,unknown
5321,0x14C9,14,regions_layout,,unknown
5341,0x14DD,20,launch_Home02Ranch01,,unknown
5370,0x14FA,14,regions_layout,,unknown
5390,0x150E,13,launch_Home01,,unknown
5412,0x1524,14,regions_layout,,unknown
5432,0x1538,17,_MeterAndHalfTest,,unknown
5467,0x155B,30,$/content/Frontier/PR_Frontier,,unknown
5523,0x1593,26,$/content/Mexico/PR_Mexico,,unknown
5580,0x15CC,24,$/content/North/PR_North,,unknown
5633,0x1601,34,o!$/content/Homestead/PR_Homestead,,debug/display text
5698,0x1642,26,$/content/Homestead/PR_End,,unknown
5753,0x1679,66,oA$/content/DLC/ZombiePack/Frontier/Cholla_Springs/ChollaSprings_z,,unknown
5852,0x16DC,60,o;$/content/DLC/ZombiePack/Mexico/Diez_Coronas/DiezCoronas_z,,unknown
5947,0x173B,66,oA$/content/DLC/ZombiePack/Frontier/Gaptooth_Ridge/GaptoothRidge_z,,unknown
6047,0x179F,59,o:$/content/DLC/ZombiePack/North/Great_Plains/GreatPlains_z,,unknown
6141,0x17FD,68,oC$/content/DLC/ZombiePack/Frontier/Hennigans_Stead/HennigansStead_z,,unknown
6244,0x1864,51,o2$/content/DLC/ZombiePack/Mexico/Perdido/Perdido_z,,unknown
6330,0x18BA,62,o=$/content/DLC/ZombiePack/Mexico/Punta_Orgullo/PuntaOrgullo_z,,unknown
6427,0x191B,56,o7$/content/DLC/ZombiePack/Frontier/Rio_Bravo/RioBravo_z,,unknown
6517,0x1975,55,o6$/content/DLC/ZombiePack/North/Tall_Trees/TallTrees_z,,unknown
6607,0x19CF,66,oA$/content/DLC/ZombiePack/Mexico/Perdido/Agave_Viejo/AgaveViejo_z,,unknown
6708,0x1A34,72,oG$/content/DLC/ZombiePack/Frontier/Cholla_Springs/Armadillo/Armadillo_z,,unknown
6814,0x1A9E,73,oH$/content/DLC/ZombiePack/North/Great_Plains/BeechersHope/BeechersHope_z,,unknown
6922,0x1B0A,81,oP$/content/DLC/ZombiePack/Frontier/Gaptooth_Ridge/Benedict_Point/BenedictPoint_z,,unknown
7038,0x1B7E,69,oD$/content/DLC/ZombiePack/North/Great_Plains/Blackwater/Blackwater_z,,unknown
7142,0x1BE6,77,oL$/content/DLC/ZombiePack/Mexico/Diez_Coronas/Casa_Madrugada/CasaMadrugada_z,,unknown
7254,0x1C56,63,o>$/content/DLC/ZombiePack/Mexico/Perdido/Chuparosa/Chuparosa_z,,unknown
7352,0x1CB8,63,o>$/content/DLC/ZombiePack/North/Tall_Trees/Cochinay/Cochinay_z,,unknown
7450,0x1D1A,77,oL$/content/DLC/ZombiePack/Frontier/Cholla_Springs/Coots_Chapel/CootsChapel_z,,unknown
7562,0x1D8A,80,oO$/content/DLC/ZombiePack/Mexico/Diez_Coronas/El_Matadero_Town/ElMataderoTown_z,,unknown
7677,0x1DFD,71,oF$/content/DLC/ZombiePack/Mexico/Diez_Coronas/El_Presidio/ElPresidio_z,,unknown
7783,0x1E67,67,oB$/content/DLC/ZombiePack/Mexico/Punta_Orgullo/Escalera/Escalera_z,,unknown
7885,0x1ECD,70,oE$/content/DLC/ZombiePack/Frontier/Rio_Bravo/Fort_Mercer/FortMercer_z,,unknown
7989,0x1F35,83,oR$/content/DLC/ZombiePack/Frontier/Gaptooth_Ridge/Gaptooth_Breach/GaptoothBreach_z,,unknown
8106,0x1FAA,84,oS$/content/DLC/ZombiePack/Frontier/Hennigans_Stead/Hennigans_Ranch/HennigansRanch_z,,unknown
8225,0x2021,68,oC$/content/DLC/ZombiePack/Mexico/Perdido/Las_Hermanas/LasHermanas_z,,unknown
8328,0x2088,74,oI$/content/DLC/ZombiePack/North/Tall_Trees/Manzanita_Post/ManzanitaPost_z,,unknown
8437,0x20F5,67,oB$/content/DLC/ZombiePack/Mexico/Punta_Orgullo/Nosalida/Nosalida_z,,unknown
8539,0x215B,84,oS$/content/DLC/ZombiePack/Frontier/Cholla_Springs/Odd_Fellows_Rest/OddFellowsRest_z,,unknown
8659,0x21D3,98,oa$/content/DLC/ZombiePack/North/Tall_Trees/Pacific_Union_Railroad_Camp/PacificUnionRailroadCamp_z,,unknown
8792,0x2258,76,oK$/content/DLC/ZombiePack/Frontier/Hennigans_Stead/Pikes_Basin/PikesBasin_z,,unknown
8903,0x22C7,67,oB$/content/DLC/ZombiePack/Frontier/Rio_Bravo/Plainview/Plainview_z,,unknown
9005,0x232D,85,oT$/content/DLC/ZombiePack/Frontier/Gaptooth_Ridge/Rathskeller_Fork/RathskellerFork_z,,unknown
9124,0x23A4,81,oP$/content/DLC/ZombiePack/Frontier/Cholla_Springs/Ridgewood_Farm/RidgewoodFarm_z,,unknown
9239,0x2417,61,o<$/content/DLC/ZombiePack/Mexico/Perdido/Sepulcro/Sepulcro_z,,unknown
9335,0x2477,81,oP$/content/DLC/ZombiePack/Frontier/Gaptooth_Ridge/Solomons_Folly/SolomonsFolly_z,,unknown
