offset,offset_hex,opcode,width,value,actor_kind,operand_hex
47,0x2F,37,1,104,eActorEnum_candidate,68
57,0x39,37,1,11,eActorEnum_candidate,0B
67,0x43,37,1,12,eActorEnum_candidate,0C
77,0x4D,37,1,9,eActorEnum_candidate,09
176,0xB0,37,1,101,eActorEnum_candidate,65
252,0xFC,37,1,8,eActorEnum_candidate,08
262,0x106,37,1,8,eActorEnum_candidate,08
275,0x113,37,1,8,eActorEnum_candidate,08
282,0x11A,37,1,68,eActorEnum_candidate,44
295,0x127,37,1,8,eActorEnum_candidate,08
335,0x14F,37,1,16,eActorEnum_candidate,10
359,0x167,37,1,69,eActorEnum_candidate,45
502,0x1F6,65,2,16384,,40 00
915,0x393,65,2,1024,eActorEnum_candidate,04 00
922,0x39A,37,1,8,eActorEnum_candidate,08
957,0x3BD,37,1,32,eActorEnum_candidate,20
971,0x3CB,37,1,8,eActorEnum_candidate,08
985,0x3D9,65,2,1024,eActorEnum_candidate,04 00
1117,0x45D,65,2,16384,,40 00
1133,0x46D,37,1,16,eActorEnum_candidate,10
1151,0x47F,65,2,2048,,08 00
1162,0x48A,37,1,16,eActorEnum_candidate,10
1189,0x4A5,37,1,16,eActorEnum_candidate,10
1197,0x4AD,37,1,8,eActorEnum_candidate,08
1205,0x4B5,65,2,4096,,10 00
1221,0x4C5,65,2,2048,,08 00
1229,0x4CD,37,1,16,eActorEnum_candidate,10
1236,0x4D4,65,2,4096,,10 00
1258,0x4EA,65,2,2048,,08 00
1266,0x4F2,37,1,16,eActorEnum_candidate,10
1282,0x502,65,2,2064,,08 10
1290,0x50A,65,2,4096,,10 00
1304,0x518,65,2,6160,,18 10
1321,0x529,37,1,64,eActorEnum_candidate,40
1418,0x58A,40,4,1089470464,,40 F0 00 00
1482,0x5CA,37,1,11,eActorEnum_candidate,0B
1488,0x5D0,37,1,16,eActorEnum_candidate,10
1495,0x5D7,37,1,15,eActorEnum_candidate,0F
1502,0x5DE,37,1,43,eActorEnum_candidate,2B
1641,0x669,65,2,1024,eActorEnum_candidate,04 00
1803,0x70B,37,1,32,eActorEnum_candidate,20
1820,0x71C,37,1,12,eActorEnum_candidate,0C
1965,0x7AD,37,1,15,eActorEnum_candidate,0F
1976,0x7B8,37,1,13,eActorEnum_candidate,0D
1996,0x7CC,37,1,14,eActorEnum_candidate,0E
2007,0x7D7,37,1,12,eActorEnum_candidate,0C
2277,0x8E5,40,4,1065353216,,3F 80 00 00
2461,0x99D,65,2,379,eActorEnum_candidate,01 7B
2474,0x9AA,65,2,379,eActorEnum_candidate,01 7B
2558,0x9FE,65,2,380,eActorEnum_candidate,01 7C
2571,0xA0B,65,2,380,eActorEnum_candidate,01 7C
2625,0xA41,65,2,381,eActorEnum_candidate,01 7D
2638,0xA4E,65,2,381,eActorEnum_candidate,01 7D
2845,0xB1D,37,1,39,eActorEnum_candidate,27
2862,0xB2E,40,4,1073741824,,40 00 00 00
2942,0xB7E,37,1,16,eActorEnum_candidate,10
3259,0xCBB,37,1,32,eActorEnum_candidate,20
