function_index,function_name,start_decoded_offset,start_decoded_offset_hex,end_decoded_offset,end_decoded_offset_hex,size,string_reference_count,native_call_count,constant_count,branch_count,table_block_count,purpose_tags
0,main,0,0x0,485,0x1E5,485,5,16,12,63,0,[]
1,Function_1,485,0x1E5,511,0x1FF,26,0,2,1,2,0,[]
2,Function_2,511,0x1FF,551,0x227,40,0,0,0,4,0,[]
3,Function_3,551,0x227,560,0x230,9,0,0,0,1,0,[]
4,Function_4,560,0x230,825,0x339,265,11,14,0,8,0,['enable']
5,Function_5,825,0x339,842,0x34A,17,0,0,0,1,0,[]
6,Function_6,842,0x34A,875,0x36B,33,1,3,0,1,0,[]
7,Function_7,875,0x36B,897,0x381,22,0,2,0,1,0,[]
8,Function_8,897,0x381,1316,0x524,419,0,3,20,78,0,[]
9,Function_9,1316,0x524,1327,0x52F,11,0,0,1,1,0,[]
10,Function_10,1327,0x52F,1342,0x53E,15,0,0,0,1,0,[]
11,Function_11,1342,0x53E,1357,0x54D,15,0,0,0,1,0,[]
12,Function_12,1357,0x54D,1389,0x56D,32,0,0,0,1,0,[]
13,Function_13,1389,0x56D,1433,0x599,44,0,2,1,3,0,[]
14,Function_14,1433,0x599,1566,0x61E,133,0,4,4,5,0,[]
15,Function_15,1566,0x61E,1629,0x65D,63,3,0,0,3,0,[]
16,Function_16,1629,0x65D,1656,0x678,27,0,1,1,2,0,[]
17,Function_17,1656,0x678,1670,0x686,14,0,0,0,1,0,[]
18,Function_18,1670,0x686,1767,0x6E7,97,1,5,0,15,0,[]
19,Function_19,1767,0x6E7,1785,0x6F9,18,0,0,0,1,0,[]
20,Function_20,1785,0x6F9,1798,0x706,13,0,0,0,0,0,[]
21,Function_21,1798,0x706,1809,0x711,11,0,0,1,1,0,[]
22,Function_22,1809,0x711,1890,0x762,81,0,3,1,10,0,[]
23,Function_23,1890,0x762,1903,0x76F,13,0,0,0,1,0,[]
24,Function_24,1903,0x76F,2028,0x7EC,125,0,6,4,6,0,[]
25,Function_25,2028,0x7EC,2047,0x7FF,19,0,2,0,1,0,[]
26,Function_26,2047,0x7FF,2412,0x96C,365,4,17,1,27,0,[]
27,Function_27,2412,0x96C,2711,0xA97,299,0,15,6,17,0,[]
28,Function_28,2711,0xA97,2728,0xAA8,17,0,0,0,0,0,[]
29,Function_29,2728,0xAA8,2745,0xAB9,17,0,0,0,0,0,[]
30,Function_30,2745,0xAB9,2762,0xACA,17,0,0,0,0,0,[]
31,Function_31,2762,0xACA,2797,0xAED,35,0,0,0,5,0,[]
32,Function_32,2797,0xAED,2828,0xB0C,31,0,2,0,1,0,[]
33,Function_33,2828,0xB0C,2840,0xB18,12,0,1,0,0,0,[]
34,Function_34,2840,0xB18,2851,0xB23,11,0,0,1,1,0,[]
