offset,offset_hex,length,text,population_term,string_class
45,0x2D,15,net.StartOnline,,unknown
104,0x68,38,o%NetAlert_FailedInviteJoin_NoPlaylist,,debug/display text
148,0x94,19,SG_AutoSaveDisabled,,likely logic anchor
179,0xB3,19,NetAlert_NatWarning,,unknown
283,0x11B,23,multiplayerUpdateThread,,unknown
318,0x13E,5,RpfRl,,unknown
349,0x15D,8,FREEROAM,,unknown
389,0x185,4,4`Rk,,unknown
437,0x1B5,16,playersInSession,,unknown
471,0x1D7,4,Rkmb,,unknown
480,0x1E0,4,Rk[%,,debug/display text
485,0x1E5,5,RkJRk,,unknown
493,0x1ED,4,i-Rh,,unknown
502,0x1F6,4,Q37o,,unknown
507,0x1FB,27,rand_idle_sit_ground_player,,unknown
540,0x21C,17,locked_footlocker,,unknown
563,0x233,9,old_winch,,unknown
578,0x242,16,stand_open_chest,,unknown
600,0x258,10,horsehitch,,unknown
616,0x268,11,horsehitch2,,unknown
633,0x279,12,hitchingpost,,unknown
651,0x28B,18,treasure_hunting_1,,unknown
675,0x2A3,18,treasure_hunting_2,,unknown
699,0x2BB,18,treasure_hunting_3,,unknown
723,0x2D3,18,treasure_hunting_4,,unknown
747,0x2EB,18,treasure_hunting_5,,unknown
771,0x303,18,treasure_hunting_6,,unknown
795,0x31B,18,treasure_hunting_7,,unknown
819,0x333,18,treasure_hunting_8,,unknown
843,0x34B,22,treasure_hunting_final,,unknown
871,0x367,13,open_big_door,,unknown
890,0x37A,15,horse_tend_camp,,unknown
911,0x38F,10,horse_stay,,unknown
927,0x39F,14,fake_horseshoe,,unknown
947,0x3B3,15,get_ransom_note,,unknown
968,0x3C8,11,skin_animal,,event/task name
985,0x3D9,10,pickup_tnt,,unknown
1097,0x449,7,.:VRdNA,,unknown
1116,0x45C,5,Rc{Rb,,unknown
1146,0x47A,4,Rbkl,,unknown
1165,0x48D,4,"2%`,",,debug/display text
1175,0x497,5,4`3Rk,,unknown
1265,0x4F1,4,R_[c,,debug/display text
1270,0x4F6,4,#%6O,,debug/display text
1303,0x517,4,RZ9;,,unknown
1338,0x53A,4,PqNe,,unknown
1386,0x56A,5,PqNRY,,unknown
1395,0x573,5,PqNRY,,unknown
1410,0x582,8,PqNPqMRW,,unknown
1419,0x58B,8,RWSRRi+b,,unknown
1456,0x5B0,4,"RRT,",,unknown
1474,0x5C2,14,HAS_GLOBAL_TU2,,unknown
1504,0x5E0,52,o3Achievements are ready... checking if we're viral.,,debug/display text
1582,0x62E,56,"o7Yep, we have the viral achievement (Red Dead Rockstar)",,debug/display text
1647,0x66F,4,"O%0,",,debug/display text
1664,0x680,56,"o7Yep, we have the viral achievement (Red Dead Rockstar)",,debug/display text
1742,0x6CE,9,R8F%@R8'c,,debug/display text
1774,0x6EE,9,MPDollars,,unknown
1798,0x706,10,MPBalance2,,unknown
1811,0x713,9,MPBalance,,unknown
1832,0x728,10,MPBalance2,,unknown
1864,0x748,4,"2%`,",,debug/display text
1874,0x752,5,4`3R+,,unknown
1880,0x758,4,"RRT,",,unknown
1891,0x763,14,bearWilderness,,unknown
1918,0x77E,4,dRRT,,unknown
1941,0x795,65,Mo?$/content/Multiplayer/Action_Areas/Wilderness/bearWildernessAA,,event/task name
2021,0x7E5,14,boarWilderness,,unknown
2048,0x800,4,dRRT,,unknown
2071,0x817,65,Mo?$/content/Multiplayer/Action_Areas/Wilderness/boarWildernessAA,,event/task name
2151,0x867,16,cougarWilderness,,unknown
2180,0x884,4,fRRT,,unknown
2203,0x89B,67,OoA$/content/Multiplayer/Action_Areas/Wilderness/cougarWildernessAA,,event/task name
2285,0x8ED,14,wolfWilderness,,unknown
2312,0x908,4,dRRT,,unknown
2335,0x91F,65,Mo?$/content/Multiplayer/Action_Areas/Wilderness/wolfWildernessAA,,event/task name
2450,0x992,18,treasure_hunting_1,,unknown
2474,0x9AA,18,treasure_hunting_2,,unknown
2498,0x9C2,18,treasure_hunting_3,,unknown
2522,0x9DA,18,treasure_hunting_4,,unknown
2546,0x9F2,18,treasure_hunting_5,,unknown
2570,0xA0A,18,treasure_hunting_6,,unknown
2594,0xA22,18,treasure_hunting_7,,unknown
2618,0xA3A,18,treasure_hunting_8,,unknown
2642,0xA52,22,treasure_hunting_final,,unknown
2670,0xA6E,27,rand_idle_sit_ground_player,,unknown
2703,0xA8F,17,locked_footlocker,,unknown
2726,0xAA6,9,old_winch,,unknown
2741,0xAB5,16,stand_open_chest,,unknown
2763,0xACB,10,horseHitch,,unknown
2779,0xADB,11,horseHitch2,,unknown
2796,0xAEC,12,hitchingPost,,unknown
2814,0xAFE,13,open_big_door,,unknown
2833,0xB11,15,horse_tend_camp,,unknown
2854,0xB26,10,horse_stay,,unknown
2870,0xB36,14,fake_horseshoe,,unknown
2890,0xB4A,15,get_ransom_note,,unknown
2911,0xB5F,11,skin_animal,,event/task name
2928,0xB70,10,pickup_tnt,,unknown
2944,0xB80,8,MPSplash,,unknown
2958,0xB8E,8,MPSplash,,unknown
2972,0xB9C,8,MPReward,,unknown
2986,0xBAA,17,MPScoringDisplays,,unknown
3009,0xBC1,10,HudMPNoFun,,unknown
3025,0xBD1,12,RacePosition,,unknown
3040,0xBE0,6,'R*wR),,unknown
3088,0xC10,23,multiplayerUpdateThread,,unknown
3155,0xC53,20,LoadingScreenTexture,,unknown
3251,0xCB3,14,NetEventLayout,,event/task name
3282,0xCD2,14,NetEventLayout,,event/task name
3719,0xE87,7,R'%++R&,,debug/display text
3727,0xE8F,4,++R&,,unknown
3737,0xE99,4,T++R,,unknown
3998,0xF9E,4,"C%,O",,debug/display text
4103,0x1007,4,Ggz-,,unknown
4170,0x104A,227,"For whatever reason, the system thinks we have more than 50 completed quests. This is bad, since the array we save them in only has 20 elements. Capping it and saving. Your save may not include all of the things you like in it.",,debug/display text
4568,0x11D8,224,"For whatever reason, the system thinks we have more than 20 active quests. This is bad, since the array we save them in only has 20 elements. Capping it and saving. Your save may not include all of the things you like in it.",,debug/display text
4959,0x135F,4,RRT9,,unknown
5467,0x155B,7,fav_non,,unknown
5605,0x15E5,5,fwep_,,unknown
5642,0x160A,69,JoCSTAT_SET_VALUE_AS_INT_NOW: Attempting to use a Stat out of bounds.,,debug/display text
5730,0x1662,87,oVSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of this STAT_TYPE_LIFETIME directly: ,,debug/display text
5834,0x16CA,119,"ovSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of a STAT_TYPE_LIFETIME directly, use the COLLECTION version instead!",,debug/display text
5972,0x1754,90,oYSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of this STAT_TYPE_COLLECTIBLE directly: ,,debug/display text
6081,0x17C1,134,"STAT_SET_VALUE_AS_INT_NOW: You cannot set value of a STAT_TYPE_COLLECTIBLE directly, only increase and decrease operations are allowed",,debug/display text
6263,0x1877,4,"R""'8",,unknown
6536,0x1988,4, lbs,,debug/display text
6600,0x19C8,4, ton,,debug/display text
6685,0x1A1D,5,"@<@<,",,unknown
6753,0x1A61,5, days,,debug/display text
6775,0x1A77,4, day,,debug/display text
6900,0x1AF4,4, min,,debug/display text
6963,0x1B33,4, sec,,debug/display text
7003,0x1B5B,4, min,,debug/display text
7073,0x1BA1,4, sec,,debug/display text
7107,0x1BC3,4, sec,,debug/display text
7358,0x1CBE,5, days,,debug/display text
