offset,offset_hex,opcode,kind,semantics,instruction_size,instruction_hex,delta,target_candidate
81,0x51,82,call_candidate,call2,3,52 6A 9F,27295,27379
89,0x59,82,call_candidate,call2,3,52 6A 74,27252,27344
100,0x64,82,call_candidate,call2,3,52 6A 3E,27198,27301
103,0x67,82,call_candidate,call2,3,52 69 1B,26907,27013
211,0xD3,82,call_candidate,call2,3,52 68 FC,26876,27090
214,0xD6,99,branch_candidate,jump_false,3,63 00 24,36,253
239,0xEF,82,call_candidate,call2,3,52 68 D9,26841,27083
247,0xF7,105,branch_candidate,jump_gt,3,69 00 03,3,253
257,0x101,99,branch_candidate,jump_false,3,63 0C 54,3156,3416
265,0x109,102,branch_candidate,jump_le,3,66 00 03,3,271
268,0x10C,82,call_candidate,call2,3,52 68 D3,26835,27106
272,0x110,82,call_candidate,call2,3,52 68 C4,26820,27095
276,0x114,99,branch_candidate,jump_false,3,63 00 06,6,285
363,0x16B,98,branch_candidate,unconditional_jump,3,62 0B E3,3043,3409
376,0x178,82,call_candidate,call2,3,52 68 B5,26805,27184
388,0x184,82,call_candidate,call2,3,52 67 DA,26586,26977
391,0x187,82,call_candidate,call2,3,52 67 D4,26580,26974
404,0x194,98,branch_candidate,unconditional_jump,3,62 0B BA,3002,3409
487,0x1E7,82,call_candidate,call2,3,52 67 B6,26550,27040
499,0x1F3,82,call_candidate,call2,3,52 67 7D,26493,26995
502,0x1F6,82,call_candidate,call2,3,52 67 71,26481,26986
505,0x1F9,82,call_candidate,call2,3,52 67 66,26470,26978
516,0x204,82,call_candidate,call2,3,52 67 59,26457,26976
524,0x20C,82,call_candidate,call2,3,52 68 B5,26805,27332
534,0x216,82,call_candidate,call2,3,52 67 46,26438,26975
541,0x21D,82,call_candidate,call2,3,52 67 7D,26493,27037
555,0x22B,82,call_candidate,call2,3,52 67 09,26377,26935
562,0x232,99,branch_candidate,jump_false,3,63 00 18,24,589
568,0x238,99,branch_candidate,jump_false,3,63 00 12,18,589
593,0x251,82,call_candidate,call2,3,52 68 C4,26820,27416
596,0x254,82,call_candidate,call2,3,52 66 F9,26361,26960
601,0x259,99,branch_candidate,jump_false,3,63 00 26,38,642
604,0x25C,82,call_candidate,call2,3,52 66 D7,26327,26934
615,0x267,101,branch_candidate,jump_eq,3,65 00 09,9,627
624,0x270,82,call_candidate,call2,3,52 66 C8,26312,26939
639,0x27F,82,call_candidate,call2,3,52 56 AF,22191,22833
652,0x28C,82,call_candidate,call2,3,52 56 9A,22170,22825
659,0x293,82,call_candidate,call2,3,52 68 C4,26820,27482
666,0x29A,82,call_candidate,call2,3,52 35 9D,13725,14394
669,0x29D,99,branch_candidate,jump_false,3,63 01 35,309,981
675,0x2A3,101,branch_candidate,jump_eq,3,65 01 2F,303,981
680,0x2A8,82,call_candidate,call2,3,52 35 6E,13678,14361
683,0x2AB,99,branch_candidate,jump_false,3,63 00 99,153,839
718,0x2CE,98,branch_candidate,unconditional_jump,3,62 00 70,112,833
729,0x2D9,82,call_candidate,call2,3,52 35 4E,13646,14378
733,0x2DD,99,branch_candidate,jump_false,3,63 00 2A,42,778
772,0x304,82,call_candidate,call2,3,52 34 79,13433,14208
775,0x307,98,branch_candidate,unconditional_jump,3,62 00 1F,31,809
778,0x30A,82,call_candidate,call2,3,52 33 DB,13275,14056
809,0x329,98,branch_candidate,unconditional_jump,3,62 00 18,24,836
812,0x32C,82,call_candidate,call2,3,52 33 A1,13217,14032
815,0x32F,98,branch_candidate,unconditional_jump,3,62 00 12,18,836
827,0x33B,82,call_candidate,call2,3,52 31 D9,12761,13591
830,0x33E,98,branch_candidate,unconditional_jump,3,62 00 03,3,836
833,0x341,98,branch_candidate,unconditional_jump,3,62 00 00,0,836
836,0x344,98,branch_candidate,unconditional_jump,3,62 00 8E,142,981
843,0x34B,82,call_candidate,call2,3,52 68 C4,26820,27666
847,0x34F,99,branch_candidate,jump_false,3,63 00 83,131,981
866,0x362,102,branch_candidate,jump_le,3,66 00 54,84,953
873,0x369,99,branch_candidate,jump_false,3,63 00 2E,46,922
919,0x397,98,branch_candidate,unconditional_jump,3,62 00 1C,28,950
950,0x3B6,98,branch_candidate,unconditional_jump,3,62 00 1C,28,981
986,0x3DA,101,branch_candidate,jump_eq,3,65 00 77,119,1108
989,0x3DD,82,call_candidate,call2,3,52 31 AA,12714,13706
1014,0x3F6,99,branch_candidate,jump_false,3,63 00 39,57,1074
1017,0x3F9,82,call_candidate,call2,3,52 31 AA,12714,13734
1071,0x42F,98,branch_candidate,unconditional_jump,3,62 00 22,34,1108
1100,0x44C,99,branch_candidate,jump_false,3,63 00 05,5,1108
1111,0x457,101,branch_candidate,jump_eq,3,65 00 5E,94,1208
1152,0x480,99,branch_candidate,jump_false,3,63 00 35,53,1208
1157,0x485,82,call_candidate,call2,3,52 31 9D,12701,13861
1160,0x488,99,branch_candidate,jump_false,3,63 00 1A,26,1189
1170,0x492,82,call_candidate,call2,3,52 30 80,12416,13589
1173,0x495,99,branch_candidate,jump_false,3,63 00 0A,10,1186
1176,0x498,82,call_candidate,call2,3,52 69 1B,26907,28086
1180,0x49C,99,branch_candidate,jump_false,3,63 00 03,3,1186
1186,0x4A2,98,branch_candidate,unconditional_jump,3,62 00 13,19,1208
1191,0x4A7,82,call_candidate,call2,3,52 30 53,12371,13565
1224,0x4C8,82,call_candidate,call2,3,52 68 C4,26820,28047
1228,0x4CC,99,branch_candidate,jump_false,3,63 00 0B,11,1242
1235,0x4D3,82,call_candidate,call2,3,52 1F A6,8102,9340
1250,0x4E2,82,call_candidate,call2,3,52 1F 99,8089,9342
1253,0x4E5,99,branch_candidate,jump_false,3,63 00 0E,14,1270
1256,0x4E8,82,call_candidate,call2,3,52 1E B2,7858,9117
1267,0x4F3,82,call_candidate,call2,3,52 67 46,26438,27708
1280,0x500,82,call_candidate,call2,3,52 1E 6E,7790,9073
1283,0x503,99,branch_candidate,jump_false,3,63 01 00,256,1542
1297,0x511,82,call_candidate,call2,3,52 1E 66,7782,9082
1304,0x518,82,call_candidate,call2,3,52 1E 5E,7774,9081
1309,0x51D,99,branch_candidate,jump_false,3,63 00 63,99,1411
1408,0x580,98,branch_candidate,unconditional_jump,3,62 00 80,128,1539
1489,0x5D1,82,call_candidate,call2,3,52 1E 66,7782,9274
1492,0x5D4,100,branch_candidate,jump_ne,3,64 00 09,9,1504
1498,0x5DA,82,call_candidate,call2,3,52 1E 54,7764,9265
1501,0x5DD,98,branch_candidate,unconditional_jump,3,62 00 23,35,1539
1506,0x5E2,82,call_candidate,call2,3,52 1E 5E,7774,9283
1509,0x5E5,100,branch_candidate,jump_ne,3,64 00 09,9,1521
1515,0x5EB,82,call_candidate,call2,3,52 1E 4A,7754,9272
1518,0x5EE,98,branch_candidate,unconditional_jump,3,62 00 12,18,1539
1525,0x5F5,82,call_candidate,call2,3,52 1E 3F,7743,9271
1528,0x5F8,82,call_candidate,call2,3,52 1E 34,7732,9263
1533,0x5FD,99,branch_candidate,jump_false,3,63 00 03,3,1539
1536,0x600,82,call_candidate,call2,3,52 1E 2A,7722,9261
1539,0x603,98,branch_candidate,unconditional_jump,3,62 01 A6,422,1964
1542,0x606,82,call_candidate,call2,3,52 1D F9,7673,9218
1545,0x609,99,branch_candidate,jump_false,3,63 01 A0,416,1964
1610,0x64A,99,branch_candidate,jump_false,3,63 00 C4,196,1809
1621,0x655,82,call_candidate,call2,3,52 1D BE,7614,9238
1624,0x658,99,branch_candidate,jump_false,3,63 00 40,64,1691
1629,0x65D,82,call_candidate,call2,3,52 68 C4,26820,28452
1633,0x661,99,branch_candidate,jump_false,3,63 00 34,52,1688
1688,0x698,98,branch_candidate,unconditional_jump,3,62 00 73,115,1806
1806,0x70E,98,branch_candidate,unconditional_jump,3,62 00 8B,139,1948
1811,0x713,82,call_candidate,call2,3,52 68 C4,26820,28634
1814,0x716,99,branch_candidate,jump_false,3,63 00 33,51,1868
1876,0x754,82,call_candidate,call2,3,52 1D B6,7606,9485
1879,0x757,100,branch_candidate,jump_ne,3,64 00 12,18,1900
1882,0x75A,82,call_candidate,call2,3,52 1E 34,7732,9617
1886,0x75E,99,branch_candidate,jump_false,3,63 00 05,5,1894
1889,0x761,82,call_candidate,call2,3,52 1D B6,7606,9498
1894,0x766,82,call_candidate,call2,3,52 1E 54,7764,9661
1897,0x769,98,branch_candidate,unconditional_jump,3,62 00 30,48,1948
1908,0x774,82,call_candidate,call2,3,52 1D AE,7598,9509
1911,0x777,100,branch_candidate,jump_ne,3,64 00 12,18,1932
1914,0x77A,82,call_candidate,call2,3,52 1E 3F,7743,9660
1918,0x77E,99,branch_candidate,jump_false,3,63 00 05,5,1926
1921,0x781,82,call_candidate,call2,3,52 1D AE,7598,9522
1926,0x786,82,call_candidate,call2,3,52 1E 4A,7754,9683
1929,0x789,98,branch_candidate,unconditional_jump,3,62 00 10,16,1948
1932,0x78C,82,call_candidate,call2,3,52 1E 34,7732,9667
1935,0x78F,82,call_candidate,call2,3,52 1E 3F,7743,9681
1939,0x793,99,branch_candidate,jump_false,3,63 00 03,3,1945
1945,0x799,82,call_candidate,call2,3,52 1E 2A,7722,9670
1969,0x7B1,82,call_candidate,call2,3,52 1D B6,7606,9578
1976,0x7B8,82,call_candidate,call2,3,52 1D AE,7598,9577
1986,0x7C2,99,branch_candidate,jump_false,3,63 00 D1,209,2198
1994,0x7CA,82,call_candidate,call2,3,52 1D B6,7606,9603
1997,0x7CD,100,branch_candidate,jump_ne,3,64 00 3E,62,2062
2012,0x7DC,82,call_candidate,call2,3,52 1E 34,7732,9747
2017,0x7E1,99,branch_candidate,jump_false,3,63 00 24,36,2056
2035,0x7F3,82,call_candidate,call2,3,52 1D B6,7606,9644
2053,0x805,82,call_candidate,call2,3,52 1D 69,7529,9585
2056,0x808,82,call_candidate,call2,3,52 1E 54,7764,9823
2059,0x80B,98,branch_candidate,unconditional_jump,3,62 00 88,136,2198
2064,0x810,82,call_candidate,call2,3,52 1D AE,7598,9665
2067,0x813,100,branch_candidate,jump_ne,3,64 00 3E,62,2132
2082,0x822,82,call_candidate,call2,3,52 1E 3F,7743,9828
2087,0x827,99,branch_candidate,jump_false,3,63 00 24,36,2126
2105,0x839,82,call_candidate,call2,3,52 1D AE,7598,9706
2123,0x84B,82,call_candidate,call2,3,52 1D 69,7529,9655
2126,0x84E,82,call_candidate,call2,3,52 1E 4A,7754,9883
2129,0x851,98,branch_candidate,unconditional_jump,3,62 00 42,66,2198
2141,0x85D,82,call_candidate,call2,3,52 1E 34,7732,9876
2144,0x860,82,call_candidate,call2,3,52 1E 3F,7743,9890
2149,0x865,99,branch_candidate,jump_false,3,63 00 22,34,2186
2183,0x887,82,call_candidate,call2,3,52 1D 69,7529,9715
2189,0x88D,100,branch_candidate,jump_ne,3,64 00 03,3,2195
2195,0x893,82,call_candidate,call2,3,52 1E 2A,7722,9920
2203,0x89B,101,branch_candidate,jump_eq,3,65 00 22,34,2240
2210,0x8A2,82,call_candidate,call2,3,52 1D BE,7614,9827
2213,0x8A5,99,branch_candidate,jump_false,3,63 00 0C,12,2228
2225,0x8B1,98,branch_candidate,unconditional_jump,3,62 00 09,9,2237
2237,0x8BD,98,branch_candidate,unconditional_jump,3,62 01 14,276,2516
2242,0x8C2,99,branch_candidate,jump_false,3,63 00 06,6,2251
2248,0x8C8,98,branch_candidate,unconditional_jump,3,62 01 09,265,2516
2261,0x8D5,82,call_candidate,call2,3,52 68 C4,26820,29084
2266,0x8DA,99,branch_candidate,jump_false,3,63 00 45,69,2338
2326,0x916,82,call_candidate,call2,3,52 1D 47,7495,9824
2329,0x919,82,call_candidate,call2,3,52 1D 00,7424,9756
2332,0x91C,82,call_candidate,call2,3,52 1B A9,7081,9416
2335,0x91F,98,branch_candidate,unconditional_jump,3,62 00 B2,178,2516
2348,0x92C,82,call_candidate,call2,3,52 68 C4,26820,29171
2353,0x931,99,branch_candidate,jump_false,3,63 00 27,39,2395
2364,0x93C,82,call_candidate,call2,3,52 66 C8,26312,28679
2379,0x94B,82,call_candidate,call2,3,52 1B 52,6994,9376
2382,0x94E,82,call_candidate,call2,3,52 1B A9,7081,9466
2388,0x954,82,call_candidate,call2,3,52 1A F1,6897,9288
2392,0x958,98,branch_candidate,unconditional_jump,3,62 00 79,121,2516
2400,0x960,101,branch_candidate,jump_eq,3,65 00 0C,12,2415
2412,0x96C,98,branch_candidate,unconditional_jump,3,62 00 65,101,2516
2418,0x972,101,branch_candidate,jump_eq,3,65 00 06,6,2427
2424,0x978,98,branch_candidate,unconditional_jump,3,62 00 59,89,2516
2432,0x980,101,branch_candidate,jump_eq,3,65 00 2E,46,2481
2442,0x98A,100,branch_candidate,jump_ne,3,64 00 13,19,2464
2449,0x991,100,branch_candidate,jump_ne,3,64 00 04,4,2456
2461,0x99D,98,branch_candidate,unconditional_jump,3,62 00 09,9,2473
2478,0x9AE,98,branch_candidate,unconditional_jump,3,62 00 23,35,2516
2486,0x9B6,101,branch_candidate,jump_eq,3,65 00 1B,27,2516
2493,0x9BD,82,call_candidate,call2,3,52 1D BE,7614,10110
2496,0x9C0,99,branch_candidate,jump_false,3,63 00 0C,12,2511
2508,0x9CC,98,branch_candidate,unconditional_jump,3,62 00 00,0,2511
2519,0x9D7,100,branch_candidate,jump_ne,3,64 00 94,148,2670
2579,0xA13,82,call_candidate,call2,3,52 68 C4,26820,29402
2582,0xA16,99,branch_candidate,jump_false,3,63 00 4A,74,2659
2652,0xA5C,82,call_candidate,call2,3,52 1A D3,6867,9522
2656,0xA60,98,branch_candidate,unconditional_jump,3,62 00 05,5,2664
2664,0xA68,82,call_candidate,call2,3,52 1E B2,7858,10525
2667,0xA6B,98,branch_candidate,unconditional_jump,3,62 00 B0,176,2846
2682,0xA7A,99,branch_candidate,jump_false,3,63 00 2E,46,2731
2690,0xA82,82,call_candidate,call2,3,52 67 46,26438,29131
2698,0xA8A,101,branch_candidate,jump_eq,3,65 00 13,19,2720
2704,0xA90,100,branch_candidate,jump_ne,3,64 00 00,0,2707
2712,0xA98,82,call_candidate,call2,3,52 19 A2,6562,9277
2717,0xA9D,82,call_candidate,call2,3,52 19 3C,6460,9180
2720,0xAA0,82,call_candidate,call2,3,52 1E B2,7858,10581
2728,0xAA8,98,branch_candidate,unconditional_jump,3,62 00 73,115,2846
2733,0xAAD,99,branch_candidate,jump_false,3,63 00 0D,13,2749
2736,0xAB0,82,call_candidate,call2,3,52 1A D3,6867,9606
2743,0xAB7,82,call_candidate,call2,3,52 1E B2,7858,10604
2746,0xABA,98,branch_candidate,unconditional_jump,3,62 00 61,97,2846
2753,0xAC1,82,call_candidate,call2,3,52 68 C4,26820,29576
2756,0xAC4,99,branch_candidate,jump_false,3,63 00 41,65,2824
