function_index,function_name,start_decoded_offset,start_decoded_offset_hex,end_decoded_offset,end_decoded_offset_hex,size,string_reference_count,native_call_count,constant_count,branch_count,table_block_count,purpose_tags
0,main,0,0x0,3453,0xD7D,3453,37,65,31,286,0,"['actor', 'disable', 'wanted']"
1,Function_1,3453,0xD7D,3475,0xD93,22,0,2,0,1,0,[]
2,Function_2,3475,0xD93,3515,0xDBB,40,0,2,0,3,0,[]
3,Function_3,3515,0xDBB,3538,0xDD2,23,0,2,0,1,0,[]
4,Function_4,3538,0xDD2,3607,0xE17,69,1,1,1,0,0,[]
5,Function_5,3607,0xE17,3643,0xE3B,36,0,0,1,1,0,[]
6,Function_6,3643,0xE3B,3698,0xE72,55,0,0,1,2,0,[]
7,Function_7,3698,0xE72,3721,0xE89,23,0,0,2,0,0,[]
8,Function_8,3721,0xE89,3745,0xEA1,24,0,0,0,2,0,[]
9,Function_9,3745,0xEA1,3911,0xF47,166,1,2,4,12,0,[]
10,Function_10,3911,0xF47,4012,0xFAC,101,1,2,1,5,0,[]
11,Function_11,4012,0xFAC,4167,0x1047,155,0,2,1,13,0,[]
12,Function_12,4167,0x1047,4215,0x1077,48,1,0,0,2,0,[]
13,Function_13,4215,0x1077,4225,0x1081,10,0,0,0,0,0,[]
14,Function_14,4225,0x1081,4244,0x1094,19,0,1,0,1,0,[]
15,Function_15,4244,0x1094,4291,0x10C3,47,0,0,1,1,0,[]
16,Function_16,4291,0x10C3,4310,0x10D6,19,0,0,0,1,0,[]
17,Function_17,4310,0x10D6,4324,0x10E4,14,0,0,1,0,0,[]
18,Function_18,4324,0x10E4,4337,0x10F1,13,0,2,0,0,0,[]
19,Function_19,4337,0x10F1,4348,0x10FC,11,0,1,0,0,0,[]
20,Function_20,4348,0x10FC,4373,0x1115,25,0,2,0,1,0,[]
21,Function_21,4373,0x1115,4392,0x1128,19,0,2,0,1,0,[]
22,Function_22,4392,0x1128,4496,0x1190,104,0,4,3,12,0,[]
23,Function_23,4496,0x1190,4512,0x11A0,16,0,0,0,0,0,[]
24,Function_24,4512,0x11A0,4560,0x11D0,48,0,0,2,3,0,[]
25,Function_25,4560,0x11D0,4580,0x11E4,20,0,0,0,0,0,[]
26,Function_26,4580,0x11E4,5353,0x14E9,773,5,14,13,72,0,[]
27,Function_27,5353,0x14E9,5398,0x1516,45,0,0,1,3,0,[]
28,Function_28,5398,0x1516,5438,0x153E,40,0,0,0,4,0,[]
29,Function_29,5438,0x153E,5474,0x1562,36,0,0,1,4,0,[]
30,Function_30,5474,0x1562,5491,0x1573,17,0,0,0,1,0,[]
31,Function_31,5491,0x1573,5513,0x1589,22,0,1,0,2,0,[]
32,Function_32,5513,0x1589,5674,0x162A,161,2,2,1,2,0,[]
33,Function_33,5674,0x162A,5885,0x16FD,211,2,10,1,13,0,[]
34,Function_34,5885,0x16FD,5959,0x1747,74,0,5,0,7,0,[]
35,Function_35,5959,0x1747,6047,0x179F,88,0,1,1,7,0,[]
36,Function_36,6047,0x179F,6082,0x17C2,35,0,0,1,4,0,[]
37,Function_37,6082,0x17C2,6148,0x1804,66,0,5,0,4,0,[]
38,Function_38,6148,0x1804,6237,0x185D,89,0,6,0,5,0,[]
39,Function_39,6237,0x185D,6338,0x18C2,101,0,0,0,2,0,[]
40,Function_40,6338,0x18C2,6349,0x18CD,11,0,1,0,0,0,[]
41,Function_41,6349,0x18CD,6374,0x18E6,25,0,0,1,4,0,[]
42,Function_42,6374,0x18E6,6385,0x18F1,11,0,0,0,1,0,[]
43,Function_43,6385,0x18F1,6404,0x1904,19,0,0,0,1,0,[]
44,Function_44,6404,0x1904,6428,0x191C,24,0,0,0,3,0,[]
45,Function_45,6428,0x191C,6460,0x193C,32,0,0,0,1,0,[]
46,Function_46,6460,0x193C,6549,0x1995,89,2,2,1,3,0,['disable']
47,Function_47,6549,0x1995,6562,0x19A2,13,0,0,0,1,0,[]
48,Function_48,6562,0x19A2,6606,0x19CE,44,0,0,1,4,0,[]
49,Function_49,6606,0x19CE,6651,0x19FB,45,0,0,1,3,0,[]
50,Function_50,6651,0x19FB,6694,0x1A26,43,0,3,0,4,0,[]
51,Function_51,6694,0x1A26,6735,0x1A4F,41,0,4,0,3,0,[]
52,Function_52,6735,0x1A4F,6805,0x1A95,70,0,9,1,2,0,[]
53,Function_53,6805,0x1A95,6843,0x1ABB,38,0,4,0,2,0,[]
54,Function_54,6843,0x1ABB,6867,0x1AD3,24,0,2,0,1,0,[]
55,Function_55,6867,0x1AD3,6897,0x1AF1,30,0,0,2,4,0,[]
56,Function_56,6897,0x1AF1,6994,0x1B52,97,0,1,1,5,0,[]
57,Function_57,6994,0x1B52,7048,0x1B88,54,0,1,0,2,0,[]
58,Function_58,7048,0x1B88,7081,0x1BA9,33,0,0,2,2,0,[]
59,Function_59,7081,0x1BA9,7143,0x1BE7,62,0,0,1,8,0,[]
60,Function_60,7143,0x1BE7,7174,0x1C06,31,0,2,0,1,0,[]
61,Function_61,7174,0x1C06,7202,0x1C22,28,0,0,1,1,0,[]
62,Function_62,7202,0x1C22,7298,0x1C82,96,1,1,1,5,0,[]
63,Function_63,7298,0x1C82,7348,0x1CB4,50,1,1,3,1,0,[]
64,Function_64,7348,0x1CB4,7409,0x1CF1,61,0,0,3,6,0,[]
65,Function_65,7409,0x1CF1,7424,0x1D00,15,0,0,0,1,0,[]
66,Function_66,7424,0x1D00,7470,0x1D2E,46,1,1,2,4,0,[]
67,Function_67,7470,0x1D2E,7495,0x1D47,25,0,2,0,1,0,[]
68,Function_68,7495,0x1D47,7529,0x1D69,34,0,1,0,1,0,[]
69,Function_69,7529,0x1D69,7598,0x1DAE,69,0,3,2,3,0,[]
70,Function_70,7598,0x1DAE,7606,0x1DB6,8,0,0,1,0,0,[]
71,Function_71,7606,0x1DB6,7614,0x1DBE,8,0,0,1,0,0,[]
72,Function_72,7614,0x1DBE,7673,0x1DF9,59,0,0,4,4,0,[]
73,Function_73,7673,0x1DF9,7722,0x1E2A,49,0,3,0,5,0,[]
74,Function_74,7722,0x1E2A,7732,0x1E34,10,0,1,0,0,0,[]
75,Function_75,7732,0x1E34,7743,0x1E3F,11,0,1,0,0,0,[]
76,Function_76,7743,0x1E3F,7754,0x1E4A,11,0,1,0,0,0,[]
77,Function_77,7754,0x1E4A,7764,0x1E54,10,0,1,0,0,0,[]
78,Function_78,7764,0x1E54,7774,0x1E5E,10,0,1,0,0,0,[]
79,Function_79,7774,0x1E5E,7782,0x1E66,8,0,0,1,0,0,[]
80,Function_80,7782,0x1E66,7790,0x1E6E,8,0,0,1,0,0,[]
81,Function_81,7790,0x1E6E,7858,0x1EB2,68,2,3,1,6,0,[]
82,Function_82,7858,0x1EB2,8032,0x1F60,174,0,2,3,19,0,[]
83,Function_83,8032,0x1F60,8089,0x1F99,57,0,0,0,4,0,[]
84,Function_84,8089,0x1F99,8102,0x1FA6,13,0,0,0,0,0,[]
85,Function_85,8102,0x1FA6,10861,0x2A6D,2759,41,61,33,188,0,[]
86,Function_86,10861,0x2A6D,10935,0x2AB7,74,0,0,0,10,0,[]
87,Function_87,10935,0x2AB7,11124,0x2B74,189,2,4,4,7,0,[]
88,Function_88,11124,0x2B74,11146,0x2B8A,22,0,0,1,1,0,[]
89,Function_89,11146,0x2B8A,11210,0x2BCA,64,2,5,0,2,0,[]
90,Function_90,11210,0x2BCA,11228,0x2BDC,18,0,0,0,1,0,[]
91,Function_91,11228,0x2BDC,11241,0x2BE9,13,0,0,0,0,0,[]
92,Function_92,11241,0x2BE9,11324,0x2C3C,83,0,0,2,8,0,[]
93,Function_93,11324,0x2C3C,11343,0x2C4F,19,0,0,0,1,0,[]
94,Function_94,11343,0x2C4F,11362,0x2C62,19,0,0,0,1,0,[]
95,Function_95,11362,0x2C62,11378,0x2C72,16,0,0,0,0,0,[]
96,Function_96,11378,0x2C72,11397,0x2C85,19,0,0,0,1,0,[]
97,Function_97,11397,0x2C85,11417,0x2C99,20,0,0,0,1,0,[]
98,Function_98,11417,0x2C99,11468,0x2CCC,51,0,0,0,4,0,[]
99,Function_99,11468,0x2CCC,11488,0x2CE0,20,0,0,1,1,0,[]
100,Function_100,11488,0x2CE0,12020,0x2EF4,532,17,0,0,1,0,[]
101,Function_101,12020,0x2EF4,12068,0x2F24,48,1,1,3,1,0,[]
102,Function_102,12068,0x2F24,12089,0x2F39,21,0,0,1,1,0,[]
103,Function_103,12089,0x2F39,12109,0x2F4D,20,0,0,1,1,0,[]
104,Function_104,12109,0x2F4D,12130,0x2F62,21,0,1,0,0,0,[]
105,Function_105,12130,0x2F62,12328,0x3028,198,5,8,2,4,0,[]
106,Function_106,12328,0x3028,12359,0x3047,31,0,2,0,1,0,[]
107,Function_107,12359,0x3047,12371,0x3053,12,0,1,0,0,0,[]
108,Function_108,12371,0x3053,12383,0x305F,12,0,0,0,1,0,[]
109,Function_109,12383,0x305F,12416,0x3080,33,0,1,0,2,0,[]
110,Function_110,12416,0x3080,12440,0x3098,24,0,0,0,3,0,[]
111,Function_111,12440,0x3098,12460,0x30AC,20,0,0,0,0,0,[]
112,Function_112,12460,0x30AC,12488,0x30C8,28,0,0,0,4,0,[]
113,Function_113,12488,0x30C8,12688,0x3190,200,2,3,0,6,0,[]
114,Function_114,12688,0x3190,12701,0x319D,13,0,0,0,1,0,[]
115,Function_115,12701,0x319D,12714,0x31AA,13,0,0,0,1,0,[]
116,Function_116,12714,0x31AA,12761,0x31D9,47,1,2,0,1,0,[]
117,Function_117,12761,0x31D9,12875,0x324B,114,2,2,1,10,0,['wanted']
118,Function_118,12875,0x324B,13009,0x32D1,134,2,5,1,0,0,[]
119,Function_119,13009,0x32D1,13058,0x3302,49,0,0,2,5,0,[]
120,Function_120,13058,0x3302,13194,0x338A,136,0,0,2,1,0,[]
121,Function_121,13194,0x338A,13205,0x3395,11,0,0,0,1,0,[]
122,Function_122,13205,0x3395,13217,0x33A1,12,0,0,0,0,0,[]
123,Function_123,13217,0x33A1,13275,0x33DB,58,1,1,0,0,0,[]
124,Function_124,13275,0x33DB,13341,0x341D,66,1,1,1,3,0,[]
125,Function_125,13341,0x341D,13374,0x343E,33,0,4,1,1,0,[]
126,Function_126,13374,0x343E,13433,0x3479,59,0,2,0,5,0,[]
127,Function_127,13433,0x3479,13556,0x34F4,123,0,2,4,4,0,[]
128,Function_128,13556,0x34F4,13619,0x3533,63,3,0,0,3,0,[]
129,Function_129,13619,0x3533,13646,0x354E,27,0,1,1,2,0,[]
130,Function_130,13646,0x354E,13678,0x356E,32,0,0,0,1,0,[]
131,Function_131,13678,0x356E,13725,0x359D,47,0,0,2,3,0,[]
132,Function_132,13725,0x359D,16410,0x401A,2685,35,78,13,129,0,[]
133,Function_133,16410,0x401A,16629,0x40F5,219,0,7,3,28,0,[]
134,Function_134,16629,0x40F5,16667,0x411B,38,0,0,1,3,0,[]
135,Function_135,16667,0x411B,16698,0x413A,31,0,0,1,3,0,[]
136,Function_136,16698,0x413A,17452,0x442C,754,16,20,14,26,0,['disable']
137,Function_137,17452,0x442C,17590,0x44B6,138,0,5,0,8,0,[]
138,Function_138,17590,0x44B6,17875,0x45D3,285,9,6,0,9,0,[]
139,Function_139,17875,0x45D3,18295,0x4777,420,17,0,0,1,0,[]
140,Function_140,18295,0x4777,18309,0x4785,14,1,1,0,0,0,[]
141,Function_141,18309,0x4785,18948,0x4A04,639,2,17,0,26,0,[]
142,Function_142,18948,0x4A04,18962,0x4A12,14,0,0,0,0,0,[]
143,Function_143,18962,0x4A12,19247,0x4B2F,285,8,6,3,10,0,[]
144,Function_144,19247,0x4B2F,19464,0x4C08,217,0,13,7,27,0,[]
145,Function_145,19464,0x4C08,19477,0x4C15,13,0,0,0,0,0,[]
146,Function_146,19477,0x4C15,19494,0x4C26,17,0,1,0,0,0,[]
147,Function_147,19494,0x4C26,19602,0x4C92,108,0,2,3,14,0,[]
148,Function_148,19602,0x4C92,19917,0x4DCD,315,0,9,1,18,0,[]
149,Function_149,19917,0x4DCD,19931,0x4DDB,14,0,1,0,1,0,[]
150,Function_150,19931,0x4DDB,19982,0x4E0E,51,0,2,1,4,0,[]
151,Function_151,19982,0x4E0E,20029,0x4E3D,47,0,0,2,3,0,[]
152,Function_152,20029,0x4E3D,20103,0x4E87,74,0,0,8,7,0,[]
153,Function_153,20103,0x4E87,20324,0x4F64,221,0,0,2,33,0,[]
154,Function_154,20324,0x4F64,20358,0x4F86,34,0,0,1,4,0,[]
155,Function_155,20358,0x4F86,20379,0x4F9B,21,0,0,1,0,0,[]
156,Function_156,20379,0x4F9B,21335,0x5357,956,0,19,9,60,0,[]
157,Function_157,21335,0x5357,21404,0x539C,69,0,8,0,1,0,[]
158,Function_158,21404,0x539C,21412,0x53A4,8,0,0,0,0,0,[]
159,Function_159,21412,0x53A4,21488,0x53F0,76,0,11,0,2,0,[]
160,Function_160,21488,0x53F0,21844,0x5554,356,4,4,0,11,0,[]
161,Function_161,21844,0x5554,21878,0x5576,34,0,1,1,1,0,[]
162,Function_162,21878,0x5576,22048,0x5620,170,8,0,0,1,0,[]
163,Function_163,22048,0x5620,22114,0x5662,66,0,1,0,1,0,[]
164,Function_164,22114,0x5662,22124,0x566C,10,0,0,0,1,0,[]
165,Function_165,22124,0x566C,22149,0x5685,25,0,0,0,4,0,[]
166,Function_166,22149,0x5685,22161,0x5691,12,0,0,0,0,0,[]
167,Function_167,22161,0x5691,22170,0x569A,9,0,1,0,0,0,[]
168,Function_168,22170,0x569A,22191,0x56AF,21,0,2,0,1,0,[]
169,Function_169,22191,0x56AF,22600,0x5848,409,11,12,11,37,0,['enable']
170,Function_170,22600,0x5848,22865,0x5951,265,11,14,0,8,0,['enable']
171,Function_171,22865,0x5951,23241,0x5AC9,376,9,18,7,26,0,[]
172,Function_172,23241,0x5AC9,23258,0x5ADA,17,0,0,0,1,0,[]
