term,offset,offset_hex,status,reason
FREEROAM,2022,0x7E6,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
FREEROAM,2092,0x82C,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
FREEROAM,2154,0x86A,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
FREEROAM,9794,0x2642,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
FREEROAM,14642,0x3932,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
FREEROAM,14682,0x395A,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
FREEROAM,16830,0x41BE,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
FREEROAM,16879,0x41EF,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
FREEROAM,16983,0x4257,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
FREEROAM,17635,0x44E3,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
FREEROAM,17726,0x453E,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
FREEROAM,17812,0x4594,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
FREEROAM,19064,0x4A78,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
FREEROAM,27218,0x6A52,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
PR_Multiplayer,55,0x37,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
PR_Multiplayer,2525,0x9DD,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
PR_Multiplayer,2588,0xA1C,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUDScene,1116,0x45C,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUDScene,5722,0x165A,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
HUDScene,9386,0x24AA,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SESSION,200,0xC8,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SESSION,228,0xE4,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SESSION,1559,0x617,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SESSION,1647,0x66F,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SESSION,1702,0x6A6,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SESSION,1828,0x724,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SESSION,22014,0x55FE,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SESSION,25966,0x656E,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
