string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
43,0x2B,Multiplayer Online,debug/display text,41,0x29,0,main,0x0..0x713
69,0x45,blk_saloon_int_Props01x,unknown,67,0x43,0,main,0x0..0x713
98,0x62,blk_saloon_int_01x,unknown,96,0x60,0,main,0x0..0x713
122,0x7A,tes_wall02x,unknown,120,0x78,0,main,0x0..0x713
139,0x8B,mp_tes_coop01ax,unknown,137,0x89,0,main,0x0..0x713
160,0xA0,mp_tes_coop01bx,unknown,158,0x9E,0,main,0x0..0x713
181,0xB5,mp_tes_coop01cx,unknown,179,0xB3,0,main,0x0..0x713
202,0xCA,mp_tes_coop02x,unknown,200,0xC8,0,main,0x0..0x713
222,0xDE,mp_tes_base01x,unknown,220,0xDC,0,main,0x0..0x713
242,0xF2,mp_gap_mineLid01x,unknown,240,0xF0,0,main,0x0..0x713
265,0x109,mp_fom_coop01x,unknown,263,0x107,0,main,0x0..0x713
285,0x11D,mp_fom_burntDebris01x,unknown,283,0x11B,0,main,0x0..0x713
312,0x138,mp_wld_base03x,unknown,310,0x136,0,main,0x0..0x713
332,0x14C,mp_nos_coop01ax,unknown,330,0x14A,0,main,0x0..0x713
353,0x161,mp_nos_coop01bx,unknown,351,0x15F,0,main,0x0..0x713
374,0x176,mp_nos_coop01cx,unknown,372,0x174,0,main,0x0..0x713
395,0x18B,mp_nos_coop01dx,unknown,393,0x189,0,main,0x0..0x713
416,0x1A0,mp_nos_coop01ex,unknown,414,0x19E,0,main,0x0..0x713
437,0x1B5,mp_scr_coop01x,unknown,435,0x1B3,0,main,0x0..0x713
457,0x1C9,arm_flags01x,unknown,455,0x1C7,0,main,0x0..0x713
475,0x1DB,chu_flags01x,unknown,473,0x1D9,0,main,0x0..0x713
493,0x1ED,esc_flags01x,unknown,491,0x1EB,0,main,0x0..0x713
511,0x1FF,han_flags01x,unknown,509,0x1FD,0,main,0x0..0x713
529,0x211,hen_flags01x,unknown,527,0x20F,0,main,0x0..0x713
547,0x223,mtp_flags01x,unknown,545,0x221,0,main,0x0..0x713
565,0x235,mp_arm_base01x,unknown,563,0x233,0,main,0x0..0x713
585,0x249,mp_cas_base01x,unknown,583,0x247,0,main,0x0..0x713
605,0x25D,mp_pik_base01x,unknown,603,0x25B,0,main,0x0..0x713
625,0x271,mp_tes_base01x,unknown,623,0x26F,0,main,0x0..0x713
645,0x285,mp_tum_base01x,unknown,643,0x283,0,main,0x0..0x713
