string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
13,0xD,TRAIN_JOB_INTRO,unknown,11,0xB,,,
43,0x2B,TRAIN_GET_ON_BOARD,unknown,41,0x29,,,
76,0x4C,TRAIN_STAY_ALERT,unknown,74,0x4A,,,
107,0x6B,TRAIN_RUSTLERS_FRONT,unknown,105,0x69,,,
142,0x8E,TRAIN_RUSTLERS_BACK,unknown,140,0x8C,,,
176,0xB0,TRAIN_RUSTLERS_SIDE,unknown,174,0xAE,,,
210,0xD2,TRAIN_HOSTILE_PASSENGER,unknown,208,0xD0,,,
248,0xF8,TRAIN_WELL_DONE,unknown,246,0xF6,,,
278,0x116,ARM_CHALLENGE,unknown,276,0x114,,,
306,0x132,ARM_PLACE_YOUR_BET,unknown,304,0x130,,,
339,0x153,ARM_REF_COUNT_DOWN,unknown,337,0x151,,,
372,0x174,ARM_LOSING,unknown,370,0x172,,,
397,0x18D,ARM_WINNING,unknown,395,0x18B,,,
423,0x1A7,ARM_BOUT_PLAYER_WIN,unknown,421,0x1A5,,,
457,0x1C9,ARM_MATCH_PLAYER_WIN,unknown,455,0x1C7,,,
492,0x1EC,ARM_BOUT_PLAYER_LOSS,unknown,490,0x1EA,,,
527,0x20F,ARM_MATCH_PLAYER_LOSS,unknown,525,0x20D,,,
563,0x233,ARM_WIN_SERIES,unknown,561,0x231,,,
592,0x250,BLACKJACK_INVITE,unknown,590,0x24E,,,
623,0x26F,BLACKJACK_PLACE_YOUR_BET,unknown,621,0x26D,,,
662,0x296,BLACKJACK_TOO_SLOW,unknown,660,0x294,,,
695,0x2B7,BLACKJACK_BLACKJACK,unknown,693,0x2B5,,,
729,0x2D9,BLACKJACK_WIN,unknown,727,0x2D7,,,
757,0x2F5,BLACKJACK_BUSTED,unknown,755,0x2F3,,,
788,0x314,BLACKJACK_GOODBYE,unknown,786,0x312,,,
820,0x334,BLACKJACK_HIT_ME,unknown,818,0x332,,,
851,0x353,BLACKJACK_STAY,unknown,849,0x351,,,
880,0x370,BLACKJACK_DOUBLE,unknown,878,0x36E,,,
911,0x38F,BLACKJACK_SPLIT,unknown,909,0x38D,,,
941,0x3AD,DRINK_CHALLENGE_ACCEPT,unknown,939,0x3AB,,,
978,0x3D2,DRINK_NPC_LOSS,unknown,976,0x3D0,,,
1007,0x3EF,DRINK_NPC_OK,unknown,1005,0x3ED,,,
1035,0x40B,DRINK_NPC_OK_DRUNK,unknown,1033,0x409,,,
1069,0x42D,DRINK_NPC_OK_VERY_DRUNK,unknown,1067,0x42B,,,
1108,0x454,DRINK_WIN,unknown,1106,0x452,,,
1133,0x46D,DRUNK_WIN_DRUNK,unknown,1131,0x46B,,,
1164,0x48C,DRUNK_WIN_VERY_DRUNK,unknown,1162,0x48A,,,
1200,0x4B0,FIVE_FINGER_INVITE,unknown,1198,0x4AE,,,
1234,0x4D2,FIVE_FINGER_PLACE_YOUR_BET,unknown,1232,0x4D0,,,
1276,0x4FC,FIVE_FINGER_TRY_TO_BEAT,unknown,1274,0x4FA,,,
1315,0x523,FIVE_FINGER_PLAYER_WIN,unknown,1313,0x521,,,
1353,0x549,FIVE_FINGER_PLAYER_LOSE_TOO_SLOW,unknown,1351,0x547,,,
1401,0x579,FIVE_FINGER_PLAYER_LOSE_CUTS_SELF,unknown,1399,0x577,,,
1450,0x5AA,FIVE_FINGER_PLAYER_WIN_SERIES,unknown,1448,0x5A8,,,
1495,0x5D7,HORSESHOES_INTRO,unknown,1493,0x5D5,,,
1527,0x5F7,HORSESHOES_RINGER,unknown,1525,0x5F5,,,
1560,0x618,HORSESHOES_VICTORY,unknown,1558,0x616,,,
1594,0x63A,HORSESHOES_GOOD_THROW,unknown,1592,0x638,,,
1631,0x65F,HORSESHOES_BAD_THROW,unknown,1629,0x65D,,,
1667,0x683,HORSESHOE_CONCEDE,unknown,1665,0x681,,,
1700,0x6A4,LIAR_INVITE,unknown,1698,0x6A2,,,
1727,0x6BF,LIAR_LIE,unknown,1725,0x6BD,,,
1751,0x6D7,LIAR_BLUFF,unknown,1749,0x6D5,,,
1777,0x6F1,LIAR_LOSE_ROUND,unknown,1775,0x6EF,,,
1808,0x710,LIAR_VICTORY,unknown,1806,0x70E,,,
1836,0x72C,LIAR_CONCEDE,unknown,1834,0x72A,,,
1864,0x748,POKER_INVITE,unknown,1862,0x746,,,
1892,0x764,POKER_NEXT_HAND,unknown,1890,0x762,,,
1923,0x783,POKER_CARD_COMMENT,unknown,1921,0x781,,,
1957,0x7A5,POKER_COMMIT,unknown,1955,0x7A3,,,
1985,0x7C1,POKER_BET,unknown,1983,0x7BF,,,
2010,0x7DA,POKER_RAISE,unknown,2008,0x7D8,,,
2037,0x7F5,POKER_CALL,unknown,2035,0x7F3,,,
2063,0x80F,POKER_ALL_IN,unknown,2061,0x80D,,,
2091,0x82B,POKER_FOLD,unknown,2089,0x829,,,
2117,0x845,POKER_CHECK,unknown,2115,0x843,,,
2144,0x860,POKER_BUST_OUT,unknown,2142,0x85E,,,
2174,0x87E,POKER_TOO_SLOW,unknown,2172,0x87C,,,
2204,0x89C,POKER_CHEAT_WARN,unknown,2202,0x89A,,,
2236,0x8BC,POKER_CHEAT_FAIL_LEAVE,unknown,2234,0x8BA,,,
2274,0x8E2,POKER_CHEAT_FAIL_ANGRY,unknown,2272,0x8E0,,,
2312,0x908,POKER_PLAYER_LEAVE_UP,unknown,2310,0x906,,,
2349,0x92D,ATTACK_HELP,unknown,2347,0x92B,,,
2376,0x948,ATTACK_THANKS_JOIN,unknown,2374,0x946,,,
2410,0x96A,ATTACK_ONE_OF_THEM,unknown,2408,0x968,,,
2444,0x98C,BOUNTY_PAY_OUT,unknown,2442,0x98A,,,
2474,0x9AA,BOUNTY_PAY_OFF,unknown,2472,0x9A8,,,
2504,0x9C8,DEFEND_HELP,unknown,2502,0x9C6,,,
2531,0x9E3,DEFEND_THANKS_JOIN,unknown,2529,0x9E1,,,
2565,0xA05,DEFEND_ONE_OF_THEM,unknown,2563,0xA03,,,
2599,0xA27,RACE_ACCEPT,unknown,2597,0xA25,,,
2626,0xA42,RACE_COUNT_DOWN,unknown,2624,0xA40,,,
2657,0xA61,RACE_SMACK,unknown,2655,0xA5F,,,
2683,0xA7B,RCM_BUMP_PLAYER,unknown,2681,0xA79,,,
2713,0xA99,RCM_CALL_OVER,unknown,2711,0xA97,,,
2741,0xAB5,RCM_CALL_OVER_FIRST_TIME,unknown,2739,0xAB3,,,
2780,0xADC,RCM_COMPLETE_STILL_HERE,unknown,2778,0xADA,,,
2818,0xB02,RCM_STILL_HERE,unknown,2816,0xB00,,,
2848,0xB20,TRANSPORT_SAFE_CAREFUL,unknown,2846,0xB1E,,,
2886,0xB46,TRANSPORT_QUICK_HURRY,unknown,2884,0xB44,,,
2923,0xB6B,STAGECOACH_INVITE,unknown,2921,0xB69,,,
2956,0xB8C,STAGECOACH_HURRY_UP,unknown,2954,0xB8A,,,
2991,0xBAF,STAGECOACH_CAN'T_GET_THERE,unknown,2989,0xBAD,,,
3033,0xBD9,STAGECOACH_NO_MONEY,unknown,3031,0xBD7,,,
3068,0xBFC,STAGECOACH_WHERE,unknown,3066,0xBFA,,,
3100,0xC1C,STAGECOACH_TELEPORT,unknown,3098,0xC1A,,,
3135,0xC3F,STAGECOACH_SPEED_CHANGE,unknown,3133,0xC3D,,,
3174,0xC66,STAGECOACH_SPEED_CHANGE_EXTREME,unknown,3172,0xC64,,,
3221,0xC95,STAGECOACH_EXIT_EARLY,unknown,3219,0xC93,,,
3258,0xCBA,STAGECOACH_ARRIVE,unknown,3256,0xCB8,,,
3291,0xCDB,TRAIN_LEAVING_STATION,unknown,3289,0xCD9,,,
3328,0xD00,TRAIN_APPROACHING_STATION,unknown,3326,0xCFE,,,
3369,0xD29,TRAIN_APPROACHING_ARMADILLO,unknown,3367,0xD27,,,
3412,0xD54,TRAIN_APPROACHING_BENEDICT_POINT,unknown,3410,0xD52,,,
3460,0xD84,TRAIN_APPROACHING_CHUPAROSA,unknown,3458,0xD82,,,
3503,0xDAF,TRAIN_APPROACHING_LOS_HERMANAS,unknown,3501,0xDAD,,,
3549,0xDDD,TRAIN_APPROACHING_CASA_MADRUGADA,unknown,3547,0xDDB,,,
3597,0xE0D,TRAIN_APPROACHING_MACFARLANES,unknown,3595,0xE0B,,,
3642,0xE3A,TRAIN_APPROACHING_MANZANITA_POST,unknown,3640,0xE38,,,
3690,0xE6A,TRAIN_APPROACHING_PURC,unknown,3688,0xE68,,,
3728,0xE90,TRAIN_APPROACHING_BLACKWATER,unknown,3726,0xE8E,,,
3772,0xEBC,FALL_HIGH,unknown,3770,0xEBA,,,
3797,0xED5,FALL_LOW,unknown,3795,0xED3,,,
3821,0xEED,SCREAM_HIGH,unknown,3819,0xEEB,,,
3848,0xF08,SCREAM_LOW,unknown,3846,0xF06,,,
3874,0xF22,NO_RESPONSE,unknown,3872,0xF20,,,
3901,0xF3D,PLAYER_SLOWS_HORSE,unknown,3899,0xF3B,,,
3935,0xF5F,PLAYER_SPURS_HORSE,unknown,3933,0xF5D,,,
3969,0xF81,PLAYER_SPURS_HORSE_URGENT,unknown,3967,0xF7F,,,
4010,0xFAA,PLAYER_STOPS_HORSE,unknown,4008,0xFA8,,,
4044,0xFCC,BANK_CHATTER,unknown,4042,0xFCA,,,
4072,0xFE8,BANK_ENTER,unknown,4070,0xFE6,,,
4098,0x1002,BANK_LEAVE,unknown,4096,0x1000,,,
4124,0x101C,BANK_TRESPASS,unknown,4122,0x101A,,,
4153,0x1039,CRYING,unknown,4151,0x1037,,,
4175,0x104F,PROHIBIT_PREACHESEVILS,unknown,4173,0x104D,,,
4213,0x1075,PLAYER_AGREE_TO_HELP,unknown,4211,0x1073,,,
4249,0x1099,PLAYER_ALLY_KEEP_UP,unknown,4247,0x1097,,,
4284,0x10BC,PLAYER_ATTACKED_BY_DOG,unknown,4282,0x10BA,,,
4322,0x10E2,PLAYER_ATTACKED_BY_DOGS,unknown,4320,0x10E0,,,
4361,0x1109,PLAYER_BOUGHT_GOODS,unknown,4359,0x1107,,,
4396,0x112C,PLAYER_BUMP,unknown,4394,0x112A,,,
4423,0x1147,PLAYER_BUMP_LAW_DISHONORABLE,likely logic anchor,4421,0x1145,,,
4467,0x1173,PLAYER_BUMP_LAW_HONORABLE,likely logic anchor,4465,0x1171,,,
4508,0x119C,PLAYER_CALLING_HORSE,unknown,4506,0x119A,,,
4544,0x11C0,PLAYER_COACH_SLEEP,unknown,4542,0x11BE,,,
4578,0x11E2,PLAYER_COACH_SPEED_UP,unknown,4576,0x11E0,,,
4615,0x1207,PLAYER_COACH_STOP,unknown,4613,0x1205,,,
4648,0x1228,PLAYER_COMMENT_ON_GOSSIP,unknown,4646,0x1226,,,
4688,0x1250,PLAYER_COMMENT_ON_STORY,unknown,4686,0x124E,,,
4727,0x1277,PLAYER_COMPLIMENT_HORSE,unknown,4725,0x1275,,,
4766,0x129E,PLAYER_DRAGGED_BEHIND_HORSE,unknown,4764,0x129C,,,
4809,0x12C9,PLAYER_ENTER_ABANDONED_HOMESTEAD,unknown,4807,0x12C7,,,
4857,0x12F9,PLAYER_FIND_FLOWER,unknown,4855,0x12F7,,,
4891,0x131B,PLAYER_FIND_TREASURE,unknown,4889,0x1319,,,
4927,0x133F,PLAYER_FIST_FIGHTING,unknown,4925,0x133D,,,
4963,0x1363,PLAYER_FLEEING,likely logic anchor,4961,0x1361,,,
4993,0x1381,PLAYER_GENERIC_CURSE,unknown,4991,0x137F,,,
5029,0x13A5,PLAYER_GENERIC_THANKS,unknown,5027,0x13A3,,,
5066,0x13CA,PLAYER_GETTING_BEHIND_GATLING,unknown,5064,0x13C8,,,
5111,0x13F7,PLAYER_GUNFIGHT_ARMY,unknown,5109,0x13F5,,,
5147,0x141B,PLAYER_GUNFIGHT_SPANISH,unknown,5145,0x1419,,,
5186,0x1442,PLAYER_GUNFIGHT_LAW,likely logic anchor,5184,0x1440,,,
5221,0x1465,PLAYER_GUNFIGHT_MULTIPLE_ENEMIES_MUTTER,unknown,5219,0x1463,,,
5276,0x149C,PLAYER_GUNFIGHT_MULTIPLE_ENEMIES_SHOUT,unknown,5274,0x149A,,,
5330,0x14D2,PLAYER_GUNFIGHT_OUTLAWS,likely logic anchor,5328,0x14D0,,,
5369,0x14F9,PLAYER_GUNFIGHT_SINGLE_ENEMY,unknown,5367,0x14F7,,,
5413,0x1525,PLAYER_HAIL_COACH,unknown,5411,0x1523,,,
5446,0x1546,PLAYER_HOGTIES,unknown,5444,0x1544,,,
5476,0x1564,PLAYER_HOISTS_PED,likely logic anchor,5474,0x1562,,,
5509,0x1585,PLAYER_HOLD_UP_STORE,unknown,5507,0x1583,,,
5545,0x15A9,PLAYER_HOLD_UP_STORE_SPANISH,unknown,5543,0x15A7,,,
5589,0x15D5,PLAYER_HOLD_UP_STORE_URGENT,unknown,5587,0x15D3,,,
5632,0x1600,PLAYER_HOLD_UP_STORE_VIRTUAL,unknown,5630,0x15FE,,,
5676,0x162C,PLAYER_HORSE_STOLEN,unknown,5674,0x162A,,,
5711,0x164F,PLAYER_IDLING,unknown,5709,0x164D,,,
