offset,offset_hex,opcode,kind,semantics,instruction_size,instruction_hex,delta,target_candidate
9,0x9,99,branch_candidate,jump_false,3,63 00 0A,10,22
12,0xC,82,call_candidate,call2,3,52 00 1A,26,41
19,0x13,98,branch_candidate,unconditional_jump,3,62 FF EF,-17,5
44,0x2C,99,branch_candidate,jump_false,3,63 00 01,1,48
51,0x33,83,call_candidate,call2,3,53 07 D6,2006,2060
54,0x36,99,branch_candidate,jump_false,3,63 00 04,4,61
64,0x40,83,call_candidate,call2,3,53 07 0C,1804,1871
67,0x43,99,branch_candidate,jump_false,3,63 00 04,4,74
77,0x4D,83,call_candidate,call2,3,53 04 5A,1114,1194
80,0x50,99,branch_candidate,jump_false,3,63 00 04,4,87
90,0x5A,83,call_candidate,call2,3,53 02 A7,679,772
93,0x5D,99,branch_candidate,jump_false,3,63 00 04,4,100
103,0x67,83,call_candidate,call2,3,53 01 0D,269,375
106,0x6A,99,branch_candidate,jump_false,3,63 00 04,4,113
116,0x74,82,call_candidate,call2,3,52 FE F0,-272,-153
119,0x77,99,branch_candidate,jump_false,3,63 00 04,4,126
129,0x81,82,call_candidate,call2,3,52 FC 3A,-966,-834
132,0x84,99,branch_candidate,jump_false,3,63 00 04,4,139
142,0x8E,82,call_candidate,call2,3,52 F8 83,-1917,-1772
145,0x91,99,branch_candidate,jump_false,3,63 00 04,4,152
155,0x9B,82,call_candidate,call2,3,52 F8 21,-2015,-1857
158,0x9E,99,branch_candidate,jump_false,3,63 00 04,4,165
168,0xA8,82,call_candidate,call2,3,52 F7 7C,-2180,-2009
171,0xAB,99,branch_candidate,jump_false,3,63 00 04,4,178
181,0xB5,82,call_candidate,call2,3,52 F6 DA,-2342,-2158
184,0xB8,99,branch_candidate,jump_false,3,63 00 04,4,191
194,0xC2,82,call_candidate,call2,3,52 F4 71,-2959,-2762
197,0xC5,99,branch_candidate,jump_false,3,63 00 04,4,204
207,0xCF,82,call_candidate,call2,3,52 F4 31,-3023,-2813
210,0xD2,99,branch_candidate,jump_false,3,63 00 04,4,217
220,0xDC,82,call_candidate,call2,3,52 F3 C5,-3131,-2908
223,0xDF,99,branch_candidate,jump_false,3,63 00 04,4,230
233,0xE9,82,call_candidate,call2,3,52 F2 64,-3484,-3248
236,0xEC,99,branch_candidate,jump_false,3,63 00 04,4,243
