offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
5,0x5,01 00,1,1,0
16,0x10,02 01,258,0,1
22,0x16,00 02,512,0,0
31,0x1F,01 03,769,1,0
40,0x28,03 04,1027,1,1
57,0x39,00 05,1280,0,0
70,0x46,00 05,1280,0,0
83,0x53,00 05,1280,0,0
96,0x60,00 05,1280,0,0
109,0x6D,00 05,1280,0,0
122,0x7A,00 05,1280,0,0
135,0x87,00 05,1280,0,0
148,0x94,00 05,1280,0,0
161,0xA1,00 05,1280,0,0
174,0xAE,00 05,1280,0,0
187,0xBB,00 05,1280,0,0
200,0xC8,00 05,1280,0,0
213,0xD5,00 05,1280,0,0
226,0xE2,00 05,1280,0,0
239,0xEF,00 05,1280,0,0
252,0xFC,00 05,1280,0,0
265,0x109,00 05,1280,0,0
278,0x116,00 05,1280,0,0
291,0x123,00 05,1280,0,0
304,0x130,00 05,1280,0,0
317,0x13D,00 05,1280,0,0
330,0x14A,00 05,1280,0,0
342,0x156,00 05,1280,0,0
355,0x163,00 05,1280,0,0
368,0x170,00 05,1280,0,0
381,0x17D,00 05,1280,0,0
394,0x18A,00 05,1280,0,0
407,0x197,00 05,1280,0,0
420,0x1A4,00 05,1280,0,0
433,0x1B1,00 05,1280,0,0
446,0x1BE,00 05,1280,0,0
459,0x1CB,00 05,1280,0,0
472,0x1D8,00 05,1280,0,0
485,0x1E5,00 05,1280,0,0
498,0x1F2,00 05,1280,0,0
511,0x1FF,00 05,1280,0,0
524,0x20C,00 05,1280,0,0
537,0x219,00 05,1280,0,0
550,0x226,00 05,1280,0,0
563,0x233,00 05,1280,0,0
576,0x240,00 05,1280,0,0
589,0x24D,00 05,1280,0,0
602,0x25A,00 05,1280,0,0
615,0x267,00 05,1280,0,0
628,0x274,00 05,1280,0,0
641,0x281,00 05,1280,0,0
654,0x28E,00 05,1280,0,0
667,0x29B,00 05,1280,0,0
680,0x2A8,00 05,1280,0,0
693,0x2B5,00 05,1280,0,0
706,0x2C2,00 05,1280,0,0
719,0x2CF,00 05,1280,0,0
