index,path,raw_size,rsc,resource_type,codec,decoded_size,decode_error,score,reasons
6,root\content\0xA57F233C,1293,False,,,,,90,u16le:1194:1
10,root\content\0xC10D9746,604,False,,,,,0,
14,root\content\dlc\0x22398628\0x173D2464,1911,False,,,,,68,u16be:1193:1
15,root\content\dlc\0x22398628\0x21572403,142,False,,,,,0,
16,root\content\dlc\0x22398628\0x29811552,2422,False,,,,,0,
17,root\content\dlc\0x22398628\0x47DF250D,883572,False,,,,,198,
18,root\content\dlc\0x22398628\0x4D6B1F9E,18425,False,,,,,0,
19,root\content\dlc\0x22398628\0x4F98C24D,160426,False,,,,,18,
20,root\content\dlc\0x22398628\0x501CEE6B,27209,False,,,,,0,
21,root\content\dlc\0x22398628\0x6162DA05,7717,False,,,,,141,u16be:1194:1;u16le:1194:1
22,root\content\dlc\0x22398628\0x7D47894F,2595,False,,,,,10,
23,root\content\dlc\0x22398628\0x7D84911A,61228,False,,,,,3,
24,root\content\dlc\0x22398628\0x8B4E0980,883688,False,,,,,198,
25,root\content\dlc\0x22398628\0xADCCCFE3,61228,False,,,,,3,
26,root\content\dlc\0x22398628\0xAE48D894,160544,False,,,,,18,
27,root\content\dlc\0x22398628\0xC12FAF41,23871,False,,,,,178,u16be:1193:1;u16le:1193:1
28,root\content\dlc\0x22398628\0xC5A25194,2610,False,,,,,0,
30,root\content\dlc\0x22398628\0xD8F92FCC,15305,False,,,,,56,
31,root\content\dlc\0x22398628\0xDCFC3BD6,18425,False,,,,,0,
32,root\content\dlc\0x22398628\0xE450971A,1158,False,,,,,0,
33,root\content\dlc\0x22398628\0xF7B824EA,155457,False,,,,,764,u16be:1193:2;u16be:1194:1;u16le:1194:1
34,root\content\dlc\0x22398628\0xF8DB320A,27183,False,,,,,0,
35,root\content\dlc\0x22398628\0xD42AEB21\0x01E79F4C,1380,False,,,,,11,
36,root\content\dlc\0x22398628\0xD42AEB21\0x029F8EB6,1274,False,,,,,6,
37,root\content\dlc\0x22398628\0xD42AEB21\0x0369A44E,1317,False,,,,,4,
38,root\content\dlc\0x22398628\0xD42AEB21\0x06AE9032,1363,False,,,,,79,u16be:1193:1
39,root\content\dlc\0x22398628\0xD42AEB21\0x070C95E1,1282,False,,,,,3,
40,root\content\dlc\0x22398628\0xD42AEB21\0x072B0329,1258,False,,,,,0,
41,root\content\dlc\0x22398628\0xD42AEB21\0x09D1037E,1516,False,,,,,16,
42,root\content\dlc\0x22398628\0xD42AEB21\0x0D1A562B,1277,False,,,,,14,
43,root\content\dlc\0x22398628\0xD42AEB21\0x0ED649D1,1274,False,,,,,6,
44,root\content\dlc\0x22398628\0xD42AEB21\0x11A23774,1599,False,,,,,10,
45,root\content\dlc\0x22398628\0xD42AEB21\0x13C7AD75,1254,False,,,,,6,
46,root\content\dlc\0x22398628\0xD42AEB21\0x170B4935,1430,False,,,,,3,
47,root\content\dlc\0x22398628\0xD42AEB21\0x1E058BCB,1377,False,,,,,0,
48,root\content\dlc\0x22398628\0xD42AEB21\0x1EF62811,1291,False,,,,,7,
49,root\content\dlc\0x22398628\0xD42AEB21\0x20FF24BA,1276,False,,,,,7,
50,root\content\dlc\0x22398628\0xD42AEB21\0x225681DC,1265,False,,,,,3,
51,root\content\dlc\0x22398628\0xD42AEB21\0x232E37F9,1565,False,,,,,0,
52,root\content\dlc\0x22398628\0xD42AEB21\0x24630774,438,False,,,,,4,
53,root\content\dlc\0x22398628\0xD42AEB21\0x24B4BCD5,467,False,,,,,4,
54,root\content\dlc\0x22398628\0xD42AEB21\0x2BF4246E,1281,False,,,,,10,
55,root\content\dlc\0x22398628\0xD42AEB21\0x2C11E59A,1263,False,,,,,0,
56,root\content\dlc\0x22398628\0xD42AEB21\0x2C4DE366,1277,False,,,,,12,
57,root\content\dlc\0x22398628\0xD42AEB21\0x2E14B20C,399,False,,,,,3,
58,root\content\dlc\0x22398628\0xD42AEB21\0x2E8A5408,1275,False,,,,,3,
59,root\content\dlc\0x22398628\0xD42AEB21\0x2F58832B,691,False,,,,,0,
60,root\content\dlc\0x22398628\0xD42AEB21\0x325AE16E,1421,False,,,,,11,
61,root\content\dlc\0x22398628\0xD42AEB21\0x336810DC,1467,False,,,,,8,
62,root\content\dlc\0x22398628\0xD42AEB21\0x365FAAB1,1516,False,,,,,16,
63,root\content\dlc\0x22398628\0xD42AEB21\0x4017E5B9,1255,False,,,,,10,
64,root\content\dlc\0x22398628\0xD42AEB21\0x436E13FC,1470,False,,,,,8,
65,root\content\dlc\0x22398628\0xD42AEB21\0x58542E4D,1399,False,,,,,15,
66,root\content\dlc\0x22398628\0xD42AEB21\0x59DDD4D6,1283,False,,,,,0,
67,root\content\dlc\0x22398628\0xD42AEB21\0x5B681542,52,False,,,,,0,
68,root\content\dlc\0x22398628\0xD42AEB21\0x6407BE69,438,False,,,,,0,
69,root\content\dlc\0x22398628\0xD42AEB21\0x6816AC5F,1281,False,,,,,6,
70,root\content\dlc\0x22398628\0xD42AEB21\0x68495C06,1503,False,,,,,8,
71,root\content\dlc\0x22398628\0xD42AEB21\0x692A6F4B,450,False,,,,,65,u16be:1193:1
72,root\content\dlc\0x22398628\0xD42AEB21\0x69AFA42D,1516,False,,,,,16,
73,root\content\dlc\0x22398628\0xD42AEB21\0x69D4D559,400,False,,,,,3,
74,root\content\dlc\0x22398628\0xD42AEB21\0x6A9C9033,1282,False,,,,,7,
75,root\content\dlc\0x22398628\0xD42AEB21\0x6BE2AB16,1589,False,,,,,3,
76,root\content\dlc\0x22398628\0xD42AEB21\0x6D93DCF8,435,False,,,,,0,
77,root\content\dlc\0x22398628\0xD42AEB21\0x6E43A6E6,245,False,,,,,3,
78,root\content\dlc\0x22398628\0xD42AEB21\0x72E2B9C7,1317,False,,,,,4,
79,root\content\dlc\0x22398628\0xD42AEB21\0x72FE96B0,1264,False,,,,,7,
80,root\content\dlc\0x22398628\0xD42AEB21\0x79174E05,1412,False,,,,,3,
81,root\content\dlc\0x22398628\0xD42AEB21\0x7BAF39E3,1766,False,,,,,6,
82,root\content\dlc\0x22398628\0xD42AEB21\0x8179049B,1274,False,,,,,6,
83,root\content\dlc\0x22398628\0xD42AEB21\0x8265AC23,1296,False,,,,,6,
84,root\content\dlc\0x22398628\0xD42AEB21\0x83F1BCE9,245,False,,,,,3,
85,root\content\dlc\0x22398628\0xD42AEB21\0x8B6235DA,1319,False,,,,,8,
86,root\content\dlc\0x22398628\0xD42AEB21\0x8ED93B18,1290,False,,,,,3,
87,root\content\dlc\0x22398628\0xD42AEB21\0x90EA8CC0,1083,False,,,,,0,
88,root\content\dlc\0x22398628\0xD42AEB21\0x9106FE3A,1668,False,,,,,3,
89,root\content\dlc\0x22398628\0xD42AEB21\0x937288F1,1264,False,,,,,7,
90,root\content\dlc\0x22398628\0xD42AEB21\0x9501D8C0,1466,False,,,,,18,
91,root\content\dlc\0x22398628\0xD42AEB21\0x96057A59,1516,False,,,,,16,
92,root\content\dlc\0x22398628\0xD42AEB21\0x9AA1EC9C,1306,False,,,,,3,
