"index","path","size","resource_type"
"1676","root\content\release\multiplayer","0",""
"1678","root\content\release\multiplayer\0x6254D05D","0",""
"1679","root\content\release\multiplayer\0x714E2178","0",""
"1680","root\content\release\multiplayer\0x7E02E44B","0",""
"1681","root\content\release\multiplayer\0x96081220","0",""
"1682","root\content\release\multiplayer\0xAE577260","0",""
"1703","root\content\release\multiplayer\0xAE577260\0x0ADDD94C","0",""
"1683","root\content\release\multiplayer\0xC7391121","0",""
"1685","root\content\release\multiplayer\0xD1F891A8","0",""
"1704","root\content\release\multiplayer\0xD1F891A8\0x08204053","0",""
"1705","root\content\release\multiplayer\0xD1F891A8\0x3E7DCFFC","0",""
"1706","root\content\release\multiplayer\0xD1F891A8\0x5091EDC3","0",""
"1707","root\content\release\multiplayer\0xD1F891A8\0x68BB98AA","0",""
"1708","root\content\release\multiplayer\0xD1F891A8\0x7D5CC750","0",""
"1709","root\content\release\multiplayer\0xD1F891A8\0xA15A0CF1","0",""
"1710","root\content\release\multiplayer\0xD1F891A8\0xA51AF855","0",""
"1711","root\content\release\multiplayer\0xD1F891A8\0xBF6244D7","0",""
"1712","root\content\release\multiplayer\0xD1F891A8\0xE5F2D605","0",""
"1686","root\content\release\multiplayer\0xEEB79858","0",""
"1684","root\content\release\multiplayer\freemode","0",""
"1677","root\content\release\multiplayer\regions","0",""
"1687","root\content\release\multiplayer\regions\0x042BFFFD","0",""
"1688","root\content\release\multiplayer\regions\0x117D49F9","0",""
"1689","root\content\release\multiplayer\regions\0x15863FFC","0",""
"1690","root\content\release\multiplayer\regions\0x3D9FB15C","0",""
"1691","root\content\release\multiplayer\regions\0x3DE67214","0",""
"1692","root\content\release\multiplayer\regions\0x42AF8A02","0",""
"1693","root\content\release\multiplayer\regions\0x42C5E79B","0",""
"1694","root\content\release\multiplayer\regions\0x59DB8EC0","0",""
"1695","root\content\release\multiplayer\regions\0x89D32A40","0",""
"1696","root\content\release\multiplayer\regions\0xA5D4BFFF","0",""
"1697","root\content\release\multiplayer\regions\0xA65DD80A","0",""
"1698","root\content\release\multiplayer\regions\0xB85AC9EE","0",""
"1699","root\content\release\multiplayer\regions\0xCF84B626","0",""
"1700","root\content\release\multiplayer\regions\0xEC7A1A16","0",""
"1701","root\content\release\multiplayer\regions\0xFADAC1EA","0",""
"1702","root\content\release\multiplayer\regions\0xFCD99708","0",""
"274","root\content\release64\main.wsc","85612","2"
"262","root\content\release64\multiplayer","0",""
"751","root\content\release64\multiplayer\0x6254D05D","0",""
"752","root\content\release64\multiplayer\0x714E2178","0",""
"753","root\content\release64\multiplayer\0x7720E180","25471","2"
"754","root\content\release64\multiplayer\0x7E02E44B","0",""
"755","root\content\release64\multiplayer\0x96081220","0",""
"756","root\content\release64\multiplayer\0xAE577260","0",""
"779","root\content\release64\multiplayer\0xAE577260\0x0ADDD94C","0",""
"757","root\content\release64\multiplayer\0xC7391121","0",""
"759","root\content\release64\multiplayer\0xD0C4902C","14522","2"
"760","root\content\release64\multiplayer\0xD1F891A8","0",""
"781","root\content\release64\multiplayer\0xD1F891A8\0x08204053","0",""
"782","root\content\release64\multiplayer\0xD1F891A8\0x3E7DCFFC","0",""
"783","root\content\release64\multiplayer\0xD1F891A8\0x5091EDC3","0",""
"784","root\content\release64\multiplayer\0xD1F891A8\0x68BB98AA","0",""
"785","root\content\release64\multiplayer\0xD1F891A8\0x7D5CC750","0",""
"786","root\content\release64\multiplayer\0xD1F891A8\0xA15A0CF1","0",""
"787","root\content\release64\multiplayer\0xD1F891A8\0xA51AF855","0",""
"788","root\content\release64\multiplayer\0xD1F891A8\0xBF6244D7","0",""
"789","root\content\release64\multiplayer\0xD1F891A8\0xE5F2D605","0",""
"761","root\content\release64\multiplayer\0xD47D26D6","29529","2"
"762","root\content\release64\multiplayer\0xEEB79858","0",""
"758","root\content\release64\multiplayer\freemode","0",""
"780","root\content\release64\multiplayer\freemode\0x14F31BB0","47932","2"
"750","root\content\release64\multiplayer\regions","0",""
"763","root\content\release64\multiplayer\regions\0x042BFFFD","0",""
"764","root\content\release64\multiplayer\regions\0x117D49F9","0",""
"765","root\content\release64\multiplayer\regions\0x15863FFC","0",""
"766","root\content\release64\multiplayer\regions\0x3D9FB15C","0",""
"767","root\content\release64\multiplayer\regions\0x3DE67214","0",""
"768","root\content\release64\multiplayer\regions\0x42AF8A02","0",""
"769","root\content\release64\multiplayer\regions\0x42C5E79B","0",""
"770","root\content\release64\multiplayer\regions\0x59DB8EC0","0",""
"771","root\content\release64\multiplayer\regions\0x89D32A40","0",""
"772","root\content\release64\multiplayer\regions\0xA5D4BFFF","0",""
"773","root\content\release64\multiplayer\regions\0xA65DD80A","0",""
"774","root\content\release64\multiplayer\regions\0xB85AC9EE","0",""
"775","root\content\release64\multiplayer\regions\0xCF84B626","0",""
"776","root\content\release64\multiplayer\regions\0xEC7A1A16","0",""
"777","root\content\release64\multiplayer\regions\0xFADAC1EA","0",""
"778","root\content\release64\multiplayer\regions\0xFCD99708","0",""
"275","root\content\release64\pressstart.wsc","2823","2"
"863","root\content\release64\scripting\designerdefined\0x925E7C84\multiplayer","0",""
"874","root\content\release64\scripting\designerdefined\0x925E7C84\multiplayer\0x9252EBA9","0",""
"875","root\content\release64\scripting\designerdefined\0x925E7C84\multiplayer\0x9252EBA9\0xA107D9D4","2997","2"
"856","root\content\release64\scripting\designerdefined\long_update_thread.wsc","84419","2"
"853","root\content\release64\scripting\designerdefined\short_update_thread.wsc","37950","2"
"215","root\content\ui\pausemenu\lobby","0",""
"239","root\content\ui\pausemenu\lobby\0x7080993A","423",""
"240","root\content\ui\pausemenu\lobby\0xA67442CF","1251",""
"241","root\content\ui\pausemenu\lobby\0xDD34127B","1108",""
