offset,offset_hex,opcode,width,value,actor_kind,operand_hex
11,0xB,65,2,383,eActorEnum_candidate,01 7F
102,0x66,65,2,1000,eActorEnum_candidate,03 E8
199,0xC7,37,1,8,eActorEnum_candidate,08
560,0x230,65,2,2192,,08 90
674,0x2A2,37,1,60,eActorEnum_candidate,3C
697,0x2B9,37,1,13,eActorEnum_candidate,0D
1479,0x5C7,65,2,2048,,08 00
1504,0x5E0,37,1,17,eActorEnum_candidate,11
1512,0x5E8,37,1,20,eActorEnum_candidate,14
1590,0x636,65,2,2048,,08 00
1668,0x684,65,2,20485,,50 05
1689,0x699,37,1,32,eActorEnum_candidate,20
1708,0x6AC,37,1,64,eActorEnum_candidate,40
1717,0x6B5,37,1,64,eActorEnum_candidate,40
1732,0x6C4,37,1,98,eActorEnum_candidate,62
1742,0x6CE,37,1,100,eActorEnum_candidate,64
1937,0x791,37,1,32,eActorEnum_candidate,20
1954,0x7A2,38,2,7434,,1D 0A
1963,0x7AB,37,1,29,eActorEnum_candidate,1D
1971,0x7B3,37,1,64,eActorEnum_candidate,40
2015,0x7DF,65,2,1024,eActorEnum_candidate,04 00
2081,0x821,37,1,8,eActorEnum_candidate,08
2178,0x882,37,1,8,eActorEnum_candidate,08
2188,0x88C,37,1,32,eActorEnum_candidate,20
2196,0x894,37,1,64,eActorEnum_candidate,40
2205,0x89D,37,1,64,eActorEnum_candidate,40
2245,0x8C5,37,1,31,eActorEnum_candidate,1F
2250,0x8CA,37,1,43,eActorEnum_candidate,2B
2266,0x8DA,37,1,31,eActorEnum_candidate,1F
2278,0x8E6,37,1,31,eActorEnum_candidate,1F
2379,0x94B,65,2,256,eActorEnum_candidate,01 00
2635,0xA4B,65,2,4096,,10 00
2648,0xA58,65,2,4096,,10 00
2658,0xA62,37,1,32,eActorEnum_candidate,20
2670,0xA6E,37,1,32,eActorEnum_candidate,20
2703,0xA8F,37,1,32,eActorEnum_candidate,20
2763,0xACB,65,2,4096,,10 00
2769,0xAD1,40,4,33554432,,02 00 00 00
2826,0xB0A,37,1,32,eActorEnum_candidate,20
2834,0xB12,37,1,32,eActorEnum_candidate,20
2839,0xB17,37,1,8,eActorEnum_candidate,08
2847,0xB1F,37,1,8,eActorEnum_candidate,08
3036,0xBDC,37,1,32,eActorEnum_candidate,20
3044,0xBE4,37,1,32,eActorEnum_candidate,20
3131,0xC3B,37,1,8,eActorEnum_candidate,08
3137,0xC41,40,4,16777216,,01 00 00 00
3169,0xC61,37,1,64,eActorEnum_candidate,40
3177,0xC69,65,2,256,eActorEnum_candidate,01 00
3186,0xC72,65,2,256,eActorEnum_candidate,01 00
3192,0xC78,37,1,64,eActorEnum_candidate,40
3341,0xD0D,65,2,3000,,0B B8
3348,0xD14,37,1,128,eActorEnum_candidate,80
3356,0xD1C,37,1,128,eActorEnum_candidate,80
3361,0xD21,37,1,35,eActorEnum_candidate,23
3375,0xD2F,37,1,40,eActorEnum_candidate,28
3762,0xEB2,40,4,134217728,,08 00 00 00
3774,0xEBE,40,4,134217728,,08 00 00 00
3918,0xF4E,65,2,65534,,FF FE
3978,0xF8A,65,2,65534,,FF FE
4080,0xFF0,37,1,16,eActorEnum_candidate,10
4120,0x1018,65,2,20485,,50 05
4175,0x104F,37,1,16,eActorEnum_candidate,10
4226,0x1082,65,2,393,eActorEnum_candidate,01 89
4487,0x1187,37,1,145,eActorEnum_candidate,91
4692,0x1254,37,1,32,eActorEnum_candidate,20
5207,0x1457,37,1,100,eActorEnum_candidate,64
5524,0x1594,37,1,8,eActorEnum_candidate,08
5535,0x159F,37,1,8,eActorEnum_candidate,08
5913,0x1719,65,2,65534,,FF FE
6079,0x17BF,37,1,17,eActorEnum_candidate,11
6351,0x18CF,37,1,39,eActorEnum_candidate,27
6402,0x1902,37,1,35,eActorEnum_candidate,23
6412,0x190C,37,1,18,eActorEnum_candidate,12
6425,0x1919,37,1,35,eActorEnum_candidate,23
6435,0x1923,37,1,18,eActorEnum_candidate,12
6455,0x1937,37,1,35,eActorEnum_candidate,23
6507,0x196B,37,1,11,eActorEnum_candidate,0B
6521,0x1979,37,1,8,eActorEnum_candidate,08
6531,0x1983,37,1,9,eActorEnum_candidate,09
6541,0x198D,37,1,10,eActorEnum_candidate,0A
6551,0x1997,37,1,11,eActorEnum_candidate,0B
6929,0x1B11,37,1,32,eActorEnum_candidate,20
6937,0x1B19,37,1,67,eActorEnum_candidate,43
6945,0x1B21,37,1,67,eActorEnum_candidate,43
6950,0x1B26,37,1,8,eActorEnum_candidate,08
6958,0x1B2E,37,1,13,eActorEnum_candidate,0D
6964,0x1B34,37,1,8,eActorEnum_candidate,08
6977,0x1B41,37,1,8,eActorEnum_candidate,08
6996,0x1B54,37,1,145,eActorEnum_candidate,91
7011,0x1B63,37,1,144,eActorEnum_candidate,90
7036,0x1B7C,37,1,13,eActorEnum_candidate,0D
7042,0x1B82,37,1,13,eActorEnum_candidate,0D
7062,0x1B96,37,1,147,eActorEnum_candidate,93
7077,0x1BA5,37,1,146,eActorEnum_candidate,92
7207,0x1C27,65,2,65534,,FF FE
7297,0x1C81,37,1,16,eActorEnum_candidate,10
7314,0x1C92,37,1,32,eActorEnum_candidate,20
7323,0x1C9B,65,2,65534,,FF FE
7904,0x1EE0,40,4,1101004800,,41 A0 00 00
7923,0x1EF3,37,1,64,eActorEnum_candidate,40
7932,0x1EFC,65,2,256,eActorEnum_candidate,01 00
7942,0x1F06,65,2,256,eActorEnum_candidate,01 00
7965,0x1F1D,37,1,64,eActorEnum_candidate,40
7973,0x1F25,37,1,64,eActorEnum_candidate,40
7981,0x1F2D,37,1,64,eActorEnum_candidate,40
7986,0x1F32,65,2,256,eActorEnum_candidate,01 00
7995,0x1F3B,65,2,256,eActorEnum_candidate,01 00
8037,0x1F65,40,4,16777216,,01 00 00 00
8070,0x1F86,40,4,150994944,,09 00 00 00
8138,0x1FCA,40,4,16777216,,01 00 00 00
8191,0x1FFF,37,1,38,eActorEnum_candidate,26
8194,0x2002,65,2,400,eActorEnum_candidate,01 90
8197,0x2005,65,2,3000,,0B B8
8212,0x2014,65,2,400,eActorEnum_candidate,01 90
8215,0x2017,65,2,3000,,0B B8
8403,0x20D3,65,2,65534,,FF FE
8521,0x2149,40,4,1089470464,,40 F0 00 00
8777,0x2249,40,4,1089470464,,40 F0 00 00
8974,0x230E,65,2,65036,,FE 0C
9439,0x24DF,65,2,16384,,40 00
9601,0x2581,37,1,38,eActorEnum_candidate,26
9604,0x2584,65,2,400,eActorEnum_candidate,01 90
9607,0x2587,65,2,3000,,0B B8
