function_index,function_name,start_decoded_offset,start_decoded_offset_hex,end_decoded_offset,end_decoded_offset_hex,size,string_reference_count,native_call_count,constant_count,branch_count,table_block_count,purpose_tags
0,main,0,0x0,2992,0xBB0,2992,38,104,42,280,0,"['disable', 'mission']"
1,Function_1,2992,0xBB0,3013,0xBC5,21,0,5,0,0,0,[]
2,Function_2,3013,0xBC5,3031,0xBD7,18,0,4,0,0,0,[]
3,Function_3,3031,0xBD7,3221,0xC95,190,2,5,8,25,0,[]
4,Function_4,3221,0xC95,3237,0xCA5,16,0,0,0,0,0,[]
5,Function_5,3237,0xCA5,3266,0xCC2,29,0,0,0,0,0,[]
6,Function_6,3266,0xCC2,3296,0xCE0,30,0,0,0,2,0,[]
7,Function_7,3296,0xCE0,3368,0xD28,72,0,1,4,11,0,[]
8,Function_8,3368,0xD28,3394,0xD42,26,0,0,1,1,0,[]
9,Function_9,3394,0xD42,3414,0xD56,20,0,0,0,0,0,[]
10,Function_10,3414,0xD56,3437,0xD6D,23,0,2,0,1,0,[]
11,Function_11,3437,0xD6D,3456,0xD80,19,0,2,0,1,0,[]
12,Function_12,3456,0xD80,3479,0xD97,23,0,2,0,1,0,[]
13,Function_13,3479,0xD97,3620,0xE24,141,2,8,0,4,0,['actor']
14,Function_14,3620,0xE24,3640,0xE38,20,1,1,0,0,0,[]
15,Function_15,3640,0xE38,3681,0xE61,41,0,2,0,1,0,[]
16,Function_16,3681,0xE61,3740,0xE9C,59,0,2,0,5,0,[]
17,Function_17,3740,0xE9C,3755,0xEAB,15,0,0,0,0,0,[]
18,Function_18,3755,0xEAB,3814,0xEE6,59,1,1,2,4,0,[]
19,Function_19,3814,0xEE6,3846,0xF06,32,0,0,0,1,0,[]
20,Function_20,3846,0xF06,3982,0xF8E,136,0,0,2,1,0,[]
21,Function_21,3982,0xF8E,3992,0xF98,10,0,0,0,0,0,[]
22,Function_22,3992,0xF98,4007,0xFA7,15,0,0,0,1,0,[]
23,Function_23,4007,0xFA7,4020,0xFB4,13,0,0,0,1,0,[]
24,Function_24,4020,0xFB4,4035,0xFC3,15,0,0,0,1,0,[]
25,Function_25,4035,0xFC3,4048,0xFD0,13,0,0,0,0,0,[]
26,Function_26,4048,0xFD0,4070,0xFE6,22,0,2,0,1,0,[]
27,Function_27,4070,0xFE6,4115,0x1013,45,0,3,1,3,0,[]
28,Function_28,4115,0x1013,4165,0x1045,50,0,4,1,3,0,[]
29,Function_29,4165,0x1045,4204,0x106C,39,0,1,1,4,0,[]
30,Function_30,4204,0x106C,4242,0x1092,38,0,3,1,3,0,[]
31,Function_31,4242,0x1092,4291,0x10C3,49,1,0,0,3,0,[]
32,Function_32,4291,0x10C3,4355,0x1103,64,2,5,0,2,0,[]
33,Function_33,4355,0x1103,4385,0x1121,30,0,0,0,3,0,[]
34,Function_34,4385,0x1121,4476,0x117C,91,0,5,0,5,0,[]
35,Function_35,4476,0x117C,4498,0x1192,22,0,0,1,1,0,[]
36,Function_36,4498,0x1192,4676,0x1244,178,4,11,0,10,0,[]
37,Function_37,4676,0x1244,4734,0x127E,58,0,4,1,5,0,[]
38,Function_38,4734,0x127E,4774,0x12A6,40,0,0,0,4,0,[]
39,Function_39,4774,0x12A6,4919,0x1337,145,0,10,0,12,0,[]
40,Function_40,4919,0x1337,5232,0x1470,313,1,11,1,11,0,[]
41,Function_41,5232,0x1470,5317,0x14C5,85,0,8,0,0,0,[]
42,Function_42,5317,0x14C5,5343,0x14DF,26,0,1,0,0,0,[]
43,Function_43,5343,0x14DF,5361,0x14F1,18,0,0,0,2,0,[]
44,Function_44,5361,0x14F1,5384,0x1508,23,0,2,0,1,0,[]
45,Function_45,5384,0x1508,5519,0x158F,135,7,7,0,1,0,[]
46,Function_46,5519,0x158F,5543,0x15A7,24,0,0,2,4,0,[]
47,Function_47,5543,0x15A7,5558,0x15B6,15,0,0,0,1,0,[]
