offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
193,0xC1,01 00,1,1,0
221,0xDD,0A 01,266,0,5
310,0x136,04 02,516,0,2
352,0x160,04 02,516,0,2
358,0x166,01 03,769,1,0
390,0x186,02 04,1026,0,1
414,0x19E,02 05,1282,0,1
469,0x1D5,04 06,1540,0,2
493,0x1ED,02 05,1282,0,1
542,0x21E,04 06,1540,0,2
553,0x229,02 07,1794,0,1
647,0x287,02 08,2050,0,1
662,0x296,00 09,2304,0,0
680,0x2A8,01 0A,2561,1,0
699,0x2BB,05 0B,2821,1,2
731,0x2DB,04 0C,3076,0,2
757,0x2F5,02 0D,3330,0,1
787,0x313,02 0E,3586,0,1
791,0x317,02 0F,3842,0,1
795,0x31B,02 10,4098,0,1
799,0x31F,02 11,4354,0,1
803,0x323,02 12,4610,0,1
807,0x327,02 13,4866,0,1
814,0x32E,02 0E,3586,0,1
818,0x332,02 14,5122,0,1
822,0x336,02 15,5378,0,1
826,0x33A,02 0F,3842,0,1
830,0x33E,02 10,4098,0,1
834,0x342,02 11,4354,0,1
838,0x346,02 12,4610,0,1
852,0x354,01 16,5633,1,0
927,0x39F,01 17,5889,1,0
970,0x3CA,03 18,6147,1,1
995,0x3E3,03 18,6147,1,1
1021,0x3FD,03 18,6147,1,1
1030,0x406,02 19,6402,0,1
1085,0x43D,02 1A,6658,0,1
1105,0x451,01 17,5889,1,0
1116,0x45C,01 0A,2561,1,0
1155,0x483,04 02,516,0,2
1179,0x49B,02 1B,6914,0,1
1198,0x4AE,02 1B,6914,0,1
1232,0x4D0,04 02,516,0,2
1264,0x4F0,01 1C,7169,1,0
1272,0x4F8,01 1C,7169,1,0
1283,0x503,00 1D,7424,0,0
1375,0x55F,03 18,6147,1,1
1409,0x581,02 1E,7682,0,1
1455,0x5AF,03 1F,7939,1,1
1495,0x5D7,01 20,8193,1,0
1506,0x5E2,04 21,8452,0,2
1514,0x5EA,04 22,8708,0,2
1548,0x60C,01 20,8193,1,0
1565,0x61D,05 23,8965,1,2
1571,0x623,03 24,9219,1,1
1682,0x692,08 25,9480,0,4
1686,0x696,02 26,9730,0,1
1710,0x6AE,03 27,9987,1,1
1719,0x6B7,03 28,10243,1,1
1728,0x6C0,05 29,10501,1,2
1738,0x6CA,05 29,10501,1,2
1748,0x6D4,05 29,10501,1,2
1786,0x6FA,07 2A,10759,1,3
1818,0x71A,05 2B,11013,1,2
1864,0x748,01 00,1,1,0
1882,0x75A,03 2C,11267,1,1
1968,0x7B0,0A 2D,11530,0,5
2175,0x87F,02 2E,11778,0,1
2198,0x896,03 27,9987,1,1
2207,0x89F,03 28,10243,1,1
2229,0x8B5,01 2F,12033,1,0
2247,0x8C7,05 30,12293,1,2
2252,0x8CC,03 31,12547,1,1
2269,0x8DD,06 32,12806,0,3
2280,0x8E8,05 30,12293,1,2
2301,0x8FD,03 33,13059,1,1
2314,0x90A,03 33,13059,1,1
2333,0x91D,01 0A,2561,1,0
2363,0x93B,02 26,9730,0,1
2366,0x93E,01 20,8193,1,0
2439,0x987,03 34,13315,1,1
2470,0x9A6,03 34,13315,1,1
