string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
226,0xE2,FreeModeThread,unknown,224,0xE0,0,main,0x0..0xBB0
277,0x115,OLNM_ReturnToFM,unknown,275,0x113,0,main,0x0..0xBB0
295,0x127,mp_fe_freeroam,unknown,293,0x125,0,main,0x0..0xBB0
318,0x13E,OLNM_ReturnToFM,unknown,316,0x13C,0,main,0x0..0xBB0
336,0x150,mp_fe_resession,unknown,334,0x14E,0,main,0x0..0xBB0
374,0x176,MULTI_FREE_ROAM,unknown,372,0x174,0,main,0x0..0xBB0
398,0x18E,MULTI_FREE_ROAM,unknown,396,0x18C,0,main,0x0..0xBB0
419,0x1A3,NetConf_AvatarPicker,unknown,417,0x1A1,0,main,0x0..0xBB0
442,0x1BA,mp_avatarpicker_conf_lobby,unknown,440,0x1B8,0,main,0x0..0xBB0
477,0x1DD,MULTI_FREE_ROAM,unknown,475,0x1DB,0,main,0x0..0xBB0
498,0x1F2,NetConf_AvatarPicker,unknown,496,0x1F0,0,main,0x0..0xBB0
521,0x209,mp_avatarpicker_conf,unknown,519,0x207,0,main,0x0..0xBB0
547,0x223,XpHud,unknown,545,0x221,0,main,0x0..0xBB0
572,0x23C,netNoAmbientWorld,unknown,570,0x23A,0,main,0x0..0xBB0
598,0x256,mpskiptutorial,unknown,596,0x254,0,main,0x0..0xBB0
688,0x2B0,LS_,unknown,686,0x2AE,0,main,0x0..0xBB0
708,0x2C4,LoadingScreenTexture,unknown,706,0x2C2,0,main,0x0..0xBB0
736,0x2E0,LoadingScreenTexture,unknown,734,0x2DE,0,main,0x0..0xBB0
933,0x3A5,NetAlert_FailedInviteJoin_NoPlaylist,unknown,931,0x3A3,0,main,0x0..0xBB0
975,0x3CF,SG_AutoSaveDisabled,likely logic anchor,973,0x3CD,0,main,0x0..0xBB0
1001,0x3E9,NetAlert_NatWarning,unknown,999,0x3E7,0,main,0x0..0xBB0
1073,0x431,MP_Tutorial,unknown,1071,0x42F,0,main,0x0..0xBB0
1130,0x46A,LoadingMissionName,likely logic anchor,1128,0x468,0,main,0x0..0xBB0
1160,0x488,LoadingMissionName,likely logic anchor,1158,0x486,0,main,0x0..0xBB0
1184,0x4A0,LoadingScreen,unknown,1182,0x49E,0,main,0x0..0xBB0
1203,0x4B3,LoadingSpinner,unknown,1201,0x4B1,0,main,0x0..0xBB0
1220,0x4C4,Common_Null,unknown,1218,0x4C2,0,main,0x0..0xBB0
1237,0x4D5,mp_tip,unknown,1235,0x4D3,0,main,0x0..0xBB0
1363,0x553,MP_Tutorial,unknown,1361,0x551,0,main,0x0..0xBB0
1763,0x6E3,TMS_BlipHideOverride,unknown,1761,0x6E1,0,main,0x0..0xBB0
1797,0x705,TMS_BlipHideOverride,unknown,1795,0x703,0,main,0x0..0xBB0
2092,0x82C,Legendary_rank,unknown,2090,0x82A,0,main,0x0..0xBB0
2109,0x83D,Common_Null,unknown,2107,0x83B,0,main,0x0..0xBB0
2123,0x84B,HUD_MP_LEVEL_UP_MASTER,unknown,2121,0x849,0,main,0x0..0xBB0
2154,0x86A,HUD_MP_UNLOCK_MASTER,unknown,2152,0x868,0,main,0x0..0xBB0
2748,0xABC,MP_Tutorial,unknown,2746,0xABA,0,main,0x0..0xBB0
2811,0xAFB,MPSplash,unknown,2809,0xAF9,0,main,0x0..0xBB0
2925,0xB6D,NetConf_ExitingWait,unknown,2923,0xB6B,0,main,0x0..0xBB0
3116,0xC2C,FRD Cleanup,debug/display text,3114,0xC2A,3,Function_3,0xBD7..0xC95
3202,0xC82,FRD_ScorePanel,unknown,3200,0xC80,3,Function_3,0xBD7..0xC95
3541,0xDD5,FRD Client,debug/display text,3539,0xDD3,13,Function_13,0xD97..0xE24
3554,0xDE2,Actor %s removed from avoidance set.,likely logic anchor,3552,0xDE0,13,Function_13,0xD97..0xE24
3627,0xE2B,NetTimer,unknown,3625,0xE29,14,Function_14,0xE24..0xE38
3793,0xED1,FRD Client,debug/display text,3791,0xECF,18,Function_18,0xEAB..0xEE6
4263,0x10A7,GENMESS_MWPLAYERKILLED,unknown,4261,0x10A5,31,Function_31,0x1092..0x10C3
4309,0x10D5,,unknown,4307,0x10D3,32,Function_32,0x10C3..0x1103
4337,0x10F1,NARRATOR,unknown,4335,0x10EF,32,Function_32,0x10C3..0x1103
4534,0x11B6,NoRegen,unknown,4532,0x11B4,36,Function_36,0x1192..0x1244
4550,0x11C6,NoBleedout,unknown,4548,0x11C4,36,Function_36,0x1192..0x1244
4584,0x11E8,SatchelTab_Weapons,unknown,4582,0x11E6,36,Function_36,0x1192..0x1244
4608,0x1200,PM_Weapons,unknown,4606,0x11FE,36,Function_36,0x1192..0x1244
