term,offset,offset_hex,context_ascii,context_hex
SESSION,344,0x158,"p_fe_freeroam.,..b.*o.OLNM_ReturnToFM.o.mp_fe_resession.,..b..,...d.nM...d..o.MULTI_FREE_ROAM.,..b..o.M",70 5F 66 65 5F 66 72 65 65 72 6F 61 6D 00 2C 04 02 62 00 2A 6F 10 4F 4C 4E 4D 5F 52 65 74 75 72 6E 54 6F 46 4D 00 6F 10 6D 70 5F 66 65 5F 72 65 73 65 73 73 69 6F 6E 00 2C 04 02 62 00 00 2C 01 03 8C 64 00 6E 4D 02 0C 8B 64 00 18 6F 10 4D 55 4C 54 49 5F 46 52 45 45 5F 52 4F 41 4D 00 2C 02 04 62 00 15 6F 10 4D
SESSION,60603,0xECBB,".t@7.,B..j.5.2.%.j.,i=@v,. .c.)R.4c.!o.net_pl_unsession.,..%.,E.+.,C.+..R.4R....-....8.(....R.. c..j.,i",03 74 40 37 03 2C 42 B9 8F 6A 01 35 F5 32 8F 25 10 6A 01 2C 69 3D 40 76 2C 01 20 06 63 00 29 52 E8 34 63 00 21 6F 11 6E 65 74 5F 70 6C 5F 75 6E 73 65 73 73 69 6F 6E 00 2C 03 A5 25 19 2C 45 B0 2B 8C 2C 43 AB 2B 8B 7F 52 E8 34 52 EC DB 8C 7F 2D 01 00 03 00 38 00 28 04 00 00 00 52 15 B6 20 63 00 07 6A 01 2C 69
SESSION,104753,0x19931,".8.:U6.8.=.9.8.=.9.b.rz-....,..c...{.{-....o.dynsession_alwayshost.S.>j.G[?(o.dynsession_fmsize.S..j.G[",03 38 02 3A 55 36 04 38 02 3D 01 39 02 38 03 3D 01 39 03 62 FF 72 7A 2D 00 00 02 00 2C 01 FE 63 00 02 8C 7B 8B 7B 2D 00 00 02 00 6F 16 64 79 6E 73 65 73 73 69 6F 6E 5F 61 6C 77 61 79 73 68 6F 73 74 00 53 9D 3E 6A 01 47 5B 3F 28 6F 12 64 79 6E 73 65 73 73 69 6F 6E 5F 66 6D 73 69 7A 65 00 53 90 8E 6A 01 47 5B
SESSION,104786,0x19952,"..{.{-....o.dynsession_alwayshost.S.>j.G[?(o.dynsession_fmsize.S..j.G[?,S}.z-....8.o.blah.,..9.8.,..c..",02 8C 7B 8B 7B 2D 00 00 02 00 6F 16 64 79 6E 73 65 73 73 69 6F 6E 5F 61 6C 77 61 79 73 68 6F 73 74 00 53 9D 3E 6A 01 47 5B 3F 28 6F 12 64 79 6E 73 65 73 73 69 6F 6E 5F 66 6D 73 69 7A 65 00 53 90 8E 6A 01 47 5B 3F 2C 53 7D A0 7A 2D 01 00 04 00 38 00 6F 05 62 6C 61 68 00 2C 85 14 39 03 38 03 2C 03 C0 63 00 06
FreeModeThread,226,0xE2,"N...N...N...N..,..N..%.S.U.9..9.L..S.......,..o.FreeModeThread.S..<.S.2M..n..................,b.So.OLNM_Return",4E 01 04 8B 4E 02 0A 8B 4E 02 0B 8B 4E 02 0D 2C 01 00 4E 02 0C 25 08 53 9F 55 94 39 03 8B 39 04 4C 01 A0 53 9E EB 8C 8B 8B 8B 8B 2C 0A 01 6F 0F 46 72 65 65 4D 6F 64 65 54 68 72 65 61 64 00 53 9E 9B 3C F0 53 9E 32 4D 02 0C 6E 03 00 00 00 01 00 0F 00 00 00 02 00 09 00 00 00 00 00 2C 62 00 53 6F 10 4F 4C 4E 4D 5F 52 65 74 75 72 6E
MULTI_FREE_ROAM,374,0x176,"urnToFM.o.mp_fe_resession.,..b..,...d.nM...d..o.MULTI_FREE_ROAM.,..b..o.MULTI_FREE_ROAM.,..o.NetConf_AvatarPick",75 72 6E 54 6F 46 4D 00 6F 10 6D 70 5F 66 65 5F 72 65 73 65 73 73 69 6F 6E 00 2C 04 02 62 00 00 2C 01 03 8C 64 00 6E 4D 02 0C 8B 64 00 18 6F 10 4D 55 4C 54 49 5F 46 52 45 45 5F 52 4F 41 4D 00 2C 02 04 62 00 15 6F 10 4D 55 4C 54 49 5F 46 52 45 45 5F 52 4F 41 4D 00 2C 02 05 6F 15 4E 65 74 43 6F 6E 66 5F 41 76 61 74 61 72 50 69 63 6B
MULTI_FREE_ROAM,398,0x18E,"n.,..b..,...d.nM...d..o.MULTI_FREE_ROAM.,..b..o.MULTI_FREE_ROAM.,..o.NetConf_AvatarPicker.o.mp_avatarpicker_con",6E 00 2C 04 02 62 00 00 2C 01 03 8C 64 00 6E 4D 02 0C 8B 64 00 18 6F 10 4D 55 4C 54 49 5F 46 52 45 45 5F 52 4F 41 4D 00 2C 02 04 62 00 15 6F 10 4D 55 4C 54 49 5F 46 52 45 45 5F 52 4F 41 4D 00 2C 02 05 6F 15 4E 65 74 43 6F 6E 66 5F 41 76 61 74 61 72 50 69 63 6B 65 72 00 6F 1B 6D 70 5F 61 76 61 74 61 72 70 69 63 6B 65 72 5F 63 6F 6E
MULTI_FREE_ROAM,477,0x1DD,"atarPicker.o.mp_avatarpicker_conf_lobby.,..b.Fo.MULTI_FREE_ROAM.,..o.NetConf_AvatarPicker.o.mp_avatarpicker_con",61 74 61 72 50 69 63 6B 65 72 00 6F 1B 6D 70 5F 61 76 61 74 61 72 70 69 63 6B 65 72 5F 63 6F 6E 66 5F 6C 6F 62 62 79 00 2C 04 06 62 00 46 6F 10 4D 55 4C 54 49 5F 46 52 45 45 5F 52 4F 41 4D 00 2C 02 05 6F 15 4E 65 74 43 6F 6E 66 5F 41 76 61 74 61 72 50 69 63 6B 65 72 00 6F 15 6D 70 5F 61 76 61 74 61 72 70 69 63 6B 65 72 5F 63 6F 6E
mp_fe_freeroam,295,0x127,".2M..n..................,b.So.OLNM_ReturnToFM.o.mp_fe_freeroam.,..b.*o.OLNM_ReturnToFM.o.mp_fe_resession.,..b.",9E 32 4D 02 0C 6E 03 00 00 00 01 00 0F 00 00 00 02 00 09 00 00 00 00 00 2C 62 00 53 6F 10 4F 4C 4E 4D 5F 52 65 74 75 72 6E 54 6F 46 4D 00 6F 0F 6D 70 5F 66 65 5F 66 72 65 65 72 6F 61 6D 00 2C 04 02 62 00 2A 6F 10 4F 4C 4E 4D 5F 52 65 74 75 72 6E 54 6F 46 4D 00 6F 10 6D 70 5F 66 65 5F 72 65 73 65 73 73 69 6F 6E 00 2C 04 02 62 00
mp_avatarpicker_conf,442,0x1BA,"..o.MULTI_FREE_ROAM.,..o.NetConf_AvatarPicker.o.mp_avatarpicker_conf_lobby.,..b.Fo.MULTI_FREE_ROAM.,..o.NetConf_Avat",00 15 6F 10 4D 55 4C 54 49 5F 46 52 45 45 5F 52 4F 41 4D 00 2C 02 05 6F 15 4E 65 74 43 6F 6E 66 5F 41 76 61 74 61 72 50 69 63 6B 65 72 00 6F 1B 6D 70 5F 61 76 61 74 61 72 70 69 63 6B 65 72 5F 63 6F 6E 66 5F 6C 6F 62 62 79 00 2C 04 06 62 00 46 6F 10 4D 55 4C 54 49 5F 46 52 45 45 5F 52 4F 41 4D 00 2C 02 05 6F 15 4E 65 74 43 6F 6E 66 5F 41 76 61 74
mp_avatarpicker_conf,521,0x209,".Fo.MULTI_FREE_ROAM.,..o.NetConf_AvatarPicker.o.mp_avatarpicker_conf.,..o.XpHud.,...S..A..S...S.]o.netNoAmbientWorld",00 46 6F 10 4D 55 4C 54 49 5F 46 52 45 45 5F 52 4F 41 4D 00 2C 02 05 6F 15 4E 65 74 43 6F 6E 66 5F 41 76 61 74 61 72 50 69 63 6B 65 72 00 6F 15 6D 70 5F 61 76 61 74 61 72 70 69 63 6B 65 72 5F 63 6F 6E 66 00 2C 04 06 6F 06 58 70 48 75 64 00 2C 02 07 8D 53 9D D9 41 08 90 53 9D A0 8B 53 9D 5D 6F 12 6E 65 74 4E 6F 41 6D 62 69 65 6E 74 57 6F 72 6C 64
NetConf_AvatarPicker,419,0x1A3,".o.MULTI_FREE_ROAM.,..b..o.MULTI_FREE_ROAM.,..o.NetConf_AvatarPicker.o.mp_avatarpicker_conf_lobby.,..b.Fo.MULTI_FREE",18 6F 10 4D 55 4C 54 49 5F 46 52 45 45 5F 52 4F 41 4D 00 2C 02 04 62 00 15 6F 10 4D 55 4C 54 49 5F 46 52 45 45 5F 52 4F 41 4D 00 2C 02 05 6F 15 4E 65 74 43 6F 6E 66 5F 41 76 61 74 61 72 50 69 63 6B 65 72 00 6F 1B 6D 70 5F 61 76 61 74 61 72 70 69 63 6B 65 72 5F 63 6F 6E 66 5F 6C 6F 62 62 79 00 2C 04 06 62 00 46 6F 10 4D 55 4C 54 49 5F 46 52 45 45
NetConf_AvatarPicker,498,0x1F2,"rpicker_conf_lobby.,..b.Fo.MULTI_FREE_ROAM.,..o.NetConf_AvatarPicker.o.mp_avatarpicker_conf.,..o.XpHud.,...S..A..S..",72 70 69 63 6B 65 72 5F 63 6F 6E 66 5F 6C 6F 62 62 79 00 2C 04 06 62 00 46 6F 10 4D 55 4C 54 49 5F 46 52 45 45 5F 52 4F 41 4D 00 2C 02 05 6F 15 4E 65 74 43 6F 6E 66 5F 41 76 61 74 61 72 50 69 63 6B 65 72 00 6F 15 6D 70 5F 61 76 61 74 61 72 70 69 63 6B 65 72 5F 63 6F 6E 66 00 2C 04 06 6F 06 58 70 48 75 64 00 2C 02 07 8D 53 9D D9 41 08 90 53 9D A0
SG_AutoSaveDisabled,975,0x3CF,",...o%NetAlert_FailedInviteJoin_NoPlaylist.,..o.SG_AutoSaveDisabled.,.. o.NetAlert_NatWarning.,.. .c...,..b..j.G.C.",2C 01 17 06 6F 25 4E 65 74 41 6C 65 72 74 5F 46 61 69 6C 65 64 49 6E 76 69 74 65 4A 6F 69 6E 5F 4E 6F 50 6C 61 79 6C 69 73 74 00 2C 03 18 6F 14 53 47 5F 41 75 74 6F 53 61 76 65 44 69 73 61 62 6C 65 64 00 2C 03 18 20 6F 14 4E 65 74 41 6C 65 72 74 5F 4E 61 74 57 61 72 6E 69 6E 67 00 2C 03 18 20 1F 63 00 07 8B 2C 02 19 62 FF 93 6A 01 47 98 43 04
netNoAmbientWorld,572,0x23C,"avatarpicker_conf.,..o.XpHud.,...S..A..S...S.]o.netNoAmbientWorld.S.>.9.o.mpskiptutorial.S.>c..m...S..S...9.8.Px.",61 76 61 74 61 72 70 69 63 6B 65 72 5F 63 6F 6E 66 00 2C 04 06 6F 06 58 70 48 75 64 00 2C 02 07 8D 53 9D D9 41 08 90 53 9D A0 8B 53 9D 5D 6F 12 6E 65 74 4E 6F 41 6D 62 69 65 6E 74 57 6F 72 6C 64 00 53 9D 3E 06 39 05 6F 0F 6D 70 73 6B 69 70 74 75 74 6F 72 69 61 6C 00 53 9D 3E 63 00 07 6D 04 00 00 53 9D D9 53 9D 18 8B 39 06 38 06 50 78 1E
MP_Tutorial,1073,0x431,".c...,..b..j.G.C....j.I.C.....m...S....S...c..o.MP_Tutorial.,..m...S...S...9..9.,...8...c.^,..c..8..c.{o.Lo",1F 63 00 07 8B 2C 02 19 62 FF 93 6A 01 47 98 43 04 F0 8E 0C 6A 01 49 8C 43 02 C4 8B 08 1F 6D 04 00 00 53 92 15 06 1F 53 92 08 1F 63 00 1C 6F 0C 4D 50 5F 54 75 74 6F 72 69 61 6C 00 2C 02 1A 6D 04 00 00 53 9D D9 8B 53 91 FD 8B 39 0B 94 39 0C 2C 01 17 06 38 0B 06 1F 63 06 5E 2C 01 0A 63 00 AA 38 09 06 63 00 7B 6F 13 4C 6F
MP_Tutorial,1363,0x553,"..M..n......!.....7......................._b.bo.MP_Tutorial.,...c...S..b.FS..c.^S..S.GS..)?...,..L..=.....S",01 1E 4D 01 1E 6E 06 00 00 00 00 00 21 00 00 00 01 00 37 00 00 00 02 00 98 00 00 00 03 00 CA 00 00 00 04 01 FD 00 00 00 05 05 5F 62 05 62 6F 0C 4D 50 5F 54 75 74 6F 72 69 61 6C 00 2C 03 18 06 63 00 04 8C 53 91 FD 62 05 46 53 90 FA 63 00 5E 53 90 B1 53 90 47 53 8F 92 29 3F 19 99 9A 2C 02 1E 4C 01 1E 3D 14 8C 8B 8C 8B 53
MP_Tutorial,2748,0xABC,".5.% S.p..c..R..c...,.6.R..,.7b...9.b...,..b..o.MP_Tutorial.,..A..R..(.....S.$R...R..R..:.R...,.&.,..L..=.R",01 35 EA 25 20 53 03 70 06 1F 63 00 11 52 1B CA 63 00 0B 8B 2C 02 36 8A 52 1B 08 2C 00 37 62 00 06 8C 39 0B 62 00 00 8B 2C 02 19 62 F9 97 6F 0C 4D 50 5F 54 75 74 6F 72 69 61 6C 00 2C 02 07 41 10 00 52 1C 0B 28 02 00 00 00 8B 53 92 24 52 18 EE 8B 52 16 ED 52 15 DB 3A F4 52 15 C7 8B 2C 02 26 95 2C 02 1E 4C 01 1E 3D 14 52
SpawnVolGroup_set,21998,0x55EE,"e..)....)A'.1)E..v.).....)A.|()AJ.=)A...,..+;.o.SpawnVolGroup_set.,..9.;.o.SpawnVol_0..)...@)A3..)E....).5$9.)?.>",65 00 8E 29 C4 D4 90 E7 29 41 27 93 31 29 45 84 13 76 94 29 C2 16 8B C6 94 29 41 AF 7C 28 29 41 4A C9 3D 29 41 AC 15 CA 2C 19 DE 2B 3B B1 6F 12 53 70 61 77 6E 56 6F 6C 47 72 6F 75 70 5F 73 65 74 00 2C 05 DF 39 04 3B B1 6F 0B 53 70 61 77 6E 56 6F 6C 5F 30 00 8D 29 C4 D1 D1 40 29 41 33 B3 16 29 45 84 D2 B3 94 29 C3 35 24 39 94 29 3F E9 3E
SpawnVolGroup_set,24875,0x612B,"e..)..;9)B..')E....).....)A...)A..u)A.;d,..+;.o.SpawnVolGroup_set.,..9.;.o.SpawnVol_0..)...^)A...)E..P.)Cl...)?.M",65 00 8E 29 C5 86 3B 39 29 42 04 12 27 29 45 89 D6 17 94 29 C2 16 8B C6 94 29 41 E6 B3 9E 29 41 C1 0D 75 29 41 E2 3B 64 2C 19 DE 2B 3B B0 6F 12 53 70 61 77 6E 56 6F 6C 47 72 6F 75 70 5F 73 65 74 00 2C 05 DF 39 04 3B B0 6F 0B 53 70 61 77 6E 56 6F 6C 5F 30 00 8E 29 C5 87 7F 5E 29 41 98 9E A3 29 45 8B FC 50 94 29 43 6C 01 DF 94 29 3F DD 4D
SpawnVolGroup_set,26961,0x6951,"e..)D?%m)B..b)D.S..)Anq..)A..H)A.L.)A..H,..+;.o.SpawnVolGroup_set.,..9.;.o.SpawnVol_0..)DKL^)B..')D....).+...)?V.",65 00 8E 29 44 3F 25 6D 29 42 A1 90 62 29 44 A4 53 D8 94 29 41 6E 71 1D 94 29 41 9C 80 48 29 41 1B 4C C0 29 41 9C 80 48 2C 19 DE 2B 3B AF 6F 12 53 70 61 77 6E 56 6F 6C 47 72 6F 75 70 5F 73 65 74 00 2C 05 DF 39 04 3B AF 6F 0B 53 70 61 77 6E 56 6F 6C 5F 30 00 8E 29 44 4B 4C 5E 29 42 9C F1 27 29 44 9E C6 99 94 29 C2 2B 17 FF 94 29 3F 56 F7
SpawnVolGroup_set,28445,0x6F1D,"e..)C..:)B...)E....)A....)A..S)AUKO)A..S,..+;.o.SpawnVolGroup_set.,..9.;.o.SpawnVol_0..)B.hj)B...)E....)C....)?.b",65 00 8E 29 43 06 19 3A 29 42 A2 1C B8 29 45 12 17 E9 94 29 41 A0 00 00 94 29 41 B9 FF 53 29 41 55 4B 4F 29 41 B9 FF 53 2C 19 DE 2B 3B AE 6F 12 53 70 61 77 6E 56 6F 6C 47 72 6F 75 70 5F 73 65 74 00 2C 05 DF 39 04 3B AE 6F 0B 53 70 61 77 6E 56 6F 6C 5F 30 00 8E 29 42 F9 68 6A 29 42 92 92 90 29 45 15 80 00 94 29 43 0C A1 D2 94 29 3F E4 62
SpawnVolGroup_set,29404,0x72DC,").M.^)B..B)E....)A....)A..S)@.O.)A..S,..:.?.;.o.SpawnVolGroup_set.,..9.;.o.SpawnVol_0..).Lp.)B...)E.C..)C....)?).",29 C4 4D E7 5E 29 42 BB 9E 42 29 45 17 F1 D6 94 29 41 A0 00 00 94 29 41 B9 FF 53 29 40 DA 4F 02 29 41 B9 FF 53 2C 19 DE 3A AC 3F 04 3B AC 6F 12 53 70 61 77 6E 56 6F 6C 47 72 6F 75 70 5F 73 65 74 00 2C 05 DF 39 04 3B AC 6F 0B 53 70 61 77 6E 56 6F 6C 5F 30 00 8E 29 C4 4C 70 EC 29 42 B8 B8 B8 29 45 13 43 DD 94 29 43 80 CE 99 94 29 3F 29 A6
SpawnVolGroup_set,33335,0x8237,").&..)B...)E..3.)A....)A...)Az.?)A...,..:.?.;.o.SpawnVolGroup_set.,..9.;.o.SpawnVol_0..).,.3)B...)E....)A..H.)?..",29 C5 26 E3 AB 29 42 0F 9F 01 29 45 84 F7 33 94 29 41 A0 00 00 94 29 41 D2 AA E6 29 41 7A AC 3F 29 41 D2 AA E6 2C 19 DE 3A AA 3F 04 3B AA 6F 12 53 70 61 77 6E 56 6F 6C 47 72 6F 75 70 5F 73 65 74 00 2C 05 DF 39 04 3B AA 6F 0B 53 70 61 77 6E 56 6F 6C 5F 30 00 8E 29 C5 2C 88 33 29 42 00 80 80 29 45 85 00 01 94 29 41 13 BB 48 94 29 3F 85 DC
SpawnVolGroup_set,35421,0x8A5D,"e..)..mx)A.S )E""vk.)A....)A.W:)A{..)A.W:,..+;.o.SpawnVolGroup_set.,..9.;.o.SpawnVol_0..)..%.)A...)E..d.)=V(s.)?.I",65 00 8E 29 C5 07 6D 78 29 41 A7 53 20 29 45 22 76 6B 94 29 41 A0 00 00 94 29 41 BD 57 3A 29 41 7B F5 F0 29 41 BD 57 3A 2C 19 DE 2B 3B A9 6F 12 53 70 61 77 6E 56 6F 6C 47 72 6F 75 70 5F 73 65 74 00 2C 05 DF 39 04 3B A9 6F 0B 53 70 61 77 6E 56 6F 6C 5F 30 00 8E 29 C5 07 25 9E 29 41 82 C8 9A 29 45 1D 9A 64 94 29 3D 56 28 73 94 29 3F C5 49
